"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-8.81131,-5.86554,1.17607,-1.66096,5.75823,9.1969,2.22523,1.38152,2.35909,2.15321,-33.65184,-19.78371,-53.43556
60060,-10.9096,-6.36948,4.96574,-0.484778,1.44584,5.96647,1.18569,2.11844,1.59391,2.3953,-31.73043,-18.12073,-49.85116
60090,-11.1959,-4.3753,-4.01243,-6.33102,9.57135,3.64352,1.25295,1.24956,2.63472,2.51232,-32.58238,-17.0157,-49.59808
60120,-6.51042,-3.53684,-4.20181,-7.58496,3.04674,1.92604,3.81759,1.15199,1.72796,1.678,-30.95395,-13.46928,-44.42323
60150,-6.61973,-3.62747,-3.99125,-6.83982,4.77944,1.61917,2.08665,1.14796,1.92665,3.09714,-31.345,-13.50729,-44.85229
60180,-4.88118,-1.04696,-5.00152,-7.92218,3.30405,1.81847,1.90107,1.17109,3.5361,6.99245,-32.52995,-14.89188,-47.42183
60210,-6.23437,-2.71995,-5.54433,-7.89276,1.98167,8.24332,1.62507,1.12339,5.44917,8.83045,-33.9134,-14.44701,-48.3604
60240,-7.19521,-4.41035,-6.28137,-8.01136,3.21538,5.1369,6.02255,1.24238,2.06305,2.02621,-32.84315,-16.71504,-49.55819
60270,-6.15265,-4.91926,-3.5732,-5.21018,3.57458,1.85049,1.1596,1.52972,8.48955,1.41072,-31.58123,-13.04766,-44.62889
60300,-7.23641,-4.48864,-4.40671,-7.05589,1.46906,1.33314,1.89711,1.12424,6.80168,1.71039,-30.49559,-12.98441,-43.48
60330,-5.00361,-3.71257,-5.69422,-5.99622,4.64328,6.49188,1.31398,1.1081,6.77858,1.68389,-32.84338,-13.0882,-45.93158
60360,-6.5783,-5.03267,-3.05734,-4.16759,2.43034,6.40055,1.1169,1.14535,5.39229,1.32864,-31.62368,-11.79064,-43.41432
60390,-8.72637,-4.00649,-2.62258,-6.14711,4.76436,2.42877,1.41123,1.17667,1.57647,1.75774,-30.65655,-16.2674,-46.92395
60420,-7.53642,-4.84673,-4.439,-7.36105,1.83496,2.13202,2.05129,1.11208,1.80887,1.56175,-29.83453,-12.21551,-42.05004
60450,-9.43911,-4.52661,-4.33942,-8.64939,1.742,7.09808,1.18796,1.35956,1.97725,1.31159,-30.59502,-12.5004,-43.09543
60480,-6.89666,-4.74636,-4.36988,-6.69086,5.41615,1.67194,1.18091,1.68412,8.032,1.35492,-31.88612,-13.077,-44.96311
60510,-9.80972,-4.79244,-4.85639,-6.73482,5.40939,2.78338,1.86494,1.17263,4.18438,5.31992,-33.22767,-17.1372,-50.36487
60540,-6.99525,-4.32043,-5.34807,-7.29941,5.75228,2.92822,1.21912,1.11023,9.93336,1.64631,-32.52211,-11.16008,-43.68219
60570,-6.01746,-2.4436,-5.1424,-8.19578,1.69221,2.26398,1.25943,1.1045,2.45316,7.69283,-31.273,-11.59077,-42.86378
60600,-6.27472,-2.13797,-4.39894,-8.33536,5.50003,2.0885,2.05963,1.16504,2.12225,8.97431,-32.94804,-16.58152,-49.52955
60630,-5.51927,-1.61538,-5.64078,-9.55884,3.869,6.93022,1.60206,1.36478,6.83325,3.9475,-34.0775,-16.19938,-50.27688
60660,-6.15946,-4.10508,-5.07749,-6.46588,3.42619,4.61364,1.16905,1.172,1.97845,3.54077,-31.63309,-13.6959,-45.32899
60690,-7.26886,-4.92024,-4.57238,-7.40647,1.7093,9.4785,1.25914,1.19224,5.14929,2.67138,-32.41568,-13.29613,-45.7118
60720,-8.02151,-5.67148,-1.64561,-4.14543,3.07613,1.6472,4.48319,1.68289,4.66753,2.72275,-32.8955,-19.11575,-52.01126
60750,-7.47071,-5.15352,-2.52923,-3.69386,2.67258,3.42998,1.86282,1.11502,7.00675,1.23385,-31.79361,-14.11464,-45.90825
60780,-9.40383,-3.95248,-3.04545,-5.04395,7.52422,1.76606,2.12891,1.4778,9.50926,3.30402,-33.87222,-18.85984,-52.73206
60810,-8.46432,-4.38525,-1.94345,-5.03228,2.4165,3.6562,2.00547,1.2208,9.84626,1.92127,-32.71953,-15.59957,-48.3191
60840,-10.0172,-5.2911,1.43361,-3.23721,8.0523,6.56646,1.23568,1.19603,4.00841,3.3209,-33.87276,-14.61053,-48.48329
60870,-10.7488,-5.57357,2.81004,-1.10163,2.35813,2.17376,1.48965,1.1368,1.44401,1.73899,-30.19352,-18.20128,-48.3948
60900,-9.3455,-4.55441,3.98946,0.335399,2.76154,2.83964,1.19034,1.17128,1.80588,3.34822,-31.44638,-12.67006,-44.11644
60930,-7.2332,-5.15563,6.61916,3.737,6.23235,7.16841,2.48768,2.26054,8.86568,2.03798,-36.11613,-19.53597,-55.65209
60960,-7.3643,-4.86495,6.02927,4.16164,1.66333,4.84423,1.10365,1.11188,3.44989,6.56553,-33.08749,-13.16086,-46.24835
60990,-7.09303,-4.28462,5.49564,3.45693,5.55454,1.67062,2.24917,1.13483,9.2509,3.27282,-34.15283,-15.11458,-49.26742
61020,-7.80554,-4.97135,5.02953,1.99347,8.15156,8.71539,1.30781,1.93154,4.83585,2.00154,-34.87949,-16.41017,-51.28966
61050,-12.3916,-5.36443,2.48661,-2.34806,7.22811,5.72094,4.62104,1.22641,3.53244,9.38574,-36.05771,-21.06571,-57.12342
61080,-8.83775,-4.02148,1.68069,-0.996408,1.8418,2.78562,2.18748,1.23421,2.94247,3.64793,-32.02328,-16.75547,-48.77876
61110,-8.68031,-4.15899,0.576275,-1.32635,2.24272,1.53602,1.40233,1.18042,8.99702,2.74452,-31.88249,-15.55602,-47.4385
61140,-7.17068,-5.70526,0.525743,-1.44799,2.19928,2.69361,1.2315,1.14072,6.73557,6.53001,-32.79526,-13.57947,-46.37473
61170,-6.3688,-4.58968,0.141574,-1.88393,6.3236,1.2243,1.41755,1.25845,6.36086,2.60085,-32.30144,-13.81802,-46.11946
61200,-7.46345,-5.10026,0.470011,-1.81524,2.74607,1.56694,1.17682,1.3468,4.70697,1.35509,-30.65534,-11.7469,-42.40224
61230,-6.63894,-5.42064,0.603261,-1.21994,5.72286,3.90455,1.30292,1.10619,7.01386,3.86161,-33.68053,-13.97556,-47.65609
61260,-9.66469,-5.4476,2.70537,-0.209822,3.25963,2.6641,1.19328,1.10118,8.78017,1.94764,-32.39417,-13.03323,-45.4274
61290,-8.10393,-4.91249,6.89735,4.35386,2.13527,2.77869,2.01774,1.47283,4.46881,1.60941,-32.62642,-15.16716,-47.79358
61320,-8.51368,-4.86196,7.63859,4.43485,2.32307,3.5099,1.64975,1.26006,2.16538,1.38961,-31.80685,-14.10566,-45.91251
61350,-9.52308,-6.48895,6.40773,2.67644,3.41835,2.94446,1.46812,1.17817,8.95055,6.65218,-34.55142,-16.96914,-51.52056
61380,-8.10682,-5.36271,9.10124,5.93965,4.89126,3.26334,1.1211,1.13386,7.76085,1.84689,-33.84252,-11.02603,-44.86855
61410,-8.51622,-4.61753,8.36215,5.26389,3.20088,4.1554,1.10905,1.37322,3.46436,2.19971,-33.07326,-13.11825,-46.19151
61440,-8.47695,-4.62971,1.65301,-2.05514,3.77554,9.70469,1.93195,1.21779,1.7058,8.7413,-34.11891,-16.11441,-50.23331
61470,-7.20731,-5.05469,-0.215273,-1.80731,7.92496,1.32353,1.19468,1.23039,4.34666,3.24656,-32.22886,-13.61829,-45.84715
61500,-6.85719,-4.29261,0.875312,-1.42289,8.86433,1.82158,1.25166,1.13021,2.88773,6.53082,-32.99936,-13.63663,-46.636
61530,-9.08976,-5.06418,2.95089,0.265299,7.8528,3.23335,1.64311,1.16322,6.68155,1.45739,-33.31562,-13.98646,-47.30207
61560,-9.64813,-5.02192,2.13332,-0.796112,2.01687,4.18597,1.22005,1.20616,2.6238,2.24788,-31.35117,-15.12511,-46.47628
61590,-9.87445,-4.26386,3.71092,0.207022,8.29038,4.09047,1.53989,1.17856,2.20586,6.43778,-34.01488,-16.05017,-50.06505
61620,-7.38659,-6.52711,1.47062,-0.372305,4.20059,1.42859,1.46943,1.11445,9.95342,5.84354,-33.34168,-14.78625,-48.12794
61650,-6.92873,-4.79635,-0.553501,-2.88004,5.91338,1.70976,2.96236,1.14712,7.31522,3.42146,-33.5531,-15.76823,-49.32133
61680,-7.7717,-3.86838,-2.23402,-9.19461,4.88042,2.58169,9.82153,1.16205,1.64742,3.29386,-33.36544,-23.45686,-56.8223
61710,-7.95694,-4.88863,-6.36419,-7.95464,4.79371,3.51084,1.13362,1.34665,1.73711,1.80215,-30.97813,-15.01762,-45.99576
61740,-7.97107,-4.8721,-3.80403,-6.59126,2.17947,3.07594,1.31694,1.11891,6.54967,3.60514,-32.07469,-12.00682,-44.08151
61770,-6.20225,-3.68948,-4.86488,-7.53878,2.99039,2.43757,1.39841,1.12726,4.71964,3.57707,-31.89195,-12.35288,-44.24482
61800,-8.80324,-4.80991,-3.85169,-7.09904,3.21288,3.01687,1.19284,1.42947,1.36917,1.57823,-30.20701,-11.79796,-42.00497
61830,-7.08882,-3.13711,-5.53092,-9.63384,3.26562,1.43479,1.1441,2.21452,5.13817,2.37331,-31.62999,-14.04639,-45.67638
61860,-5.97388,-2.30402,-5.34595,-8.8873,1.79089,1.72128,1.14609,2.36421,2.82132,5.2351,-31.48834,-14.31555,-45.80389
61890,-6.67926,-2.78433,-5.34595,-8.46301,3.05114,1.23094,1.42006,1.2576,2.21595,2.48437,-30.2575,-11.32821,-41.58571
61920,-6.15725,-5.05328,-4.08211,-5.82123,7.12943,1.88657,1.13514,1.83563,3.88989,2.34544,-32.15961,-15.39086,-47.55047
61950,-7.71831,-3.71229,-4.61074,-7.93173,5.03622,4.79387,1.14635,1.22313,2.35426,2.0292,-31.71665,-12.10377,-43.82043
61980,-7.31617,-4.05364,-5.30989,-8.93299,1.5893,2.15308,2.00262,1.22876,2.14765,2.29209,-30.3469,-13.4782,-43.8251
62010,-7.89761,-2.9534,-5.18007,-9.72751,2.99537,1.87241,1.18435,1.32803,8.39031,3.54151,-32.2387,-14.89638,-47.13509
