"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0127592,0.0025648775,0.03525577,1,"Blood","AtoB"
0.026224,0.00584967,0.07044629,2,"Blood","AtoB"
0.03961105,0.00909227,0.10479925,3,"Blood","AtoB"
0.05283355,0.01231998,0.13811795,4,"Blood","AtoB"
0.0659189,0.015476325,0.1706286,5,"Blood","AtoB"
0.07885855,0.018645885,0.20205875,6,"Blood","AtoB"
0.0915469,0.02185656,0.2327762,7,"Blood","AtoB"
0.104108,0.024965945,0.2628626,8,"Blood","AtoB"
0.1165085,0.028054385,0.29218805,9,"Blood","AtoB"
0.1287935,0.031097315,0.3203543,10,"Blood","AtoB"
0.1408865,0.03417027,0.3476933,11,"Blood","AtoB"
0.152835,0.03717592,0.37456565,12,"Blood","AtoB"
0.1646135,0.040187865,0.4005192,13,"Blood","AtoB"
0.1762645,0.04318818,0.42584305,14,"Blood","AtoB"
0.187788,0.046120395,0.4504682,15,"Blood","AtoB"
0.1991295,0.04908437,0.4743578,16,"Blood","AtoB"
0.2103525,0.05204949,0.4977601,17,"Blood","AtoB"
0.2214625,0.054981855,0.5204044,18,"Blood","AtoB"
0.2323605,0.057906055,0.54235185,19,"Blood","AtoB"
0.243061,0.06082214,0.5637427,20,"Blood","AtoB"
0.253644,0.063682665,0.5845506,21,"Blood","AtoB"
0.264122,0.066456795,0.60502565,22,"Blood","AtoB"
0.2743655,0.069300475,0.62459525,23,"Blood","AtoB"
0.2844705,0.072125915,0.64362765,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
18.2909,0.3195145,315.9734,1,"Cell","AtoB"
19.0599,0.5727669,326.00195,2,"Cell","AtoB"
19.4227,0.8009085,325.40605,3,"Cell","AtoB"
19.7287,1.0160615,324.34775,4,"Cell","AtoB"
20.0602,1.225007,321.52725,5,"Cell","AtoB"
20.3342,1.4294345,318.4992,6,"Cell","AtoB"
20.6164,1.6170575,315.9997,7,"Cell","AtoB"
