"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-5.70570939576002,0.149746914908203,4.90979931914009,-12.614955,-9.4095,-6.597925,-2.8618275,5.9183495,1075,1.00291138806918,1,-12.044785,-6.597925,3.5485505,0.0300500000000001,0.0826449999999994,0.15137,0.227235,0.40195,0.105915801120287,1256,1586
"p_2.1.",4.48206780594007,0.147713152714063,4.80690774651603,-1.65802425,0.68328125,3.51762,7.2305075,16.0041925,1059,1.00303250678232,1,-1.31319,3.51762,13.715215,0.022215,0.0877225,0.140845,0.22424,0.4393,0.108368816194472,1259,1603
"p_3.1.",3.32436453815651,0.143889556746813,5.14935281893353,-2.30386175,-1.14635,1.94689,6.537015,15.581635,1284,1.00571587416752,1,-2.1119955,1.94689,13.37247,0.0117099999999999,0.045355,0.16509,0.25362,0.35325,0.103958056617246,1487,2062
"p_4.1.",-7.30168093026497,0.150328610418553,5.42168617470338,-14.2854925,-11.7981,-8.4075,-3.81702,5.13542625,1307,1.00580355117745,1,-13.9142,-8.4075,3.0397785,0.01905,0.0820499999999997,0.169630000000001,0.24712,0.350395,0.106322224656031,1478,2065
"GSD_error_C1_blood.1.",4.1131259880015,0.014041094777548,2.19404717340422,1.56413075,2.3481575,3.42413,5.4451325,9.33555575,24383,1.00001984661492,1,1.677043,3.42413,8.721361,0.00536999999999999,0.00853499999999996,0.015595,0.0329600000000001,0.0184449999999998,0.00992867183047586,24014,30179
"GSD_error_C1_cell.1.",2.86535089301337,0.0130899830764412,2.09639608019108,1.11882075,1.3707975,1.957245,3.59098,8.80160725,25635,1.00003680411903,1,1.140239,1.957245,7.785638,0.00081500000000001,0.00396999999999992,0.0105149999999999,0.0298050000000001,0.0396650000000003,0.00925612117371961,26182,29274
"GSD_error_C1_lumen.1.",5.05630485470566,0.0222173616112851,2.31747819999641,1.3098275,3.2194575,4.74563,6.8080475,9.58827925,10911,1.00070919747638,1,1.58299,4.74563,9.1997885,0.013575,0.0227300000000001,0.0266200000000003,0.02922,0.0154199999999998,0.0157104681966032,9264,10566
"GSD_error_C2_blood.1.",4.68475026809149,0.0131436586283491,2.16405956896925,1.7990855,2.925415,4.1674,6.1291625,9.463684,27045,0.999981154662091,1,2.0035605,4.1674,8.9932095,0.0119250000000001,0.0106299999999999,0.0171300000000003,0.02902,0.0174700000000003,0.00929407009266516,24184,21463
"GSD_error_C2_cell.1.",3.09363786120485,0.0135539686953248,2.1661046579886,1.13735675,1.492195,2.207745,3.96785,8.9768235,25533,1.00007363019447,1,1.1748205,2.207745,8.112724,0.00136499999999995,0.00398499999999991,0.0136849999999999,0.0296450000000001,0.0335449999999993,0.00958421244308139,26372,29762
"GSD_error_C2_lumen.1.",5.13869078271466,0.01407138962495,2.19080976842135,2.04769075,3.30625,4.728505,6.762365,9.6075195,24040,1.00010127466308,1,2.241714,4.728505,9.2466665,0.00894499999999998,0.013965,0.0195050000000001,0.024775,0.0140200000000004,0.0099500947840199,24039,30295
"LnPrior",-35.3725984692538,0.029070950102749,1.58372047097015,-38.76653125,-36.3666325,-35.26137,-34.2582425,-32.606315,2973,1.00196061316042,1,-38.1049375,-35.26137,-32.975762,0.0827549999999988,0.0335600000000014,0.0283850000000001,0.0238450000000014,0.0193599999999989,0.0207361463055174,3170,4672
"LnData",-32.4078236626672,0.0138652309036543,1.75850501497612,-36.073619,-33.47174,-32.3546,-31.2936,-29.07475725,16020,1.00048373447041,1,-35.37293,-32.3546,-29.685223,0.0366999999999997,0.0158699999999996,0.0132200000000005,0.0166899999999988,0.0417100000000001,0.00980437661963413,15939,16932
"LnPosterior",-67.7804221244219,0.0356901462842099,2.85305607066798,-73.520939,-69.6797175,-67.729525,-65.811245,-62.3780045,6386,1.00117405346074,1,-72.5894675,-67.729525,-63.2659375,0.0726649999999935,0.0352800000000002,0.0351100000000031,0.0347099999999969,0.0417200000000015,0.0252567716915284,6405,14096
