Compound,Che.type,Cell.type,Addition.Type,Time,Compartment_new,Compartment,% Recovery,Volume (uL),Used Volume (uL),Input Amount (pmol),Input.Amount.umol,Estimated amount (pmol),Estimated.Concentration.uM
4:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,85.18590998,75,75,375,0.000375,319.4471624,4.259295499
4:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,85.09808175,75,75,375,0.000375,319.1178066,4.254904087
4:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,103.418697,75,75,375,0.000375,387.8201136,5.170934848
4:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,85.14190334,75,75,375,0.000375,319.2821375,4.257095167
4:2 FTS,PFAS,OAT1,AtoB,24,Blood,Bottom,11.00578156,235,235,375,0.000375,41.27168084,0.175624174
4:2 FTS,PFAS,OAT1,AtoB,24,Blood,Bottom,10.71834907,235,235,375,0.000375,40.193809,0.171037485
4:2 FTS,PFAS,OAT1,AtoB,24,Blood,Bottom,10.94968605,235,235,375,0.000375,41.06132269,0.174729033
4:2 FTS,PFAS,OAT1,AtoB,24,Blood,Bottom,8.443152939,235,235,375,0.000375,31.66182352,0.134731164
4:2 FTS,PFAS,OAT1,AtoB,24,Cell,Lysate,0.009790946,30,0.025307623,375,0.000375,0.036716048,1.450790056
4:2 FTS,PFAS,OAT1,AtoB,24,Cell,Lysate,0.009948479,30,0.025307623,375,0.000375,0.037306796,1.474132746
4:2 FTS,PFAS,OAT1,AtoB,24,Cell,Lysate,0.008207014,30,0.025307623,375,0.000375,0.030776303,1.216088248
4:2 FTS,PFAS,OAT1,AtoB,24,Cell,Lysate,0.01049192,30,0.025307623,375,0.000375,0.039344701,1.554658099
4:2 FTS,PFAS,OAT1,BtoA,24,Blood,Bottom,100.0791715,235,235,1175,0.001175,1175.930265,5.003958573
4:2 FTS,PFAS,OAT1,BtoA,24,Blood,Bottom,106.7215104,235,235,1175,0.001175,1253.977747,5.33607552
4:2 FTS,PFAS,OAT1,BtoA,24,Blood,Bottom,74.82883222,235,235,1175,0.001175,879.2387786,3.741441611
4:2 FTS,PFAS,OAT1,BtoA,24,Blood,Bottom,74.57295632,235,235,1175,0.001175,876.2322367,3.728647816
4:2 FTS,PFAS,OAT1,BtoA,24,Lumen,Top,10.91763434,75,75,1175,0.001175,128.2822035,1.71042938
4:2 FTS,PFAS,OAT1,BtoA,24,Lumen,Top,10.88349086,75,75,1175,0.001175,127.8810176,1.705080234
4:2 FTS,PFAS,OAT1,BtoA,24,Lumen,Top,12.37941705,75,75,1175,0.001175,145.4581503,1.939442004
4:2 FTS,PFAS,OAT1,BtoA,24,Lumen,Top,9.434155647,75,75,1175,0.001175,110.8513288,1.478017718
4:2 FTS,PFAS,OAT1,BtoA,24,Cell,Lysate,0.025261017,30,0.025307623,1175,0.001175,0.296816955,11.72836156
4:2 FTS,PFAS,OAT1,BtoA,24,Cell,Lysate,0.033997467,30,0.025307623,1175,0.001175,0.399470238,15.78458135
4:2 FTS,PFAS,OAT1,BtoA,24,Cell,Lysate,0.079370391,30,0.025307623,1175,0.001175,0.932602093,36.85063923
4:2 FTS,PFAS,OAT1,BtoA,24,Cell,Lysate,0.044202843,30,0.025307623,1175,0.001175,0.519383407,20.52280465
6:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,69.71210231,75,75,375,0.000375,261.4203837,3.485605116
6:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,66.01628047,75,75,375,0.000375,247.5610517,3.300814023
6:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,76.14991159,75,75,375,0.000375,285.5621685,3.80749558
6:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,71.67152114,75,75,375,0.000375,268.7682043,3.583576057
6:2 FTS,PFAS,OAT1,AtoB,24,Blood,Bottom,29.45305549,235,235,375,0.000375,110.4489581,0.469995566
6:2 FTS,PFAS,OAT1,AtoB,24,Blood,Bottom,25.74853912,235,235,375,0.000375,96.55702171,0.410880943
6:2 FTS,PFAS,OAT1,AtoB,24,Blood,Bottom,33.9264913,235,235,375,0.000375,127.2243424,0.54138018
6:2 FTS,PFAS,OAT1,AtoB,24,Blood,Bottom,26.65724618,235,235,375,0.000375,99.96467316,0.425381588
6:2 FTS,PFAS,OAT1,AtoB,24,Cell,Lysate,0.225955129,30,0.025307623,375,0.000375,0.847331735,33.48128456
6:2 FTS,PFAS,OAT1,AtoB,24,Cell,Lysate,0.254359724,30,0.025307623,375,0.000375,0.953848965,37.69018357
6:2 FTS,PFAS,OAT1,AtoB,24,Cell,Lysate,0.085240738,30,0.025307623,375,0.000375,0.319652766,12.63069088
6:2 FTS,PFAS,OAT1,AtoB,24,Cell,Lysate,0.099296809,30,0.025307623,375,0.000375,0.372363035,14.71347317
6:2 FTS,PFAS,OAT1,BtoA,24,Blood,Bottom,91.22764454,235,235,1175,0.001175,1071.924823,4.561382227
6:2 FTS,PFAS,OAT1,BtoA,24,Blood,Bottom,91.93492744,235,235,1175,0.001175,1080.235397,4.596746372
6:2 FTS,PFAS,OAT1,BtoA,24,Blood,Bottom,86.81404376,235,235,1175,0.001175,1020.065014,4.340702188
6:2 FTS,PFAS,OAT1,BtoA,24,Blood,Bottom,87.91748169,235,235,1175,0.001175,1033.03041,4.395874084
6:2 FTS,PFAS,OAT1,BtoA,24,Lumen,Top,9.035354498,75,75,1175,0.001175,106.1654154,1.415538871
6:2 FTS,PFAS,OAT1,BtoA,24,Lumen,Top,11.54274899,75,75,1175,0.001175,135.6273006,1.808364008
6:2 FTS,PFAS,OAT1,BtoA,24,Lumen,Top,10.00307346,75,75,1175,0.001175,117.5361132,1.567148176
6:2 FTS,PFAS,OAT1,BtoA,24,Lumen,Top,10.76251834,75,75,1175,0.001175,126.4595905,1.686127874
6:2 FTS,PFAS,OAT1,BtoA,24,Cell,Lysate,0.169270956,30,0.025307623,1175,0.001175,1.988933729,78.5903011
6:2 FTS,PFAS,OAT1,BtoA,24,Cell,Lysate,0.224912978,30,0.025307623,1175,0.001175,2.642727489,104.4241676
6:2 FTS,PFAS,OAT1,BtoA,24,Cell,Lysate,0.19207841,30,0.025307623,1175,0.001175,2.256921321,89.17950536
6:2 FTS,PFAS,OAT1,BtoA,24,Cell,Lysate,0.175944934,30,0.025307623,1175,0.001175,2.06735298,81.68894258
8:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,1.149859187,75,75,375,0.000375,4.311971952,0.057492959
8:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,1.350937542,75,75,375,0.000375,5.066015781,0.067546877
8:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,1.584826384,75,75,375,0.000375,5.943098939,0.079241319
8:2 FTS,PFAS,OAT1,AtoB,24,Lumen,Top,1.470880051,75,75,375,0.000375,5.515800192,0.073544003
