"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-1.24876504904859,0.17358754980188,4.75427783731555,-7.9209915,-4.6902375,-2.469695,1.4702575,10.3222375,738,1.00213002808054,1,-7.067031,-2.469695,7.9695545,0.109634999999999,0.07233,0.168735,0.283685,0.572805000000001,0.122792691615498,837,1157
"p_2.1.",0.463770685102081,0.17600784670575,4.82371618278843,-5.6159735,-3.2877825,-0.7075225,3.3215775,12.1148225,739,1.00214116237111,1,-5.201535,-0.7075225,9.8340665,0.0478400000000003,0.0851499999999998,0.1838525,0.28136,0.5509,0.124504702575854,839,1177
"p_3.1.",-5.59473029627484,0.0696041162583505,1.72134642405975,-7.015831,-6.1345575,-5.9505,-5.6506375,-0.484768900000003,610,1.00170150212708,1,-6.7025225,-5.9505,-3.473819,0.0169800000000002,0.00308000000000019,0.00404500000000008,0.0157949999999998,1.054939,0.0492410331532073,2413,814
"p_4.1.",-6.86421328906262,0.0750880607852738,2.1225853478402,-9.7928915,-7.93756,-7.11559,-6.2596425,-1.35041825000001,797,1.00153260236287,1,-9.2941635,-7.11559,-3.780052,0.0267200000000001,0.0123549999999999,0.0174399999999997,0.02888,0.8593645,0.0531146690476558,2280,834
"GSD_error_C1_blood.1.",2.23271551524809,0.0118366503852653,1.68616179686411,1.10844,1.22448,1.5141,2.4322,7.69722925,20160,1.000341817209,1,1.11801,1.5141,6.22349349999999,0.000384999999999969,0.00197000000000003,0.00649500000000003,0.0191250000000001,0.0630299999999999,0.00836989597073061,19715,23892
"GSD_error_C1_cell.1.",3.69841402324709,0.0184545931737049,2.38027535188448,1.1516715,1.7398975,2.87825,5.1579225,9.31417,16571,1.00011415634688,1,1.2063325,2.87825,8.700718,0.00176500000000002,0.00972000000000006,0.023725,0.0424549999999999,0.0276399999999999,0.0130495967022101,18560,27024
"GSD_error_C1_lumen.1.",1.52777776090489,0.0109105058586154,0.992294547826797,1.10289,1.1364075,1.209465,1.431885,4.6728035,8265,1.00007049163655,1,1.10593,1.209465,3.087092,0.000105000000000022,0.000545000000000018,0.00141000000000002,0.00490499999999994,0.169845,0.00799777046185785,17079,11075
"GSD_error_C2_blood.1.",1.55841779777528,0.0116947343967425,1.02465566182348,1.10325,1.14053,1.22097,1.4644075,4.80308725,7670,1.00032600323411,1,1.10675,1.22097,3.261605,0.000129999999999963,0.000554999999999972,0.00157499999999999,0.00649500000000003,0.138075,0.00851616932034591,16132,9730
"GSD_error_C2_cell.1.",3.71848926290464,0.0188806595375749,2.38149116106384,1.15254225,1.756765,2.91932,5.175805,9.35742575,15777,0.999968236605867,1,1.2070915,2.91932,8.6882465,0.001915,0.00805,0.02068,0.0402450000000001,0.0196149999999999,0.0133508870314747,17587,29806
"GSD_error_C2_lumen.1.",4.44359243344582,0.0128414464032889,2.20787799883697,1.71121525,2.6320875,3.837175,5.889215,9.4217985,29545,1.00002180807964,1,1.846355,3.837175,8.902684,0.00649,0.00990500000000005,0.0158449999999999,0.03349,0.0156999999999998,0.00908036364341993,29796,31059
"LnPrior",-31.9921835939258,0.0267246686178823,1.45960219225386,-35.12010375,-32.9136475,-31.897685,-30.94607,-29.45885125,2941,1.00114667188375,1,-34.521238,-31.897685,-29.791139,0.0804900000000011,0.0337350000000001,0.0207899999999999,0.0173049999999986,0.0143399999999989,0.0191845058342638,3321,3920
"LnData",-6.31362412769732,0.0314951238082956,3.2584289538532,-13.11783475,-8.4619275,-6.157236,-3.96341375,-0.471982225000001,10666,1.00014461507263,1,-11.9882595,-6.157236,-1.2681237,0.0902949999999993,0.0378724999999998,0.0324619999999998,0.0310985000000001,0.037336,0.0226804937419128,11077,21683
"LnPosterior",-38.3058077112236,0.0461404769249899,4.32827503318417,-47.36093125,-41.1417425,-38.087665,-35.22782,-30.52471225,8771,1.00033564614962,1,-45.8076065,-38.087665,-31.5898845,0.0849699999999984,0.0589200000000005,0.0469500000000025,0.03932,0.0543050000000012,0.0330336801757527,9013,15321
