"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-5.34067,-3.04748,-6.11274,-6.91693,1.40903,2.60445,2.34571,1.10236,3.40484,3.92775,-31.47724,-6.521701,-37.99894
60060,-5.96652,-3.93733,-6.91806,-6.91469,3.58529,1.15482,1.10494,1.13601,1.34987,1.67276,-29.06515,-3.186427,-32.25157
60090,-4.9214,-4.17756,-5.03058,-5.07195,2.16778,2.52914,1.30106,1.10424,2.1585,4.21102,-30.90599,-6.05397,-36.95996
60120,-6.36751,-3.46979,-5.91172,-7.96387,1.41718,2.40485,1.21734,1.14683,2.8102,6.46702,-31.07939,-5.964387,-37.04378
60150,-5.91731,-2.89926,-5.70139,-7.95753,1.33273,6.83275,1.32258,1.35271,5.86333,4.03505,-32.59429,-7.224326,-39.81861
60180,-6.74008,-4.72923,-5.97387,-6.96568,5.6714,2.18845,1.16603,1.45631,2.61295,2.00506,-31.29155,-8.682333,-39.97388
60210,-5.00935,-4.91394,-4.93819,-4.26135,1.12293,5.95235,1.30475,1.11215,8.12871,3.98959,-32.3867,-2.962702,-35.34941
60240,-5.65227,-6.65189,-4.73828,-4.62482,1.10756,4.84319,1.11142,1.7269,5.9772,5.22781,-32.3832,-5.964509,-38.34771
60270,-5.30868,-4.99993,-4.91597,-4.62482,1.11233,4.45979,1.11934,1.12963,3.47118,2.77141,-30.72399,-1.064937,-31.78893
60300,-3.88148,-4.81177,-5.20173,-4.53096,1.63679,6.34459,1.1468,1.1569,9.08779,3.34365,-32.68641,-5.913083,-38.59949
60330,-5.97076,-4.22946,-4.94244,-4.6411,2.35308,3.26988,1.24465,1.54052,5.20997,8.23832,-33.08109,-9.521443,-42.60253
60360,-4.07119,-3.86647,-5.32145,-7.19003,1.45868,1.53401,1.13363,1.12153,1.83527,4.87648,-29.87813,-7.354793,-37.23292
60390,-6.2782,-3.49396,-4.94927,-5.42849,1.95544,2.41388,1.10151,1.78734,2.3939,4.5224,-31.24535,-8.166624,-39.41197
60420,-5.02006,-3.71271,-5.72625,-7.88823,2.49453,3.2873,1.10086,1.17984,1.4661,8.04144,-31.45964,-4.366881,-35.82652
60450,-4.1466,-2.56924,-6.0903,-8.16453,1.30475,2.56899,2.54716,1.13764,1.42775,3.79657,-30.63785,-5.02577,-35.66362
60480,-3.97739,-2.29128,-5.99851,-7.19202,1.11744,1.14888,1.23544,1.36392,6.52474,2.09493,-30.06889,-0.5813044,-30.6502
60510,-2.99931,-1.73306,-5.90864,-7.16881,1.13576,4.85974,1.25117,1.26033,1.29503,2.35087,-30.00566,-2.252948,-32.2586
60540,-4.63757,-4.21273,-5.96419,-6.42291,1.47483,2.92043,1.11778,1.6851,4.19427,3.82607,-31.48603,-5.507511,-36.99354
60570,-3.40567,-2.08554,-5.98127,-6.94718,1.20562,3.95813,1.10916,1.13208,2.04346,2.91574,-30.27838,-0.03392543,-30.3123
60600,-3.75821,-2.75923,-6.24343,-7.21971,1.66853,1.88146,1.40355,1.78268,2.5769,5.44313,-31.37237,-8.396836,-39.7692
60630,-3.90058,-2.40902,-6.36177,-6.02021,2.95944,6.09012,1.15868,1.21886,1.15934,2.75406,-31.07829,-5.628612,-36.70691
60660,-2.75743,-0.896134,-6.01699,-6.83684,1.1599,5.27726,1.14291,1.20275,1.58975,7.72849,-31.40868,-1.623534,-33.03221
60690,-2.94087,-1.28558,-6.57508,-7.45989,1.76168,3.54835,1.10575,1.42166,1.89992,2.08897,-30.40969,-4.978058,-35.38775
60720,-5.36101,-3.78222,-5.91487,-7.13736,1.12666,2.09995,1.10863,1.14838,3.46252,1.67958,-29.47893,-0.0456546,-29.52458
60750,-4.46183,-3.17193,-5.91487,-7.48175,1.11375,5.21419,2.26455,1.98172,1.30248,5.53171,-31.88135,-7.043176,-38.92453
60780,-2.98258,-2.41599,-4.14919,-7.75797,3.6133,8.58086,1.76527,1.1277,5.16686,2.95362,-33.57954,-13.95246,-47.532
60810,-3.4002,-1.2006,-6.1198,-7.95297,6.38803,1.27112,1.17252,1.22765,1.49252,2.36387,-30.46103,-5.507132,-35.96817
60840,-4.02658,-1.59381,-5.8344,-7.87579,1.62525,1.98772,1.12404,5.01157,2.50952,2.59401,-31.48629,-7.659188,-39.14548
60870,-3.92204,-2.52848,-6.21429,-6.9424,1.72081,1.48026,1.14515,7.70667,2.09448,1.76148,-31.09183,-7.692104,-38.78394
60900,-2.93934,-1.8513,-5.9433,-7.40583,2.13358,3.6943,4.76574,1.32896,2.07445,2.14126,-32.12777,-10.6808,-42.80858
60930,-2.41389,-0.87312,-5.99742,-9.50102,1.83195,7.96653,1.10193,1.11993,1.66983,8.04215,-32.29637,-4.588725,-36.88509
60960,-7.43718,-5.26766,-7.23658,-7.29338,2.98339,4.80435,1.23529,1.11993,1.86868,1.98573,-30.87649,-8.139406,-39.0159
60990,-4.85667,-4.29191,-5.85953,-6.88506,1.15691,6.257,1.20029,1.27324,1.68683,2.89584,-30.60148,-4.419557,-35.02104
61020,-6.35342,-3.37266,-6.19707,-8.65723,1.62975,5.07087,1.99171,1.21314,3.22336,2.64228,-31.76391,-8.554508,-40.31842
61050,-5.14446,-2.67801,-6.85588,-8.48291,1.64381,2.47195,1.29409,1.31154,3.72225,1.91946,-30.55194,-8.756498,-39.30844
61080,-2.81576,-0.46316,-6.23696,-7.0681,1.50146,1.15827,1.10519,1.11282,1.4979,3.40996,-29.17862,-1.000882,-30.1795
61110,-3.42834,-1.87233,-5.85416,-6.58771,2.90923,1.34085,1.12267,1.22799,1.1664,3.7981,-29.88253,-2.014376,-31.8969
61140,-4.49732,-2.68144,-6.31271,-9.67899,1.28467,4.14152,1.318,3.19355,7.35807,4.53455,-33.30188,-11.55043,-44.85231
61170,-1.48356,-1.10368,-6.10844,-6.98165,1.14594,6.69857,1.14168,1.12216,2.57827,5.77455,-31.79289,-2.657236,-34.45013
61200,-0.983159,0.768381,-6.79808,-6.84621,4.48382,2.54875,1.15165,1.18564,2.62045,2.41587,-31.51365,-6.456571,-37.97022
61230,1.15467,1.83441,-5.97553,-5.33297,1.12959,3.13488,1.22376,1.34263,7.76932,4.47445,-32.42165,-4.777166,-37.19881
61260,-0.221662,1.54569,-6.30535,-6.14316,1.37936,7.77912,1.16234,1.12491,3.43657,2.93354,-31.95961,-4.842216,-36.80182
61290,3.21039,4.63833,-5.88802,-8.21839,1.8392,2.66558,1.26454,1.12989,1.54677,8.04613,-31.93336,-4.736423,-36.66978
61320,2.8137,4.86604,-5.80625,-8.01528,1.25398,1.12399,1.15249,2.41324,6.33459,6.38576,-32.52077,-5.419755,-37.94052
61350,5.12038,7.17471,-5.60951,-8.70024,1.54493,1.4331,1.10186,1.10575,3.84222,3.38414,-31.43576,-3.089194,-34.52496
61380,5.03601,6.61375,-5.89217,-8.63598,1.57035,2.17835,1.20494,1.10575,2.00137,6.63016,-31.91119,-3.859243,-35.77043
61410,8.68113,9.83161,-6.10723,-6.96469,1.12015,3.33115,1.11705,1.28027,2.53512,3.54789,-32.41321,-1.46158,-33.87479
61440,9.27726,11.1197,-6.07306,-7.96512,1.15996,6.55266,1.11982,1.34015,2.21059,3.63901,-33.30605,-2.175744,-35.48179
61470,11.9188,13.5176,-5.82616,-6.39136,1.22456,4.80643,1.14583,1.24878,1.1896,3.82033,-33.12694,-1.954999,-35.08194
61500,13.048,14.7242,-5.80598,-7.78739,1.54916,1.99616,1.29976,1.2835,2.10076,3.31285,-33.42166,-4.828161,-38.24982
61530,13.2666,14.8111,-5.0621,-7.3575,2.84822,1.32357,1.47434,1.14433,1.33141,3.92697,-33.39844,-5.368794,-38.76724
61560,13.6236,14.7445,-5.99734,-8.47397,1.27115,3.89659,1.12624,1.12265,1.3183,4.4922,-33.55024,-2.647459,-36.1977
61590,14.8276,16.8983,-5.89193,-6.65019,3.44269,2.00802,1.378,1.21486,2.04457,5.49722,-35.35812,-7.234613,-42.59273
61620,15.9752,18.756,-6.45947,-8.36287,7.34896,7.91633,1.24723,1.14987,3.71805,3.61251,-38.0561,-8.098393,-46.1545
61650,15.3601,17.9488,-6.17432,-8.42449,1.19218,4.98979,1.11244,1.16971,4.74855,1.817,-34.97932,-2.193922,-37.17324
61680,14.8616,16.1952,-6.05285,-5.59094,1.18288,3.06604,1.12321,1.32305,9.77687,4.90386,-35.93085,-4.160135,-40.09098
61710,12.8472,14.34,-5.17856,-5.08959,1.99765,1.4639,1.12203,1.74743,3.63698,7.59174,-34.82944,-8.354587,-43.18402
61740,13.2978,14.8253,-6.2407,-6.11325,1.83401,5.54805,1.65648,1.15392,2.03212,2.71335,-34.56687,-7.075698,-41.64256
61770,12.3664,14.2127,-5.79524,-7.32495,1.23686,1.25569,1.1011,1.19294,1.31736,2.03583,-31.35485,0.01240167,-31.34245
61800,9.96642,13.8492,-7.80899,-8.55977,2.35071,2.35965,1.11672,1.45007,4.02957,3.40033,-34.09145,-12.05329,-46.14474
61830,12.964,14.3862,-6.10914,-6.9677,2.03467,7.18641,1.84199,1.45121,3.32485,2.27537,-35.45775,-9.040297,-44.49805
61860,12.9459,14.0052,-6.05367,-6.20144,1.69625,3.05081,1.11623,1.22767,8.84708,5.85411,-35.6134,-5.177355,-40.79075
61890,12.6088,14.8746,-5.80841,-8.04598,1.97246,3.80437,1.96501,1.17108,2.07251,4.99126,-34.98736,-7.905255,-42.89261
61920,11.8918,13.6999,-5.76288,-7.55951,3.44349,1.47655,1.88372,1.13492,2.29422,4.17487,-34.15314,-6.771271,-40.92441
61950,11.085,12.9223,-5.91806,-6.56383,1.12145,8.1499,2.24529,1.14532,1.46217,4.68619,-34.35636,-4.738745,-39.0951
61980,11.8397,14.1333,-5.91806,-7.42795,1.13026,1.40146,1.12008,1.34476,7.01936,3.67649,-33.68675,-1.925067,-35.61181
62010,10.9788,12.8715,-6.0141,-7.39924,1.10716,1.22921,1.17871,1.19523,2.2149,2.7416,-31.70716,0.489041,-31.21812
62040,9.9411,12.7695,-6.21915,-9.01228,1.57347,3.30424,1.27628,1.17869,2.44812,3.26938,-33.25268,-5.715452,-38.96813
62070,10.0545,11.0074,-5.85505,-5.60018,1.97717,3.43621,1.18091,1.35862,5.3474,3.75907,-34.26219,-7.133152,-41.39535
62100,5.82796,7.24759,-5.57194,-8.78115,5.34128,1.22043,1.47498,1.36028,7.90378,3.49725,-33.84394,-11.20199,-45.04593
62130,6.18339,8.8346,-6.59231,-10.6415,3.58366,4.7046,1.16207,2.31429,8.92319,9.56764,-36.4615,-11.9335,-48.395
62160,6.0601,7.45532,-6.0949,-6.24146,1.37471,2.4066,1.2346,2.58633,1.39723,2.81751,-31.71046,-6.295634,-38.0061
62190,7.36159,7.64954,-6.0949,-6.94453,1.10515,4.55274,1.11114,1.10531,2.30104,4.86617,-32.3728,-1.760383,-34.13318
62220,7.168,10.2192,-6.0949,-8.08293,2.75993,2.37096,1.70546,1.10064,5.82923,6.67117,-34.59645,-8.052724,-42.64918
