"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.220373,0.022488685,0.70064605,1,"Blood","AtoB"
0.283466,0.04797439,0.73647025,2,"Blood","AtoB"
0.3155525,0.06701639,0.76002435,3,"Blood","AtoB"
0.3357995,0.080767595,0.7785087,4,"Blood","AtoB"
0.3481165,0.09082346,0.7939699,5,"Blood","AtoB"
0.3562285,0.097943855,0.80783915,6,"Blood","AtoB"
0.362841,0.10314535,0.81794785,7,"Blood","AtoB"
0.367509,0.107008,0.82517085,8,"Blood","AtoB"
0.3708585,0.1096265,0.8312861,9,"Blood","AtoB"
0.373292,0.11185415,0.83584825,10,"Blood","AtoB"
0.3748625,0.114102,0.83937495,11,"Blood","AtoB"
0.3765845,0.11545825,0.84237825,12,"Blood","AtoB"
0.378005,0.11633635,0.84440245,13,"Blood","AtoB"
0.37901,0.1172126,0.8475332,14,"Blood","AtoB"
0.379943,0.1181412,0.85065275,15,"Blood","AtoB"
0.380354,0.1185208,0.85204905,16,"Blood","AtoB"
0.3809975,0.1188674,0.85290425,17,"Blood","AtoB"
0.381367,0.1193287,0.85431205,18,"Blood","AtoB"
0.381624,0.1200767,0.85598505,19,"Blood","AtoB"
0.381911,0.1204201,0.85662655,20,"Blood","AtoB"
0.3821505,0.1207339,0.857759,21,"Blood","AtoB"
0.382407,0.12093655,0.85831265,22,"Blood","AtoB"
0.3826945,0.12099705,0.8586178,23,"Blood","AtoB"
0.3829975,0.1212702,0.85896955,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
9042.365,2048.364,13222.11,1,"Cell","AtoB"
9346.16,3436.4265,13018.24,2,"Cell","AtoB"
9563.285,4332.0595,12914.61,3,"Cell","AtoB"
9734.435,4858.658,12850.105,4,"Cell","AtoB"
9883.295,5171.4705,12816.61,5,"Cell","AtoB"
9983.57,5333.335,12802.1,6,"Cell","AtoB"
10065.6,5437.393,12798.215,7,"Cell","AtoB"
10120.9,5517.858,12803.11,8,"Cell","AtoB"
10165.2,5572.287,12813.105,9,"Cell","AtoB"
10199.35,5599.3245,12826.82,10,"Cell","AtoB"
10232.6,5623.73,12832.115,11,"Cell","AtoB"
10250.15,5628.174,12841.23,12,"Cell","AtoB"
10261.85,5635.947,12847.11,13,"Cell","AtoB"
10272.15,5643.5765,12855.505,14,"Cell","AtoB"
10281.85,5650.8595,12861.105,15,"Cell","AtoB"
10285.85,5651.11,12870.41,16,"Cell","AtoB"
10291.35,5651.2075,12878.3,17,"Cell","AtoB"
10295.6,5651.1465,12883.735,18,"Cell","AtoB"
10298.15,5651.1465,12886.335,19,"Cell","AtoB"
10299.7,5649.0035,12888.81,20,"Cell","AtoB"
10300.75,5645.0805,12889.61,21,"Cell","AtoB"
10302.55,5644.2605,12890.125,22,"Cell","AtoB"
10302.75,5643.292,12893.06,23,"Cell","AtoB"
10304.3,5639.132,12894.705,24,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
0.5771285,0.1154243,3.97806,1,"Lumen","AtoB"
0.4948695,0.11023675,3.1736135,2,"Lumen","AtoB"
0.4520245,0.10684795,2.5435565,3,"Lumen","AtoB"
0.419973,0.10456685,2.0659855,4,"Lumen","AtoB"
0.392585,0.10183595,1.7038,5,"Lumen","AtoB"
0.370879,0.09937058,1.4357835,6,"Lumen","AtoB"
0.352299,0.096543575,1.2544975,7,"Lumen","AtoB"
0.3360145,0.093621945,1.1365405,8,"Lumen","AtoB"
0.3211785,0.090677675,1.0515425,9,"Lumen","AtoB"
0.3076585,0.087727255,0.9987203,10,"Lumen","AtoB"
0.295551,0.0853808,0.96379375,11,"Lumen","AtoB"
0.285724,0.08315631,0.9394401,12,"Lumen","AtoB"
0.2771745,0.080583295,0.919932049999999,13,"Lumen","AtoB"
0.270254,0.07834607,0.9064887,14,"Lumen","AtoB"
0.265792,0.076445575,0.89124085,15,"Lumen","AtoB"
0.261799,0.07456939,0.8847013,16,"Lumen","AtoB"
0.2594315,0.072710675,0.8771875,17,"Lumen","AtoB"
0.257326,0.071086285,0.87322625,18,"Lumen","AtoB"
0.2556825,0.069621695,0.87017615,19,"Lumen","AtoB"
0.2543315,0.068253865,0.86511565,20,"Lumen","AtoB"
0.2533415,0.065935445,0.86215215,21,"Lumen","AtoB"
0.2525085,0.06461833,0.8602633,22,"Lumen","AtoB"
0.251997,0.063087005,0.8584112,23,"Lumen","AtoB"
0.251347,0.06174471,0.8576365,24,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
1.60163,0.5303099,4.2750425,1,"Blood","BtoA"
1.489295,0.5115899,3.7420125,2,"Blood","BtoA"
1.428785,0.5028479,3.390813,3,"Blood","BtoA"
1.387125,0.49517885,3.174838,4,"Blood","BtoA"
1.35417,0.487481,3.0252965,5,"Blood","BtoA"
1.327425,0.48052735,2.931511,6,"Blood","BtoA"
1.307785,0.4746763,2.8684435,7,"Blood","BtoA"
1.291685,0.4690029,2.826085,8,"Blood","BtoA"
1.278405,0.46259665,2.8022645,9,"Blood","BtoA"
1.26588,0.4559,2.786689,10,"Blood","BtoA"
1.256105,0.45070985,2.7709515,11,"Blood","BtoA"
1.24678,0.44610245,2.7616715,12,"Blood","BtoA"
1.23992,0.4417018,2.7520045,13,"Blood","BtoA"
1.233785,0.43786865,2.7450885,14,"Blood","BtoA"
1.229035,0.43340555,2.7408155,15,"Blood","BtoA"
1.22542,0.43029675,2.736652,16,"Blood","BtoA"
1.223395,0.42676765,2.73232,17,"Blood","BtoA"
1.22099,0.42341365,2.7296745,18,"Blood","BtoA"
1.218605,0.4203303,2.728394,19,"Blood","BtoA"
1.21635,0.4176662,2.7220465,20,"Blood","BtoA"
1.21442,0.41545405,2.718254,21,"Blood","BtoA"
1.213365,0.4118865,2.7167635,22,"Blood","BtoA"
1.212545,0.40970495,2.7152155,23,"Blood","BtoA"
1.21208,0.40732965,2.7149105,24,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
29077.75,6024.814,39645.785,1,"Cell","BtoA"
29937.15,10125.765,39627.71,2,"Cell","BtoA"
30482.1,12823.635,39656.555,3,"Cell","BtoA"
30863.75,14478.225,39686.585,4,"Cell","BtoA"
31107.6,15489.875,39717.205,5,"Cell","BtoA"
31299.7,16134.78,39779.92,6,"Cell","BtoA"
31443.65,16489.835,39820.23,7,"Cell","BtoA"
31590.75,16708.29,39866.475,8,"Cell","BtoA"
31702.05,16959.36,39910.94,9,"Cell","BtoA"
31793.25,17062.375,39961.905,10,"Cell","BtoA"
31866.45,17191.12,39992.92,11,"Cell","BtoA"
31933.55,17259.15,40025.535,12,"Cell","BtoA"
32007.4,17346.54,40063.015,13,"Cell","BtoA"
32060.3,17400.625,40092.435,14,"Cell","BtoA"
32091.4,17427.36,40115.7,15,"Cell","BtoA"
32123.2,17485.72,40146.415,16,"Cell","BtoA"
32148.4,17515.455,40168.47,17,"Cell","BtoA"
32168.35,17521.245,40187.29,18,"Cell","BtoA"
32189.6,17544.49,40209.64,19,"Cell","BtoA"
32206.65,17564.46,40220.825,20,"Cell","BtoA"
32220.25,17578.275,40237.91,21,"Cell","BtoA"
32229.6,17585.09,40244.035,22,"Cell","BtoA"
32237.8,17585.865,40250.43,23,"Cell","BtoA"
32244.3,17590.28,40276.065,24,"Cell","BtoA"
1e-15,1e-15,1e-15,0,"Lumen","BtoA"
0.45534,0.033138985,2.097768,1,"Lumen","BtoA"
0.5751215,0.067302825,2.24072,2,"Lumen","BtoA"
0.6414255,0.09408485,2.3262935,3,"Lumen","BtoA"
0.678428,0.1134399,2.38856,4,"Lumen","BtoA"
0.7035165,0.1274755,2.4269055,5,"Lumen","BtoA"
0.720034,0.13804675,2.4571785,6,"Lumen","BtoA"
0.7316525,0.14497925,2.485781,7,"Lumen","BtoA"
0.740727,0.15075835,2.503234,8,"Lumen","BtoA"
0.7468835,0.1551731,2.5231005,9,"Lumen","BtoA"
0.751317,0.1585874,2.541134,10,"Lumen","BtoA"
0.7552025,0.16134045,2.556659,11,"Lumen","BtoA"
0.7582055,0.1631,2.5672655,12,"Lumen","BtoA"
0.7609075,0.1645307,2.574085,13,"Lumen","BtoA"
0.763323,0.1657956,2.579141,14,"Lumen","BtoA"
0.764802,0.1668095,2.5902255,15,"Lumen","BtoA"
0.7660915,0.16765315,2.5934175,16,"Lumen","BtoA"
0.7677305,0.16805695,2.5987375,17,"Lumen","BtoA"
0.768876,0.16851015,2.605062,18,"Lumen","BtoA"
0.769744,0.16890525,2.6075955,19,"Lumen","BtoA"
0.7700975,0.16923655,2.611128,20,"Lumen","BtoA"
0.770449,0.16945295,2.6123355,21,"Lumen","BtoA"
0.7710825,0.1695808,2.614756,22,"Lumen","BtoA"
0.771316,0.1696894,2.6172685,23,"Lumen","BtoA"
0.771957,0.16981325,2.618652,24,"Lumen","BtoA"
