"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-5.07658957873816,0.189773343810898,3.29794265491532,-8.370321,-6.7733725,-6.06044,-5.001935,4.895282,302,1.01419483956893,1,-7.8963225,-6.06044,2.5154225,0.0313300000000005,0.0309550000000001,0.0405600000000002,0.172975,0.81825,0.13431982789274,491,454
"p_2.1.",-3.22324943663592,0.192419325755299,3.27543703982579,-5.56081525,-4.8002025,-4.51528,-3.5658175,6.84587425,289,1.01496270906116,1,-5.272436,-4.51528,4.5793545,0.0157600000000002,0.00953999999999988,0.0310799999999998,0.20043,0.796225,0.136198200937245,448,456
"p_3.1.",-1.01175755502053,0.298000041195001,4.71997740616014,-5.632097,-4.7964425,-2.80887,1.690495,10.56582,246,1.02833907682459,1,-5.428291,-2.80887,8.6299395,0.0221650000000002,0.086055,0.319235,0.588775,0.703469999999999,0.210963322263211,271,559
"p_4.1.",-2.368847457724,0.304189808898332,4.82571382774016,-8.39204225,-5.8316775,-3.957915,0.3861985,9.25542925,246,1.02607860311508,1,-7.87732,-3.957915,7.2565895,0.0528649999999997,0.11908,0.28643,0.603308,0.709345,0.21534444736335,277,558
"GSD_error_C1_blood.1.",2.17473289651294,0.0108916316180072,1.6267528717175,1.1090915,1.2240925,1.496295,2.322865,7.51533775,22280,1.00021185345073,1,1.11916,1.496295,6.05166749999999,0.000314999999999954,0.00189499999999998,0.00512500000000005,0.0192050000000001,0.0816700000000004,0.00770164747733677,22091,25717
"GSD_error_C1_cell.1.",3.87466791213598,0.0230162425877174,2.39889258570278,1.1594515,1.8577,3.139735,5.4393875,9.4010025,10956,1.00035093036448,1,1.2221845,3.139735,8.7802245,0.00217000000000001,0.01156,0.03155,0.04291,0.0180300000000004,0.0162753782214089,11106,26732
"GSD_error_C1_lumen.1.",1.55344838270216,0.0107996186274072,1.01901514386317,1.10309,1.140045,1.219795,1.4628375,4.73740674999999,8899,1.00003270990533,1,1.1063415,1.219795,3.233067,0.000145000000000062,0.000545000000000018,0.00138499999999997,0.00571499999999991,0.18589,0.00789318369410646,17412,11597
"GSD_error_C2_blood.1.",1.51419635014373,0.00947979571039787,0.963176938249001,1.10285,1.1354375,1.207325,1.42193,4.530769,10276,1.00024491840353,1,1.1056515,1.207325,3.042507,0.000109999999999943,0.000495000000000023,0.00140000000000007,0.00484499999999999,0.123095,0.00676259971176396,18487,12331
"GSD_error_C2_cell.1.",3.87328349987502,0.0211765782376863,2.40389638392177,1.157203,1.857305,3.14537,5.4279875,9.36755725,12809,1.00014955945492,1,1.2214115,3.14537,8.8023535,0.00173499999999993,0.011175,0.024845,0.0412650000000001,0.0218300000000005,0.0149744410045154,12782,26477
"GSD_error_C2_lumen.1.",2.23402387482815,0.011948897029147,1.70675729333547,1.10793225,1.2187075,1.502735,2.4215675,7.86439025,20401,1.0001538918973,1,1.1164515,1.502735,6.3351045,0.00032500000000002,0.00187999999999999,0.00619499999999995,0.02081,0.06901,0.00844926690391538,19495,24957
"LnPrior",-31.3083388432696,0.0372433574061284,1.45849320734804,-34.404339,-32.238235,-31.205885,-30.275255,-28.74872875,1526,1.00052556058667,1,-33.8446505,-31.205885,-29.0723735,0.104279999999999,0.0440550000000002,0.0342699999999994,0.0299050000000012,0.0181749999999994,0.0265917829949917,1635,2429
"LnData",-14.4800699810649,0.0322177569020895,3.7014480807668,-22.12464425,-16.9296225,-14.31856,-11.852815,-7.6816159,13164,1.00014068052491,1,-20.83858,-14.31856,-8.67051855,0.059825,0.0366600000000012,0.0332150000000002,0.0344300000000004,0.0479484999999999,0.0227818977057348,13233,21592
"LnPosterior",-45.7884088667042,0.0571376746804116,4.81873054621886,-55.7621675,-48.9464125,-45.55973,-42.344065,-37.042193,7105,1.00003962970521,1,-54.133945,-45.55973,-38.2885215,0.0817249999999987,0.0603400000000001,0.0521999999999991,0.0519599999999976,0.0753850000000007,0.040404094054682,7082,17878
