"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-7.31427,-4.8759,10.9454,8.69641,1.60798,9.15688,1.12318,1.18361,9.82049,1.20345,-34.14687,-11.61157,-45.75844
60060,-7.58986,-4.32289,10.8776,8.69897,1.16188,7.76495,1.91268,1.43644,2.08086,1.61638,-33.12824,-17.11868,-50.24692
60090,-8.88424,-5.62547,10.9943,7.86755,1.71031,4.65932,1.11216,1.67549,1.82909,1.85591,-32.53949,-18.17151,-50.71099
60120,-9.37271,-4.55868,11.8372,7.58873,1.35085,8.51615,1.78091,1.10819,8.74869,1.74126,-34.57393,-16.58818,-51.16211
60150,-6.98368,-4.26575,11.1627,8.69763,1.81176,6.9744,1.3873,1.10043,1.89397,1.62058,-32.82379,-16.71354,-49.53733
60180,-6.12457,-4.66844,9.29685,8.20613,1.39354,5.89415,1.30681,1.33646,8.52661,1.30382,-33.51132,-14.02526,-47.53657
60210,-4.97156,-4.75909,7.4377,7.79217,1.32941,4.80057,1.11574,1.13135,6.09439,1.21328,-32.27603,-9.680441,-41.95647
60240,-5.4636,-4.88297,7.81978,7.82107,2.6427,2.01917,1.11574,1.27244,5.83771,1.53748,-32.44524,-14.48736,-46.9326
60270,-5.82251,-5.12464,7.92643,7.55357,1.27554,9.35393,1.26928,1.12605,2.95207,3.31739,-33.31937,-15.11289,-48.43226
60300,-6.77981,-4.69296,8.09287,7.00051,1.53345,3.37483,1.79014,1.15677,1.79595,2.59395,-32.07354,-16.36447,-48.43801
60330,-5.55863,-4.70239,6.58193,6.43509,1.11897,6.8358,1.11165,1.25249,5.02255,2.8114,-32.96234,-13.45661,-46.41895
60360,-5.65522,-4.98569,6.81358,6.43509,1.18773,7.45227,1.11165,1.73271,4.88236,1.61694,-32.86985,-13.23523,-46.10508
60390,-7.44012,-4.75752,9.06246,6.93177,1.72943,6.2792,1.12457,1.44571,2.82744,1.45876,-32.55706,-13.53091,-46.08797
60420,-7.46582,-4.78366,7.74714,6.55962,3.35332,4.55223,1.11636,1.10915,1.61329,3.52847,-32.75683,-15.89072,-48.64756
60450,-6.26388,-4.88144,8.65689,7.51207,3.79351,2.99423,1.1594,1.16205,1.7566,1.17782,-31.73633,-12.23364,-43.96997
60480,-5.68046,-4.49582,8.00019,7.03628,2.1242,1.22593,1.53526,1.11228,2.09975,1.29948,-30.66138,-12.45145,-43.11284
60510,-7.15863,-4.52574,8.68287,7.03628,1.62349,4.0965,1.43819,1.26154,1.5931,2.25695,-32.00808,-15.33879,-47.34687
60540,-6.7346,-4.70076,10.2798,9.00122,1.51465,2.1052,1.70671,1.97398,1.5725,1.10597,-31.58113,-14.37883,-45.95996
60570,-6.65483,-4.72321,10.2719,8.58575,5.35467,4.34784,4.83554,1.19975,8.5142,1.10597,-35.75126,-17.4743,-53.22556
60600,-6.36791,-4.69101,10.1035,9.6171,1.60609,3.86045,1.15473,1.31861,6.60562,1.29989,-33.10252,-14.55038,-47.6529
60630,-6.56165,-4.73562,10.97,9.60814,1.14964,3.90597,1.12706,1.16987,4.83968,1.46929,-32.5589,-9.468524,-42.02743
60660,-7.35384,-4.41194,11.9393,10.5063,3.08122,2.86881,1.36919,1.11535,7.21435,2.27542,-34.47491,-16.81083,-51.28575
60690,-5.65506,-4.4382,10.4975,10.1495,1.13051,2.08692,5.12665,2.6354,2.57641,1.33933,-33.53558,-18.51269,-52.04827
60720,-8.34391,-4.62212,10.5996,8.09764,4.59701,9.55941,3.11614,1.64651,2.20033,1.1708,-34.96349,-21.06415,-56.02764
60750,-8.46497,-5.49246,10.1472,7.91412,2.40503,7.14406,3.42119,1.72773,1.1808,2.95196,-34.3779,-22.40899,-56.78689
60780,-7.6283,-4.7716,10.3656,8.16244,1.46291,9.16006,1.15715,1.10869,3.00063,1.56209,-32.95661,-11.3921,-44.34871
60810,-7.18464,-4.95741,10.0595,7.94573,1.34392,3.41405,1.17962,1.10566,1.17073,1.20887,-30.63525,-8.4925,-39.12775
60840,-8.00026,-4.74753,9.80362,8.04549,4.70121,7.59183,1.21416,1.81901,1.96921,1.4315,-33.88858,-17.65698,-51.54557
60870,-7.49768,-4.67126,9.55319,7.36243,1.21941,3.23029,1.10358,1.43733,4.54996,1.10011,-31.81925,-10.32831,-42.14756
60900,-6.94978,-4.7138,9.0694,7.5666,1.14232,4.12139,1.17922,1.4368,4.60819,1.15365,-32.08464,-11.38345,-43.4681
60930,-8.09998,-4.79916,9.39902,6.79061,1.28333,2.25427,1.19428,1.11908,3.63362,1.10177,-31.03849,-10.29981,-41.33829
60960,-7.27143,-4.66076,8.99528,8.04542,3.66198,1.35602,1.15182,1.12738,1.42616,4.78474,-32.1672,-16.59693,-48.76413
60990,-7.50237,-4.90331,8.01431,5.7354,8.38182,4.24355,1.29868,1.1064,1.9625,1.52253,-33.05389,-15.17003,-48.22392
61020,-5.54435,-4.76719,6.09974,5.59221,1.47727,2.88717,1.10406,1.23679,4.1866,1.33153,-31.29809,-11.21557,-42.51367
