"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.03051845,0.01372324,0.05470236,1,"Blood","AtoB"
0.06089575,0.027680605,0.10859735,2,"Blood","AtoB"
0.0908682,0.04141957,0.1614632,3,"Blood","AtoB"
0.1204495,0.055030385,0.2129699,4,"Blood","AtoB"
0.149551,0.06846459,0.2633646,5,"Blood","AtoB"
0.178254,0.08172522,0.31229635,6,"Blood","AtoB"
0.2064755,0.094975715,0.3603674,7,"Blood","AtoB"
0.2342855,0.107976,0.40718675,8,"Blood","AtoB"
0.261773,0.12092065,0.4528438,9,"Blood","AtoB"
0.288742,0.1338096,0.49762805,10,"Blood","AtoB"
0.3153105,0.14642785,0.5412047,11,"Blood","AtoB"
0.3415415,0.15896035,0.58411365,12,"Blood","AtoB"
0.3672805,0.1715659,0.6255022,13,"Blood","AtoB"
0.3927305,0.1839779,0.66622615,14,"Blood","AtoB"
0.417761,0.1962748,0.7060064,15,"Blood","AtoB"
0.4424745,0.20829005,0.7446183,16,"Blood","AtoB"
0.4668085,0.22034385,0.7826119,17,"Blood","AtoB"
0.49074,0.23221095,0.8192894,18,"Blood","AtoB"
0.5143195,0.2440246,0.8557286,19,"Blood","AtoB"
0.537479,0.2557743,0.8915402,20,"Blood","AtoB"
0.560272,0.2671365,0.92632805,21,"Blood","AtoB"
0.5827355,0.2784395,0.96061435,22,"Blood","AtoB"
0.605013,0.28966965,0.9939859,23,"Blood","AtoB"
0.626787,0.3010684,1.026223,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
21.62595,0.2174031,109.64115,1,"Cell","AtoB"
21.4596,0.36796815,108.74865,2,"Cell","AtoB"
21.29715,0.5069195,107.584,3,"Cell","AtoB"
21.1281,0.6247838,106.56125,4,"Cell","AtoB"
20.9714,0.72332735,105.6822,5,"Cell","AtoB"
20.82445,0.82445485,104.6719,6,"Cell","AtoB"
20.69545,0.92637635,103.65205,7,"Cell","AtoB"
20.5368,1.0255805,102.8323,8,"Cell","AtoB"
20.3973,1.1093375,101.75365,9,"Cell","AtoB"
20.27855,1.193971,101.07835,10,"Cell","AtoB"
20.1736,1.2717755,100.17625,11,"Cell","AtoB"
20.05655,1.3445785,99.555615,12,"Cell","AtoB"
19.9629,1.4126085,98.5765249999999,13,"Cell","AtoB"
19.84115,1.485959,97.720875,14,"Cell","AtoB"
19.76735,1.5535105,97.02431,15,"Cell","AtoB"
19.6733,1.6137985,96.2989549999999,16,"Cell","AtoB"
19.5617,1.6749875,95.5803,17,"Cell","AtoB"
19.48995,1.7383705,94.87493,18,"Cell","AtoB"
19.41125,1.7962385,94.178785,19,"Cell","AtoB"
19.32245,1.8553295,93.57691,20,"Cell","AtoB"
19.27975,1.914625,92.814965,21,"Cell","AtoB"
19.1953,1.972633,92.12942,22,"Cell","AtoB"
19.1455,2.029814,91.47157,23,"Cell","AtoB"
19.10005,2.080234,90.841145,24,"Cell","AtoB"
10,10,10,0,"Lumen","AtoB"
9.89431,9.807619,9.948201,1,"Lumen","AtoB"
9.798365,9.6433285,9.903641,2,"Lumen","AtoB"
9.70374,9.479178,9.859981,3,"Lumen","AtoB"
9.610895,9.318413,9.8170335,4,"Lumen","AtoB"
9.51952,9.160882,9.7743105,5,"Lumen","AtoB"
9.42979,9.0082955,9.7315555,6,"Lumen","AtoB"
9.3411,8.858187,9.689794,7,"Lumen","AtoB"
9.25376,8.7113365,9.6486515,8,"Lumen","AtoB"
9.167765,8.5681675,9.6075205,9,"Lumen","AtoB"
9.08327,8.4290425,9.5670685,10,"Lumen","AtoB"
9.000405,8.292393,9.5268215,11,"Lumen","AtoB"
8.918445,8.1593985,9.487544,12,"Lumen","AtoB"
8.837525,8.02979,9.448647,13,"Lumen","AtoB"
8.75772,7.901319,9.4097925,14,"Lumen","AtoB"
8.67904,7.777505,9.3716525,15,"Lumen","AtoB"
8.601685,7.655979,9.33403,16,"Lumen","AtoB"
8.525635,7.5377755,9.296562,17,"Lumen","AtoB"
8.451075,7.421244,9.2598355,18,"Lumen","AtoB"
8.37735,7.30621,9.2225755,19,"Lumen","AtoB"
8.30492,7.195167,9.1857875,20,"Lumen","AtoB"
8.233195,7.086551,9.1499095,21,"Lumen","AtoB"
8.162845,6.979708,9.1142895,22,"Lumen","AtoB"
8.09358,6.875922,9.078662,23,"Lumen","AtoB"
8.024995,6.775524,9.0437835,24,"Lumen","AtoB"
10,10,10,0,"Blood","BtoA"
9.94762,9.8912395,9.9761,1,"Blood","BtoA"
9.89746,9.7953695,9.95409,2,"Blood","BtoA"
9.84826,9.701109,9.9327705,3,"Blood","BtoA"
9.79984,9.6082085,9.911603,4,"Blood","BtoA"
9.75216,9.5169695,9.8908905,5,"Blood","BtoA"
9.70534,9.426822,9.8705705,6,"Blood","BtoA"
9.659275,9.339225,9.8502435,7,"Blood","BtoA"
9.61374,9.2522175,9.830142,8,"Blood","BtoA"
9.569015,9.167137,9.8105805,9,"Blood","BtoA"
9.52507,9.0840885,9.791361,10,"Blood","BtoA"
9.48169,9.004208,9.7724355,11,"Blood","BtoA"
9.43906,8.925159,9.753564,12,"Blood","BtoA"
9.39694,8.8470045,9.734773,13,"Blood","BtoA"
9.3555,8.7704165,9.716586,14,"Blood","BtoA"
9.31467,8.695587,9.698554,15,"Blood","BtoA"
9.274625,8.623878,9.680594,16,"Blood","BtoA"
9.235125,8.552323,9.662728,17,"Blood","BtoA"
9.19611,8.482041,9.645296,18,"Blood","BtoA"
9.15793,8.4130795,9.62806,19,"Blood","BtoA"
9.12,8.3452745,9.611005,20,"Blood","BtoA"
9.082555,8.278495,9.5939505,21,"Blood","BtoA"
9.04565,8.213932,9.5777015,22,"Blood","BtoA"
9.00949,8.1496785,9.560986,23,"Blood","BtoA"
8.97372,8.089131,9.544804,24,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
5.21281,0.2878968,196.98825,1,"Cell","BtoA"
6.157925,0.5386628,196.1044,2,"Cell","BtoA"
7.06577,0.7724491,195.125,3,"Cell","BtoA"
7.89362,0.99527815,194.3283,4,"Cell","BtoA"
8.68651,1.216878,193.76315,5,"Cell","BtoA"
9.46732,1.422581,193.1012,6,"Cell","BtoA"
10.2179,1.616508,192.4969,7,"Cell","BtoA"
10.9214,1.8084535,192.49075,8,"Cell","BtoA"
11.5942,1.9950815,191.8677,9,"Cell","BtoA"
12.2037,2.177013,191.69575,10,"Cell","BtoA"
12.7968,2.3478925,190.73495,11,"Cell","BtoA"
13.38025,2.512837,190.11855,12,"Cell","BtoA"
13.9866,2.680676,189.6253,13,"Cell","BtoA"
14.5412,2.8426585,189.02915,14,"Cell","BtoA"
15.0584,2.991448,188.27195,15,"Cell","BtoA"
15.5426,3.1433725,187.87245,16,"Cell","BtoA"
16.07305,3.290384,187.5543,17,"Cell","BtoA"
16.53415,3.4290345,187.2261,18,"Cell","BtoA"
16.999,3.566047,186.59105,19,"Cell","BtoA"
17.4597,3.711919,186.09275,20,"Cell","BtoA"
17.86765,3.8433985,186.1581,21,"Cell","BtoA"
18.275,3.9642775,185.82385,22,"Cell","BtoA"
18.66835,4.09954,185.4499,23,"Cell","BtoA"
19.04305,4.215511,184.95375,24,"Cell","BtoA"
