"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-3.16150915025294,0.233307560277458,3.3344157419344,-6.10699275,-4.83234,-4.203045,-3.1234375,6.79504049999999,199,1.00308085123598,1,-5.7093265,-4.203045,4.188253,0.0368650000000001,0.0201899999999999,0.0510450000000002,0.182515,1.18664,0.165209502195944,389,299
"p_2.1.",-2.94755464150762,0.24289407726615,3.42008254488433,-5.61266775,-4.4697575,-4.18434,-3.3572275,7.32818375,193,1.00438058500233,1,-5.248472,-4.18434,4.83831449999999,0.0226549999999999,0.0147200000000001,0.0260199999999999,0.2226,1.1719,0.17200535198504,345,302
"p_3.1.",-0.013221286504187,0.313256154639879,4.16595957691774,-4.36801725,-3.5948125,-1.15578,2.4130325,10.0247925,175,1.0126329846545,1,-4.2440415,-1.15578,8.317453,0.0202899999999997,0.150835,0.348016,0.426485,0.71378,0.221871873559585,194,360
"p_4.1.",-0.524076289744969,0.324654419648044,4.41021546425538,-6.555701,-3.8408325,-1.473475,2.1382075,9.78630475,184,1.01248569441619,1,-6.092475,-1.473475,8.027412,0.0655450000000002,0.17842,0.33509,0.465155,0.74147,0.229929162951811,209,374
"GSD_error_C1_blood.1.",1.87489977752781,0.00915155575972767,1.37040537107173,1.10548,1.178065,1.34086,1.854115,6.5074395,22409,1.00010510946297,1,1.111903,1.34086,4.8591105,0.000230000000000063,0.001355,0.00345000000000006,0.0122300000000001,0.0804149999999999,0.00647121137157692,21611,25318
"GSD_error_C1_cell.1.",3.91062499562555,0.0259711735642475,2.40880818112293,1.16128075,1.8881125,3.16862,5.50021,9.40462375,8477,1.00011986320713,1,1.2300385,3.16862,8.831504,0.00231999999999999,0.014015,0.0286,0.0470299999999999,0.0253350000000001,0.0183650155576538,9600,26488
"GSD_error_C1_lumen.1.",1.63830938788901,0.00867877363821515,1.09983396470341,1.10366075,1.14983,1.25397,1.5678475,5.19426125,16105,0.99994708605783,1,1.10755,1.25397,3.6380655,0.000145000000000062,0.000755000000000061,0.00183,0.006745,0.112825,0.00613693113520731,20994,17665
"GSD_error_C2_blood.1.",1.52270125640545,0.0101554064879417,0.964467567627704,1.1028,1.1373275,1.21191,1.4333125,4.552044,9009,1.00034045847483,1,1.10578,1.21191,3.072209,0.000119999999999898,0.00051000000000001,0.00137500000000002,0.00509000000000004,0.170185,0.00739179291492742,18928,11414
"GSD_error_C2_cell.1.",4.05122707567804,0.0315142545373573,2.45046594696504,1.16771075,1.95672,3.375085,5.7663625,9.47622625,5869,1.00070193176765,1,1.2425515,3.375085,8.9705365,0.00268499999999994,0.01997,0.0450900000000001,0.0588549999999999,0.014805,0.0222850181411828,6109,26484
"GSD_error_C2_lumen.1.",2.41541343863267,0.0128724135035838,1.82087798910158,1.11395075,1.26792,1.62319,2.725555,8.12138075,19984,1.00038386371974,1,1.127623,1.62319,6.815459,0.000615000000000032,0.00254500000000002,0.00781500000000002,0.0243500000000001,0.0500499999999997,0.00910230367768195,19380,26594
"LnPrior",-31.5080401431071,0.0425654761123547,1.44138685989778,-34.71026075,-32.3733325,-31.36998,-30.49203,-29.08343525,1136,1.0006217752965,1,-34.044305,-31.36998,-29.382643,0.146554999999999,0.0462100000000021,0.0336949999999998,0.0279549999999986,0.0186449999999994,0.0305607298243198,1316,1618
"LnData",-14.5044982557805,0.0369945157670908,3.74210235439726,-22.361787,-16.9478975,-14.29877,-11.8048475,-7.8262724,10182,1.0005052315669,1,-20.955393,-14.29877,-8.74230950000001,0.0737899999999989,0.0444549999999992,0.039085,0.0342200000000004,0.0381909999999999,0.0261598187817769,10119,20457
"LnPosterior",-46.0125383783277,0.0610791127016812,4.82203713204073,-56.27876025,-49.1448175,-45.677115,-42.567415,-37.60301575,6125,1.00021260714253,1,-54.4526305,-45.677115,-38.7037515,0.102754999999998,0.0701350000000005,0.0584199999999981,0.0505849999999981,0.0523150000000001,0.0433029280690061,6492,14624
