"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-5.08551,-4.71703,-1.16734,-2.25392,1.24325,2.43597,1.16594,1.12101,2.23728,1.99098,-29.6723,-10.9251,-40.5974
60060,-4.2651,-4.24912,-1.99727,-1.62055,1.84677,1.74475,2.15395,1.16746,1.40769,1.52819,-29.67358,-15.13117,-44.80474
60090,-4.71161,-4.4083,0.155875,-0.440963,2.53969,3.83186,1.14054,1.15706,3.12845,1.30458,-30.91288,-11.84794,-42.76081
60120,-4.30175,-4.21721,-0.632055,-0.700827,2.43793,1.27685,1.23658,1.16172,1.46194,1.18586,-28.9608,-12.33426,-41.29506
60150,-4.83674,-4.18381,-0.785016,-1.08347,2.60666,1.39508,1.18841,1.36389,5.94345,1.43842,-30.7993,-14.75243,-45.55173
60180,-4.30099,-4.47588,-1.62994,-1.67753,2.21126,3.57505,1.41359,2.06611,4.36428,5.35927,-33.11377,-20.36086,-53.47463
60210,-4.325,-3.8402,-2.34578,-2.69932,1.21787,2.7157,1.3479,3.4716,5.14453,6.67985,-33.04827,-18.57364,-51.62191
60240,-4.08539,-4.26937,-1.96452,-1.80412,1.39973,6.06416,1.31733,3.3449,4.21113,3.11826,-33.00941,-19.04558,-52.05499
60270,-4.42157,-4.86562,-0.858986,-1.16818,1.16289,3.79685,1.11297,1.14962,1.17057,6.98397,-30.69993,-9.641647,-40.34157
60300,-4.49619,-4.8698,-1.17868,-1.74214,1.187,3.471,1.30811,1.16709,2.34927,2.71868,-30.52124,-13.11766,-43.6389
60330,-3.08014,-3.77681,-1.96418,-1.01024,1.26986,5.21784,1.66754,2.03066,1.22318,2.17258,-30.96965,-17.33805,-48.30771
60360,-5.01203,-4.01341,-0.687251,-0.961872,1.54759,1.74129,1.26397,1.49534,6.98691,7.95734,-32.5365,-19.48117,-52.01768
60390,-4.78462,-4.30342,-0.167549,-0.620315,1.61749,1.15931,1.15103,1.35709,3.68207,2.1199,-30.05858,-12.65418,-42.71276
60420,-3.9454,-3.87259,-0.174974,-0.207462,1.34616,3.30896,2.35452,1.27731,2.19644,2.15841,-31.12534,-16.47388,-47.59922
60450,-4.43023,-4.36185,-0.618494,-0.984281,4.42505,5.65322,1.17055,1.16122,3.99212,1.18725,-31.97752,-12.86375,-44.84127
60480,-3.96463,-4.16863,-0.88178,-0.752955,2.26347,7.24574,1.1156,1.12606,9.768,1.34623,-32.50865,-12.04754,-44.55619
60510,-3.10439,-4.38108,-1.25362,-0.289871,1.14427,5.85018,1.1156,1.26571,9.71122,1.14254,-31.5832,-9.280844,-40.86405
60540,-3.42842,-4.01455,-1.11639,-0.545156,1.33068,2.71129,1.19316,1.11131,7.87938,1.48484,-30.94723,-11.50244,-42.44967
60570,-3.03648,-4.37813,-1.33753,-0.0723663,1.11965,3.1402,1.12344,1.1525,8.79555,1.12741,-30.74971,-11.05628,-41.80599
60600,-3.99057,-4.17998,-2.50638,-2.36893,1.51407,1.99393,1.12819,1.13036,1.19431,1.20584,-28.4897,-8.178153,-36.66785
60630,-5.03529,-4.90099,-0.731748,-1.45094,1.41153,1.28046,1.30908,1.13982,8.37517,4.61377,-31.49698,-13.69425,-45.19123
60660,-4.38922,-4.23177,-1.1847,-1.52995,1.12241,8.8022,1.43855,1.10794,9.63756,2.81038,-32.90515,-12.59827,-45.50342
60690,-4.39941,-4.44432,-1.20036,-1.65545,1.31607,1.80452,1.18884,1.13006,1.50378,1.72659,-28.95384,-10.08129,-39.03513
60720,-3.54075,-4.3092,-2.08517,-1.55018,1.70885,6.47689,1.16116,1.21668,1.39997,1.2941,-30.17407,-11.29532,-41.46939
60750,-3.87147,-3.81398,-2.20105,-2.09756,1.4467,2.67473,1.27144,2.74617,1.68862,2.66906,-30.91681,-17.11205,-48.02886
60780,-4.69638,-3.37746,-2.51397,-3.83233,1.92394,5.34546,1.30669,3.98118,9.52196,1.35668,-33.27825,-21.18242,-54.46067
60810,-4.41906,-4.12965,-2.29689,-2.95784,2.7548,1.50487,1.17065,1.11769,2.01493,1.10465,-29.24847,-9.719124,-38.96759
60840,-4.76048,-3.91426,-2.40565,-3.27923,1.11123,1.20159,1.2702,1.12642,4.0415,1.55904,-29.23128,-7.90846,-37.13974
60870,-4.8703,-4.36757,-2.00544,-2.70939,1.54918,7.00067,2.67776,1.34234,9.10359,3.67606,-33.93673,-19.7452,-53.68193
60900,-4.97984,-4.25166,-1.91269,-2.7646,1.19341,5.60984,1.66018,1.1107,6.07291,1.15351,-31.22535,-10.45902,-41.68437
60930,-4.96944,-4.09308,-1.61629,-2.46415,1.23697,5.70961,1.11696,1.31173,5.63509,1.88508,-31.48987,-12.31199,-43.80186
60960,-4.89676,-4.31815,-2.03301,-2.62185,1.30281,1.4565,1.54313,1.1595,3.26846,1.14365,-29.30634,-10.61328,-39.91962
60990,-4.53838,-4.58599,-2.43258,-1.83346,7.42163,9.47738,1.83492,1.14042,2.34966,1.18252,-32.79375,-18.09483,-50.88858
61020,-4.55926,-4.4078,-1.95059,-1.92351,1.52742,1.46014,2.305,2.86962,3.03302,1.24825,-30.81942,-18.44307,-49.26248
61050,-5.16135,-4.52482,-1.25543,-2.38608,1.47028,3.66115,1.19739,1.81115,3.8028,1.45577,-30.96512,-14.87132,-45.83644
61080,-5.58712,-2.69417,-3.18155,-5.37479,1.11063,5.60097,1.332,1.29236,6.48996,1.92227,-31.59553,-17.05548,-48.65101
61110,-6.16942,-3.27636,-3.84323,-6.43772,1.71021,8.21027,1.11361,1.17008,9.98267,1.45786,-32.23851,-15.22478,-47.46329
61140,-2.68587,-1.97714,-4.02273,-4.45238,5.46738,1.48327,1.18291,1.62946,7.57248,4.25234,-33.0003,-22.0681,-55.0684
61170,-5.1815,-3.76311,-3.24596,-5.02526,2.08369,4.27523,1.13169,1.21935,4.93353,5.05437,-32.40376,-16.77095,-49.17471
61200,-5.96833,-3.54856,-3.38042,-6.07188,1.18522,6.71091,1.20923,1.1976,8.49127,1.18653,-31.41544,-11.15151,-42.56695
61230,-5.74721,-4.18233,-3.11739,-5.00566,1.37398,3.13984,1.10773,1.23593,3.72358,4.54977,-31.27267,-14.84835,-46.12102
61260,-5.42854,-5.06932,-3.05819,-4.48686,1.34605,8.78182,1.13614,1.32735,4.20057,2.00391,-31.67596,-15.80903,-47.48498
61290,-4.48038,-4.00125,-2.60199,-2.86788,1.24825,4.67571,1.75109,1.43191,1.86304,1.17096,-30.21494,-15.48764,-45.70258
61320,-2.97007,-3.13933,-3.58891,-3.45437,1.54278,5.02479,2.20721,1.49122,1.50489,2.2671,-31.23105,-18.38339,-49.61444
61350,-4.05259,-4.81225,-2.94222,-3.39253,1.96784,2.56001,1.101,1.28005,1.18237,1.82572,-29.44875,-14.44963,-43.89838
61380,-3.93593,-3.02061,-3.44839,-4.61825,2.53552,1.82351,2.01461,2.05855,4.93144,1.68239,-31.79061,-19.72518,-51.51579
