"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.09383575,0.056469675,0.1371501,1,"Blood","AtoB"
0.1845575,0.1116977,0.2676293,2,"Blood","AtoB"
0.272062,0.1656523,0.39140695,3,"Blood","AtoB"
0.356348,0.21813595,0.5090674,4,"Blood","AtoB"
0.437519,0.2695439,0.62027345,5,"Blood","AtoB"
0.515569,0.3192676,0.7253432,6,"Blood","AtoB"
0.590833,0.36792605,0.8253492,7,"Blood","AtoB"
0.663098,0.41555865,0.92029595,8,"Blood","AtoB"
0.7327455,0.4620098,1.010131,9,"Blood","AtoB"
0.800004,0.5072873,1.094972,10,"Blood","AtoB"
0.864941,0.551676,1.174801,11,"Blood","AtoB"
0.9269455,0.5946749,1.251043,12,"Blood","AtoB"
0.9867365,0.63660285,1.3236915,13,"Blood","AtoB"
1.04438,0.6774937,1.3922205,14,"Blood","AtoB"
1.0996,0.71723435,1.4578415,15,"Blood","AtoB"
1.15321,0.7564728,1.520062,16,"Blood","AtoB"
1.20474,0.7944363,1.5793225,17,"Blood","AtoB"
1.25441,0.8310396,1.6362865,18,"Blood","AtoB"
1.302025,0.866911,1.6888935,19,"Blood","AtoB"
1.347925,0.902888,1.7390805,20,"Blood","AtoB"
1.392255,0.93684655,1.7861585,21,"Blood","AtoB"
1.435115,0.96962015,1.8323915,22,"Blood","AtoB"
1.47635,1.0021745,1.8750295,23,"Blood","AtoB"
1.515645,1.032692,1.916493,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
10.02165,0.14017315,42.76986,1,"Cell","AtoB"
9.76621,0.23341955,41.481755,2,"Cell","AtoB"
9.539465,0.31224405,40.236405,3,"Cell","AtoB"
9.30543,0.38261665,38.956275,4,"Cell","AtoB"
9.099635,0.44003015,37.863845,5,"Cell","AtoB"
8.91485,0.49197485,36.753955,6,"Cell","AtoB"
8.73516,0.54234675,35.79031,7,"Cell","AtoB"
8.57367,0.5862511,34.812815,8,"Cell","AtoB"
8.406025,0.6201327,33.87791,9,"Cell","AtoB"
8.255895,0.6561853,32.954675,10,"Cell","AtoB"
8.133445,0.68333675,32.1759,11,"Cell","AtoB"
8.00584,0.71230935,31.52781,12,"Cell","AtoB"
7.872405,0.73697115,30.85518,13,"Cell","AtoB"
7.75119,0.763242,30.145595,14,"Cell","AtoB"
7.6515,0.78393,29.44359,15,"Cell","AtoB"
7.55485,0.80214505,28.765585,16,"Cell","AtoB"
7.45419,0.82428175,28.076895,17,"Cell","AtoB"
7.356315,0.83774665,27.471235,18,"Cell","AtoB"
7.24859,0.8475196,26.87946,19,"Cell","AtoB"
7.14666,0.86019045,26.37243,20,"Cell","AtoB"
7.045395,0.86889795,25.861935,21,"Cell","AtoB"
6.94213,0.8778406,25.35954,22,"Cell","AtoB"
6.834295,0.88463555,24.87773,23,"Cell","AtoB"
6.733675,0.8946091,24.42387,24,"Cell","AtoB"
10,10,10,0,"Lumen","AtoB"
9.70124,9.5640185,9.8190705,1,"Lumen","AtoB"
9.41695,9.1558865,9.6459465,2,"Lumen","AtoB"
9.14275,8.767565,9.4767275,3,"Lumen","AtoB"
8.87885,8.399789,9.3118925,4,"Lumen","AtoB"
8.624625,8.051592,9.151784,5,"Lumen","AtoB"
8.379785,7.7221925,8.9953065,6,"Lumen","AtoB"
8.14424,7.40866,8.8421065,7,"Lumen","AtoB"
7.91803,7.112475,8.6925655,8,"Lumen","AtoB"
7.69966,6.831688,8.547543,9,"Lumen","AtoB"
7.489065,6.566284,8.405469,10,"Lumen","AtoB"
7.286085,6.31522,8.26674,11,"Lumen","AtoB"
7.091775,6.0764405,8.1323885,12,"Lumen","AtoB"
6.904725,5.8495195,8.0021185,13,"Lumen","AtoB"
6.724345,5.63394,7.8744765,14,"Lumen","AtoB"
6.550505,5.429434,7.749833,15,"Lumen","AtoB"
6.38253,5.232971,7.6270365,16,"Lumen","AtoB"
6.221625,5.047382,7.5076935,17,"Lumen","AtoB"
6.065855,4.8704975,7.3927295,18,"Lumen","AtoB"
5.916755,4.7053145,7.279853,19,"Lumen","AtoB"
5.77277,4.5480005,7.169432,20,"Lumen","AtoB"
5.63385,4.3996865,7.0624665,21,"Lumen","AtoB"
5.499845,4.255587,6.9588615,22,"Lumen","AtoB"
5.371275,4.123099,6.8563245,23,"Lumen","AtoB"
5.248245,3.9926,6.761543,24,"Lumen","AtoB"
10,10,10,0,"Blood","BtoA"
9.92459,9.8598795,9.97553,1,"Blood","BtoA"
9.852445,9.7273675,9.952403,2,"Blood","BtoA"
9.78287,9.601256,9.9298715,3,"Blood","BtoA"
9.715765,9.481238,9.90808,4,"Blood","BtoA"
9.65123,9.3662885,9.88697,5,"Blood","BtoA"
9.589055,9.25666,9.866372,6,"Blood","BtoA"
9.52922,9.152619,9.846361,7,"Blood","BtoA"
9.47176,9.0533075,9.8269405,8,"Blood","BtoA"
9.41636,8.9582025,9.8082705,9,"Blood","BtoA"
9.36302,8.8674675,9.7901315,10,"Blood","BtoA"
9.311965,8.781081,9.772443,11,"Blood","BtoA"
9.26283,8.7002195,9.755014,12,"Blood","BtoA"
9.21534,8.620898,9.7384025,13,"Blood","BtoA"
9.169735,8.5449265,9.7224065,14,"Blood","BtoA"
9.12579,8.47379,9.7068395,15,"Blood","BtoA"
9.08321,8.404101,9.6917805,16,"Blood","BtoA"
9.042865,8.339504,9.6764355,17,"Blood","BtoA"
9.003885,8.277034,9.662916,18,"Blood","BtoA"
8.96633,8.214902,9.649727,19,"Blood","BtoA"
8.93005,8.1563505,9.6368835,20,"Blood","BtoA"
8.89539,8.1005835,9.6240255,21,"Blood","BtoA"
8.86215,8.0478895,9.6114325,22,"Blood","BtoA"
8.829875,7.9966185,9.599343,23,"Blood","BtoA"
8.798765,7.947989,9.588145,24,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
1.023305,0.13940205,51.133765,1,"Cell","BtoA"
1.49075,0.25610585,50.90389,2,"Cell","BtoA"
1.901375,0.36327995,50.752155,3,"Cell","BtoA"
2.257215,0.46256105,50.881365,4,"Cell","BtoA"
2.582745,0.5565996,50.66534,5,"Cell","BtoA"
2.86824,0.6469921,50.478385,6,"Cell","BtoA"
3.1412,0.7310939,50.30398,7,"Cell","BtoA"
3.3748,0.80883115,50.19586,8,"Cell","BtoA"
3.597865,0.87767625,50.14861,9,"Cell","BtoA"
3.801275,0.94529985,50.061665,10,"Cell","BtoA"
4.00885,1.0118285,50.0329849999999,11,"Cell","BtoA"
4.208395,1.0691815,50.045085,12,"Cell","BtoA"
4.3824,1.129909,50.03317,13,"Cell","BtoA"
