"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-0.657928030976753,0.112338105706684,3.04412940883612,-4.3354885,-2.25808,-1.32103,-0.21683975,8.71971525,734,1.00539578847192,1,-3.802059,-1.32103,5.8443195,0.0288900000000001,0.0320849999999999,0.0268050000000001,0.0711935,0.802515,0.0840183658701674,1425,816
"p_2.1.",-3.77277089483758,0.112272309717946,2.99881486383423,-6.6469775,-5.321205,-4.61947,-3.6609925,5.6919605,715,1.0043439875007,1,-6.316424,-4.61947,2.9469085,0.0183399999999998,0.01274,0.0206050000000002,0.0641099999999999,0.788565,0.0794209898337731,1801,818
"p_3.1.",-3.22218748562333,0.174598589991401,3.88266540587586,-6.81594125,-5.876745,-4.84465,-1.7625575,7.58041749999999,490,1.00840258437493,1,-6.5462025,-4.84465,5.249166,0.0208900000000001,0.0252600000000003,0.0870350000000002,0.357325,0.481865,0.123532737457593,703,824
"p_4.1.",0.776404411937508,0.176930864911162,4.05277248701955,-4.6042935,-1.825775,-0.330995,2.4179375,11.5106825,520,1.00815580752629,1,-3.957588,-0.330995,9.27776699999999,0.0459699999999996,0.05442,0.0878665,0.353415,0.5172,0.125178627297944,704,822
"GSD_error_C1_blood.1.",2.75185706630421,0.0122405255829884,1.95353585395103,1.1574815,1.4230325,1.927615,3.302855,8.58138,25455,0.999957914065718,1,1.190499,1.927615,7.4135875,0.001475,0.00319499999999995,0.00886500000000001,0.0234049999999999,0.0424849999999992,0.00865545769053156,26010,28904
"GSD_error_C1_cell.1.",4.074042095988,0.017982987422117,2.45122740454315,1.1663245,1.9741475,3.41736,5.802225,9.45918975,18565,1.00014514956415,1,1.2313025,3.41736,8.9247015,0.00207999999999997,0.014765,0.0257150000000002,0.0346250000000001,0.0209549999999998,0.012716092160834,18319,27838
"GSD_error_C1_lumen.1.",1.49133476565429,0.00854093677420432,0.87856502681973,1.10297,1.13691,1.21049,1.4205775,4.058672,10579,1.00014919111396,1,1.10594,1.21049,2.862058,8.50000000000017e-05,0.000565000000000038,0.00128499999999998,0.00484000000000007,0.107765,0.00639490038027946,19736,14033
"GSD_error_C2_blood.1.",1.61800610954881,0.0105627231525508,1.09368557140029,1.10406075,1.15192,1.24843,1.5308625,5.17907775,10716,1.00013684717725,1,1.10854,1.24843,3.52204,0.000170000000000003,0.000674999999999981,0.00173499999999993,0.00677499999999998,0.127225,0.00755563480451034,18745,12264
"GSD_error_C2_cell.1.",4.06388266060492,0.0169480714592653,2.46866761883513,1.16160525,1.9438675,3.381385,5.7984925,9.48854175,21015,1.00025594299265,1,1.230759,3.381385,8.965604,0.00234499999999993,0.01264,0.02589,0.0351900000000001,0.0184199999999999,0.0119842607225269,20838,30324
"GSD_error_C2_lumen.1.",5.08402373265842,0.0125031443460867,2.18877396290415,2.045415,3.2367975,4.65933,6.699845,9.60824325,30639,1.000095967993,1,2.226961,4.65933,9.199619,0.00638500000000009,0.0127200000000001,0.01945,0.0235349999999999,0.01389,0.00884114253356408,30813,31463
"LnPrior",-32.687197279715,0.0278199458696272,1.41992865630609,-35.696059,-33.58643,-32.60467,-31.69915,-30.12996475,2607,1.00103508124937,1,-35.126714,-32.60467,-30.498623,0.0795450000000031,0.031015,0.0256800000000013,0.0197099999999999,0.0209349999999997,0.0199398877488966,2831,4016
"LnData",-51.4841078524559,0.0219256940951495,2.89295657772079,-57.58554525,-53.340745,-51.312205,-49.4081475,-46.37492825,17390,1.0000845583482,1,-56.4750565,-51.312205,-47.062648,0.0637350000000012,0.0303299999999993,0.0258699999999976,0.0225749999999998,0.0415949999999974,0.0155129457169962,17482,23647
"LnPosterior",-84.1713051527934,0.0412393572267784,3.92390923895274,-92.35928725,-86.71951,-83.947595,-81.4274125,-77.08901675,9030,1.0003557897213,1,-90.929571,-83.947595,-78.086314,0.0841500000000011,0.0441049999999947,0.0495649999999941,0.0410200000000032,0.0595300000000023,0.0291615687055946,9038,18829
