"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-0.737507,-4.35887,-5.16948,-1.66648,2.98574,9.70437,1.12294,2.38368,2.82161,2.35257,-33.09293,-52.96219,-86.05512
60060,-3.95039,-5.95991,-7.25567,-6.83873,2.73903,2.33906,1.22523,1.40699,7.55757,8.70103,-33.19073,-57.61601,-90.80674
60090,-0.495813,-3.63693,-7.01228,-1.18165,5.01304,5.37468,1.61428,1.16853,1.68841,2.91512,-32.40719,-54.1387,-86.54588
60120,-2.31345,-5.99907,-5.15552,-1.56346,1.14607,4.73195,1.25064,1.16853,6.47374,5.68032,-32.44285,-48.52302,-80.96587
60150,-2.1846,-6.84922,-7.02884,-1.44419,3.14042,1.47351,1.13891,4.02611,3.08884,8.98076,-33.14052,-59.22236,-92.36288
60180,-1.0971,-4.8038,-4.9118,0.0167389,7.64373,1.39478,1.22243,1.31612,1.78519,8.27866,-32.44126,-50.5425,-82.98376
60210,-3.55075,-4.76856,-2.17718,1.20886,3.03804,2.21478,1.25194,1.18495,5.20476,8.81467,-33.0854,-52.62367,-85.70907
60240,-2.55272,-5.90996,-3.96586,-0.719173,2.35753,6.90785,1.13853,1.83563,7.38201,4.87463,-33.92885,-52.18336,-86.11221
60270,-2.78153,-5.30669,-4.77234,-0.719173,3.35754,1.47388,1.11641,1.18321,1.4746,2.19011,-29.85131,-49.23696,-79.08827
60300,-1.98477,-4.81909,-5.11641,-1.0489,2.17959,2.36171,1.10947,1.19014,1.61242,6.15387,-31.02672,-47.56761,-78.59433
60330,-0.286569,-3.93367,-5.6636,-2.42572,2.84542,2.05071,1.50487,2.38537,3.01434,4.11058,-32.40521,-54.1303,-86.53551
60360,0.00784798,-2.92528,-5.30758,-1.68093,4.16972,1.63507,2.75763,1.20865,6.49127,5.98585,-33.70216,-53.86365,-87.56581
60390,-1.24065,-5.46454,-4.48241,0.349139,2.65003,1.49205,5.48363,1.18847,3.14188,3.1935,-32.47089,-52.97252,-85.44342
60420,0.0629662,-3.81089,-5.33683,-0.262058,1.21611,6.20713,5.65642,1.35589,1.27994,5.87464,-33.0374,-54.47992,-87.51732
60450,0.377515,-3.25951,-5.28242,-2.11957,5.35528,2.29065,1.65015,1.52299,7.00068,1.75906,-32.85206,-56.49218,-89.34424
60480,-2.32772,-6.04886,-6.94766,-1.12946,7.29916,1.98206,1.45797,1.23156,2.11752,2.53028,-31.7096,-54.75435,-86.46395
60510,-3.52017,-4.10221,-6.66763,-5.11275,1.54569,5.74753,1.28678,1.60106,9.70913,4.57351,-33.3517,-55.05535,-88.40705
60540,1.25226,-1.36943,-6.62517,-1.92013,2.5824,4.75392,1.24729,1.14685,7.15655,3.38761,-33.0808,-51.15055,-84.23135
60570,-0.928705,-5.79139,-3.31619,1.16157,4.48232,2.36318,1.23804,1.11126,9.08099,6.66464,-33.78195,-51.35742,-85.13937
60600,-1.54469,-4.37842,-3.00279,1.34891,1.21493,1.61884,1.95206,1.32156,1.16905,8.61275,-30.94679,-51.28063,-82.22742
60630,-2.70508,-6.34793,-2.90171,0.148934,3.01301,3.3704,1.12571,1.245,3.18621,2.36462,-31.55711,-51.74143,-83.29854
60660,-1.38479,-5.19021,-5.29059,-0.91631,1.34047,4.05429,1.26935,6.15386,4.24311,2.74409,-33.04054,-52.34101,-85.38156
60690,-0.618184,-3.65751,-3.88276,1.39512,2.19647,9.23957,1.16065,4.85287,2.1423,3.62773,-33.83898,-54.46329,-88.30227
60720,-0.116804,-5.62024,-5.48875,0.264227,1.81133,1.65932,1.21534,1.34881,5.61079,6.34646,-32.11509,-53.10672,-85.22182
60750,1.15772,-2.32137,-6.00995,-1.07652,2.02934,6.76842,1.14485,1.3482,1.5939,3.87428,-31.89656,-50.70455,-82.60112
60780,2.58657,-0.510637,-7.07225,-3.26289,2.58403,7.85971,1.10197,1.31902,2.33254,3.81927,-32.68267,-52.29166,-84.97434
60810,3.35257,2.09465,-6.2158,-5.23919,3.59035,3.37052,1.17619,1.11561,6.5801,6.03476,-33.72767,-51.95592,-85.68359
60840,5.55469,1.64843,-6.13071,-1.65821,1.32217,6.05955,1.49114,1.12207,9.01079,8.37869,-34.45395,-50.70781,-85.16176
60870,4.85277,5.52656,-4.47437,-2.82223,6.18174,6.96379,1.31583,6.30984,5.92586,9.37754,-37.65276,-63.54631,-101.1991
60900,2.59425,-1.79321,-5.39136,0.00933638,3.92597,9.54745,1.26973,3.29936,1.38036,2.26121,-33.38903,-55.77961,-89.16864
60930,-1.20115,-4.63963,-3.74988,1.07469,7.87238,1.76567,1.10496,1.52597,2.16705,7.72687,-32.95857,-50.76156,-83.72014
60960,-0.146652,-4.27772,-5.45962,-0.527101,1.47227,2.11974,1.20148,1.17095,1.14872,5.08749,-30.17086,-46.08744,-76.25829
60990,-0.448858,-4.8862,-5.86148,-1.8268,1.38799,3.53496,1.16242,1.14826,9.40152,4.83143,-32.53557,-48.33576,-80.87133
61020,-1.24564,-5.36063,-5.78733,-1.80336,1.52851,1.28555,1.17043,1.17773,2.73086,4.77115,-30.36257,-46.09819,-76.46075
61050,-1.77836,-5.46129,-4.06877,0.209108,6.32878,9.33274,1.10286,1.123,2.52924,3.48827,-33.36443,-49.47843,-82.84286
61080,-2.00761,-6.41476,-5.88087,-1.53875,1.5831,1.1559,1.24542,1.55339,6.38344,7.04837,-31.84083,-51.2651,-83.10592
61110,-0.623994,-4.20739,-5.84777,-0.331535,2.16716,7.07101,1.49859,1.26701,1.26323,6.80253,-32.43135,-50.61723,-83.04858
61140,-3.49595,-4.90176,-5.43291,-2.26689,3.30585,5.51629,1.14363,1.18225,1.90749,2.25079,-31.37658,-53.29693,-84.67351
61170,-3.77625,-7.50614,-5.42768,-3.32886,4.15598,4.9931,1.11692,1.18451,2.35433,6.91541,-32.76339,-52.23159,-84.99498
61200,4.03623,-0.136277,-5.83882,-0.341142,8.59374,3.35763,1.15133,1.45606,2.76513,4.76487,-33.81496,-53.83314,-87.64811
61230,3.27046,-0.0505286,-5.39235,-2.32824,3.45607,6.69691,1.46396,1.11826,2.81874,7.49061,-33.90652,-52.76788,-86.6744
61260,5.90825,3.61356,-5.65054,-2.59105,2.16125,1.44786,1.31813,1.2505,8.68787,3.85726,-32.83178,-50.99793,-83.82971
61290,6.10221,3.86293,-4.80881,-4.14056,9.65913,1.67627,1.13821,1.23958,7.17534,2.80661,-33.81886,-54.76145,-88.58031
61320,6.50933,3.99238,-4.92797,-4.64964,3.7456,1.21652,1.31692,1.27379,5.33545,3.92412,-32.80261,-53.5232,-86.32581
61350,3.30834,-0.159424,-6.03606,-1.49647,1.31574,4.09425,1.31704,1.21676,8.4258,2.33979,-32.38169,-50.5279,-82.90959
61380,3.96861,0.472747,-5.8267,-0.316967,2.07271,6.3523,1.10088,1.18525,1.68851,6.233,-32.58337,-49.6902,-82.27357
61410,-1.33217,-3.9593,-5.43943,-1.13941,1.36936,4.56847,1.19822,1.37366,3.54826,8.06993,-32.5361,-49.50212,-82.03821
61440,-2.25577,-5.61683,-4.57078,-1.13941,1.5583,4.92482,1.10533,1.13302,3.11002,6.14396,-32.01299,-47.49346,-79.50646
61470,-2.52922,-6.37058,-4.06648,-0.691861,1.35167,2.29287,1.28058,1.24283,2.75984,3.37924,-30.64423,-50.39504,-81.03927
61500,-2.4863,-6.36753,-5.49522,-1.67104,1.74033,5.63927,1.12123,1.16692,3.57575,5.97783,-32.36662,-49.19408,-81.5607
61530,-2.23212,-5.99073,-6.05787,-1.93375,3.11396,1.18579,1.41479,1.24422,2.67141,7.29044,-31.5886,-51.83624,-83.42483
