"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
1.18422,0.37318945,2.9330365,1,"Blood","AtoB"
2.36012,0.7435421,5.827812,2,"Blood","AtoB"
3.527285,1.112411,8.687784,3,"Blood","AtoB"
4.685315,1.478884,11.493345,4,"Blood","AtoB"
5.835605,1.8443425,14.262625,5,"Blood","AtoB"
6.97687,2.207573,16.99073,6,"Blood","AtoB"
8.10748,2.5703495,19.68822,7,"Blood","AtoB"
9.229145,2.929085,22.34045,8,"Blood","AtoB"
10.34855,3.2892,24.969535,9,"Blood","AtoB"
11.45475,3.6480195,27.56925,10,"Blood","AtoB"
12.5506,4.001901,30.106225,11,"Blood","AtoB"
13.63985,4.3551725,32.660765,12,"Blood","AtoB"
14.7212,4.7029855,35.15952,13,"Blood","AtoB"
15.79175,5.0550115,37.599325,14,"Blood","AtoB"
16.85725,5.405576,40.037995,15,"Blood","AtoB"
17.912,5.749288,42.335895,16,"Blood","AtoB"
18.95875,6.091929,44.68796,17,"Blood","AtoB"
19.9936,6.4302105,47.006315,18,"Blood","AtoB"
21.02655,6.767594,49.28327,19,"Blood","AtoB"
22.05345,7.1028275,51.519485,20,"Blood","AtoB"
23.0762,7.436377,53.71613,21,"Blood","AtoB"
24.0885,7.767842,55.951085,22,"Blood","AtoB"
25.09365,8.09441,58.14036,23,"Blood","AtoB"
26.0847,8.4213385,60.251165,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
7.133195,0.094037185,65.14729,1,"Cell","AtoB"
7.126865,0.15097795,64.86741,2,"Cell","AtoB"
7.12064,0.19775725,64.59934,3,"Cell","AtoB"
7.112925,0.2377367,64.311435,4,"Cell","AtoB"
7.11652,0.2737563,64.04941,5,"Cell","AtoB"
7.123225,0.30552815,63.70925,6,"Cell","AtoB"
7.117445,0.3356554,63.616725,7,"Cell","AtoB"
7.116545,0.3623571,63.40236,8,"Cell","AtoB"
