"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-2.87469711250372,0.222852013491491,3.98076257327148,-7.546565,-5.6461825,-4.22699,-0.86887325,7.07770475,318,1.00983184464934,1,-7.1090475,-4.22699,4.877394,0.0446749999999998,0.0790950000000001,0.18322,0.4002555,0.79537,0.15772443666539,379,478
"p_2.1.",-0.307490917401106,0.224009729050144,3.95189157108494,-4.1376525,-3.2576525,-1.878145,1.7173675,9.6716765,310,1.01066370445164,1,-3.8875915,-1.878145,7.465509,0.0244499999999999,0.055005,0.21417,0.39783,0.763520000000001,0.158547479897464,351,474
"p_3.1.",-1.06426374254592,0.288196207899517,4.16598917176198,-4.6679735,-3.7295325,-3.102015,0.44658075,10.4103875,210,1.01322622142125,1,-4.374406,-3.102015,8.028214,0.0221450000000001,0.0263899999999999,0.100165,0.727144,0.7599,0.204070617754596,290,398
"p_4.1.",-3.42622710561705,0.294382440101611,4.28033905776256,-7.8087455,-6.26392,-5.169035,-1.7792125,8.26445224999999,213,1.012473775253,1,-7.3996295,-5.169035,5.778782,0.0300950000000002,0.0439600000000002,0.13434,0.714855,0.735905,0.208447674712063,288,411
"GSD_error_C1_blood.1.",2.55929802712161,0.0118897448698884,1.77871133976694,1.15798225,1.4184675,1.837885,2.9174875,8.1207585,22347,1.00021211078761,1,1.192903,1.837885,6.7972015,0.00126000000000004,0.0032350000000001,0.00801499999999999,0.0259049999999998,0.057245,0.00840742902272842,21963,27373
"GSD_error_C1_cell.1.",4.00473357486564,0.0192037774388818,2.3972999033035,1.17180825,1.9922525,3.33143,5.607205,9.38523825,15454,1.00022924117139,1,1.2518445,3.33143,8.842762,0.00250500000000009,0.01314,0.0261800000000001,0.0367899999999999,0.0205599999999997,0.0135793752624956,14833,27015
"GSD_error_C1_lumen.1.",2.07439097487814,0.012982443690002,1.51612834194289,1.11116,1.231395,1.473345,2.15571,7.191898,13616,1.00006255694347,1,1.1230545,1.473345,5.540452,0.000390000000000001,0.00180000000000002,0.00451000000000001,0.0184249999999999,0.0615550000000002,0.00918017032084169,19362,18407
"GSD_error_C2_blood.1.",1.64026417885264,0.0100259853507248,1.12101174004797,1.10351,1.1482075,1.25029,1.5617,5.35596724999999,12519,1.00024404126993,1,1.10722,1.25029,3.648664,0.000149999999999983,0.000624999999999987,0.00185500000000005,0.00605,0.153855,0.00724266598004068,18697,15041
"GSD_error_C2_cell.1.",3.90293267529059,0.0183092278869349,2.37201483332242,1.1671375,1.9182675,3.19816,5.45695,9.33265075,16756,1.00054575491453,1,1.236329,3.19816,8.7747805,0.00244000000000011,0.01191,0.024775,0.0327299999999999,0.0222299999999995,0.0129468040646649,16432,27641
"GSD_error_C2_lumen.1.",2.59122369547557,0.013051378388885,1.86037941314054,1.1307745,1.36884,1.820085,3.015795,8.3036445,20251,1.00015551200918,1,1.1585575,1.820085,7.027875,0.000775000000000081,0.00305499999999992,0.00883500000000004,0.0245,0.0517300000000001,0.00922885056960723,19799,26577
"LnPrior",-32.0968727380952,0.0415344837971267,1.50795770396688,-35.42271,-33.00657,-31.96963,-31.0247975,-29.57206025,1301,1.00314177958102,1,-34.751705,-31.96963,-29.8801685,0.123139999999999,0.0463300000000011,0.0324600000000004,0.0247200000000003,0.0187600000000003,0.0297396928519769,1503,1939
"LnData",-16.6817722654981,0.0355839309191148,3.12376754876768,-23.415959,-18.70156,-16.43094,-14.4271025,-11.30031175,7653,1.00028238414955,1,-22.2038575,-16.43094,-11.97288,0.1104,0.0468799999999998,0.0289800000000007,0.0241500000000006,0.0312700000000001,0.0267771248728263,8463,5558
"LnPosterior",-48.7786450028121,0.0623646002726432,4.30999282891004,-58.128836,-51.49592,-48.426795,-45.69007,-41.3711475,4749,1.0006715005041,1,-56.421829,-48.426795,-42.3110195,0.239345,0.0747450000000001,0.049665000000001,0.0454499999999989,0.056275000000003,0.0455871155431338,5328,3834
