"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-6.10889,-2.94266,2.16021,-0.533253,1.20721,8.45413,1.16849,8.57424,2.92334,2.76342,-33.80776,-18.44434,-52.2521
60060,-6.87973,-3.71005,2.1857,-0.957064,1.6185,3.69244,1.2456,1.67419,3.18399,1.39354,-31.06275,-15.1881,-46.25085
60090,-6.72375,-3.71005,2.96253,-0.117175,7.1899,3.56143,1.47055,1.13016,1.50176,5.19077,-32.95044,-17.57676,-50.5272
60120,-4.68761,-2.61586,5.03411,3.77915,1.37782,1.76166,1.38535,1.21077,4.12758,4.76948,-32.0067,-15.54294,-47.54964
60150,-5.2397,-3.19205,5.84826,3.72066,1.67064,1.76646,1.7637,1.26901,1.67309,1.77902,-30.64701,-16.25989,-46.9069
60180,-5.00464,-3.18618,5.53739,3.64971,1.64974,4.32495,2.82049,1.11031,4.61534,1.82626,-32.87478,-15.65788,-48.53266
60210,-4.51103,-3.3045,4.41566,3.29163,3.35506,1.57846,1.59065,1.11031,3.86935,1.52915,-31.52617,-14.76487,-46.29104
60240,-6.79642,-2.76459,6.03119,3.06754,3.62235,4.0825,2.96838,1.47863,5.04978,2.45928,-34.32982,-22.16099,-56.49082
60270,-6.41881,-3.33354,5.34121,2.84873,8.82831,2.0152,1.12812,1.16156,9.03191,2.57242,-33.83469,-17.43825,-51.27294
60300,-5.589,-3.01505,4.6965,2.56979,1.146,2.19787,1.13215,1.17837,5.20197,1.76698,-30.9068,-13.19484,-44.10164
60330,-6.70763,-3.21617,4.7216,1.38876,1.52806,4.80031,1.30346,1.14045,1.19717,1.84932,-30.57123,-13.91685,-44.48808
60360,-6.2943,-3.72548,3.52333,1.44171,2.56276,2.06848,1.28141,1.29999,2.32083,2.19991,-31.08754,-16.63977,-47.72732
60390,-7.27624,-3.61314,2.98193,-0.583701,1.29345,4.06171,9.57263,1.15283,1.57702,1.25679,-31.87136,-15.3898,-47.26115
60420,-7.86083,-3.28751,2.70826,-1.55949,1.66151,8.50681,1.2017,1.3126,3.20535,7.90647,-33.41237,-18.28625,-51.69861
60450,-8.29595,-4.23713,1.7723,-2.50136,1.4307,4.15961,2.00631,1.43669,8.45624,2.76401,-32.95139,-21.24764,-54.19903
60480,-8.05751,-2.36582,1.81629,-3.20276,1.69392,9.35888,1.11266,1.80386,5.46048,1.9199,-32.7975,-22.21579,-55.01328
60510,-8.45035,-3.07726,1.90842,-2.90283,1.23846,5.86915,1.17596,1.27974,7.70414,9.19717,-33.63695,-18.39773,-52.03467
60540,-6.95758,-3.81528,2.20502,-1.16186,5.83879,3.98461,2.87794,1.38646,1.95788,1.49034,-32.64148,-19.25284,-51.89432
60570,-6.16396,-4.43505,1.49405,-0.446909,1.87909,1.78927,1.16825,1.19417,7.9133,2.2508,-31.44023,-16.01257,-47.4528
60600,-4.99251,-3.63181,2.44573,1.69354,2.47578,1.73122,1.43934,1.12021,6.85392,1.56139,-31.53285,-14.23029,-45.76314
60630,-5.62239,-5.05977,4.43025,4.10493,2.31094,2.15009,1.53875,1.40742,6.62507,8.24513,-33.90385,-24.21238,-58.11622
60660,-6.99211,-4.36845,5.99914,2.56862,4.13677,3.74308,1.93685,1.35604,1.78054,3.07234,-32.96227,-20.29779,-53.26006
60690,-5.9477,-3.66352,5.67809,2.60752,1.53106,2.94625,3.12591,1.85904,3.69221,1.8748,-32.7492,-20.21135,-52.96056
60720,-6.39099,-3.41555,4.13041,0.814541,1.39829,3.83959,1.50658,1.86397,1.36218,1.63517,-30.81152,-16.90351,-47.71503
60750,-7.34798,-2.95015,3.74228,-0.140416,1.25163,9.8513,2.74267,1.68625,3.65566,2.64147,-33.53747,-19.24401,-52.78148
60780,-5.73075,-3.61831,4.06383,2.00458,1.22209,5.38126,2.68422,1.12326,4.67195,1.3906,-32.22412,-13.9137,-46.13782
60810,-5.52074,-3.22977,4.37188,2.24697,1.67076,1.92115,8.0289,1.23237,4.5602,1.35544,-32.7,-16.85522,-49.55522
60840,-4.31229,-2.07022,3.65786,2.68258,1.16532,6.09119,7.6163,1.85083,5.45059,3.31587,-34.94789,-20.55868,-55.50657
60870,-6.73841,-3.17311,4.68805,1.98306,1.35938,4.54931,7.14315,1.13547,1.48362,8.46244,-33.8694,-20.49039,-54.3598
60900,-4.23613,-2.8135,4.1945,3.19955,1.44983,8.23192,1.2847,1.13398,9.19917,2.96432,-33.66791,-16.14262,-49.81053
60930,-5.03345,-3.24898,3.37912,1.86448,1.50863,1.85784,1.78198,1.25618,3.26482,1.47194,-30.72535,-14.25944,-44.9848
60960,-5.87215,-3.20597,3.02805,0.599645,1.52444,1.79768,1.47472,2.04789,7.71579,1.13739,-31.49209,-19.35688,-50.84897
60990,-5.37678,-2.36783,2.85596,0.851635,2.54934,2.99843,1.50286,1.83366,2.53651,4.78728,-32.78362,-19.5981,-52.38172
61020,-6.10223,-3.18875,2.85596,0.789118,1.55434,2.18413,1.16041,1.37427,1.59664,5.35337,-31.03824,-16.56005,-47.59829
61050,-6.1818,-2.50813,4.89122,1.87016,1.34569,4.07958,5.05026,2.24485,2.73672,6.63024,-34.48614,-21.73801,-56.22415
61080,-6.72566,-3.58222,7.5833,4.27729,1.78441,9.01318,1.2246,1.14096,1.28654,1.69534,-31.76395,-13.52665,-45.2906
61110,-5.77132,-3.67196,8.53803,6.55797,1.54078,3.60961,1.2754,1.10679,3.9578,1.88435,-32.26416,-12.58004,-44.8442
61140,-6.38961,-3.38276,8.10823,4.67312,1.76348,3.07804,2.31928,1.16913,7.75724,1.14589,-32.84422,-14.55638,-47.40061
61170,-6.52869,-3.49958,6.57404,4.0222,3.22407,2.85321,1.11094,1.27149,3.19529,1.31144,-31.74387,-13.68462,-45.42849
