"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.07320035,0.030292395,0.17924555,1,"Blood","AtoB"
0.142253,0.060034675,0.33303455,2,"Blood","AtoB"
0.207014,0.088987605,0.46277885,3,"Blood","AtoB"
0.2674265,0.1170981,0.57167465,4,"Blood","AtoB"
0.323713,0.1442085,0.6615683,5,"Blood","AtoB"
0.376331,0.17039065,0.7412146,6,"Blood","AtoB"
0.425369,0.1955719,0.80903385,7,"Blood","AtoB"
0.4709695,0.22000945,0.8700065,8,"Blood","AtoB"
0.5134865,0.2435832,0.92191555,9,"Blood","AtoB"
0.552754,0.26661755,0.9683386,10,"Blood","AtoB"
0.589243,0.2886392,1.007441,11,"Blood","AtoB"
0.622691,0.3090764,1.039821,12,"Blood","AtoB"
0.6540705,0.32951245,1.0705815,13,"Blood","AtoB"
0.68343,0.34924865,1.0970705,14,"Blood","AtoB"
0.7101195,0.3684574,1.119683,15,"Blood","AtoB"
0.735444,0.38630305,1.1399505,16,"Blood","AtoB"
0.7588195,0.4038825,1.1584715,17,"Blood","AtoB"
0.780735,0.421055,1.174592,18,"Blood","AtoB"
0.801138,0.437845,1.1894525,19,"Blood","AtoB"
0.8202665,0.45299135,1.202692,20,"Blood","AtoB"
0.838079,0.46799645,1.2139815,21,"Blood","AtoB"
0.855036,0.48286805,1.225293,22,"Blood","AtoB"
0.871242,0.49678285,1.2338935,23,"Blood","AtoB"
0.886257,0.50956555,1.2426915,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
9.90743,0.4968764,138.73025,1,"Cell","AtoB"
10.4769,0.89273425,131.24765,2,"Cell","AtoB"
10.9253,1.252802,124.10715,3,"Cell","AtoB"
11.3441,1.578721,117.90235,4,"Cell","AtoB"
11.68345,1.863351,112.6078,5,"Cell","AtoB"
11.94725,2.1226675,108.03045,6,"Cell","AtoB"
12.1926,2.359218,103.92055,7,"Cell","AtoB"
12.41565,2.571316,99.90542,8,"Cell","AtoB"
12.6325,2.7433395,96.73677,9,"Cell","AtoB"
12.8368,2.8936245,93.82036,10,"Cell","AtoB"
12.95225,3.0260415,90.670775,11,"Cell","AtoB"
13.0577,3.1569255,88.38629,12,"Cell","AtoB"
13.1596,3.265768,85.900815,13,"Cell","AtoB"
13.26815,3.353366,83.71258,14,"Cell","AtoB"
13.38935,3.428715,81.708585,15,"Cell","AtoB"
13.47765,3.492722,79.723935,16,"Cell","AtoB"
13.59215,3.5447045,78.111925,17,"Cell","AtoB"
13.689,3.605688,76.943865,18,"Cell","AtoB"
13.75895,3.649191,75.58135,19,"Cell","AtoB"
13.82855,3.691296,74.288765,20,"Cell","AtoB"
13.88045,3.7388315,73.122215,21,"Cell","AtoB"
13.9271,3.7740775,72.09918,22,"Cell","AtoB"
13.95625,3.791944,70.96654,23,"Cell","AtoB"
14.0126,3.801817,70.06528,24,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.759705,4.414164,4.8992545,1,"Lumen","AtoB"
4.5433,3.9404715,4.8048025,2,"Lumen","AtoB"
4.340525,3.5330775,4.7140525,3,"Lumen","AtoB"
4.15113,3.1922955,4.626418,4,"Lumen","AtoB"
3.974405,2.9111675,4.541879,5,"Lumen","AtoB"
3.80957,2.6675335,4.4603745,6,"Lumen","AtoB"
3.656265,2.4492525,4.380422,7,"Lumen","AtoB"
3.51339,2.259898,4.302787,8,"Lumen","AtoB"
3.38076,2.0992245,4.228947,9,"Lumen","AtoB"
3.25822,1.9573455,4.158969,10,"Lumen","AtoB"
3.14364,1.8345695,4.08988,11,"Lumen","AtoB"
3.038705,1.7305325,4.0231225,12,"Lumen","AtoB"
2.94135,1.6345375,3.959518,13,"Lumen","AtoB"
2.85006,1.5523235,3.8971815,14,"Lumen","AtoB"
2.76623,1.480812,3.838092,15,"Lumen","AtoB"
2.68744,1.4181555,3.780892,16,"Lumen","AtoB"
2.6137,1.360592,3.7268075,17,"Lumen","AtoB"
2.54512,1.3090005,3.6731605,18,"Lumen","AtoB"
2.4804,1.267808,3.62055,19,"Lumen","AtoB"
2.421745,1.223446,3.5744805,20,"Lumen","AtoB"
2.365805,1.1884685,3.5260285,21,"Lumen","AtoB"
2.312105,1.1562345,3.4798675,22,"Lumen","AtoB"
2.26127,1.1269855,3.4347015,23,"Lumen","AtoB"
2.214635,1.100747,3.3949415,24,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.907485,4.6909565,4.9613715,1,"Blood","BtoA"
4.82526,4.440613,4.928781,2,"Blood","BtoA"
4.74839,4.2389845,4.897583,3,"Blood","BtoA"
4.676875,4.072418,4.867654,4,"Blood","BtoA"
4.610385,3.924944,4.8392415,5,"Blood","BtoA"
4.5487,3.7947885,4.811942,6,"Blood","BtoA"
