"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-0.499972092866267,0.199308349586667,4.29016274407328,-5.25507475,-3.3524425,-2.12854,1.3787125,10.6827875,463,1.01039897794006,1,-4.802849,-2.12854,8.340573,0.0415200000000002,0.0607950000000002,0.12886,0.385734,0.810315,0.141021096580697,578,701
"p_2.1.",-1.1345661004286,0.205743020908658,4.37400294199537,-5.31349925,-4.3124275,-2.938015,0.92321675,10.15132,452,1.01158617228159,1,-5.038144,-2.938015,7.871422,0.0220050000000001,0.0457350000000001,0.17367,0.404714,0.781565,0.145576272086685,532,696
"p_3.1.",-2.23283889645325,0.211532880533308,3.54384323893304,-5.0077295,-4.2274725,-3.841085,-1.63377,8.20275624999999,290,1.01123155666139,1,-4.7423795,-3.841085,5.6833605,0.0194299999999998,0.013185,0.03745,0.43416,1.04689,0.149732047844799,434,396
"p_4.1.",-2.02524955949566,0.225432478030701,3.82020855643646,-6.14472275,-4.3105925,-3.390425,-1.012845,8.95626749999998,300,1.01063879869448,1,-5.6284805,-3.390425,6.2859125,0.0333350000000001,0.0359500000000001,0.07196,0.4048765,0.98525,0.159567014806927,430,375
"GSD_error_C1_blood.1.",2.54946503218348,0.0111713486632412,1.74811428548789,1.1784675,1.432175,1.83958,2.89449,8.02119975,24484,1.00006349562678,1,1.212822,1.83958,6.6877015,0.00145499999999998,0.00281000000000009,0.00664999999999993,0.019225,0.0399550000000004,0.00789943039200552,26373,26736
"GSD_error_C1_cell.1.",3.75320574053243,0.0158748946212626,2.35505190298709,1.15778975,1.8159275,3.003,5.1877,9.310839,22048,1.00019222173683,1,1.2189675,3.003,8.6786175,0.00248999999999999,0.00894000000000006,0.021285,0.0358199999999997,0.0208300000000001,0.0112253941159921,21055,28771
"GSD_error_C1_lumen.1.",1.85948130171229,0.00862700477559056,1.32044015927815,1.10761,1.1952675,1.368445,1.85153,6.3251085,23405,0.99998214015791,1,1.115653,1.368445,4.580415,0.000340000000000007,0.00122500000000003,0.00270000000000004,0.00966999999999996,0.095815,0.00610028947120049,23588,25062
"GSD_error_C2_blood.1.",1.52381532433446,0.0099051084392368,0.964149924513664,1.10299075,1.1389875,1.214685,1.4407375,4.449978,9462,1.00013215527988,1,1.1061345,1.214685,2.9964045,8.50000000000017e-05,0.000545000000000018,0.00134000000000001,0.00569500000000001,0.15723,0.0070707917530947,18217,11654
"GSD_error_C2_cell.1.",3.73309867766529,0.016030910548307,2.35856282776327,1.15785,1.79188,2.9737,5.1585925,9.3190755,21665,1.00007025142363,1,1.2141545,2.9737,8.6421305,0.00186500000000001,0.00994500000000009,0.0194449999999999,0.0307000000000004,0.0226199999999999,0.0113357183293947,20984,29681
"GSD_error_C2_lumen.1.",3.01940599143857,0.0123653806800495,2.00432912945881,1.219235,1.5853775,2.218595,3.732905,8.68699925,26264,1.00017620271535,1,1.269776,2.218595,7.6656505,0.00180000000000002,0.00447500000000001,0.010535,0.02674,0.0349850000000007,0.00874374164911484,26790,29967
"LnPrior",-32.0389347915886,0.0364239469380962,1.5219228178293,-35.3249855,-32.9872575,-31.928945,-30.9544875,-29.38374725,1739,1.00052498444078,1,-34.707057,-31.928945,-29.7479875,0.108280000000001,0.0439800000000012,0.0341899999999988,0.0247600000000006,0.0215200000000006,0.0261620253231074,1948,2443
"LnData",-7.7829353278296,0.0224889621538694,3.02107364964379,-14.20248325,-9.72897625,-7.5779365,-5.6227175,-2.48344565,18005,1.00006072398547,1,-13.0774035,-7.5779365,-3.1976773,0.0667,0.0332474999999999,0.0245249999999997,0.0221625000000003,0.0322559999999998,0.0159724984940504,18068,21963
"LnPosterior",-39.8218701346707,0.048199640565209,4.1988926088413,-48.7294905,-42.503,-39.563185,-36.8411475,-32.3485265,7540,1.00004579626229,1,-47.095263,-39.563185,-33.41017,0.113849999999999,0.0544399999999996,0.0445050000000009,0.0441499999999984,0.0507199999999983,0.034083602640775,7632,16824
