"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-2.13885,-1.85874,-4.00845,-2.66887,2.72205,1.28528,2.12201,1.51605,3.38914,3.9185,-31.85451,-11.76036,-43.61487
60060,-0.255434,-0.547607,-4.3256,-4.32936,1.94394,6.93332,1.52864,1.15069,3.50254,1.43823,-31.71839,-5.245683,-36.96408
60090,-0.528579,-0.311304,-4.26183,-5.0755,3.86437,1.85319,1.57435,1.11417,1.83973,3.42834,-31.29502,-8.139791,-39.43481
60120,-0.183727,-0.724589,-3.04764,-3.23752,4.00028,2.19563,1.99109,1.78517,1.53007,2.84733,-31.90046,-11.71124,-43.6117
60150,-0.293242,-1.39972,-3.8317,-3.87595,1.72933,3.03738,1.47588,1.15819,1.34916,1.79211,-29.99351,-4.996991,-34.99051
60180,-2.19243,-2.1923,-4.24379,-5.34273,1.39449,1.80455,1.59133,1.10274,2.62149,4.43868,-30.70901,-5.584898,-36.29391
60210,-1.21268,-1.55583,-3.86317,-3.05198,4.23785,1.3638,1.16064,1.50618,2.36939,2.22818,-30.86409,-7.676412,-38.5405
60240,1.28119,1.27258,-3.95047,-3.8843,1.57285,1.72972,1.14272,1.35002,1.65939,5.50731,-30.78571,-6.131724,-36.91744
60270,1.4954,0.142001,-4.93736,-4.0601,2.55525,4.70864,1.76537,1.13027,1.60168,6.66284,-32.61099,-9.516325,-42.12731
60300,4.66877,3.62368,-4.6384,-4.1828,2.01272,4.75897,1.43764,1.3345,1.30475,6.57363,-32.59746,-8.282575,-40.88003
60330,3.96529,3.33716,-4.43562,-3.90281,1.25965,2.88203,1.17149,1.55611,1.86466,1.23025,-30.18505,-4.712974,-34.89802
60360,5.74706,4.38624,-3.99716,-4.50044,2.27487,8.5738,1.18275,1.13798,4.76289,1.97305,-33.21319,-8.736445,-41.94964
60390,3.16364,2.84103,-3.31828,-4.93308,1.88846,1.74696,3.62982,1.87521,2.46554,4.57633,-32.90524,-13.56427,-46.4695
60420,2.61519,2.03694,-4.13591,-4.00603,3.76748,7.87001,1.6196,1.24906,3.2567,1.31363,-32.81813,-7.558148,-40.37628
60450,3.40909,2.21245,-4.41585,-3.4838,1.75541,2.77045,1.30138,1.15201,1.66352,1.70855,-30.38009,-4.139543,-34.51963
60480,3.44488,1.74554,-3.8443,-2.51098,1.24563,3.59789,1.41174,1.12262,1.80485,2.9508,-30.99406,-8.707454,-39.70151
60510,5.53746,3.87045,-4.66602,-2.75448,1.44772,5.02742,1.48845,1.2506,5.38308,1.39322,-32.29358,-7.311214,-39.6048
60540,5.32099,4.82449,-4.65303,-6.53269,1.18763,2.74156,1.16259,4.78226,2.23919,4.37638,-32.84737,-14.47185,-47.31922
60570,3.71477,4.38164,-4.39872,-5.39972,1.75748,1.6772,1.80604,9.06799,9.63841,2.03836,-34.35949,-12.10014,-46.45964
60600,4.47947,4.87943,-4.26375,-5.34786,7.23369,2.84992,1.13104,2.33551,2.12152,4.89891,-33.9533,-12.07972,-46.03301
60630,3.44538,2.23954,-3.88925,-3.08787,3.50284,6.61051,1.21055,4.3101,1.47776,1.54214,-32.99329,-9.51151,-42.5048
60660,1.76549,2.36259,-3.96765,-5.53219,1.88506,7.66431,1.21661,1.45301,7.57185,2.06102,-33.20152,-7.839641,-41.04116
60690,2.07408,1.96489,-3.99799,-4.52554,2.49727,1.44871,1.17251,1.67757,6.68427,1.29732,-31.34299,-5.438923,-36.78192
60720,2.01961,0.956786,-4.13916,-3.72562,4.95922,7.09343,1.20769,1.1756,1.29752,2.0418,-32.0522,-5.269228,-37.32143
60750,2.36345,0.949892,-4.84084,-3.31059,3.14378,2.36291,1.52135,1.135,3.19181,1.53363,-31.3278,-7.96863,-39.29643
60780,1.73919,1.10935,-3.8038,-3.51238,1.47311,1.57951,1.21737,1.12255,1.3556,6.61394,-30.5205,-4.282958,-34.80345
60810,1.75113,1.97957,-3.73721,-5.18212,2.08079,4.9826,3.91793,2.41465,3.50528,1.80479,-33.6264,-13.28825,-46.91465
60840,1.59942,2.66487,-3.86083,-5.29805,1.45781,5.85318,3.73373,9.4624,3.91409,1.93048,-34.96042,-15.46024,-50.42067
60870,1.10446,0.92556,-4.02674,-4.32953,1.27331,6.9596,1.38181,6.57665,5.83811,3.10422,-34.38179,-11.83201,-46.21381
60900,0.197316,-0.034264,-4.68858,-4.63202,1.97216,2.74322,5.27306,7.27984,1.80391,2.61796,-33.86104,-14.16203,-48.02307
60930,-0.75763,-1.62841,-4.97541,-5.36809,2.084,6.22277,2.52021,9.97312,9.2571,2.96811,-35.93685,-17.26031,-53.19716
60960,-0.347451,-0.905492,-4.28662,-4.97948,1.28273,4.27273,1.15859,5.16392,1.54476,2.91887,-31.90035,-8.471914,-40.37227
60990,-1.33008,-1.16161,-4.06713,-4.43067,1.49089,1.35691,1.18196,1.21514,4.71785,1.78195,-30.05711,-3.76846,-33.82557
61020,-1.02279,-2.01156,-3.59648,-2.54747,4.18205,1.75181,1.20832,1.1366,1.84674,6.55192,-31.702,-6.647996,-38.34999
61050,-1.98796,-2.49297,-4.27284,-3.78437,1.28493,3.75196,1.34629,1.19313,1.92752,5.67605,-31.23317,-5.657099,-36.89027
61080,-2.61253,-4.32244,-3.72959,-3.04252,1.21615,4.21511,1.42113,1.28743,6.28819,6.33583,-32.67858,-7.874282,-40.55286
61110,-2.13027,-2.43398,-4.01708,-4.21625,1.71137,1.56037,1.77769,1.26799,5.65996,3.70993,-31.62578,-7.539228,-39.16501
61140,-2.28458,-2.72752,-4.32344,-4.1358,1.33427,1.73971,1.5948,1.17921,7.99485,1.48921,-30.7174,-3.907906,-34.62531
61170,-2.4611,-3.22096,-3.62216,-2.50149,1.40722,1.9253,1.48588,1.1958,1.53742,2.40903,-29.68661,-4.646337,-34.33295
61200,-3.20379,-3.70393,-3.42438,-5.05308,6.15394,3.49477,1.45335,1.12115,1.45808,3.62684,-31.93724,-9.908037,-41.84527
