"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0436179,0.01884108,0.077409595,1,"Blood","AtoB"
0.08586715,0.037356475,0.1505983,2,"Blood","AtoB"
0.1268185,0.05559847,0.2198371,3,"Blood","AtoB"
0.1664195,0.073495635,0.2849573,4,"Blood","AtoB"
0.2046555,0.091115135,0.34624145,5,"Blood","AtoB"
0.2416595,0.10842305,0.4038793,6,"Blood","AtoB"
0.2773745,0.125474,0.4582463,7,"Blood","AtoB"
0.311979,0.14220685,0.50932015,8,"Blood","AtoB"
0.34525,0.15864635,0.5570761,9,"Blood","AtoB"
0.3776275,0.17468555,0.60219045,10,"Blood","AtoB"
0.4087965,0.190643,0.64510005,11,"Blood","AtoB"
0.4388685,0.2063934,0.6855784,12,"Blood","AtoB"
0.4679715,0.2214034,0.723069,13,"Blood","AtoB"
0.496168,0.23638735,0.75912495,14,"Blood","AtoB"
0.523223,0.25118675,0.7929283,15,"Blood","AtoB"
0.5494265,0.26553305,0.8253129,16,"Blood","AtoB"
0.5749295,0.2799889,0.8559146,17,"Blood","AtoB"
0.5994455,0.2940699,0.8845482,18,"Blood","AtoB"
0.6228695,0.307942,0.91161705,19,"Blood","AtoB"
0.645731,0.32151105,0.93734735,20,"Blood","AtoB"
0.6679025,0.3349096,0.96236615,21,"Blood","AtoB"
0.689111,0.3479589,0.9852367,22,"Blood","AtoB"
0.7097275,0.36059325,1.0074055,23,"Blood","AtoB"
0.7297055,0.37310435,1.028057,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
0.6011185,0.01613037,7.5601085,1,"Cell","AtoB"
0.6087005,0.0297399,7.333603,2,"Cell","AtoB"
0.615552,0.042136625,7.1103995,3,"Cell","AtoB"
0.6289535,0.053553745,6.922443,4,"Cell","AtoB"
0.63853,0.06418592,6.758284,5,"Cell","AtoB"
0.64995,0.073924055,6.550139,6,"Cell","AtoB"
0.656573,0.08316913,6.3854865,7,"Cell","AtoB"
0.665478,0.09242648,6.223212,8,"Cell","AtoB"
0.672884,0.1007229,6.0702645,9,"Cell","AtoB"
0.680676,0.108378,5.927981,10,"Cell","AtoB"
0.6900505,0.1158854,5.774495,11,"Cell","AtoB"
0.694054,0.1229472,5.664704,12,"Cell","AtoB"
0.6986055,0.12964395,5.5489975,13,"Cell","AtoB"
0.702411,0.1357749,5.425435,14,"Cell","AtoB"
0.7068285,0.1418942,5.2963605,15,"Cell","AtoB"
0.7097545,0.14644775,5.171442,16,"Cell","AtoB"
0.7144195,0.151692,5.060737,17,"Cell","AtoB"
0.7188285,0.1570209,4.949168,18,"Cell","AtoB"
0.7227685,0.1620968,4.864827,19,"Cell","AtoB"
0.7245025,0.16664835,4.7660785,20,"Cell","AtoB"
0.7252955,0.1701096,4.6752005,21,"Cell","AtoB"
0.727566,0.1740618,4.619103,22,"Cell","AtoB"
0.728398,0.17743585,4.540797,23,"Cell","AtoB"
0.729204,0.1810419,4.4735375,24,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.86264,4.756543,4.940223,1,"Lumen","AtoB"
4.730355,4.5272095,4.882342,2,"Lumen","AtoB"
4.601875,4.310478,4.82503,3,"Lumen","AtoB"
4.47789,4.1066995,4.769033,4,"Lumen","AtoB"
4.358075,3.9144815,4.7138125,5,"Lumen","AtoB"
4.24221,3.7339085,4.6595315,6,"Lumen","AtoB"
4.130195,3.5634285,4.60618,7,"Lumen","AtoB"
4.02194,3.402817,4.553993,8,"Lumen","AtoB"
3.917505,3.2540485,4.5020695,9,"Lumen","AtoB"
3.816175,3.112814,4.4517015,10,"Lumen","AtoB"
3.718555,2.9785105,4.40167,11,"Lumen","AtoB"
3.62432,2.8517485,4.352911,12,"Lumen","AtoB"
3.5332,2.7342755,4.305361,13,"Lumen","AtoB"
3.44491,2.622202,4.25867,14,"Lumen","AtoB"
3.35988,2.515387,4.212373,15,"Lumen","AtoB"
3.27767,2.415334,4.1675605,16,"Lumen","AtoB"
3.197985,2.31913,4.122332,17,"Lumen","AtoB"
3.12135,2.228319,4.077677,18,"Lumen","AtoB"
3.04786,2.1435505,4.03481,19,"Lumen","AtoB"
2.97629,2.0628175,3.992128,20,"Lumen","AtoB"
2.90681,1.984301,3.9498375,21,"Lumen","AtoB"
2.840145,1.912633,3.9086665,22,"Lumen","AtoB"
2.77571,1.843081,3.869304,23,"Lumen","AtoB"
2.713285,1.778229,3.830329,24,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.97131,4.9257095,4.99129,1,"Blood","BtoA"
4.94377,4.85522,4.9830705,2,"Blood","BtoA"
4.91707,4.7883645,4.975141,3,"Blood","BtoA"
4.89131,4.7247585,4.9673315,4,"Blood","BtoA"
4.86636,4.664557,4.95982,5,"Blood","BtoA"
4.842145,4.607685,4.952451,6,"Blood","BtoA"
4.818755,4.5537775,4.9454105,7,"Blood","BtoA"
4.79613,4.502594,4.938601,8,"Blood","BtoA"
4.77429,4.4536385,4.9318205,9,"Blood","BtoA"
4.753055,4.406411,4.9252925,10,"Blood","BtoA"
4.73242,4.361074,4.919123,11,"Blood","BtoA"
4.712745,4.3191715,4.913132,12,"Blood","BtoA"
4.69358,4.279037,4.9072215,13,"Blood","BtoA"
4.67504,4.2409845,4.901731,14,"Blood","BtoA"
4.656995,4.204379,4.8964525,15,"Blood","BtoA"
4.63947,4.170787,4.8911315,16,"Blood","BtoA"
4.62274,4.136816,4.88587,17,"Blood","BtoA"
