"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-4.89118363445963,0.164467046365531,4.94018061166232,-11.9074925,-8.6777075,-5.78991,-1.9500925,6.635876,900,1.00100532932994,1,-11.2566,-5.78991,4.443102,0.0412999999999997,0.0867000000000004,0.149385,0.24518,0.45966,0.116333378860026,1065,1274
"p_2.1.",4.80244993008064,0.162533431049281,4.87379098321641,-1.6596675,0.994756,3.874015,7.72251,16.2654875,897,1.00101783160222,1,-1.229724,3.874015,14.081475,0.0259999999999999,0.092398,0.153115,0.26391,0.437499999999999,0.120462253204204,1076,1255
"p_3.1.",2.56790502874373,0.134804844216651,4.78411910622959,-2.45859,-1.4679125,1.173785,5.3547375,14.374555,1261,1.00265793067473,1,-2.249624,1.173785,12.140205,0.01397,0.034565,0.161765,0.211135,0.37605,0.097426436164185,1542,1697
"p_4.1.",-7.67945617982971,0.139362058838436,5.00551625145018,-13.6887775,-11.8379,-8.828525,-4.6735875,4.3474545,1291,1.00263954136795,1,-13.31017,-8.828525,2.1857085,0.0251000000000001,0.0540999999999991,0.15057,0.207835,0.35912,0.0985661450557934,1557,1645
"GSD_error_C1_blood.1.",3.45688416541682,0.0158212045432402,2.12570527266062,1.30649975,1.840195,2.683,4.4613925,9.025157,17984,0.99998173149963,1,1.37788,2.683,8.2161665,0.00289000000000006,0.00741499999999995,0.015995,0.032435,0.0277850000000006,0.0111874618838368,17750,27178
"GSD_error_C1_cell.1.",2.89079033214598,0.0128193626368139,2.08805047590135,1.12241675,1.3877425,2.00038,3.65462,8.761021,26503,1.0000186746981,1,1.145786,2.00038,7.7851615,0.000824999999999965,0.00414499999999995,0.00992999999999988,0.0322799999999999,0.04244,0.00906475762407424,26567,29327
"GSD_error_C1_lumen.1.",4.35748860142482,0.0222369507118218,2.32042438838369,1.20747375,2.5027175,3.856895,5.9114775,9.4447275,10874,1.0003272303158,1,1.3227825,3.856895,8.9229805,0.00517499999999993,0.0246899999999999,0.0291699999999999,0.0345099999999996,0.0177299999999994,0.0157243199036706,8616,12173
"GSD_error_C2_blood.1.",4.72638804055743,0.0127614258397522,2.13199259357921,1.91963425,2.9963275,4.200305,6.131285,9.46327475,27874,0.999975782009115,1,2.0943915,4.200305,8.990143,0.00573999999999997,0.0110050000000002,0.0198049999999999,0.0256249999999998,0.0196899999999998,0.00902378510564562,26785,28992
"GSD_error_C2_cell.1.",3.43617037745282,0.0133675149671864,2.2281973849946,1.18228525,1.701315,2.601405,4.570455,9.14534575,27783,1.00007425921245,1,1.24657,2.601405,8.3454735,0.00227500000000003,0.00579000000000007,0.0136649999999998,0.0342100000000003,0.0315250000000002,0.00945235989139257,28060,31237
"GSD_error_C2_lumen.1.",4.76040487064117,0.0131702721658563,2.17728970599826,1.90719725,2.94629,4.25379,6.2746575,9.51624875,27257,1.00008368770538,1,2.060761,4.25379,9.0449765,0.00792999999999999,0.0113099999999999,0.0193000000000003,0.027625,0.0149900000000001,0.00931288834262528,27076,30295
"LnPrior",-35.0079947856518,0.0297643089407431,1.59793043875772,-38.419828,-35.9954825,-34.91234,-33.8988775,-32.1971165,2871,1.00078302337132,1,-37.7749485,-34.91234,-32.575356,0.0852950000000021,0.0353700000000003,0.0267400000000002,0.0207499999999996,0.0174599999999998,0.0213391962466192,3179,3753
"LnData",-32.3979284780027,0.0162155907675495,1.8852713904459,-36.25948125,-33.5523225,-32.369785,-31.202425,-28.65530825,13511,1.00026463208073,1,-35.5161005,-32.369785,-29.379117,0.048095,0.014644999999998,0.0147900000000014,0.0188199999999998,0.0420750000000005,0.011466401644397,13367,14865
"LnPosterior",-67.4059233770779,0.0378218743277944,3.011547930164,-73.4469805,-69.3850625,-67.353905,-65.3806,-61.57930525,6331,1.00071167931557,1,-72.4180235,-67.353905,-62.5323535,0.0706149999999965,0.0410400000000024,0.0382099999999994,0.0399199999999951,0.0664599999999993,0.0268405063340976,6402,11934
