"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-5.96957,3.69956,0.337536,-10.0322,1.79531,1.17769,9.28857,2.5997,3.95511,3.08097,-33.66171,-29.89992,-63.56163
60060,-7.65118,1.41178,-2.17975,-12.3928,2.28606,6.67005,1.82397,4.71573,1.67009,8.61872,-34.57013,-31.32281,-65.89293
60090,-6.90093,3.17706,-0.0529568,-10.3152,1.63032,2.25661,3.0839,8.40775,1.8938,5.35981,-34.04615,-31.97631,-66.02246
60120,-5.43541,2.32076,-2.33707,-11.8114,1.47368,2.28773,5.42139,4.71788,7.96369,5.77627,-35.35058,-34.83548,-70.18606
60150,-9.48768,0.482575,0.280775,-10.362,4.64689,3.55731,4.81355,7.52533,5.7359,5.00534,-36.78918,-34.04888,-70.83806
60180,-7.60015,1.74246,-1.41939,-11.5938,1.91402,2.48253,6.47339,7.4403,3.56108,3.39884,-34.97307,-31.51218,-66.48525
60210,-5.97044,3.77258,-2.19411,-13.0812,1.87891,1.14646,6.1064,9.83011,2.95096,6.44535,-35.03479,-31.24558,-66.28037
60240,-5.3844,5.11964,-1.44994,-12.9139,5.30581,1.36052,2.73474,3.27577,1.20613,5.79976,-33.48333,-29.90495,-63.38828
60270,-1.07677,9.22447,-1.1341,-12.6408,1.48165,1.10242,5.53447,6.14512,6.20705,6.95772,-35.70851,-34.59292,-70.30144
60300,-1.48155,8.0238,-2.51583,-14.4729,1.8809,1.26114,1.52094,4.86626,1.96337,6.77713,-33.26033,-29.89405,-63.15438
60330,-1.21463,8.21899,-0.0324492,-10.663,2.66708,3.77858,9.73643,6.14124,3.83451,2.68897,-36.51731,-32.93986,-69.45717
60360,-2.08349,8.32978,-0.240008,-10.7543,2.50647,1.30744,5.95566,5.59767,3.78513,7.1971,-35.7515,-32.19285,-67.94435
60390,-1.80032,8.87788,-1.50252,-12.873,6.09836,1.30376,1.85089,4.87266,1.25204,3.03743,-33.45714,-29.44565,-62.90279
60420,-1.7632,8.22021,-1.46026,-12.4914,2.36837,4.21549,1.47727,2.82531,5.5158,8.29664,-35.31187,-31.35147,-66.66334
60450,-2.46374,6.16744,-0.154941,-11.4659,3.54195,7.11612,5.59126,7.43456,1.72855,8.67594,-37.19796,-36.35229,-73.55025
60480,0.86266,10.9942,-0.558914,-12.4385,2.11964,6.50541,7.00476,6.92691,1.5115,9.32022,-37.42125,-33.56773,-70.98899
60510,-0.0362799,9.75233,-0.518697,-11.0187,1.58187,1.71828,5.62251,4.0837,4.76504,2.99814,-34.80182,-30.83128,-65.6331
60540,-0.653425,9.21472,-0.135176,-11.0009,1.50554,2.87407,2.54848,4.86997,4.65641,2.06323,-34.17624,-33.30059,-67.47684
60570,-1.29103,7.79333,-0.770535,-10.2622,1.82268,2.01922,3.23593,5.39419,1.62389,3.02233,-33.43825,-30.91097,-64.34922
60600,-0.445984,8.70204,-1.46273,-11.6803,2.01323,1.73556,3.24318,2.73946,8.07768,3.15571,-34.51408,-30.67061,-65.18469
60630,-1.41363,8.24594,-1.73185,-12.5263,2.12943,1.20171,2.20386,3.25908,3.04873,5.84023,-33.55694,-28.57789,-62.13483
60660,-1.45932,8.1895,-2.06681,-13.5349,6.08878,1.5996,5.19867,3.65589,1.29571,5.08505,-34.8981,-32.26499,-67.16309
60690,-0.0653735,10.0589,0.213795,-10.6593,9.9668,1.36213,5.9112,3.66902,3.59643,6.10968,-36.84776,-33.0874,-69.93515
60720,-1.42014,8.15761,-1.63367,-11.4138,1.91309,1.55416,3.70286,6.85794,1.7581,3.04503,-33.71914,-30.17909,-63.89823
60750,-2.81413,6.32426,-1.03612,-10.5721,1.70671,1.81864,9.59938,2.31539,3.25108,5.73328,-34.62953,-31.89084,-66.52038
60780,-1.92794,6.90715,-2.22305,-11.7716,8.35228,1.26595,1.85906,2.41785,5.03177,2.56831,-33.97178,-34.29655,-68.26833
60810,-4.46982,5.03821,0.858748,-9.98537,2.00756,1.73136,5.65782,3.14052,2.72866,3.30243,-33.71168,-31.12475,-64.83643
60840,-4.84644,6.39378,-1.70761,-12.864,3.37572,5.38869,1.3858,6.30827,1.28592,1.60622,-33.27964,-34.23597,-67.51561
60870,-2.22367,7.01426,-2.11914,-12.9786,1.74562,1.31765,2.04968,3.9048,5.93526,2.23382,-33.10285,-30.9176,-64.02045
60900,-2.41436,7.90806,-1.23822,-11.2204,2.58655,5.79497,8.15537,2.30213,2.9472,2.55239,-35.31927,-33.55404,-68.87331
60930,0.109012,9.7005,-0.444047,-10.0491,1.45571,1.12699,8.39144,2.29605,3.88951,5.18024,-34.44359,-30.72386,-65.16746
60960,-0.0330524,9.48413,-1.42037,-12.3656,1.9408,2.94599,1.80463,9.52489,5.42409,4.81002,-35.83312,-30.84715,-66.68027
60990,-1.32619,8.32569,-1.73227,-10.9972,1.74149,2.96942,3.34313,8.28484,6.57276,3.01434,-35.67372,-33.17496,-68.84868
61020,0.295655,10.2089,-2.29594,-12.7848,2.99178,3.32489,2.63472,2.15377,1.4642,4.43043,-33.98051,-31.43499,-65.4155
61050,3.37782,12.9335,2.58403,-7.21723,5.23654,1.55843,2.29493,2.98434,1.54857,2.63176,-34.21868,-31.91372,-66.1324
61080,4.78556,15.7741,-0.831476,-11.6013,2.55189,1.97932,2.39874,2.45306,1.11976,7.90011,-34.81665,-32.3205,-67.13716
61110,7.65791,16.702,-1.4524,-11.0215,3.11133,1.62231,2.64896,8.65319,8.22778,1.85166,-37.11967,-33.02471,-70.14438
61140,6.68958,15.4327,-1.1223,-10.4448,1.32408,2.21652,4.02972,4.52541,2.74705,3.7819,-35.64036,-31.00572,-66.64608
61170,3.96318,14.0961,-1.52097,-11.9253,6.84149,2.07684,2.53699,4.82255,1.25712,3.4379,-35.50215,-30.64162,-66.14377
61200,4.11772,13.7788,-1.50049,-11.8294,1.55377,1.13481,2.38475,5.86288,1.71516,2.2905,-33.4136,-27.96796,-61.38156
61230,5.61831,14.7153,-3.20801,-12.4859,4.10347,1.28658,3.10068,8.34597,2.16638,3.22795,-35.95267,-35.25063,-71.2033
61260,6.08784,15.5811,-2.04996,-13.9902,4.69106,1.29518,8.93948,3.33395,7.67253,6.05182,-38.426,-33.59588,-72.02188
61290,3.5734,13.4808,-2.25619,-12.9671,2.0148,6.48089,1.98358,8.04834,3.39568,2.1134,-36.0791,-33.2242,-69.30331
61320,1.74332,12.4703,-1.53987,-11.5494,6.15645,2.77397,3.09522,4.26603,2.13664,2.35762,-35.48994,-32.75324,-68.24318
61350,4.81851,14.954,-1.87287,-10.984,5.75809,3.89851,2.84358,4.01277,5.93403,3.58874,-37.65008,-34.6649,-72.31499
61380,5.24654,14.5911,-1.4719,-12.3783,1.79026,2.32915,1.86246,2.82267,6.40482,4.10733,-35.44837,-30.05059,-65.49896
61410,3.26343,12.3115,1.2024,-8.52554,4.85719,2.97061,6.8364,6.00133,1.70513,3.26588,-36.70822,-33.27442,-69.98264
61440,3.66342,13.4464,2.38719,-9.88102,3.13998,4.10822,4.56465,3.34491,1.43451,5.32277,-36.22535,-35.56881,-71.79416
61470,4.19375,12.467,8.85013,-1.24071,1.84178,5.67551,3.24207,2.51578,4.48408,4.16776,-36.8783,-34.2925,-71.1708
61500,4.10428,14.0271,9.91275,0.212777,3.1114,1.33714,4.48019,3.21221,2.10117,6.87881,-36.69834,-31.01925,-67.71759
61530,4.08852,13.5379,8.45424,-0.930008,2.00916,1.94496,8.04249,2.16155,4.97257,7.12453,-37.40998,-32.73278,-70.14276
61560,4.68104,13.6367,6.5569,-4.03954,2.21899,1.26402,8.64633,3.54659,9.38866,2.94782,-37.15469,-32.6026,-69.75729
61590,3.34424,13.0283,7.60874,-2.77823,3.30126,1.40802,4.95168,3.23186,4.06814,2.66004,-36.01172,-31.19035,-67.20207
61620,3.51508,13.295,6.21144,-4.50183,2.42583,3.67647,5.49402,3.0152,1.64592,4.59335,-36.20483,-31.78392,-67.98875
61650,-0.413463,11.1647,5.52776,-4.96016,8.35982,1.50668,3.82301,3.05411,1.12525,5.34546,-35.33988,-32.53511,-67.87499
61680,-0.310019,9.78966,5.6164,-3.8314,8.56182,2.42413,6.09583,1.86869,4.84664,4.87229,-37.03673,-35.36082,-72.39755
61710,2.20503,12.1142,2.86934,-6.85897,8.23441,1.53064,6.43672,2.25329,1.33981,4.22506,-35.54671,-32.49307,-68.03978
61740,-0.688844,10.0903,4.6314,-6.13402,5.37073,2.27681,5.57384,3.17597,4.73018,3.28236,-36.42626,-33.53029,-69.95655
61770,5.44272,13.5549,0.633498,-6.27772,2.70221,3.06347,9.25908,4.31778,5.59489,6.97134,-38.4025,-36.03776,-74.44026
61800,5.04989,15.4819,0.382694,-9.45586,3.56342,1.16935,6.97005,6.51659,1.95736,6.39057,-36.99087,-31.54185,-68.53273
61830,1.11442,12.4803,0.586323,-10.2275,5.65897,1.5536,6.44111,4.32342,2.48393,9.99429,-37.19253,-34.34683,-71.53936
61860,1.31762,9.82209,-3.16554,-13.0145,9.8016,5.61915,3.94047,5.99713,3.72106,8.47881,-38.69335,-35.90117,-74.59452
61890,-0.446037,9.75122,-2.6079,-15.9828,3.43771,7.0026,2.71801,6.66155,1.79365,9.31726,-37.0442,-34.84658,-71.89077
61920,-2.45599,7.28796,-1.61128,-10.9865,5.08394,1.38469,2.24725,4.90316,2.1249,4.34177,-34.14261,-31.73672,-65.87933
61950,-3.42767,6.03833,-1.59362,-12.5001,9.75369,1.35309,1.2906,2.32105,1.41712,3.51666,-32.75167,-30.1049,-62.85657
61980,-6.29487,2.75704,-2.09199,-12.2059,1.88322,5.59922,1.99864,6.37586,5.16847,3.82356,-34.99744,-31.19438,-66.19183
62010,-6.09799,4.54797,-2.09199,-12.983,5.11538,1.82572,1.26086,4.3756,7.35537,2.54615,-34.16225,-30.88874,-65.05099
62040,-2.54259,5.33639,-1.29485,-9.52092,1.27336,2.00383,2.79544,4.20702,9.19632,4.4695,-34.46549,-35.21192,-69.67741
62070,-3.77668,6.82303,-0.405527,-10.8536,9.95773,1.38028,4.31313,6.35951,2.15232,3.05564,-35.34813,-32.25184,-67.59996
62100,-2.79455,7.3109,-1.69292,-12.9169,3.31963,1.6491,1.56686,3.03156,9.12953,3.03655,-34.21167,-30.13931,-64.35098
62130,-2.49143,6.92903,-1.70801,-11.8572,2.01985,3.2926,1.57677,2.86467,2.88546,8.3061,-34.13535,-30.48711,-64.62246
62160,-5.20993,5.06108,-1.61683,-12.3981,4.43864,6.50519,2.06399,2.52334,1.2908,5.75088,-34.3543,-30.81669,-65.171
62190,-2.67787,7.4507,-1.69552,-12.1316,2.95094,5.02067,2.5068,2.33706,9.70073,2.37993,-35.21942,-32.46271,-67.68213
62220,-3.91659,5.44017,-1.924,-12.4378,3.05177,1.73893,1.48204,3.46008,8.28542,8.11811,-34.89621,-29.85522,-64.75142
62250,-4.9691,5.08121,-1.81413,-12.4873,3.05005,1.94881,1.5907,2.20823,6.54291,4.18554,-33.68639,-30.37429,-64.06068
62280,-5.06288,4.87926,0.385251,-9.72206,1.30826,1.20881,6.23991,2.39417,1.62848,2.49903,-31.89928,-31.58798,-63.48726
62310,-3.9638,5.79783,-1.84855,-12.4553,3.17256,1.20346,1.87433,8.19658,1.81772,5.96898,-33.87611,-28.69782,-62.57393
62340,-2.21948,8.14877,-1.24554,-9.8331,6.54522,2.26475,2.3651,2.06687,5.37305,4.03032,-35.01554,-37.4956,-72.51114
62370,-2.79355,6.75068,-1.59369,-12.3605,1.66214,1.53068,4.16123,3.83649,2.62619,3.92802,-33.59005,-29.89746,-63.48752
62400,-8.16177,1.56631,-2.33363,-13.4282,5.20337,1.37419,1.20566,9.82848,1.82352,3.48165,-33.36982,-29.62851,-62.99833
62430,-8.56724,2.04374,-1.94282,-13.1184,3.35759,4.42621,1.10268,1.89983,1.45659,3.10927,-32.06586,-28.61338,-60.67924
62460,-10.8944,-1.12774,-0.840301,-11.9353,4.91132,1.92886,3.57329,3.96766,2.76163,5.88337,-34.67422,-32.77418,-67.4484
62490,-12.6212,-1.17553,-0.876715,-12.0012,5.45093,1.18341,6.78643,1.6184,9.53943,7.80823,-35.61927,-34.15942,-69.77869
62520,-12.4252,-1.10005,1.75704,-9.59997,9.56496,1.93407,3.55182,2.02734,4.9919,5.79783,-35.37578,-33.86409,-69.23987
62550,-12.076,-1.24599,2.166,-8.79219,5.1347,3.00941,9.02745,2.7106,7.84411,2.76781,-36.12462,-34.34556,-70.47019
62580,-10.8937,0.0787574,5.81866,-4.34797,9.815,4.07519,8.47497,6.38406,1.32757,4.4986,-36.91255,-33.45453,-70.36707
62610,-11.4144,-1.53788,6.57243,-3.087,2.24478,6.05052,8.08559,2.85922,5.19108,3.87935,-36.24387,-33.97025,-70.21412
62640,-9.62445,-0.569258,6.20435,-4.23915,1.39201,2.15584,3.73637,3.36377,4.88193,4.61741,-34.16623,-31.43005,-65.59628
62670,-9.41961,1.00302,8.44724,-2.25532,3.14727,3.82971,2.42865,2.86967,1.1165,2.10259,-33.08109,-32.69012,-65.77121
62700,-10.4417,-0.665393,7.63285,-3.24741,5.16706,1.10163,4.25017,2.64598,3.40408,3.18809,-34.15164,-30.92824,-65.07988
62730,-10.7443,-1.16906,3.16895,-7.63937,1.44481,1.49344,7.50829,2.20467,1.93278,2.88835,-32.42604,-32.25759,-64.68363
62760,-9.71189,-0.770784,6.24059,-4.22065,1.62673,3.26835,2.70217,3.70522,1.71536,5.31258,-33.60141,-32.51678,-66.11819
62790,-9.57592,-0.537011,4.58143,-5.39927,3.00818,2.73724,3.8917,6.99617,5.59352,6.04674,-36.18605,-33.17716,-69.36321
62820,-8.05853,0.898141,-0.947017,-10.5842,2.13503,1.46798,5.11605,5.86177,1.72191,3.18581,-33.23115,-31.21192,-64.44307
62850,-7.43577,3.22158,-0.0168814,-9.46208,7.29382,2.05463,3.89283,2.4852,4.76156,8.05569,-35.78134,-34.56933,-70.35067
62880,-9.39502,0.393499,0.908085,-10.159,1.33764,9.95639,6.53808,3.03469,1.3694,7.27304,-34.93611,-32.92583,-67.86194
62910,-9.23816,-0.156,1.08663,-9.13614,2.58849,2.08242,3.2044,4.87235,5.43907,2.34441,-33.99655,-32.20404,-66.20059
62940,-9.92851,-0.634228,7.63898,-1.43674,1.75009,1.75087,4.36277,2.46946,1.83084,5.11945,-33.39468,-31.30412,-64.6988
62970,-10.1423,-0.314039,11.5423,0.141635,1.89717,7.44537,5.87463,3.49123,7.03189,7.89703,-37.92675,-34.14287,-72.06962
63000,-6.50073,2.7216,11.3332,0.333161,2.18436,1.44458,6.30953,2.72913,2.17552,3.40072,-34.36571,-31.62829,-65.994
63030,-7.74363,2.17343,9.29259,-0.803875,2.58191,1.19404,5.015,2.03807,6.29129,5.69661,-35.03958,-31.62479,-66.66437
63060,-8.10115,0.911217,7.8739,-1.505,2.10075,2.35998,2.07514,3.27056,6.80163,1.92083,-33.82213,-33.69393,-67.51606
63090,-5.78191,3.4395,6.12795,-4.92504,2.24729,1.25831,5.26548,5.9252,1.64915,2.48409,-33.52049,-31.81393,-65.33442
63120,-5.75653,3.40988,6.26824,-4.25819,2.20905,6.06448,2.5397,5.55756,5.90208,2.36587,-35.53254,-33.86384,-69.39638
63150,-4.05326,5.96726,7.05795,-3.09666,6.17399,1.5966,4.83042,3.49549,1.3369,2.35113,-34.27239,-31.29526,-65.56766
63180,-6.80818,5.0386,8.38232,-1.70515,8.77184,2.27939,5.27455,3.99951,1.20721,1.69487,-34.84877,-35.8981,-70.74688
63210,-5.03375,4.13932,5.33583,-4.35845,8.85847,1.78064,7.43905,2.68538,4.67519,9.62579,-37.18917,-34.38121,-71.57038
63240,-7.10291,3.31888,4.53209,-5.88698,6.86978,7.69522,2.74175,4.97762,2.03251,3.95252,-36.12311,-33.71391,-69.83702
63270,-5.3158,4.50559,1.79288,-7.63234,1.89075,5.32139,2.53851,2.50884,1.41246,2.23605,-32.66459,-32.97789,-65.64247
63300,-5.01992,3.61462,-0.531465,-10.7159,1.5508,1.37576,4.69573,7.72521,1.7548,4.11406,-33.53082,-32.47722,-66.00804
63330,-5.63934,3.3213,-1.89581,-12.8469,3.77803,2.3996,1.11057,7.76791,8.25209,8.85652,-35.84553,-31.26795,-67.11347
63360,-4.21343,5.20999,-2.1969,-12.9805,2.79019,1.21931,9.9551,5.79567,2.06116,9.40375,-35.61404,-31.72539,-67.33943
63390,-3.72448,4.60522,-1.55627,-11.2406,2.30876,2.09708,2.14483,5.55581,1.48822,3.00903,-32.83738,-33.4759,-66.31328
63420,-1.38443,9.20966,-1.85698,-12.8644,8.96813,1.90727,2.38266,2.86872,7.20146,7.07212,-36.5829,-32.54095,-69.12384
63450,0.613871,10.3922,-2.04116,-12.7598,2.72674,1.89096,1.31434,3.02841,2.77887,7.64586,-34.20465,-28.7027,-62.90734
63480,-0.470823,9.70526,-2.0098,-13.0763,1.98159,2.1321,1.13025,5.07018,1.97702,3.33683,-33.07082,-27.15114,-60.22196
63510,-0.646252,8.75128,-2.0098,-12.8331,2.27024,2.48265,1.33566,6.55857,1.39194,9.30993,-34.32293,-28.7283,-63.05123
63540,1.63467,10.0318,-1.79771,-12.5992,6.19516,7.07539,5.32842,4.91812,1.71551,3.59065,-37.00875,-35.68954,-72.69829
63570,-4.40011,3.63284,-1.6418,-10.6228,1.82776,3.17633,5.22703,3.75267,7.73188,2.67021,-34.92808,-32.8805,-67.80859
63600,-3.22301,5.12985,-1.72062,-12.0975,1.29969,5.75322,6.80183,4.18868,6.99346,3.67619,-35.97518,-34.54796,-70.52315
63630,-2.89615,6.17186,0.733346,-8.82807,1.19136,1.33966,6.37674,4.71303,2.11056,9.89848,-34.41598,-31.80245,-66.21842
63660,-5.2073,5.51103,3.89298,-5.61386,2.05422,1.18865,4.74037,3.65461,1.29231,6.89362,-33.53685,-32.10162,-65.63846
63690,-2.5731,5.42435,7.14701,-0.432201,1.35958,3.20825,6.58417,4.95026,3.50115,9.04023,-36.52562,-34.04721,-70.57283
63720,-6.14938,3.75858,11.7704,1.5324,4.52544,1.16093,8.51776,6.50915,3.53593,2.87239,-36.57445,-31.25638,-67.83082
63750,-8.24673,1.90758,8.77041,-0.755685,8.14499,1.3393,9.42835,2.75576,7.25094,2.44022,-36.45603,-33.79949,-70.25552
63780,-9.75,1.12377,5.74177,-4.63258,5.64454,1.18425,9.09406,5.01471,8.06051,5.04942,-36.88891,-33.83399,-70.7229
63810,-8.16167,0.0966968,4.50428,-3.42394,1.61254,5.87143,9.73413,8.5408,5.89336,4.60514,-37.26341,-34.21573,-71.47914
63840,-9.91697,-1.97516,2.73674,-5.78307,2.26468,3.24952,1.87968,2.24815,2.6008,2.40927,-32.31982,-35.81086,-68.13069
63870,-10.3885,-0.552541,2.89762,-6.37071,2.37298,1.20098,4.27398,3.97547,2.62698,3.59536,-33.25323,-30.75486,-64.00809
63900,-9.37632,-0.472634,6.35708,-3.64662,2.41333,1.46155,4.43828,6.01812,1.60481,3.56982,-33.74007,-31.88813,-65.6282
63930,-7.87971,1.93295,4.45198,-5.30926,2.7788,1.13532,4.09224,3.95975,2.16879,2.78628,-33.09385,-29.70822,-62.80207
63960,-10.8116,-0.280532,7.40369,-2.41813,2.45943,1.10945,7.39651,2.5391,3.40887,3.2826,-33.9894,-31.53641,-65.5258
63990,-14.7859,-1.88859,9.30366,0.486502,6.39568,1.41947,3.4899,1.37121,3.50591,5.98017,-34.90709,-35.7227,-70.62979
64020,-9.02962,0.109326,10.8004,1.5277,2.23,2.17558,2.32491,4.3598,5.65422,2.21171,-34.64156,-32.90751,-67.54907
64050,-8.10707,3.33964,11.825,1.27463,6.54285,3.56562,3.96732,6.29567,1.3126,2.50207,-36.10058,-33.03239,-69.13296
64080,-6.04225,3.79225,11.1744,0.141728,3.20485,2.51108,2.2771,7.62941,4.97473,4.12324,-36.38281,-35.47288,-71.85569
64110,-6.86555,3.33666,11.7324,0.378972,2.14188,1.39047,4.0979,3.7633,2.64464,2.40657,-34.15065,-32.23283,-66.38348
64140,-6.64107,3.29814,11.5212,-0.194791,1.61084,5.77381,4.74045,2.69617,2.20961,4.23181,-35.42377,-33.75952,-69.18329
64170,-6.10372,2.73168,4.84535,-5.62265,2.59889,5.24134,5.94647,3.97513,2.23563,4.31405,-35.48712,-33.20943,-68.69655
64200,-5.77571,4.89169,3.55389,-5.77222,5.82999,6.11474,3.03685,9.27709,2.9032,5.07032,-37.115,-35.09122,-72.20622
64230,-5.89411,4.34861,6.32438,-2.64262,1.73936,1.82366,7.08083,5.48819,2.05229,4.50292,-34.81492,-33.90863,-68.72355
64260,-3.78896,5.90779,9.88576,-0.864218,2.12663,1.38708,4.42525,3.15123,2.87754,3.52455,-34.45736,-30.58459,-65.04195
64290,-4.76371,4.73905,9.33883,-1.33786,2.19735,7.54945,7.47879,3.08391,6.50156,5.0282,-37.64179,-33.31034,-70.95213
64320,-5.19675,4.51125,10.6602,0.725724,1.81985,2.51878,3.85671,5.1146,3.64246,4.18487,-35.68148,-31.40945,-67.09094
64350,-8.64828,0.27423,12.2593,3.34935,6.41003,3.12928,6.59058,7.5465,2.6071,3.74145,-37.73774,-34.47809,-72.21583
64380,-8.40623,2.01169,13.4502,3.49982,2.0482,4.9741,4.06089,6.50003,1.24957,6.68474,-36.56355,-32.68224,-69.24579
64410,-6.62678,2.96985,10.8297,-0.396947,1.30904,1.90854,4.12936,6.64825,3.34551,4.84761,-35.29522,-32.33151,-67.62673
