"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.2943875,0.03545143,0.82443495,1,"Blood","AtoB"
0.3877665,0.074855985,0.8573896,2,"Blood","AtoB"
0.4362705,0.10421485,0.87972405,3,"Blood","AtoB"
0.4663675,0.12614535,0.8987791,4,"Blood","AtoB"
0.485489,0.14156805,0.91613515,5,"Blood","AtoB"
0.4992985,0.1512004,0.9315924,6,"Blood","AtoB"
0.509665,0.15896575,0.94239335,7,"Blood","AtoB"
0.5163915,0.16456895,0.95337795,8,"Blood","AtoB"
0.521401,0.1691509,0.9612853,9,"Blood","AtoB"
0.525393,0.17284675,0.96856455,10,"Blood","AtoB"
0.528268,0.1757145,0.97355355,11,"Blood","AtoB"
0.5307075,0.1769548,0.97687145,12,"Blood","AtoB"
0.5323435,0.1781134,0.98114045,13,"Blood","AtoB"
0.533733,0.17950155,0.98454445,14,"Blood","AtoB"
0.534834,0.1802867,0.98697785,15,"Blood","AtoB"
0.535706,0.1813656,0.98846485,16,"Blood","AtoB"
0.536526,0.18191165,0.9903294,17,"Blood","AtoB"
0.5374435,0.18241145,0.9918666,18,"Blood","AtoB"
0.5380935,0.18278045,0.9934166,19,"Blood","AtoB"
0.5384775,0.18297675,0.99419075,20,"Blood","AtoB"
0.5389745,0.18329185,0.995554,21,"Blood","AtoB"
0.5393255,0.18338955,0.9961206,22,"Blood","AtoB"
0.5396425,0.1837443,0.996901,23,"Blood","AtoB"
0.540017,0.18393335,0.9974141,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
7057.7,1493.1845,12302.045,1,"Cell","AtoB"
7498.32,2508.653,12044.7,2,"Cell","AtoB"
7779.79,3165.1595,11920.525,3,"Cell","AtoB"
7998.73,3564.637,11869.415,4,"Cell","AtoB"
8168.705,3807.145,11856.06,5,"Cell","AtoB"
8302.61,3951.859,11857.505,6,"Cell","AtoB"
8394.245,4043.9045,11881.005,7,"Cell","AtoB"
8467.51,4094.97,11897.56,8,"Cell","AtoB"
8521.07,4139.311,11920.43,9,"Cell","AtoB"
