"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-7.45303,-2.39819,-4.31252,-9.58665,2.44197,9.1175,1.20974,1.21868,1.61079,1.91099,-31.31178,-15.99154,-47.30332
60060,-9.00986,-4.25747,-3.68054,-9.04348,1.66085,5.04068,1.21672,1.29832,2.57759,6.05563,-31.99556,-17.91385,-49.90941
60090,-6.94796,-1.79221,-4.21574,-10.0342,1.45431,1.58866,1.20753,1.11116,3.15974,5.99027,-30.80092,-14.65922,-45.46013
60120,-6.75057,-3.92622,-3.49331,-7.89831,1.59208,2.28001,3.08746,2.13553,3.87027,1.83089,-31.78066,-24.72606,-56.50672
60150,-5.79706,-0.855325,-4.48889,-9.30643,1.21153,8.55582,1.15336,1.18895,1.27167,2.21689,-30.44323,-14.5749,-45.01814
60180,-5.34199,-0.667029,-4.26164,-9.59643,1.24289,2.37518,1.41024,1.28423,1.24504,1.25736,-28.90039,-12.45235,-41.35274
60210,-5.45348,-0.988133,-3.24661,-8.3663,3.14948,1.76574,2.00768,1.19878,1.79844,2.64331,-30.91774,-20.20503,-51.12277
60240,-5.22052,-0.536785,-4.44014,-10.1228,1.83942,5.06412,1.16337,1.12723,1.28132,6.12714,-31.35509,-15.02795,-46.38304
60270,-7.87557,-2.96585,-4.40185,-8.92927,2.20766,9.21226,1.17847,1.77523,5.36676,1.85464,-32.71573,-19.32153,-52.03726
60300,-5.83231,-1.90568,-4.68898,-8.49867,2.65045,7.42233,1.64841,1.30994,1.53868,1.30867,-31.14177,-19.16411,-50.30588
60330,-6.40394,-1.90519,-4.59755,-9.17498,3.09563,6.75822,1.19749,1.18594,1.21698,1.44562,-30.65726,-14.03665,-44.69391
60360,-6.06245,-1.53927,-4.00361,-7.85433,1.25233,1.80234,1.15167,1.20247,3.0528,2.58572,-29.9183,-16.87454,-46.79284
60390,-6.37946,-2.97402,-4.16504,-8.50129,1.63378,3.58932,1.2872,1.14711,1.63987,1.61031,-29.79295,-17.5383,-47.33125
60420,-7.25174,-2.76185,-4.48893,-8.83152,1.47476,2.12834,1.15733,1.1669,2.24271,2.0492,-29.63669,-14.49942,-44.13611
60450,-6.60994,-1.87712,-4.15951,-9.71255,1.44153,2.62975,1.42094,1.22511,7.55792,1.65321,-31.13217,-15.90715,-47.03932
60480,-5.86963,-0.856311,-4.38245,-9.74309,1.22244,4.11533,1.14376,1.17789,5.91514,1.33732,-30.74433,-12.36871,-43.11304
60510,-6.81645,-2.45712,-3.85549,-7.7745,1.42504,6.54425,1.14376,1.30389,2.3478,4.40133,-31.64653,-17.10267,-48.74919
60540,-4.60696,0.921663,-4.28471,-9.73954,1.29229,1.15065,1.27798,1.26724,4.7351,1.65402,-29.81043,-14.35255,-44.16297
60570,-4.16185,1.27838,-4.39861,-10.2145,2.24515,1.94139,1.14931,1.10869,8.29985,1.23221,-30.95175,-12.08204,-43.03379
60600,-4.21478,0.994996,-3.80188,-9.97177,1.5822,1.28597,2.37058,1.15719,2.24601,1.31552,-29.70354,-14.58702,-44.29056
60630,-3.74004,0.763291,-4.14327,-9.27583,1.45109,2.8863,1.2661,1.29395,1.23328,2.04605,-29.72728,-14.5975,-44.32478
60660,-2.83539,1.26328,-4.27796,-9.07331,1.25582,5.86433,1.10398,1.21444,2.44932,1.41203,-30.45486,-13.20045,-43.65531
60690,-2.01978,3.21177,-4.37236,-9.90183,1.27773,2.32475,1.22481,1.29733,2.93303,1.38342,-30.05282,-13.37834,-43.43116
60720,-1.62655,2.92693,-4.51252,-9.68457,1.94157,5.4975,1.22205,1.10797,7.83388,1.39373,-32.14803,-14.60705,-46.75509
60750,-2.34042,3.41953,-4.30913,-9.51905,1.1268,1.20884,5.64464,1.25646,2.66379,2.58089,-31.29408,-18.94293,-50.23701
60780,-0.840236,4.87241,-4.44651,-10.4654,1.34232,4.73789,1.48718,1.43292,1.61639,2.08274,-31.11936,-19.11315,-50.23251
60810,-0.898996,4.19333,-4.45965,-10.5987,2.7718,1.51118,1.10377,1.17319,3.85169,5.6391,-32.01009,-17.01672,-49.02681
60840,0.0779143,3.96694,-4.47525,-8.57007,4.5361,2.75437,1.1021,1.14224,6.95424,1.70394,-32.45663,-16.62393,-49.08056
60870,-0.549865,3.71845,-4.34328,-10.1555,1.27013,9.72616,1.1021,1.18242,2.61537,1.98333,-31.63387,-16.2378,-47.87167
60900,-0.61473,2.83445,-4.65467,-8.88537,1.40807,5.07101,1.15696,1.14504,4.08745,1.91177,-31.41021,-16.09956,-47.50977
60930,-1.69497,3.16153,-4.08171,-8.51787,1.12754,2.80456,1.83213,1.14513,4.56325,3.00546,-31.60157,-19.18597,-50.78754
60960,-2.86998,1.7095,-4.34965,-8.92913,1.14821,4.6384,1.29045,1.24718,1.89224,1.43789,-30.09704,-15.33869,-45.43572
60990,-2.21203,1.99633,-4.50831,-9.06704,1.80176,6.15213,1.12652,1.28981,1.35222,1.18169,-30.23539,-12.46984,-42.70522
61020,-2.56122,1.21692,-4.27419,-8.76542,1.4197,8.64237,1.26765,1.10048,9.40327,1.7562,-32.56964,-14.83027,-47.39991
61050,-3.10891,2.22292,-3.48094,-9.78669,2.83345,1.35796,1.97832,1.10735,1.69241,2.12354,-30.42137,-17.64151,-48.06287
61080,-3.89967,0.0131343,-4.42361,-8.6473,1.27404,2.82064,1.50656,1.14081,6.22407,4.26316,-31.91461,-18.13631,-50.05092
61110,-0.00403078,4.45628,-3.7081,-8.73192,2.26091,3.91677,1.72312,1.19786,2.24263,2.07969,-31.72963,-18.78845,-50.51809
61140,-0.507318,4.56453,-4.44296,-9.9823,1.34618,3.06537,1.5223,1.12349,1.71646,1.10539,-29.87008,-11.95424,-41.82432
61170,-1.43506,3.43798,-3.79037,-9.42987,1.97921,2.00282,2.14823,1.31011,6.15129,2.5175,-32.29527,-19.98733,-52.2826
61200,-2.07981,1.75967,-3.48804,-7.91188,3.99367,8.52198,2.10461,1.10153,8.58223,3.27657,-34.68985,-21.48297,-56.17282
61230,-1.97187,2.51337,-3.86475,-9.1254,1.47526,1.73738,1.90909,1.24595,1.13663,1.28303,-29.23117,-14.63698,-43.86815
