"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.03304955,0.0119957,0.065281235,1,"Blood","AtoB"
0.0682018,0.029451585,0.1308341,2,"Blood","AtoB"
0.1028165,0.04646051,0.19379915,3,"Blood","AtoB"
0.1365405,0.06303977,0.2529927,4,"Blood","AtoB"
0.169263,0.07925784,0.31007805,5,"Blood","AtoB"
0.201049,0.09538714,0.36421115,6,"Blood","AtoB"
0.2318805,0.1112451,0.4159058,7,"Blood","AtoB"
0.261738,0.12666275,0.46507685,8,"Blood","AtoB"
0.290657,0.14170885,0.51090495,9,"Blood","AtoB"
0.3189975,0.15656115,0.5544345,10,"Blood","AtoB"
0.34637,0.1711871,0.59613855,11,"Blood","AtoB"
0.3728835,0.18556965,0.6356693,12,"Blood","AtoB"
0.398634,0.19980175,0.67391755,13,"Blood","AtoB"
0.423537,0.21380945,0.7096481,14,"Blood","AtoB"
0.4476815,0.22788875,0.7432711,15,"Blood","AtoB"
0.471194,0.2413951,0.77541435,16,"Blood","AtoB"
0.493923,0.25470295,0.8057986,17,"Blood","AtoB"
0.516064,0.2675362,0.834648,18,"Blood","AtoB"
0.5374675,0.2799703,0.86215725,19,"Blood","AtoB"
0.5582365,0.29205545,0.8879119,20,"Blood","AtoB"
0.578505,0.3046023,0.91284245,21,"Blood","AtoB"
0.597978,0.31668215,0.9367042,22,"Blood","AtoB"
0.6170585,0.3284227,0.95931475,23,"Blood","AtoB"
0.6356555,0.3400204,0.9811204,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
133.953,3.248703,1418.679,1,"Cell","AtoB"
143.0095,6.007748,1412.8925,2,"Cell","AtoB"
145.611,8.5401185,1383.763,3,"Cell","AtoB"
148.768,10.940985,1352.743,4,"Cell","AtoB"
150.991,13.186745,1322.482,5,"Cell","AtoB"
153.5425,15.373875,1288.692,6,"Cell","AtoB"
156.4675,17.38137,1258.199,7,"Cell","AtoB"
159.147,19.269165,1228.608,8,"Cell","AtoB"
161.8965,21.21579,1202.491,9,"Cell","AtoB"
164.167,22.97234,1175.084,10,"Cell","AtoB"
166.1665,24.59815,1150,11,"Cell","AtoB"
168.4485,26.18103,1124.704,12,"Cell","AtoB"
170.1555,27.61817,1101.583,13,"Cell","AtoB"
172.3535,29.03957,1079.2465,14,"Cell","AtoB"
174.454,30.36887,1059.8305,15,"Cell","AtoB"
176.304,31.67595,1043.307,16,"Cell","AtoB"
177.4455,32.886625,1025.4255,17,"Cell","AtoB"
178.435,34.135625,1007.728,18,"Cell","AtoB"
179.5975,35.35407,988.493949999999,19,"Cell","AtoB"
180.6605,36.34412,969.4451,20,"Cell","AtoB"
181.364,37.373135,950.87505,21,"Cell","AtoB"
181.8275,38.328835,934.7518,22,"Cell","AtoB"
182.4845,39.223265,919.7972,23,"Cell","AtoB"
182.563,40.178215,906.2016,24,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.844015,4.3876505,4.9270305,1,"Lumen","AtoB"
4.71789,4.2401065,4.8600615,2,"Lumen","AtoB"
4.60072,4.084309,4.797244,3,"Lumen","AtoB"
4.48965,3.9356905,4.73699,4,"Lumen","AtoB"
4.383025,3.782225,4.6787125,5,"Lumen","AtoB"
4.280255,3.6302575,4.6237605,6,"Lumen","AtoB"
4.181935,3.4863775,4.57006,7,"Lumen","AtoB"
4.087285,3.348963,4.5176335,8,"Lumen","AtoB"
3.99554,3.2145475,4.4659945,9,"Lumen","AtoB"
3.90742,3.0866405,4.416606,10,"Lumen","AtoB"
3.82147,2.962818,4.367801,11,"Lumen","AtoB"
3.73915,2.8458575,4.318599,12,"Lumen","AtoB"
3.659435,2.7362495,4.2721485,13,"Lumen","AtoB"
3.581595,2.631529,4.2275795,14,"Lumen","AtoB"
3.505835,2.528569,4.183605,15,"Lumen","AtoB"
3.43359,2.4370265,4.1399765,16,"Lumen","AtoB"
3.36278,2.348347,4.0986065,17,"Lumen","AtoB"
3.29423,2.2586715,4.0563345,18,"Lumen","AtoB"
3.226925,2.17801,4.0146955,19,"Lumen","AtoB"
3.162185,2.099585,3.9753655,20,"Lumen","AtoB"
3.09934,2.0237485,3.936141,21,"Lumen","AtoB"
3.03833,1.953025,3.8967545,22,"Lumen","AtoB"
2.979305,1.8855405,3.857452,23,"Lumen","AtoB"
2.92152,1.8210245,3.821902,24,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.94298,4.7550395,4.9818705,1,"Blood","BtoA"
4.91326,4.709228,4.9653905,2,"Blood","BtoA"
4.886805,4.661805,4.95038,3,"Blood","BtoA"
4.86201,4.611595,4.9365215,4,"Blood","BtoA"
4.838335,4.5651695,4.92389,5,"Blood","BtoA"
4.81564,4.516445,4.911942,6,"Blood","BtoA"
4.793765,4.4673555,4.90055,7,"Blood","BtoA"
4.772645,4.4171695,4.88987,8,"Blood","BtoA"
4.75226,4.3737155,4.8796605,9,"Blood","BtoA"
4.73255,4.3292605,4.870191,10,"Blood","BtoA"
4.7135,4.288168,4.8604925,11,"Blood","BtoA"
4.694955,4.24915,4.8516105,12,"Blood","BtoA"
4.677205,4.209348,4.842976,13,"Blood","BtoA"
4.659935,4.170324,4.835013,14,"Blood","BtoA"
4.643345,4.1321195,4.8273705,15,"Blood","BtoA"
4.62686,4.0975555,4.8194105,16,"Blood","BtoA"
4.61113,4.062466,4.812173,17,"Blood","BtoA"
4.595975,4.029769,4.805393,18,"Blood","BtoA"
4.581295,3.996618,4.798243,19,"Blood","BtoA"
4.56678,3.9656885,4.791573,20,"Blood","BtoA"
4.55259,3.936412,4.7851205,21,"Blood","BtoA"
4.538835,3.906804,4.779514,22,"Blood","BtoA"
4.52558,3.8787975,4.773782,23,"Blood","BtoA"
4.51275,3.851063,4.7675205,24,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
285.4805,5.369938,1902.959,1,"Cell","BtoA"
309.256,9.809891,1914.9945,2,"Cell","BtoA"
316.4955,13.98085,1913.976,3,"Cell","BtoA"
321.9035,17.92471,1908.5095,4,"Cell","BtoA"
326.9845,21.530645,1901.4165,5,"Cell","BtoA"
332.1755,25.0137,1897.272,6,"Cell","BtoA"
338.3685,28.335925,1891.346,7,"Cell","BtoA"
342.9675,31.522205,1884.9245,8,"Cell","BtoA"
348.363,34.44653,1877.724,9,"Cell","BtoA"
354.16,37.488055,1873.811,10,"Cell","BtoA"
359.0395,40.068685,1868.4545,11,"Cell","BtoA"
364.764,42.8263,1860.114,12,"Cell","BtoA"
368.753,45.316275,1852.702,13,"Cell","BtoA"
373.5345,47.74033,1852.939,14,"Cell","BtoA"
378.8855,50.18651,1845.4565,15,"Cell","BtoA"
383.9505,52.255905,1842.3875,16,"Cell","BtoA"
388.9815,54.34499,1837.3585,17,"Cell","BtoA"
393.3835,56.547485,1831.866,18,"Cell","BtoA"
397.74,58.639585,1829.4155,19,"Cell","BtoA"
401.4225,60.589585,1827.7895,20,"Cell","BtoA"
405.173,62.385975,1823.8485,21,"Cell","BtoA"
409.1035,63.99265,1819.5125,22,"Cell","BtoA"
412.2475,65.709425,1816.985,23,"Cell","BtoA"
415.921,67.27177,1816.223,24,"Cell","BtoA"
1e-15,1e-15,1e-15,0,"Lumen","BtoA"
0.06973835,0.02244849,0.2027192,1,"Lumen","BtoA"
0.143293,0.052774425,0.4078115,2,"Lumen","BtoA"
0.2157485,0.082710575,0.6073007,3,"Lumen","BtoA"
0.286334,0.1117229,0.7971324,4,"Lumen","BtoA"
0.354727,0.1404906,0.98048585,5,"Lumen","BtoA"
0.4211635,0.16760305,1.153762,6,"Lumen","BtoA"
0.4856335,0.19458645,1.320951,7,"Lumen","BtoA"
0.5481215,0.22062995,1.479968,8,"Lumen","BtoA"
0.6085025,0.2459511,1.633076,9,"Lumen","BtoA"
0.66721,0.2702348,1.7792625,10,"Lumen","BtoA"
0.724362,0.29376085,1.9228105,11,"Lumen","BtoA"
0.779609,0.317593,2.0600465,12,"Lumen","BtoA"
0.8333305,0.3410312,2.193062,13,"Lumen","BtoA"
0.8850265,0.36346585,2.3187655,14,"Lumen","BtoA"
0.9356575,0.38485185,2.4405245,15,"Lumen","BtoA"
0.9843745,0.40616045,2.554653,16,"Lumen","BtoA"
1.03245,0.4264449,2.669686,17,"Lumen","BtoA"
1.079305,0.4461215,2.778717,18,"Lumen","BtoA"
1.123995,0.46580775,2.878766,19,"Lumen","BtoA"
1.16807,0.4838437,2.978473,20,"Lumen","BtoA"
1.210435,0.5020361,3.0771915,21,"Lumen","BtoA"
1.251725,0.51854825,3.1701285,22,"Lumen","BtoA"
1.291765,0.5357572,3.259067,23,"Lumen","BtoA"
