"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-2.00905286171237,0.224614892283737,4.61557296978436,-7.62457675,-5.02561,-3.574915,0.040841325,10.0586075,460,1.00417195121615,1,-7.0130065,-3.574915,7.3855485,0.0499799999999997,0.0599349999999998,0.0937049999999999,0.3598735,0.986655,0.158936550274556,644,437
"p_2.1.",-1.07517001558174,0.226988394132466,4.62997356555757,-5.86656625,-4.3058575,-2.89291,1.08674,11.070525,453,1.00390341167693,1,-5.502239,-2.89291,8.475053,0.026135,0.04311,0.11437,0.356272,0.96246,0.171245235022818,646,435
"p_3.1.",-4.18751100906005,0.159209901669678,3.25857247279038,-6.831831,-5.751925,-5.316525,-4.3806375,6.199705,421,1.00325112134744,1,-6.5031585,-5.316525,3.4026475,0.0191699999999999,0.0106600000000001,0.0188000000000001,0.11581,0.92731,0.112656878206654,924,482
"p_4.1.",-4.48754035316167,0.166399662669069,3.54574566894146,-8.55395575,-6.440275,-5.38512,-3.9891425,6.19731025,457,1.00370558425228,1,-8.0438365,-5.38512,3.3665445,0.0254500000000002,0.0250900000000001,0.0380350000000003,0.1238,0.857885,0.117737993933493,903,500
"GSD_error_C1_blood.1.",3.23355061148606,0.0126464969498092,2.04349775223783,1.3032715,1.7389825,2.44143,4.0431275,8.87206325,26101,0.999965005090315,1,1.3624065,2.44143,7.95605749999999,0.00209499999999996,0.00444999999999995,0.01187,0.0274900000000002,0.0363600000000002,0.00894252353837888,26802,30631
"GSD_error_C1_cell.1.",3.94789960629921,0.01762914418812,2.42140755375055,1.1631845,1.90003,3.224655,5.58358,9.3795035,18717,1.00003957188329,1,1.2291015,3.224655,8.822164,0.00279499999999999,0.00996999999999992,0.0239199999999999,0.0347050000000002,0.0222249999999997,0.0124658799545016,19812,29174
"GSD_error_C1_lumen.1.",1.57612508436445,0.00918800270041441,1.03417356830935,1.10337,1.14308,1.22967,1.49496,4.80700925,12668,1.00041354487273,1,1.10702,1.22967,3.325437,0.000125000000000042,0.000584999999999947,0.00183499999999992,0.00642500000000001,0.141045,0.00668897257516043,19803,15312
"GSD_error_C2_blood.1.",1.62885566179228,0.0103111404738177,1.10194229554877,1.10426075,1.1528,1.25255,1.5428875,5.206029,11415,1.00031582281984,1,1.1091615,1.25255,3.6470685,0.000180000000000069,0.00073499999999993,0.00193499999999991,0.00620000000000009,0.134695,0.00744094371609462,19951,13263
"GSD_error_C2_cell.1.",3.97743363798275,0.0159628534350417,2.42477524823564,1.16648525,1.930885,3.257815,5.6062625,9.3904745,23063,1.00001932386485,1,1.2344015,3.257815,8.8700475,0.00283999999999995,0.01161,0.0218849999999999,0.0344000000000002,0.02454,0.0112875842734462,22572,29344
"GSD_error_C2_lumen.1.",4.83037000281215,0.0128280318655542,2.19162610003876,1.8945035,3.004645,4.348845,6.3711025,9.50361575,29150,1.0000406128961,1,2.0582905,4.348845,9.0554485,0.00683,0.0110300000000001,0.0217200000000002,0.0277599999999998,0.0158399999999999,0.00907087891792556,29394,31678
"LnPrior",-32.6716342929009,0.037254931484519,1.47022410106422,-35.86364925,-33.588115,-32.573065,-31.6582325,-30.05620125,1624,1.00198533862793,1,-35.213565,-32.573065,-30.4340355,0.11985,0.0426000000000002,0.027705000000001,0.0208899999999996,0.0199449999999999,0.0268934501285654,1811,2081
"LnData",-9.08857071847894,0.0222477213570764,2.73650831848828,-14.88978625,-10.863685,-8.883009,-7.111652,-4.3814823,15088,1.00024277359555,1,-13.9236345,-8.883009,-4.9747105,0.0440549999999993,0.0292000000000003,0.0246745000000006,0.0222405000000001,0.0280454999999997,0.0159674185817762,15330,22703
"LnPosterior",-41.7602050043745,0.0499430602994722,3.79510687877223,-49.82771275,-44.23151,-41.50313,-39.08492,-34.996979,5812,1.0008494811192,1,-48.3777435,-41.50313,-35.947176,0.0823649999999994,0.0623599999999982,0.0454749999999997,0.0415600000000005,0.0452000000000012,0.0357604434800178,6015,14188
