"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-0.568762,0.232957,-4.55105,-4.74305,1.98794,1.23758,2.90958,1.45313,2.79017,6.72198,-32.22197,-11.09581,-43.31778
60060,0.763715,1.8243,-5.7538,-5.47008,6.53358,4.08344,1.12136,1.35797,1.59231,3.14557,-32.40401,-8.006842,-40.41085
60090,0.413408,1.77038,-5.28043,-5.50806,1.94205,6.4995,1.22957,1.24465,2.90019,5.84718,-32.86132,-7.56042,-40.42174
60120,-1.27198,-0.360804,-5.02073,-4.98787,2.49826,2.47317,3.43031,1.41961,1.80584,3.70308,-32.1791,-11.25027,-43.42936
60150,-0.559511,-0.251916,-5.65573,-5.70606,1.23265,7.06218,1.11188,3.05912,5.40003,2.02812,-32.67805,-9.739579,-42.41763
60180,-2.26833,-0.767638,-5.78729,-5.35191,1.60874,1.45808,1.60352,1.17642,4.83407,3.36778,-31.08041,-7.879354,-38.95977
60210,-4.09646,-3.38352,-5.67732,-4.67577,1.33578,3.6217,1.18174,4.08954,3.47292,9.88489,-33.35499,-13.03593,-46.39092
60240,-0.953129,-0.710144,-5.48701,-7.22924,2.64135,9.49288,1.23604,1.22624,4.32745,5.84674,-33.72116,-9.120979,-42.84214
60270,1.62827,2.44444,-5.59461,-6.09736,4.70511,1.56184,1.20821,1.1051,1.35855,2.4592,-30.66956,-6.911816,-37.58138
60300,2.99998,5.14847,-6.41401,-7.03232,4.96836,1.55286,1.19796,1.20926,7.14889,9.65207,-34.13346,-8.095575,-42.22904
60330,3.97848,4.84829,-7.55408,-5.64248,3.44707,8.32857,1.10702,1.3534,3.37577,9.62776,-34.78473,-11.17943,-45.96416
60360,1.49097,2.90805,-5.18248,-7.12911,1.72326,4.56454,1.35032,1.22872,9.15027,7.586,-34.01584,-8.83789,-42.85373
60390,3.45181,5.94959,-6.5854,-8.41297,2.57648,1.2082,1.13216,1.82674,3.01518,2.22709,-31.36989,-9.078669,-40.44856
60420,4.69527,5.35498,-6.36603,-5.61731,3.51067,5.68853,1.52339,1.37156,2.33983,2.78793,-33.25496,-10.02268,-43.27764
60450,0.928898,2.38345,-5.45619,-6.22603,1.31236,1.34785,1.33326,1.2162,3.36364,4.32175,-30.86333,-5.690138,-36.55347
60480,2.55408,3.34791,-5.41258,-5.80944,3.20875,1.51337,1.31271,1.18202,2.07228,2.3605,-30.92046,-7.158767,-38.07923
60510,1.79528,2.45386,-4.59289,-4.23556,2.89256,1.95584,1.91069,1.13196,1.27835,5.29051,-31.64528,-8.287636,-39.93291
60540,-4.38406,-0.850659,-5.80607,-8.27168,2.10874,5.17203,1.23511,1.20874,8.64451,2.22146,-32.48514,-8.878791,-41.36394
60570,-0.678261,0.935579,-5.95416,-7.34577,1.76418,1.98804,1.11916,1.144,6.16592,3.02456,-31.37629,-4.692463,-36.06875
60600,0.592263,0.820518,-5.34501,-4.80822,1.5074,9.62753,1.35008,1.15292,7.16638,3.76499,-33.4419,-7.288778,-40.73068
60630,1.3089,2.35826,-5.21953,-7.62853,1.44173,2.35211,1.41494,2.14731,6.47915,2.98085,-32.45048,-11.79355,-44.24403
60660,2.86125,1.5713,-6.4221,-4.255,3.16704,8.95455,1.24599,1.26045,6.88501,2.46204,-33.85127,-10.4024,-44.25367
60690,0.261291,1.37504,-6.42636,-7.58049,3.28752,9.02376,1.43159,1.21212,6.95258,3.91632,-34.26661,-10.56503,-44.83164
60720,1.3152,2.2499,-5.23877,-4.94041,3.0773,5.31785,1.18512,1.33814,3.28375,6.96177,-33.54813,-8.513703,-42.06184
60750,-0.237827,-0.155706,-4.98991,-5.64698,2.75924,2.33745,1.9458,1.19057,1.42807,2.68331,-30.9731,-8.472816,-39.44592
60780,-3.56591,-3.33049,-5.99324,-6.43434,9.02457,3.77727,1.33535,1.26482,1.14496,3.18523,-32.00732,-8.025327,-40.03264
60810,-1.11832,-1.06961,-5.25708,-4.75549,3.67052,7.6306,1.14782,1.13855,6.07009,5.35436,-33.93011,-7.224679,-41.15479
60840,-0.770705,0.124354,-5.04625,-6.14406,5.85456,1.82921,1.12416,1.3279,1.55131,4.23907,-31.56502,-7.605355,-39.17037
60870,-1.68033,0.516432,-5.68418,-6.81864,1.27583,3.0076,1.1161,6.3726,4.90057,2.9672,-32.86618,-10.11559,-42.98177
60900,-0.502404,0.715223,-5.68418,-5.3262,1.86891,1.87927,1.13497,1.34036,1.47643,2.40297,-29.89711,-7.444435,-37.34155
60930,-3.04359,-1.25235,-4.82608,-4.63833,3.32682,1.78561,1.26002,1.92111,9.7156,6.65732,-33.61395,-11.69761,-45.31156
60960,-3.45525,-3.9496,-5.42166,-6.28533,1.98138,3.57441,3.57716,1.88602,8.25409,8.64832,-34.78842,-13.77547,-48.56389
60990,-5.09751,-4.1381,-5.97015,-5.36657,3.43351,1.12745,1.3373,2.09025,4.87248,7.225,-32.56215,-9.08781,-41.64996
61020,-4.2147,-4.57041,-5.93183,-4.20292,2.89098,2.16734,1.28459,1.20573,4.09404,4.61714,-31.85703,-8.979954,-40.83699
61050,-3.75772,-3.26828,-6.05459,-3.83208,1.8521,4.59073,1.19359,2.28352,1.76686,5.69892,-32.1443,-12.83175,-44.97605
61080,-2.14771,-2.73167,-4.21848,-4.46374,2.59092,2.64245,1.33634,1.16352,4.70034,3.96493,-32.05724,-10.22087,-42.27811
61110,-7.84832,-4.14547,-5.31337,-6.78205,4.21742,4.67896,1.35283,1.20092,6.89349,2.75839,-33.02052,-11.35623,-44.37676
61140,-6.35639,-4.3455,-4.81724,-7.57374,1.58348,5.22932,1.19023,1.43331,4.44907,8.77273,-32.92241,-10.91383,-43.83624
61170,-6.82891,-3.80394,-2.14848,-3.87861,3.3251,6.72428,1.26803,1.17848,4.34468,3.43076,-32.93301,-10.28952,-43.22253
61200,-5.57586,-4.87219,-3.84256,-2.78564,4.9278,1.27981,1.16863,1.12426,5.0942,2.22772,-31.23145,-6.246502,-37.47796
61230,-8.16578,-5.26196,-3.03934,-4.22933,3.60488,5.12695,1.23091,1.11696,7.17183,3.23265,-33.04428,-9.241844,-42.28612
61260,-4.17379,-3.06965,-5.73568,-6.66812,3.43776,1.90699,1.22284,1.46447,2.49832,2.31195,-30.87184,-7.563408,-38.43524
61290,-1.93492,-0.660734,-5.38201,-5.23739,1.5872,1.54996,1.51636,1.20083,7.94025,5.37332,-32.07866,-7.138194,-39.21686
61320,-3.87966,-2.32963,-6.24712,-6.34119,8.82891,1.70483,1.14041,1.84577,3.29797,2.59691,-32.28586,-9.118144,-41.40401
61350,-4.20441,-3.6244,-4.5643,-4.71167,5.12653,3.88705,1.53833,1.47686,7.9435,3.27958,-33.74585,-11.22223,-44.96808
61380,-3.86305,-0.398682,-7.15727,-8.95245,2.66494,1.19503,1.74234,1.16793,9.31343,2.72397,-31.8791,-12.6352,-44.5143
