"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0102697,0.0027938555,0.025069975,1,"Blood","AtoB"
0.02048145,0.0056148295,0.049735385,2,"Blood","AtoB"
0.0305854,0.00842086,0.07378286,3,"Blood","AtoB"
0.0405573,0.01120043,0.097150085,4,"Blood","AtoB"
0.05040025,0.013986375,0.11998075,5,"Blood","AtoB"
0.0601174,0.016722975,0.1423279,6,"Blood","AtoB"
0.06973855,0.0194276,0.1642633,7,"Blood","AtoB"
0.0792935,0.02212249,0.1855912,8,"Blood","AtoB"
0.08867905,0.02478885,0.206515,9,"Blood","AtoB"
0.09793005,0.02744793,0.2272682,10,"Blood","AtoB"
0.1070965,0.030127095,0.2475947,11,"Blood","AtoB"
0.11612,0.032793915,0.26729305,12,"Blood","AtoB"
0.1250685,0.035412265,0.28659005,13,"Blood","AtoB"
0.133842,0.038002645,0.3055338,14,"Blood","AtoB"
0.142515,0.040623585,0.3241077,15,"Blood","AtoB"
0.1511035,0.0431807,0.3423339,16,"Blood","AtoB"
0.159639,0.04565695,0.3601891,17,"Blood","AtoB"
0.1680035,0.04820086,0.37766415,18,"Blood","AtoB"
0.1762955,0.05068312,0.39439165,19,"Blood","AtoB"
0.18446,0.053227035,0.41093315,20,"Blood","AtoB"
0.192494,0.05572348,0.4268862,21,"Blood","AtoB"
0.200475,0.058204835,0.4428647,22,"Blood","AtoB"
0.208415,0.060625255,0.45830655,23,"Blood","AtoB"
0.2161575,0.0631229,0.47375935,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
0.6442985,0.015519405,13.554175,1,"Cell","AtoB"
0.6746055,0.0281587,13.47671,2,"Cell","AtoB"
0.7053335,0.03993275,13.41639,3,"Cell","AtoB"
0.735264,0.05130883,13.34897,4,"Cell","AtoB"
0.7655505,0.06209316,13.29473,5,"Cell","AtoB"
0.795833,0.07211722,13.191815,6,"Cell","AtoB"
0.8246885,0.08168798,13.08847,7,"Cell","AtoB"
0.852724,0.091336615,13.028065,8,"Cell","AtoB"
0.8811635,0.10098165,12.9522,9,"Cell","AtoB"
0.911183,0.1101158,12.90289,10,"Cell","AtoB"
0.9370405,0.11875895,12.860775,11,"Cell","AtoB"
0.961173,0.12713135,12.790545,12,"Cell","AtoB"
0.9860245,0.1361819,12.716715,13,"Cell","AtoB"
1.008095,0.144016,12.646835,14,"Cell","AtoB"
1.031465,0.15163525,12.60236,15,"Cell","AtoB"
1.054735,0.15934455,12.55973,16,"Cell","AtoB"
1.077405,0.16689225,12.517275,17,"Cell","AtoB"
1.09933,0.1741733,12.49958,18,"Cell","AtoB"
1.120595,0.18135685,12.44466,19,"Cell","AtoB"
1.14224,0.18872225,12.400415,20,"Cell","AtoB"
1.16189,0.195473,12.350445,21,"Cell","AtoB"
1.181955,0.20239255,12.31003,22,"Cell","AtoB"
1.20003,0.20926955,12.26065,23,"Cell","AtoB"
1.21862,0.21613055,12.20857,24,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.96688,4.920089,4.99039,1,"Lumen","AtoB"
4.93487,4.8432195,4.98129,2,"Lumen","AtoB"
4.903185,4.7676985,4.9724105,3,"Lumen","AtoB"
4.871985,4.694358,4.963641,4,"Lumen","AtoB"
4.841125,4.622958,4.9550045,5,"Lumen","AtoB"
4.81056,4.552987,4.9463725,6,"Lumen","AtoB"
4.78044,4.4845715,4.9378005,7,"Lumen","AtoB"
4.75064,4.4180825,4.9292705,8,"Lumen","AtoB"
4.721135,4.35241,4.9208515,9,"Lumen","AtoB"
4.6921,4.2873505,4.9124215,10,"Lumen","AtoB"
4.66349,4.223896,4.904199,11,"Lumen","AtoB"
4.635255,4.1619435,4.8959825,12,"Lumen","AtoB"
4.60732,4.100991,4.8878215,13,"Lumen","AtoB"
4.579845,4.0414465,4.879783,14,"Lumen","AtoB"
4.55242,3.9835915,4.871662,15,"Lumen","AtoB"
4.52568,3.926908,4.863481,16,"Lumen","AtoB"
4.49904,3.8707465,4.85538,17,"Lumen","AtoB"
4.472605,3.8162435,4.8474315,18,"Lumen","AtoB"
4.446655,3.7636645,4.839321,19,"Lumen","AtoB"
4.421095,3.7115775,4.831504,20,"Lumen","AtoB"
4.395815,3.660959,4.8236475,21,"Lumen","AtoB"
4.37087,3.6112245,4.8160905,22,"Lumen","AtoB"
4.346075,3.5631305,4.8082505,23,"Lumen","AtoB"
4.321855,3.5142755,4.8007505,24,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.97963,4.91921,4.99565,1,"Blood","BtoA"
4.96083,4.841906,4.99221,2,"Blood","BtoA"
4.942155,4.766077,4.98889,3,"Blood","BtoA"
4.923685,4.692266,4.98562,4,"Blood","BtoA"
4.90541,4.6203905,4.98238,5,"Blood","BtoA"
4.88738,4.5500555,4.9791905,6,"Blood","BtoA"
4.8695,4.481377,4.9760505,7,"Blood","BtoA"
4.85185,4.4149095,4.9728905,8,"Blood","BtoA"
4.83436,4.350034,4.96987,9,"Blood","BtoA"
4.817115,4.2871325,4.9668505,10,"Blood","BtoA"
4.800015,4.225266,4.963821,11,"Blood","BtoA"
4.78309,4.16527,4.960801,12,"Blood","BtoA"
4.766335,4.105687,4.95779,13,"Blood","BtoA"
4.74977,4.0493745,4.9548115,14,"Blood","BtoA"
4.733585,3.9929985,4.9518205,15,"Blood","BtoA"
4.717405,3.9374095,4.94887,16,"Blood","BtoA"
4.701485,3.88418,4.94593,17,"Blood","BtoA"
4.68592,3.830954,4.94301,18,"Blood","BtoA"
4.670365,3.780061,4.94008,19,"Blood","BtoA"
4.65492,3.729274,4.93722,20,"Blood","BtoA"
4.639635,3.6800615,4.934362,21,"Blood","BtoA"
