"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-7.03192699810742,0.203966932019303,4.58017643578742,-11.7693925,-9.776205,-8.668905,-5.90464,6.15448925,499,1.00405855947074,1,-11.30144,-8.668905,3.1081755,0.0424499999999997,0.0495749999999999,0.05863,0.41697,0.71632,0.144309906263391,690,739
"p_2.1.",-2.34852140208418,0.212919574077054,4.73384349545456,-6.65164675,-5.3544425,-4.269685,-0.96817925,11.0654975,489,1.00479671890843,1,-6.351214,-4.269685,8.12153,0.0240100000000001,0.042815,0.0816249999999998,0.450237,0.75895,0.150645800474154,627,740
"p_3.1.",-2.87992337715945,0.188525347249229,3.79775424866538,-5.80614875,-4.84315,-4.385455,-3.0740275,8.6316275,399,1.0059747950702,1,-5.52929,-4.385455,5.992224,0.0143499999999999,0.0136099999999999,0.0279000000000003,0.289955,0.776889999999999,0.133403482628478,690,651
"p_4.1.",-8.67007162333021,0.207319049325498,4.26858966194078,-13.231385,-11.155375,-10.0416,-8.06375,3.70476125,417,1.00580853702865,1,-12.72411,-10.0416,0.859224349999999,0.0258000000000003,0.0411999999999999,0.0578599999999998,0.317245,0.83348,0.146697684447517,663,653
"GSD_error_C1_blood.1.",3.32606627702787,0.0126760650470205,2.02378145509321,1.31324825,1.84134,2.57595,4.160045,8.84928125,25470,1.00008148292897,1,1.393643,2.57595,7.9401725,0.00399499999999997,0.00611499999999998,0.0114999999999998,0.0265049999999998,0.0354399999999995,0.00896343416804775,22292,21581
"GSD_error_C1_cell.1.",4.09785170822397,0.0164141175283521,2.43265889480031,1.17657225,2.0124675,3.448595,5.8069675,9.4486805,21928,1.0001871408427,1,1.2490915,3.448595,8.909558,0.00224999999999997,0.0126500000000001,0.029515,0.0338850000000002,0.017995,0.0116066878878253,21367,29379
"GSD_error_C1_lumen.1.",1.80245578615173,0.00818293665337238,1.2550100184043,1.10725,1.1874075,1.34368,1.775735,6.0442355,23486,1.00000972029421,1,1.115073,1.34368,4.34323949999999,0.000294999999999934,0.00111499999999998,0.00306000000000006,0.00839999999999996,0.0777349999999997,0.00578628172269072,24961,26132
"GSD_error_C2_blood.1.",1.52648743500812,0.0108667126522931,0.993257070837099,1.10258075,1.1358475,1.207655,1.4271925,4.64890775,8346,1.00020208335873,1,1.1053715,1.207655,3.0846645,0.000125000000000042,0.000560000000000005,0.00168499999999994,0.00570499999999996,0.15709,0.00779945246752618,16287,10258
"GSD_error_C2_cell.1.",4.056482539995,0.0171410852352898,2.42736778401507,1.166756,1.987485,3.394665,5.7293225,9.41675675,20032,1.00005155414537,1,1.2382015,3.394665,8.8961055,0.00234500000000004,0.012585,0.0218399999999999,0.0356099999999997,0.0206850000000003,0.0121207540829893,19655,28665
"GSD_error_C2_lumen.1.",3.88931554899388,0.0138714608604347,2.21446434727846,1.4177615,2.125625,3.162415,5.1426925,9.2762955,25456,1.00003852269635,1,1.52366,3.162415,8.6043115,0.00482499999999997,0.00838499999999986,0.0160500000000001,0.0266650000000004,0.0247000000000002,0.00980871632318059,24367,28526
"LnPrior",-32.4903953871391,0.0340173066778234,1.49421066111625,-35.696952,-33.4134275,-32.39309,-31.4542725,-29.830287,1903,1.00105751324453,1,-35.0718715,-32.39309,-30.2046415,0.0945450000000001,0.0390349999999984,0.0286149999999985,0.0242949999999986,0.0164749999999998,0.0244089740022314,2129,2830
"LnData",-16.6484113329896,0.0299341119905792,2.81408289767313,-22.55305375,-18.4655175,-16.496675,-14.6828825,-11.5683765,8851,1.00009655769046,1,-21.4986295,-16.496675,-12.2779815,0.0690750000000016,0.0281699999999994,0.0318349999999992,0.0317350000000003,0.0342500000000001,0.0211673122021533,8656,18172
"LnPosterior",-49.1388067307212,0.0591917249044802,3.95591942824106,-57.3917815,-51.72599,-48.961005,-46.3819775,-41.83278075,4446,1.00035774375161,1,-55.9046775,-48.961005,-42.9492135,0.106665,0.0703999999999994,0.0591200000000001,0.0596950000000014,0.0443050000000014,0.0418937065192095,4494,12998
