"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-9.91322,-5.99443,0.902748,-3.1896,3.42808,1.87918,1.1718,5.89664,4.4907,7.26809,-34.1667,-22.35651,-56.52321
60060,-9.58848,-5.19722,-5.09982,-9.50441,5.94861,6.62804,1.3392,4.44157,3.09486,3.57519,-34.50316,-20.86568,-55.36884
60090,-7.68441,-3.38797,-4.78352,-10.9314,2.3975,4.35921,1.38307,5.57139,1.17763,1.78469,-31.82446,-17.34094,-49.1654
60120,-8.50329,-4.00444,-4.34695,-10.0126,2.77395,6.73302,3.51535,7.12745,2.00878,2.64441,-34.48681,-21.76404,-56.25085
60150,-10.6373,-4.94089,-4.36253,-11.9705,1.29764,7.35847,2.54722,5.65067,3.29441,5.61353,-34.59472,-22.0755,-56.67022
60180,-10.5359,-2.83706,-4.56271,-14.4059,3.6302,9.97732,1.16726,2.3114,3.40116,3.47695,-33.96332,-22.47824,-56.44156
60210,-9.2905,-5.2661,-4.07235,-9.91568,2.26771,1.33906,1.95967,1.16248,1.32694,2.21306,-29.67331,-16.11034,-45.78365
60240,-8.66049,-2.40144,-5.07003,-12.3982,1.8657,2.29713,2.56923,1.69978,9.01059,2.26664,-32.72669,-18.16067,-50.88736
60270,-10.1965,-4.0457,-4.45218,-11.1201,1.19049,5.37539,2.0711,4.03562,5.27657,9.39111,-34.6098,-21.51447,-56.12427
60300,-8.90929,-4.4609,-4.62627,-14.6223,1.4592,6.49278,1.14306,1.8852,2.13575,7.24178,-32.60278,-19.83108,-52.43386
60330,-8.33013,-2.51851,-4.73076,-11.5842,3.73489,1.29191,1.14306,1.13171,2.56929,2.025,-30.2271,-12.69443,-42.92153
60360,-8.03917,-3.6191,-4.51791,-10.574,3.69581,3.03757,1.59306,1.37208,1.56423,2.78157,-31.35447,-15.57294,-46.9274
60390,-8.79706,-3.96311,-5.01974,-10.7361,2.21403,3.22239,1.21684,1.23097,3.6884,1.42946,-30.71234,-13.2096,-43.92194
60420,-7.92832,-3.43157,-4.48047,-9.58174,2.18085,1.61176,1.16258,1.5695,2.00408,4.73949,-30.77422,-14.35629,-45.13051
60450,-8.38775,-5.68397,-4.59093,-10.5323,3.2042,1.22196,1.10242,1.15113,4.15373,9.08815,-31.88382,-14.14168,-46.0255
60480,-8.76337,-2.62289,-5.65243,-12.4792,3.03352,2.25829,1.37217,1.16037,2.91068,2.36799,-31.09112,-15.61409,-46.70521
60510,-8.77811,-5.12964,-5.27532,-9.35383,6.45133,6.1884,1.27404,1.4876,6.70109,1.4581,-33.22941,-17.74446,-50.97387
60540,-9.68414,-4.01748,-5.71895,-10.7156,6.3256,1.5393,1.72787,1.40041,3.21742,8.56947,-33.16294,-18.83983,-52.00277
60570,-9.43495,-4.26993,-4.98297,-10.8077,2.95696,3.18626,1.13956,1.48469,1.59526,2.86337,-30.97553,-16.16608,-47.14161
60600,-9.2544,-5.85102,-4.11106,-9.99022,2.85026,1.4235,1.2529,1.33954,4.21992,7.58918,-32.04113,-16.88704,-48.92816
60630,-10.0703,-4.35174,-4.81476,-11.3592,4.26588,3.69834,1.25077,1.59771,6.73414,1.36311,-32.38741,-15.69088,-48.07829
60660,-9.22733,-5.71145,-5.0976,-8.53937,4.22842,5.50519,1.27372,1.15541,3.21616,6.5924,-33.20207,-18.04017,-51.24223
60690,-7.48135,-2.98187,-3.81829,-10.158,5.27639,2.4209,1.25649,1.24864,3.19446,9.15088,-33.0742,-18.03236,-51.10656
60720,-9.33028,-5.33417,-3.85953,-8.78117,2.62522,4.14679,1.18963,1.37058,4.57796,6.67662,-32.94196,-15.92439,-48.86634
60750,-10.0566,-6.07084,-4.1658,-9.74793,1.63525,7.47891,1.56617,1.10076,3.79154,2.09243,-31.7844,-13.65199,-45.43639
60780,-10.1127,-4.3698,-2.62392,-7.60994,1.34047,6.8429,1.70593,1.10748,1.41555,8.43069,-32.0319,-16.28482,-48.31673
60810,-11.204,-4.08872,-3.24115,-10.5202,1.23198,6.30979,2.6292,1.20793,3.07126,1.64955,-31.59439,-18.97187,-50.56626
60840,-9.84018,-5.1411,-4.53481,-10.7464,1.32737,2.64439,5.2847,2.16393,1.80947,3.20198,-32.13617,-18.47092,-50.60708
60870,-9.65601,-7.5527,-4.93732,-9.25875,2.22207,3.286,1.64471,1.27563,4.56335,8.75679,-33.04851,-20.56975,-53.61826
60900,-10.0154,-5.52118,-4.14715,-10.4707,1.30788,7.2142,2.41557,1.12014,2.24889,6.23752,-32.56712,-14.53092,-47.09804
60930,-10.0431,-3.84898,-4.62299,-11.8351,3.58073,6.53859,1.10061,1.23679,4.31898,1.29382,-31.93189,-12.88781,-44.81969
60960,-9.88799,-3.80035,-4.58072,-12.3882,2.09038,5.7647,1.20166,1.23659,8.67513,2.52759,-32.74248,-14.46077,-47.20325
60990,-8.25682,-3.73977,-4.36802,-10.1319,2.91466,1.9024,1.12538,1.12243,4.14554,1.58102,-30.5008,-11.22827,-41.72907
61020,-9.34258,-4.74644,-3.96443,-10.9618,2.0009,4.88573,1.21296,1.70557,9.24024,3.03629,-33.04169,-17.68681,-50.7285
61050,-9.61614,-5.03205,-4.49835,-10.4586,4.85447,1.7589,1.11436,1.19012,4.35056,6.6848,-32.47342,-15.09199,-47.5654
61080,-8.46909,-3.1894,-4.4983,-10.1779,1.91936,1.47879,1.7022,1.11798,2.27869,7.52765,-31.21838,-14.4752,-45.69358
61110,-8.79794,-4.54037,-4.45201,-10.4815,1.37591,1.56175,2.23732,1.15917,1.13603,1.46846,-28.90115,-12.95663,-41.85778
61140,-11.4492,-5.5565,-2.73706,-9.13594,1.82801,3.08248,1.5758,1.78003,1.29506,2.95178,-30.83631,-17.95471,-48.79102
61170,-9.41687,-5.02088,-3.62572,-9.19637,3.81788,2.21251,1.26673,1.13337,5.3815,2.13377,-31.59983,-13.7838,-45.38363
61200,-10.5713,-5.02719,-3.52578,-10.3026,1.19792,1.99234,1.15296,1.11618,3.40908,1.36337,-29.37507,-13.64373,-43.01881
61230,-11.9401,-5.29977,-2.76969,-11.5017,1.34227,7.50669,3.86406,1.10018,4.40936,3.20617,-33.22159,-17.03887,-50.26046
61260,-9.37212,-5.04022,-3.86694,-10.1693,2.25503,2.51361,1.11942,1.24175,1.38214,6.7203,-30.96999,-13.85159,-44.82158
61290,-9.53695,-4.81735,-4.02761,-9.85675,1.61683,1.7167,1.11002,1.25737,4.86857,2.55836,-30.54904,-12.61524,-43.16428
61320,-9.59323,-4.91971,-4.38324,-11.0663,1.73135,6.13977,1.11002,1.13578,2.14128,6.05182,-31.85448,-11.53943,-43.39391
61350,-9.06167,-5.15865,-4.22966,-8.79322,1.4744,1.62601,1.31481,1.29869,5.48921,2.37894,-30.61432,-13.42459,-44.03891
61380,-8.63547,-4.37247,-4.24637,-10.1148,2.20028,1.39451,2.02565,1.39692,1.11088,2.57906,-29.88084,-13.42464,-43.30548
61410,-8.86223,-3.64906,-4.76545,-10.6888,2.01711,6.42526,1.36432,1.30504,5.58292,9.06661,-33.75476,-16.59258,-50.34734
61440,-9.1251,-4.9536,-4.27919,-12.1066,3.64115,1.36529,1.26732,1.2604,2.89266,3.9647,-31.23852,-18.44002,-49.67854
61470,-8.43264,-4.9263,-4.60515,-9.51995,1.5228,1.18653,1.26993,1.16047,5.4393,4.83941,-30.88507,-13.86373,-44.7488
61500,-4.53993,-0.0757389,-5.07617,-11.8898,1.48251,3.29326,1.11827,1.17354,1.30681,5.40988,-30.68269,-14.36514,-45.04783
61530,-4.47159,-1.26697,-5.27291,-8.79623,3.26186,7.46166,1.36344,1.12209,6.32748,3.00783,-33.2953,-16.46185,-49.75715
61560,-6.24487,-2.18066,-4.61885,-10.4916,3.29805,3.93608,1.15071,1.31281,1.33771,1.9022,-30.63015,-13.01301,-43.64316
61590,-6.91013,-2.66795,-4.74861,-9.57137,2.60314,1.45308,1.13406,1.14441,1.49056,2.38953,-29.53945,-15.64075,-45.1802
61620,-7.82251,-3.86891,-4.23766,-9.94443,3.45535,3.58429,1.37977,2.86679,2.13499,2.09696,-32.05616,-17.77031,-49.82647
61650,-8.51593,-3.07846,-5.62421,-11.4366,2.58253,8.23085,4.17241,3.7422,1.98381,2.5588,-34.14398,-22.6926,-56.83658
61680,-6.4321,-1.74272,-4.38494,-10.1941,2.7999,7.55005,1.48936,2.15116,5.43175,4.53934,-34.15272,-19.68031,-53.83302
61710,-7.09729,-2.75848,-4.78901,-11.9715,1.89548,2.43502,1.34611,1.20639,1.13971,7.28318,-30.87531,-14.17242,-45.04773
61740,-9.15342,-5.25997,-4.82415,-9.9029,8.10143,1.14147,1.64153,1.12045,1.51008,2.54543,-30.82561,-13.54091,-44.36652
61770,-10.2145,-5.20697,-3.39902,-9.28289,3.08216,2.24156,1.20096,1.18616,1.20053,9.15052,-31.36904,-14.11499,-45.48403
61800,-10.3416,-5.62768,-5.15912,-9.79965,5.59342,2.27777,3.97476,1.18127,4.71121,1.55084,-32.73978,-17.04491,-49.78468
61830,-9.61215,-4.90739,-4.83335,-9.79979,1.78849,4.60081,7.92023,1.14181,1.28068,2.06189,-31.93706,-15.20088,-47.13794
61860,-10.0521,-4.97493,-4.07592,-10.2187,2.55335,4.34736,9.77871,1.62673,2.06896,1.36187,-32.89859,-18.63938,-51.53797
61890,-10.011,-4.82326,-4.53886,-10.6468,9.56189,4.40239,1.20349,1.12842,1.93562,2.64014,-32.3698,-14.23006,-46.59986
61920,-9.01748,-4.52501,-5.56172,-10.9138,2.77378,4.9487,5.62219,1.12633,1.65665,1.76928,-32.21191,-16.46508,-48.677
61950,-9.09931,-5.317,-4.59775,-10.5683,1.53325,2.09587,1.12339,1.19046,1.5398,9.16252,-30.76911,-12.34984,-43.11895
61980,-11.0108,-6.41099,-4.18866,-11.1253,1.94688,8.43857,1.17895,1.29094,1.10411,2.95496,-31.12694,-14.75136,-45.8783
62010,-9.83246,-5.17725,-4.17542,-10.346,2.48414,6.60306,1.12107,1.82831,2.10106,1.43659,-31.30211,-13.97053,-45.27264
62040,-10.4693,-4.88242,-3.99919,-10.6855,1.22601,3.33498,1.52985,1.1609,2.66081,1.83439,-30.28296,-11.84477,-42.12773
62070,-9.54259,-6.13401,-4.08849,-10.0081,2.98753,7.73835,1.15819,1.61164,5.58155,3.52192,-33.40386,-16.97477,-50.37863
62100,-8.30175,-5.71786,-3.61276,-8.4239,2.69591,2.23444,1.17227,1.10051,5.41531,1.51333,-30.78222,-14.25141,-45.03364
62130,-11.3589,-4.44805,-4.66547,-10.905,5.01489,3.08917,1.1145,1.39831,7.81043,1.73941,-32.53573,-19.4757,-52.01143
62160,-9.52471,-2.94988,-4.77755,-12.7528,2.38231,2.58698,1.12515,1.75414,7.02838,1.58344,-31.70488,-15.91444,-47.61932
62190,-4.14256,0.353028,-3.24211,-10.0034,3.56558,3.21336,1.9249,1.12625,1.67958,9.31583,-32.84316,-19.14896,-51.99212
62220,-5.64552,1.22869,-4.62922,-12.0357,2.02296,9.85219,1.38631,1.15094,5.3636,6.66663,-33.97669,-17.56433,-51.54102
62250,-4.23849,0.469793,-4.0848,-10.1354,6.55726,1.53295,1.64749,1.10168,9.71587,2.3112,-32.88288,-16.73023,-49.61311
62280,-3.31003,3.44173,-5.50945,-13.6007,6.34342,2.347,1.16882,1.33992,3.95388,3.83021,-33.06195,-18.94469,-52.00665
62310,-1.37334,3.10574,-6.07824,-10.9355,2.02535,5.2023,3.89987,1.42576,3.12905,2.32532,-33.17861,-20.87434,-54.05294
62340,-0.99357,2.85977,-4.71109,-10.2932,1.92696,5.89555,1.11597,1.28245,3.44146,1.73296,-31.69358,-13.84875,-45.54232
62370,-0.903601,3.37172,-3.52981,-12.2781,2.77396,2.62681,2.34507,1.11215,1.4272,9.62479,-32.81709,-18.71714,-51.53423
62400,-1.87553,3.62925,-4.92631,-11.698,2.46582,2.85129,1.37377,1.18253,2.9358,2.02438,-31.39942,-14.25793,-45.65735
62430,-2.18631,2.46325,-5.39057,-11.0895,1.41177,5.33426,1.19825,2.13135,3.11261,2.22845,-31.94932,-17.88177,-49.83109
62460,-0.457096,4.95091,-4.71021,-9.81257,2.30804,3.51474,3.0043,1.92865,2.61053,9.22316,-34.33494,-21.64097,-55.97591
62490,-0.985733,3.25562,-5.20124,-10.671,1.99452,7.04715,1.17872,1.13401,1.2285,2.18588,-31.07333,-11.80958,-42.88291
62520,-0.412488,3.70835,-5.08262,-9.83353,1.76138,5.73309,3.5998,1.1151,1.12674,2.58635,-31.96684,-14.62058,-46.58742
62550,1.79614,6.42373,-4.60594,-11.1867,1.49861,4.43243,8.05334,2.88967,1.88639,2.64103,-34.25776,-22.62034,-56.8781
62580,3.63247,8.61513,-4.76032,-11.8594,1.81244,8.58741,1.11019,1.17655,2.3511,3.81978,-33.21104,-13.50652,-46.71756
62610,0.402231,6.86921,-5.09409,-13.5288,5.62827,1.22312,1.36539,1.15857,5.38032,3.69051,-33.03763,-15.77076,-48.80839
62640,1.86805,7.11767,-4.10552,-10.5036,5.83205,6.98574,1.46586,1.70157,1.69474,5.05493,-34.44603,-20.60221,-55.04824
62670,2.8638,6.89585,-5.45622,-10.1113,2.20428,6.02696,1.45238,1.55756,1.29145,1.74296,-31.90586,-16.00415,-47.91001
62700,3.16194,10.1674,-4.84578,-12.6624,4.03299,3.03595,1.17937,1.11293,6.41388,3.63775,-34.11609,-15.97012,-50.0862
62730,3.62231,10.2232,-4.86533,-12.9766,5.45998,2.84393,1.2966,1.22764,9.59521,4.24097,-35.15944,-16.87439,-52.03383
62760,8.77315,12.1977,-5.79173,-8.88983,5.91691,5.27811,1.66463,1.11207,2.27838,3.41926,-35.00005,-18.59216,-53.59221
62790,9.02071,13.0573,-5.14486,-9.79043,2.46319,3.31535,1.10309,1.36817,1.29022,1.51478,-32.2514,-17.18993,-49.44133
62820,9.27251,14.5621,-4.05278,-10.8065,2.46577,2.42978,2.14716,1.23231,2.09674,2.08128,-33.61713,-17.91973,-51.53685
62850,12.4848,16.2436,-3.93282,-8.98062,4.18553,9.59429,1.30433,1.15362,1.74967,4.81738,-36.28909,-16.97066,-53.25975
