"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.01481865,0.002401205,0.04204369,1,"Blood","AtoB"
0.03426765,0.007947772,0.08582772,2,"Blood","AtoB"
0.0546147,0.014543135,0.128934,3,"Blood","AtoB"
0.07521,0.021472145,0.17116855,4,"Blood","AtoB"
0.0959084,0.028597475,0.21185285,5,"Blood","AtoB"
0.1166225,0.035744875,0.25170885,6,"Blood","AtoB"
0.1370865,0.04291796,0.28994025,7,"Blood","AtoB"
0.157468,0.05006345,0.3275182,8,"Blood","AtoB"
0.1775555,0.057111785,0.36390405,9,"Blood","AtoB"
0.1976265,0.064275285,0.39936385,10,"Blood","AtoB"
0.2173665,0.071117095,0.4335031,11,"Blood","AtoB"
0.2368745,0.07793011,0.46687315,12,"Blood","AtoB"
0.255866,0.08468635,0.4990268,13,"Blood","AtoB"
0.274793,0.09168879,0.5302187,14,"Blood","AtoB"
0.293095,0.098369585,0.56013815,15,"Blood","AtoB"
0.311272,0.10507285,0.5894294,16,"Blood","AtoB"
0.3292245,0.1116614,0.61772615,17,"Blood","AtoB"
0.346787,0.1182398,0.6452105,18,"Blood","AtoB"
0.3639705,0.12498235,0.6719405,19,"Blood","AtoB"
0.380998,0.13165505,0.69744435,20,"Blood","AtoB"
0.3976235,0.13820745,0.7223823,21,"Blood","AtoB"
0.413926,0.14460925,0.74646705,22,"Blood","AtoB"
0.4300985,0.1509693,0.7694962,23,"Blood","AtoB"
0.446143,0.1573086,0.7920339,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
154.652,2.017562,1706.7495,1,"Cell","AtoB"
188.9305,3.679034,1834.943,2,"Cell","AtoB"
199.4755,5.2090475,1902.9445,3,"Cell","AtoB"
202.278,6.6414495,1949.5715,4,"Cell","AtoB"
203.344,7.988036,1977.8515,5,"Cell","AtoB"
203.5395,9.354179,1990.096,6,"Cell","AtoB"
203.4645,10.57868,1989.801,7,"Cell","AtoB"
203.1155,11.80056,1987.9755,8,"Cell","AtoB"
203.0675,13.0204,1978.4205,9,"Cell","AtoB"
202.9665,14.1154,1967.3765,10,"Cell","AtoB"
202.6495,15.26427,1951.5945,11,"Cell","AtoB"
202.562,16.346605,1933.98,12,"Cell","AtoB"
202.4735,17.42653,1917.407,13,"Cell","AtoB"
202.6,18.373665,1898.949,14,"Cell","AtoB"
202.3805,19.37894,1880.342,15,"Cell","AtoB"
202.343,20.23394,1855.362,16,"Cell","AtoB"
202.023,21.20426,1838.3145,17,"Cell","AtoB"
202.5045,22.09629,1815.6625,18,"Cell","AtoB"
202.324,22.965445,1800.1405,19,"Cell","AtoB"
202.544,23.766055,1782.216,20,"Cell","AtoB"
202.2775,24.63422,1762.0975,21,"Cell","AtoB"
202.444,25.466985,1739.3015,22,"Cell","AtoB"
202.744,26.313145,1719.9945,23,"Cell","AtoB"
202.973,27.03776,1706.91,24,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.89374,4.359351,4.9637205,1,"Lumen","AtoB"
4.80328,4.24424,4.9300215,2,"Lumen","AtoB"
4.720285,4.140604,4.8987945,3,"Lumen","AtoB"
4.64236,4.036498,4.86918,4,"Lumen","AtoB"
4.56693,3.9352805,4.841111,5,"Lumen","AtoB"
4.493835,3.8345095,4.8132635,6,"Lumen","AtoB"
4.42384,3.735524,4.7869075,7,"Lumen","AtoB"
4.355885,3.6370175,4.7614745,8,"Lumen","AtoB"
4.289205,3.5424765,4.7361715,9,"Lumen","AtoB"
4.22546,3.446959,4.7103805,10,"Lumen","AtoB"
4.161725,3.3553265,4.685614,11,"Lumen","AtoB"
4.100095,3.266676,4.661067,12,"Lumen","AtoB"
4.04,3.1793355,4.637291,13,"Lumen","AtoB"
3.980615,3.0939005,4.613684,14,"Lumen","AtoB"
3.92298,3.012086,4.589855,15,"Lumen","AtoB"
3.866545,2.9330025,4.5677025,16,"Lumen","AtoB"
3.81104,2.8565625,4.5445155,17,"Lumen","AtoB"
3.75653,2.7777825,4.5217325,18,"Lumen","AtoB"
3.702805,2.701112,4.4983375,19,"Lumen","AtoB"
3.651315,2.627445,4.47565,20,"Lumen","AtoB"
3.599855,2.557898,4.454613,21,"Lumen","AtoB"
3.550335,2.48543,4.4327355,22,"Lumen","AtoB"
3.50036,2.418613,4.411985,23,"Lumen","AtoB"
3.451745,2.3511535,4.3916105,24,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.97192,4.780299,4.99499,1,"Blood","BtoA"
4.957905,4.7595795,4.99039,2,"Blood","BtoA"
4.94711,4.738969,4.9861005,3,"Blood","BtoA"
4.937435,4.719323,4.9822005,4,"Blood","BtoA"
4.92842,4.7002325,4.97857,5,"Blood","BtoA"
4.919595,4.681198,4.97527,6,"Blood","BtoA"
4.91137,4.6619595,4.97193,7,"Blood","BtoA"
4.90347,4.6413065,4.9688605,8,"Blood","BtoA"
4.8957,4.62114,4.96619,9,"Blood","BtoA"
4.88816,4.602226,4.963381,10,"Blood","BtoA"
4.880835,4.584004,4.96085,11,"Blood","BtoA"
4.873695,4.564627,4.9583805,12,"Blood","BtoA"
4.8669,4.545766,4.9559705,13,"Blood","BtoA"
4.860295,4.526969,4.953641,14,"Blood","BtoA"
4.85373,4.507939,4.9516105,15,"Blood","BtoA"
4.847445,4.4893835,4.9493605,16,"Blood","BtoA"
4.84122,4.4703985,4.94724,17,"Blood","BtoA"
4.83505,4.452098,4.9452505,18,"Blood","BtoA"
4.82901,4.434708,4.94331,19,"Blood","BtoA"
4.82301,4.416289,4.9414515,20,"Blood","BtoA"
4.81729,4.400399,4.939633,21,"Blood","BtoA"
4.811685,4.385008,4.9379505,22,"Blood","BtoA"
4.80621,4.36945,4.9362915,23,"Blood","BtoA"
4.800985,4.353013,4.9347235,24,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
