"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-8.62777051705418,0.232493834320096,4.19008453194173,-12.4631775,-11.2691,-10.27835,-7.5354325,2.911069,316,1.00743760276556,1,-12.128165,-10.27835,0.478781149999996,0.0338500000000002,0.0503999999999998,0.0892999999999997,0.56026,0.67304,0.164545818366075,385,667
"p_2.1.",-0.370418427143451,0.235512987293358,4.23441268470484,-4.40215475,-3.0415225,-2.023125,0.78755075,11.26409,314,1.00773921767435,1,-4.077596,-2.023125,8.8219015,0.0266900000000003,0.05067,0.104995,0.5541855,0.659949999999999,0.166683317198586,376,663
"p_3.1.",-1.50960225231481,0.178168001839565,3.66029717100053,-4.16437875,-3.397475,-2.987335,-1.64376,9.971397,418,1.00561921023331,1,-3.9730685,-2.987335,7.0767885,0.0191300000000001,0.0201750000000001,0.0435350000000001,0.221125,0.869015,0.126070966882597,479,677
"p_4.1.",-10.4115416466879,0.19264597687774,3.94109676221091,-14.1334625,-12.6302,-11.7752,-10.14445,1.4927845,414,1.00574665312332,1,-13.706655,-11.7752,-1.29734050000001,0.0246999999999993,0.0403000000000002,0.069,0.246675,0.783095,0.136316322572347,490,654
"GSD_error_C1_blood.1.",2.32670683570804,0.0112015759780548,1.70375273196083,1.11634225,1.2845275,1.619905,2.5672325,7.84129825,23106,1.00032140988254,1,1.13266,1.619905,6.3888965,0.00048999999999999,0.00244,0.00710500000000003,0.0180499999999999,0.0772650000000001,0.00792081025003474,20382,24493
"GSD_error_C1_cell.1.",3.15907510748656,0.0146913378212965,2.20348522894545,1.13201225,1.4899225,2.25793,4.1528575,8.985598,22361,1.00014587649925,1,1.1642015,2.25793,8.1644315,0.00111000000000006,0.00573500000000005,0.0125900000000001,0.0332150000000002,0.0283299999999995,0.0103884792170273,20124,28200
"GSD_error_C1_lumen.1.",2.78217944756905,0.0243118694316732,1.91328215693585,1.154733,1.476,2.010575,3.32562,8.44341375,6182,1.00081395094827,1,1.1904735,2.010575,7.3207015,0.00164999999999993,0.00885999999999998,0.021305,0.0499999999999998,0.0515699999999999,0.0171918973650428,4259,19690
"GSD_error_C2_blood.1.",2.04327416416698,0.0120027462868756,1.436456613455,1.1187815,1.2601825,1.494725,2.111445,6.83673625,14203,1.00066748613348,1,1.13542,1.494725,5.229484,0.000669999999999948,0.00373999999999997,0.00715500000000002,0.01596,0.0811449999999998,0.00848739606280754,6221,15618
"GSD_error_C2_cell.1.",3.27741381327334,0.0173357629159025,2.26268609285032,1.13166,1.5244725,2.365635,4.4014075,9.105318,17050,1.00011822239361,1,1.1653875,2.365635,8.3011045,0.00107500000000005,0.00749500000000003,0.0175999999999998,0.0343849999999999,0.0300600000000006,0.0122584453346214,15182,28711
"GSD_error_C2_lumen.1.",3.04825314429446,0.0171785949407104,2.04479791846513,1.15268,1.558915,2.245625,3.8537225,8.7434555,14267,1.00047920037641,1,1.20015,2.245625,7.7931945,0.00192999999999999,0.00950499999999999,0.017285,0.0301499999999999,0.0347349999999995,0.0121473510962465,7851,12304
"LnPrior",-32.076898596113,0.0373583269526556,1.64398142539564,-35.5446625,-33.1452075,-31.973325,-30.8976775,-29.20541275,1919,1.00215162703218,1,-34.9485055,-31.973325,-29.553935,0.0774850000000029,0.0442299999999989,0.0335200000000011,0.0285600000000006,0.0211799999999993,0.0266688821743762,2049,3481
"LnData",-25.5607290932383,0.0529976238523518,3.29683114365368,-31.958187,-27.7806525,-25.59554,-23.3767725,-18.941758,3828,1.00127158424079,1,-30.9116835,-25.59554,-20.038024,0.0793599999999994,0.0404400000000003,0.0499050000000008,0.0665899999999997,0.0627750000000002,0.0374778041438861,3896,12497
"LnPosterior",-57.6376277218473,0.0886004720123754,4.73032922345296,-66.93378025,-60.87497,-57.628225,-54.413775,-48.41397125,2821,1.00167830681697,1,-65.40355,-57.628225,-49.8601,0.0974100000000035,0.0873249999999999,0.094854999999999,0.101390000000002,0.0799449999999986,0.0626564062980822,2861,12290
