"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-10.7857,-2.47056,2.97642,-6.95881,3.84706,1.99683,8.09875,1.12602,1.13572,2.51485,-32.36423,-26.20406,-58.56829
60060,-12.0727,-4.35762,1.61134,-7.63003,1.13058,1.43636,4.25179,1.29358,4.6985,3.90164,-32.06508,-25.60541,-57.67049
60090,-11.0108,-4.83205,0.99649,-6.28842,2.0757,2.69421,1.72729,2.86354,4.27482,8.42577,-33.78688,-30.58154,-64.36842
60120,-11.5944,-3.48167,2.08845,-6.1144,1.45044,1.23497,2.02901,1.3634,4.6995,2.53283,-31.07799,-23.33917,-54.41716
60150,-10.8562,-2.66362,4.6074,-3.89848,1.5743,4.27068,5.95833,1.21269,2.14687,7.21582,-33.85056,-28.27625,-62.12681
60180,-11.7633,-4.21288,3.74206,-4.61415,1.13629,1.67378,2.12403,3.17352,2.05538,5.45244,-32.0975,-26.50975,-58.60725
60210,-11.1907,-2.68575,2.74435,-5.55121,1.92434,2.71584,2.06907,1.18501,1.15194,4.29428,-31.21002,-24.78747,-55.99749
60240,-11.7619,-3.28779,2.19506,-6.24744,1.25742,1.25611,3.25359,1.25421,6.21433,3.72322,-32.02328,-23.84869,-55.87196
60270,-12.7964,-3.34127,0.0461772,-7.37593,3.46995,2.88379,3.04841,1.63568,4.10829,3.57104,-33.52376,-31.24749,-64.77126
60300,-10.6881,-5.09729,1.43612,-5.56322,1.14372,3.39284,1.59935,1.48983,4.81101,1.63177,-31.18645,-26.81111,-57.99756
60330,-12.2179,-3.6246,2.89443,-5.5635,2.46271,1.35053,4.77283,1.25059,2.01098,3.28376,-31.95816,-26.44163,-58.39978
60360,-11.7838,-3.33386,2.19692,-7.20267,1.30054,2.19778,2.88857,2.41536,1.39909,1.49556,-30.74801,-25.13523,-55.88324
60390,-14.106,-3.26064,1.96443,-7.23683,6.032,1.70075,2.74178,2.05373,1.4394,1.59694,-31.99765,-29.55529,-61.55294
60420,-11.0823,-2.97952,-0.26885,-8.06586,1.39185,1.28488,3.46944,1.39465,2.26341,3.00818,-30.93736,-25.04923,-55.98658
60450,-13.5565,-3.07415,-1.89185,-11.5903,3.49254,4.65016,3.43864,1.10474,1.55204,1.70584,-32.0616,-27.63768,-59.69928
60480,-11.2268,-3.05101,-2.52561,-11.3711,1.62423,2.21488,6.70271,1.62867,5.61113,1.30996,-32.50527,-25.12811,-57.63338
60510,-11.2119,-2.32882,-1.50641,-9.7833,1.20311,1.47,3.92578,1.27513,2.91543,6.53923,-31.98478,-25.22586,-57.21065
60540,-10.8786,-2.34224,-2.46495,-11.5738,1.18292,8.31158,1.69866,1.65937,1.42199,1.15594,-30.67953,-20.20332,-50.88284
60570,-10.3848,-3.04502,-2.9622,-11.0933,1.56022,8.0472,2.92835,1.30457,2.74123,1.10515,-31.7715,-21.83106,-53.60256
60600,-11.589,-3.35234,-2.98086,-11.4536,2.9401,1.3465,1.35294,1.24258,9.95636,1.36591,-31.33787,-23.52875,-54.86662
60630,-10.5952,-1.87249,-2.98086,-12.2147,2.37519,1.13507,1.37445,1.39683,1.20226,1.13352,-28.83085,-17.854,-46.68485
60660,-10.1013,-1.83527,-3.50267,-12.2147,1.71688,1.44156,1.42518,1.27329,1.21445,1.48303,-28.94197,-19.57471,-48.51668
60690,-10.4998,-1.60991,-3.38063,-12.6432,2.8759,1.54712,1.20293,2.00059,1.32189,1.55176,-29.98093,-22.96236,-52.94329
60720,-9.96561,-1.46491,-2.77924,-12.402,2.31656,1.11164,4.05355,2.30505,1.33514,1.58804,-30.82329,-23.84613,-54.66942
60750,-8.74633,-0.943655,-3.33655,-12.2582,1.64653,3.22435,1.31356,1.87397,1.56525,2.04559,-30.60291,-23.45636,-54.05927
