"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.02451075,0.0055177435,0.08509466,1,"Blood","AtoB"
0.06527345,0.01957763,0.1684401,2,"Blood","AtoB"
0.110949,0.038155985,0.2473766,3,"Blood","AtoB"
0.1577265,0.059265735,0.32088705,4,"Blood","AtoB"
0.204228,0.080375845,0.3892225,5,"Blood","AtoB"
0.249718,0.10188515,0.45147025,6,"Blood","AtoB"
0.293452,0.12339375,0.50879525,7,"Blood","AtoB"
0.335169,0.14422165,0.56239495,8,"Blood","AtoB"
0.3746055,0.164372,0.60957515,9,"Blood","AtoB"
0.411644,0.18398575,0.6539198,10,"Blood","AtoB"
0.4464445,0.20306165,0.69437555,11,"Blood","AtoB"
0.479243,0.2207173,0.7313426,12,"Blood","AtoB"
0.5101175,0.2379334,0.7660962,13,"Blood","AtoB"
0.539046,0.25414095,0.79757715,14,"Blood","AtoB"
0.5658425,0.2703715,0.8248373,15,"Blood","AtoB"
0.591072,0.28591895,0.8510139,16,"Blood","AtoB"
0.6146985,0.30110045,0.87474725,17,"Blood","AtoB"
0.6366475,0.315549,0.8971114,18,"Blood","AtoB"
0.657169,0.3291096,0.917743,19,"Blood","AtoB"
0.6764105,0.34136945,0.9366033,20,"Blood","AtoB"
0.6944105,0.35366705,0.95361285,21,"Blood","AtoB"
0.7111385,0.3662548,0.96985545,22,"Blood","AtoB"
0.726772,0.37790405,0.98602,23,"Blood","AtoB"
0.741507,0.38847055,0.99992835,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
1141.42,149.1951,10386.515,1,"Cell","AtoB"
1950.935,276.53755,10275.305,2,"Cell","AtoB"
2531.54,389.69035,10093.76,3,"Cell","AtoB"
2943.46,492.28685,9910.2345,4,"Cell","AtoB"
3242.24,589.5572,9747.019,5,"Cell","AtoB"
3458.9,681.67255,9550.903,6,"Cell","AtoB"
3625,766.4412,9361.621,7,"Cell","AtoB"
3739.2,843.6513,9172.292,8,"Cell","AtoB"
3833.455,911.87445,9004.0725,9,"Cell","AtoB"
3900.67,978.9502,8850.748,10,"Cell","AtoB"
3959.585,1039.5295,8687.055,11,"Cell","AtoB"
4013.665,1098.447,8520.563,12,"Cell","AtoB"
4048.855,1153.9815,8380.596,13,"Cell","AtoB"
4084.71,1200.738,8236.4485,14,"Cell","AtoB"
4110.52,1240.2555,8112.2765,15,"Cell","AtoB"
4123.285,1280.4515,7996.9595,16,"Cell","AtoB"
4136.88,1316.3775,7891.9495,17,"Cell","AtoB"
4156.235,1346.9465,7799.9895,18,"Cell","AtoB"
4166.395,1383.8585,7708.183,19,"Cell","AtoB"
4171.61,1408.758,7632.76,20,"Cell","AtoB"
4175.08,1438.4275,7551.3355,21,"Cell","AtoB"
4177.38,1456.3165,7488.152,22,"Cell","AtoB"
