"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-6.71411760954946,0.214890399867145,4.02388190740136,-10.7123325,-9.0336825,-8.13418,-6.0229,5.20142599999999,331,1.0064029893466,1,-10.306725,-8.13418,2.26542349999999,0.02895,0.0452350000000008,0.06168,0.37457,0.888455,0.152077034155451,479,533
"p_2.1.",-2.39979317882993,0.224492104953347,4.12014056187185,-5.8346685,-4.9039425,-4.12256,-1.5807625,9.7760225,318,1.00780956660681,1,-5.556103,-4.12256,6.89059649999999,0.0162849999999999,0.0317449999999999,0.0905899999999997,0.43114,0.872710000000001,0.158877544879132,406,526
"p_3.1.",-1.64367839816373,0.272744834312503,4.25409425333396,-5.2323515,-4.4204025,-3.780015,0.1763315,9.74975075,253,1.01487162068509,1,-4.9776825,-3.780015,7.360909,0.0140449999999999,0.0234450000000002,0.10844,0.650851,0.82946,0.193091416385822,317,438
"p_4.1.",-6.45387975518904,0.288033638108407,4.55807806216535,-11.4854575,-9.499845,-8.242545,-4.3054725,5.3534865,258,1.01393172171522,1,-11.032185,-8.242545,2.9419605,0.0322000000000005,0.0665899999999997,0.143135,0.65724,0.8214,0.203908223332662,322,420
"GSD_error_C1_blood.1.",2.71854345113111,0.0115886934558558,1.83931376830574,1.20484275,1.5025325,1.972625,3.168645,8.3074845,25145,1.00006078514922,1,1.245876,1.972625,7.082446,0.00207999999999997,0.00341000000000002,0.00758500000000006,0.022905,0.0577799999999993,0.00819453867723729,25648,28464
"GSD_error_C1_cell.1.",3.90204196350456,0.0163144360912942,2.40417917086459,1.160789,1.890715,3.163205,5.484065,9.361387,21688,1.0001563167664,1,1.2250645,3.163205,8.826555,0.00202500000000005,0.01105,0.02302,0.0302600000000002,0.0244249999999999,0.0115362033846121,21236,29667
"GSD_error_C1_lumen.1.",1.79626840363705,0.00823888917414757,1.27163420183218,1.10668075,1.1808975,1.332005,1.76233,6.12349275,23792,1.00027148243027,1,1.1134015,1.332005,4.364627,0.000249999999999972,0.00122499999999992,0.00305,0.00800999999999996,0.0772550000000001,0.00582584587524824,23646,25957
"GSD_error_C2_blood.1.",1.521013832021,0.0122842147587426,0.971690832299276,1.10289075,1.1367275,1.211375,1.4304575,4.480269,6260,1.00046589991285,1,1.105833,1.211375,3.0551725,0.000140000000000029,0.000535000000000063,0.001475,0.00526000000000004,0.17187,0.0093505608685653,15909,9110
"GSD_error_C2_cell.1.",3.90847251874766,0.0158876002827913,2.39527142928044,1.16411225,1.9093525,3.18328,5.447115,9.3733945,22706,0.99994050771159,1,1.2327695,3.18328,8.8128485,0.00250500000000009,0.0133,0.0191700000000001,0.0375549999999998,0.0156749999999999,0.01123437424553,22108,28852
"GSD_error_C2_lumen.1.",3.02725580052493,0.0124899208429294,2.02501507600877,1.21277075,1.5824325,2.205755,3.75226,8.76456125,26261,1.00009980089791,1,1.264682,2.205755,7.774298,0.00270499999999996,0.00409000000000004,0.0106849999999998,0.0265500000000001,0.0379500000000004,0.00883180591419373,26253,27923
"LnPrior",-31.9155725349956,0.0329747236546215,1.4772001992785,-35.06951325,-32.8443325,-31.819425,-30.875745,-29.3106585,1981,1.0013917536893,1,-34.501672,-31.819425,-29.653842,0.0901299999999985,0.0372350000000026,0.0276899999999998,0.0267949999999999,0.0174450000000004,0.0236108486329453,2167,2709
"LnData",-16.7363498841395,0.0235223306951546,3.01881922966,-23.11752925,-18.6697475,-16.55756,-14.5813775,-11.387768,16426,1.00032630002861,1,-21.997088,-16.55756,-12.107453,0.0410900000000005,0.0304500000000001,0.0282749999999989,0.0232250000000001,0.0373000000000001,0.0166330939083307,16281,23584
"LnPosterior",-48.6519223972004,0.0497688838716496,4.18523120559172,-57.48087225,-51.35698,-48.4234,-45.69837,-41.12148275,7009,1.00019483166455,1,-55.907502,-48.4234,-42.1993545,0.0914999999999999,0.0591849999999994,0.0470049999999986,0.0460900000000031,0.0550899999999999,0.0351933667944945,7041,18630
