"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-1.5666,1.66758,-5.1075,-8.33717,2.84389,9.85881,1.14335,1.14443,1.78048,1.93877,-31.81223,-16.67073,-48.48296
60060,-4.03005,1.1129,-4.46027,-9.40026,2.25949,7.73349,1.37345,1.11368,9.2092,3.95537,-33.76686,-16.85661,-50.62346
60090,-1.95855,1.57015,-4.46937,-8.1505,1.36126,5.49788,5.7089,1.17083,7.88907,6.29517,-34.77551,-20.15097,-54.92648
60120,0.0946809,4.86283,-3.97162,-9.77321,4.47376,1.85334,1.15316,1.13606,4.64462,3.17472,-32.41326,-15.83296,-48.24621
60150,-0.822431,4.71837,-4.94655,-10.4352,2.79381,5.3307,1.60992,1.10429,4.08251,2.31555,-32.79959,-16.51894,-49.31852
60180,-1.23739,2.96927,-4.45223,-10.1691,1.39112,2.12941,1.11949,1.19003,1.27405,1.91484,-29.38275,-14.1365,-43.51925
60210,-0.214611,4.56214,-4.28577,-10.3084,1.53824,5.46455,1.25046,1.14889,6.608,7.14975,-33.64735,-16.09587,-49.74322
60240,0.378441,5.73211,-4.26669,-9.92416,1.89994,9.88144,1.41578,1.22981,7.63183,2.30284,-33.78302,-17.08021,-50.86323
60270,1.71923,3.93099,-5.00438,-7.2893,2.37146,9.86078,1.23826,1.1097,3.64085,1.49868,-32.47073,-15.71374,-48.18447
60300,1.95716,3.94113,-3.85078,-7.40007,5.37884,5.71928,1.42175,1.17567,3.79936,2.43161,-33.50597,-20.20741,-53.71338
60330,-1.03729,2.87862,-4.37345,-9.18646,3.14697,2.52584,1.173,1.10426,1.75725,1.34501,-30.29295,-12.38021,-42.67316
60360,-1.18061,2.89701,-4.86351,-9.24168,3.96509,3.46257,1.2703,1.11562,6.25042,1.41658,-32.23771,-14.80645,-47.04416
60390,-1.38165,2.87991,-4.54693,-9.7681,4.48988,6.51596,4.65066,1.44662,3.60698,1.46896,-34.04415,-21.2281,-55.27225
60420,-0.0961539,5.11424,-4.37551,-10.2983,2.96103,1.85994,1.98098,1.32505,5.24153,1.14578,-31.81754,-18.89666,-50.71419
60450,0.399274,3.86987,-4.69011,-7.94755,3.56719,3.39198,1.22233,1.158,2.35683,5.84907,-32.69241,-17.78168,-50.47409
60480,0.176857,3.90249,-4.2987,-8.50323,1.57571,6.66855,1.1171,2.04781,2.14555,9.29594,-33.40397,-17.55606,-50.96003
60510,-1.42613,5.39262,-4.492,-11.4557,1.29402,8.79893,1.16465,1.6605,2.75491,6.78886,-33.37066,-21.03877,-54.40944
60540,4.11067,9.76928,-4.78632,-10.6703,4.61686,1.59405,2.08556,1.34182,3.29226,2.27997,-33.18424,-18.95768,-52.14192
60570,4.70866,9.54257,-4.42865,-9.6517,1.9603,2.19084,1.39292,1.64338,3.87514,1.28564,-32.03875,-17.04663,-49.08538
