"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0266982,0.007735512,0.05412719,1,"Blood","AtoB"
0.05609485,0.020254535,0.1081951,2,"Blood","AtoB"
0.08520225,0.032636555,0.1607671,3,"Blood","AtoB"
0.1138235,0.044759115,0.21131855,4,"Blood","AtoB"
0.1418765,0.056416055,0.26021745,5,"Blood","AtoB"
0.1694305,0.068192965,0.30674205,6,"Blood","AtoB"
0.1963565,0.07991255,0.35143845,7,"Blood","AtoB"
0.2226395,0.091223945,0.3943933,8,"Blood","AtoB"
0.2483565,0.1025248,0.43512125,9,"Blood","AtoB"
0.2735595,0.11353885,0.4749471,10,"Blood","AtoB"
0.29813,0.1246625,0.51301145,11,"Blood","AtoB"
0.322086,0.13531625,0.54888945,12,"Blood","AtoB"
0.345543,0.1461888,0.58338925,13,"Blood","AtoB"
0.368373,0.156654,0.61623575,14,"Blood","AtoB"
0.3907695,0.1669063,0.64771495,15,"Blood","AtoB"
0.412567,0.17725375,0.67861625,16,"Blood","AtoB"
0.4336485,0.1874527,0.70729405,17,"Blood","AtoB"
0.454284,0.19750695,0.7350548,18,"Blood","AtoB"
0.474532,0.20729025,0.76129945,19,"Blood","AtoB"
0.4942335,0.21706365,0.78768665,20,"Blood","AtoB"
0.5134935,0.2267444,0.81324155,21,"Blood","AtoB"
0.532203,0.236168,0.8373162,22,"Blood","AtoB"
0.55046,0.24556385,0.8602697,23,"Blood","AtoB"
0.5682945,0.25478545,0.88198425,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
162.837,2.013079,1114.892,1,"Cell","AtoB"
168.6155,3.641631,1136.0555,2,"Cell","AtoB"
168.0285,5.0996135,1146.4245,3,"Cell","AtoB"
166.2505,6.4342515,1139.6465,4,"Cell","AtoB"
164.76,7.717487,1124.0895,5,"Cell","AtoB"
163.051,8.8971965,1107.278,6,"Cell","AtoB"
161.4825,10.02829,1090.1165,7,"Cell","AtoB"
159.785,11.106195,1072.884,8,"Cell","AtoB"
158.439,12.177165,1056.655,9,"Cell","AtoB"
157.111,13.22013,1037.776,10,"Cell","AtoB"
155.8135,14.12351,1019.738,11,"Cell","AtoB"
154.1895,15.073695,1002.5435,12,"Cell","AtoB"
152.9755,15.976585,987.1788,13,"Cell","AtoB"
