"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-4.54998601664489,0.221107780175529,4.89402109347769,-11.47097,-8.3172425,-5.4389,-1.685035,7.33866825,492,1.01495045766353,1,-10.833975,-5.4389,4.9312555,0.0503,0.12732,0.22963,0.335625,0.559245,0.156439984386838,558,916
"p_2.1.",4.74277483330168,0.220169244826822,4.86982730971004,-1.9223625,0.95542175,3.84164,7.593955,16.629605,492,1.01485869752483,1,-1.456025,3.84164,14.250395,0.03303,0.13289,0.22646,0.343215,0.5621,0.155776074680429,560,928
"p_3.1.",2.79619839110358,0.157889508718081,4.68421361930571,-2.52655625,-1.238765,1.700805,5.630495,14.11219,896,1.00371253335621,1,-2.332332,1.700805,11.93899,0.0108349999999999,0.05604,0.1652,0.225435,0.4856,0.114129278798908,1063,1235
"p_4.1.",-7.08360932979815,0.1608506172006,4.81943350559036,-13.2146775,-11.069225,-8.066135,-4.1292475,4.37820175,914,1.00349866772879,1,-12.81477,-8.066135,2.1236,0.0295500000000004,0.0737500000000004,0.16604,0.22056,0.50745,0.113775535510164,1066,1254
"GSD_error_C1_blood.1.",2.55937732658418,0.014632082075552,1.81132725348881,1.14218225,1.382585,1.815975,2.9524175,8.1660285,15332,0.999977554012381,1,1.1699115,1.815975,6.8459895,0.00107499999999994,0.00439999999999996,0.00960000000000005,0.02966,0.0523749999999996,0.010346641280214,12763,23418
"GSD_error_C1_cell.1.",2.88882060711161,0.0129812364017696,2.08589105939768,1.12208075,1.39265,2.011885,3.6247225,8.8283205,25848,1.00009314254065,1,1.1446715,2.011885,7.783665,0.000689999999999968,0.00455499999999998,0.0101800000000001,0.0236149999999999,0.0376949999999994,0.00917922402519655,26440,29424
"GSD_error_C1_lumen.1.",4.44125452412198,0.0213483337773399,2.29043584835856,1.250898,2.614695,3.932285,5.9800425,9.4567005,11480,1.00016555891639,1,1.4230375,3.932285,8.9674365,0.00782499999999997,0.0220849999999999,0.0247249999999999,0.0355750000000001,0.0186450000000002,0.015095934166618,8632,10244
"GSD_error_C2_blood.1.",3.37859192038495,0.0118739531921442,1.97260365708013,1.40861375,1.93622,2.651335,4.1931875,8.808661,27559,1.0000758766255,1,1.49337,2.651335,7.8557255,0.00500999999999996,0.00650000000000006,0.01153,0.023965,0.0265599999999999,0.008396241396708,24983,22041
"GSD_error_C2_cell.1.",3.24127141294838,0.0135284125038953,2.19529575130482,1.1491545,1.5783625,2.37003,4.2304125,9.001819,26313,0.999983606840192,1,1.1914505,2.37003,8.1851735,0.00173500000000004,0.00605999999999995,0.0129350000000001,0.0311049999999997,0.0331849999999996,0.00956613807353067,26012,29215
"GSD_error_C2_lumen.1.",3.53836034683165,0.0136356949471077,2.11772940387377,1.3733215,1.9258475,2.77059,4.5349475,9.10969375,24101,1.00003523674962,1,1.4498915,2.77059,8.318982,0.00426000000000004,0.00645499999999999,0.01545,0.0257749999999999,0.0359350000000003,0.00964200879838529,22621,29134
"LnPrior",-33.9365333730159,0.0354835020120348,1.60636742686897,-37.39573575,-34.9226925,-33.825485,-32.808185,-31.12915475,2046,1.00188072804572,1,-36.7643445,-33.825485,-31.5073375,0.100830000000002,0.0392850000000031,0.0313049999999997,0.024754999999999,0.0214099999999995,0.0254633892401769,2258,2671
"LnData",-31.0266177018498,0.0149401882550586,2.1496246911951,-35.52079225,-32.407305,-30.903675,-29.48697,-27.2413475,20625,1.00008057878777,1,-34.708639,-30.903675,-27.7521425,0.0381,0.0210349999999977,0.0171900000000011,0.0159699999999994,0.02576,0.0105644570868231,20496,26933
"LnPosterior",-64.9631510858018,0.0362778128361711,3.37183591331628,-71.90947225,-67.163815,-64.803855,-62.549515,-58.937912,8551,1.00031246422146,1,-70.749692,-64.803855,-59.7107375,0.067655000000002,0.0452450000000013,0.038259999999994,0.0343449999999983,0.0423149999999985,0.025753827326953,8765,21673
