"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-7.74614,1.37833,14.6695,4.73998,1.40388,2.5043,3.17531,6.152,1.51728,1.677,-34.259,-29.05158,-63.31059
60060,-9.29132,-0.957992,11.1505,2.35294,1.44145,9.11016,5.10365,7.9453,6.52931,2.73894,-37.43599,-32.97147,-70.40747
60090,-11.3791,-0.967223,9.79667,-0.228278,3.4439,1.68796,5.03433,6.23217,1.23139,2.54835,-34.3451,-31.30089,-65.646
60120,-9.9006,-0.279966,11.202,0.814424,2.04759,1.10636,5.23694,4.01036,4.07848,1.39797,-33.83063,-29.42005,-63.25068
60150,-9.73368,-0.971759,7.11847,-1.15676,2.43609,5.79364,9.96954,2.0244,7.74022,4.91758,-36.88709,-33.744,-70.63109
60180,-9.03782,0.126025,8.25092,-1.27329,1.60214,6.82799,7.05661,1.38181,1.34852,1.68166,-33.24477,-30.99872,-64.24349
60210,-10.655,-2.21257,9.24575,0.358682,1.43184,2.0171,3.28791,1.46783,9.02037,5.56014,-34.43533,-32.7175,-67.15283
60240,-11.7738,-3.41083,7.10415,-2.87043,6.13683,5.68565,2.88808,3.73139,5.46218,2.3934,-36.00369,-37.61348,-73.61717
60270,-11.2372,-2.30324,5.08596,-3.69857,1.8433,2.20495,5.00442,6.10631,4.11046,2.27754,-34.35665,-33.86792,-68.22457
60300,-11.5422,-2.1396,7.20386,-2.26487,4.74345,1.12206,9.27632,1.28079,8.17615,4.67558,-35.35569,-31.37173,-66.72742
60330,-10.2414,-0.919255,6.61032,-3.2761,2.99165,1.6968,1.93712,2.69011,1.44618,2.51422,-32.04847,-31.33426,-63.38272
60360,-9.17814,-0.739851,4.95696,-3.50811,1.26396,2.48382,3.43398,2.60004,3.38428,3.14455,-33.00162,-30.66687,-63.66849
60390,-9.09644,0.53572,4.90566,-4.59422,9.12712,1.63701,2.35536,3.76016,1.81076,6.56172,-34.69993,-33.49201,-68.19193
60420,-9.92523,-0.405301,4.04138,-6.34393,1.83953,1.426,4.56409,8.4701,1.25491,1.74825,-32.61804,-29.39675,-62.01479
60450,-8.74472,-0.913416,2.1786,-6.62993,2.77903,4.32891,4.45103,1.79896,5.19505,1.94134,-33.9048,-32.49729,-66.40209
60480,-10.353,-1.28391,2.96344,-7.14725,2.03085,1.71389,2.34141,1.80831,3.32587,3.27566,-32.17643,-30.92848,-63.10491
60510,-10.7245,-1.50199,0.904745,-9.27936,5.79219,1.29003,3.25489,1.5035,3.27183,3.15658,-32.91655,-30.99779,-63.91434
60540,-8.93545,0.0720509,3.13377,-6.92285,1.46233,1.44557,3.59465,2.85088,1.62408,1.76182,-31.27249,-28.10543,-59.37793
60570,-10.1721,-0.882438,0.929132,-8.19551,1.23269,1.108,5.85892,3.38814,2.10685,5.39453,-32.7116,-31.91361,-64.62521
60600,-11.1113,-2.05748,-0.594719,-10.3828,3.6134,4.9207,2.25922,2.02665,1.91185,2.73845,-32.9722,-32.01825,-64.99045
60630,-10.5573,-1.67628,1.75156,-8.93897,1.41847,1.38005,6.18629,2.91874,8.95153,4.87776,-34.35955,-32.30198,-66.66153
60660,-10.9917,-0.849899,-0.211821,-10.142,1.95735,1.47548,6.57463,3.93605,1.27152,2.16861,-32.30416,-30.33781,-62.64197
60690,-8.5101,0.882768,-1.70719,-11.9407,1.43599,7.02393,1.49503,2.04237,1.29304,1.48356,-31.08103,-28.15715,-59.23818
60720,-8.98849,-0.317805,0.567267,-9.59935,2.4431,1.50367,6.28721,3.32866,1.45424,4.00197,-33.08773,-32.64215,-65.72988
60750,-7.58877,1.5364,1.24384,-8.46671,1.39619,1.22584,9.20706,2.9184,7.01298,2.03838,-33.58479,-28.86656,-62.45136
60780,-7.64162,1.58904,1.1262,-7.67438,1.14619,9.1018,2.95092,1.86804,2.12427,2.46819,-32.79484,-31.19768,-63.99252
60810,-8.5209,0.976811,2.1588,-6.75694,1.82041,1.20689,9.31115,2.56661,1.8342,2.64191,-32.65945,-30.46011,-63.11957
60840,-8.78759,-0.330512,5.22258,-4.59289,1.4233,2.43099,3.98824,8.51096,3.21345,6.40095,-35.10751,-33.39829,-68.5058
60870,-10.2129,-1.51515,2.97071,-6.48231,1.42294,2.69281,7.40398,1.67104,5.48377,1.76844,-33.21631,-30.03299,-63.24929
60900,-9.66448,-0.653033,2.99992,-6.74388,1.34033,3.12337,3.38902,2.17208,9.13164,1.5593,-33.19662,-29.03403,-62.23065
60930,-9.94492,-0.908082,2.96148,-6.76763,3.04598,6.82664,7.16592,5.31479,8.90651,3.73792,-37.28382,-34.44072,-71.72454
60960,-13.5206,-2.1787,7.25819,-3.23317,3.97889,8.60181,4.73217,2.40781,2.19256,8.45013,-36.50852,-36.73122,-73.23974
60990,-11.5002,-1.99909,7.59868,-2.16437,4.98454,8.12088,6.52735,1.30711,1.44253,2.44632,-34.72066,-31.48058,-66.20124
61020,-10.9718,-1.4149,11.2409,1.89154,2.41393,2.56076,6.12778,1.27199,4.93758,2.55922,-34.68816,-30.97513,-65.66329
61050,-9.4149,-0.407111,8.61186,-0.369789,3.85675,1.20667,5.94279,1.59892,8.68471,3.86958,-35.12278,-33.11107,-68.23386
61080,-9.23925,-0.0911247,9.12173,-0.641141,1.18362,2.64161,3.44565,2.40284,4.82035,1.56287,-33.15223,-27.97829,-61.13052
61110,-9.39154,0.376976,5.82009,-4.80832,3.29189,1.79291,3.17196,2.8661,4.83366,3.84959,-34.32329,-33.21156,-67.53485
61140,-7.04913,2.11343,6.09175,-3.45303,1.24019,6.16231,4.90273,1.76091,1.6308,3.2406,-33.40966,-28.86438,-62.27404
61170,-5.21546,3.31344,4.66142,-4.13498,1.27341,4.23175,3.87221,2.90053,3.03813,2.09184,-33.45706,-30.70932,-64.16638
61200,-6.90339,1.40347,6.16934,-3.55884,1.60089,1.47846,4.59349,2.29157,6.07625,5.8728,-34.30407,-33.03137,-67.33544
61230,-9.82145,-0.865574,6.48824,-4.14332,2.25904,1.17105,4.89062,1.66755,1.76093,4.0979,-32.48928,-31.16641,-63.65569
61260,-10.0282,-0.836425,5.03521,-5.20832,1.18435,4.99989,2.3151,5.12302,4.15588,2.00841,-33.66434,-32.11112,-65.77546
61290,-8.83926,1.31414,5.27307,-4.91753,3.18025,1.2006,2.99533,3.75082,9.80102,1.46417,-33.83224,-31.40954,-65.24178
61320,-8.17654,1.49694,4.43489,-5.49742,1.23997,1.20831,4.78262,7.94801,2.93866,2.89148,-33.51325,-30.27615,-63.78939
61350,-5.79684,4.28635,4.7501,-5.77985,2.18259,1.20564,3.66507,1.86629,1.1779,4.40256,-32.097,-29.93134,-62.02834
61380,-4.71487,5.50553,3.69428,-5.48426,2.09753,3.30958,7.17335,2.70452,1.98355,2.47158,-34.08962,-33.65236,-67.74198
61410,-3.58673,5.2817,3.83635,-6.00119,9.0808,1.27336,3.23889,2.61691,3.10168,1.33502,-33.61253,-32.01698,-65.62951
