"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.4388185,0.05616672,0.8662135,1,"Blood","AtoB"
0.532603,0.1195896,0.8920468,2,"Blood","AtoB"
0.5737595,0.1716719,0.90928445,3,"Blood","AtoB"
0.6010315,0.2120438,0.92411755,4,"Blood","AtoB"
0.61795,0.2423686,0.9386144,5,"Blood","AtoB"
0.6303335,0.2653507,0.95123285,6,"Blood","AtoB"
0.638793,0.28228565,0.9627394,7,"Blood","AtoB"
0.644998,0.2944636,0.97370425,8,"Blood","AtoB"
0.6498455,0.30315325,0.98165775,9,"Blood","AtoB"
0.6539155,0.31206345,0.99074385,10,"Blood","AtoB"
0.656873,0.3182165,0.9973873,11,"Blood","AtoB"
0.6594195,0.32320965,1.0024315,12,"Blood","AtoB"
0.661128,0.32699085,1.0071425,13,"Blood","AtoB"
0.6626765,0.3299991,1.009692,14,"Blood","AtoB"
0.664065,0.332355,1.0125865,15,"Blood","AtoB"
0.6651025,0.33411225,1.0149705,16,"Blood","AtoB"
0.6657575,0.33555345,1.017163,17,"Blood","AtoB"
0.6663495,0.33753215,1.01867,18,"Blood","AtoB"
0.6668205,0.3396706,1.02078,19,"Blood","AtoB"
0.6673245,0.3405261,1.0217915,20,"Blood","AtoB"
0.667943,0.34143525,1.023159,21,"Blood","AtoB"
0.668352,0.34218295,1.0250615,22,"Blood","AtoB"
0.6687385,0.3428636,1.0257415,23,"Blood","AtoB"
0.668893,0.3437015,1.0259475,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
6634.905,1243.717,11324.64,1,"Cell","AtoB"
6823.845,2120.407,10802.805,2,"Cell","AtoB"
6939.355,2712.0545,10532.535,3,"Cell","AtoB"
7028.32,3090.8385,10394.205,4,"Cell","AtoB"
7106.425,3355.5245,10329.9,5,"Cell","AtoB"
7169.89,3502.695,10276.95,6,"Cell","AtoB"
7215.065,3595.3755,10261.305,7,"Cell","AtoB"
