"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-3.34528946803518,0.302081628543827,4.78053917147383,-9.1083515,-6.337855,-4.948225,-1.481135,9.81556349999999,255,1.01981032537036,1,-8.4759685,-4.948225,6.474226,0.0538350000000003,0.0632100000000002,0.119145,0.434315,1.83902,0.213853228873116,450,289
"p_2.1.",-1.26378621813926,0.310969223376659,4.9035165641832,-6.023864,-4.751845,-3.035065,0.8662575,12.23838,258,1.02089020531133,1,-5.830336,-3.035065,8.8903175,0.0201349999999998,0.071205,0.168015,0.450173,1.827185,0.251929159168731,437,291
"p_3.1.",-4.50389208318528,0.114385744751943,2.73253141160414,-6.61775475,-5.6451675,-5.24899,-4.6821075,4.15851675,572,1.00386125277403,1,-6.327081,-5.24899,1.0437375,0.0133349999999997,0.00879999999999992,0.0140550000000004,0.0422950000000002,1.01295,0.0809243105631908,1394,668
"p_4.1.",-6.79168339319054,0.122638181492,3.01878137526365,-10.1190625,-8.3006225,-7.44331,-6.42944,2.17277075,607,1.00520321134557,1,-9.6242855,-7.44331,-0.765429350000002,0.032,0.0283999999999995,0.0310999999999999,0.0774399999999997,0.98823,0.0867600672266799,1138,667
"GSD_error_C1_blood.1.",3.20531408948881,0.012128568981983,1.99778414735272,1.3161715,1.7592625,2.435545,3.983605,8.816661,27117,0.999962494743905,1,1.3775315,2.435545,7.78787,0.00235999999999992,0.0046250000000001,0.0112949999999998,0.0240100000000001,0.0363350000000002,0.00857628578475026,27873,30155
"GSD_error_C1_cell.1.",3.98184949725034,0.0191803487361125,2.44522192552104,1.16821075,1.90485,3.23885,5.6826075,9.44338175,16175,1.00028077715179,1,1.2358345,3.23885,8.8854055,0.00232500000000002,0.01198,0.02376,0.039965,0.0178900000000004,0.0135627980716941,16292,27845
"GSD_error_C1_lumen.1.",1.61146731908511,0.00999489017178783,1.07660239697561,1.1041615,1.151515,1.24937,1.53128,5.093833,11590,1.00002485951103,1,1.10819,1.24937,3.459685,0.000149999999999983,0.000744999999999996,0.00180499999999995,0.00652999999999992,0.12549,0.0072922146088091,20000,13493
"GSD_error_C2_blood.1.",1.48511428852643,0.00895101113776843,0.900029783046612,1.10279,1.13353,1.20222,1.4012825,4.21248125,10106,1.0002286624021,1,1.10555,1.20222,2.864338,9.00000000000345e-05,0.000439999999999996,0.00123499999999999,0.00400499999999993,0.13511,0.00632950328081431,18445,12231
"GSD_error_C2_cell.1.",3.97799197100362,0.0192281347299741,2.42802303845061,1.16499675,1.9178175,3.27242,5.59366,9.425437,15996,1.00019578637476,1,1.236269,3.27242,8.8738845,0.00243499999999996,0.012335,0.025425,0.0360800000000001,0.0209599999999996,0.0135965931000283,15347,27578
"GSD_error_C2_lumen.1.",2.63789858392701,0.0129217196721416,1.9449799859912,1.1265215,1.3402675,1.79743,3.111345,8.4592845,22602,1.00007806024176,1,1.149223,1.79743,7.3585205,0.000914999999999999,0.00292000000000003,0.00924000000000003,0.0257449999999999,0.0381350000000005,0.00913715312428258,22598,27467
"LnPrior",-31.8414187473441,0.0530106082184104,1.52932058194801,-35.16208675,-32.7493825,-31.727875,-30.786945,-29.214235,777,1.00556664370932,1,-34.4700775,-31.727875,-29.560182,0.234095,0.0532000000000004,0.034555000000001,0.0217749999999999,0.0202400000000011,0.0388505440650387,1141,847
"LnData",-8.51011401833958,0.0275084192698919,3.12363442444067,-15.049914,-10.5351375,-8.3602155,-6.30001075,-2.91754495,12821,1.00022819384084,1,-13.930438,-8.3602155,-3.6807694,0.0516350000000001,0.0320199999999993,0.0320730000000005,0.0261065,0.038527,0.0194518298985173,12888,23459
"LnPosterior",-40.3515327580927,0.0623498558576624,4.28241570002515,-49.28650775,-43.108355,-40.15926,-37.3370575,-32.578244,4445,1.00161613624359,1,-47.743851,-40.15926,-33.7251655,0.129009999999997,0.0693400000000004,0.054945,0.0520400000000016,0.058605,0.0448889758464554,4899,11619
