"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-7.13476,-4.28167,-6.7658,-8.44619,4.9391,2.33522,1.29879,1.227,6.5612,1.62526,-31.87929,-8.599799,-40.47909
60060,-7.02902,-4.84438,-3.90114,-5.564,6.03336,9.99217,1.10305,1.19796,8.42739,6.31163,-34.97465,-9.883188,-44.85784
60090,-6.54289,-4.72748,-4.61322,-7.16369,2.77396,5.70016,1.37582,3.16903,2.31473,2.56999,-32.62092,-12.09175,-44.71267
60120,-4.58901,-3.8619,-5.3897,-6.62058,1.39676,2.39179,1.10143,1.21933,4.01098,2.5728,-30.46537,-5.750146,-36.21551
60150,-5.38261,-4.08656,-5.75955,-7.51719,6.8805,2.18755,1.11603,1.24711,5.91058,2.3778,-32.29612,-8.534187,-40.83031
60180,-4.62048,-3.75467,-3.98589,-3.29622,1.49381,3.62234,1.13177,1.2983,5.9549,2.39967,-31.43743,-11.67298,-43.11041
60210,-5.32948,-3.89601,-4.57563,-4.30007,3.12014,3.52304,1.37965,1.36677,2.8397,6.40984,-32.58874,-12.57974,-45.16848
60240,-7.08962,-3.87584,-4.31515,-6.0193,2.97268,5.04242,1.70605,1.37257,2.06605,9.14083,-33.12568,-12.76922,-45.8949
60270,-6.58305,-4.20182,-5.20643,-7.85485,2.93688,3.44024,1.10626,1.18516,3.85458,1.82603,-31.14343,-5.416273,-36.5597
60300,-5.60223,-4.49927,-5.4304,-6.37183,2.73095,7.73897,1.52333,1.13861,4.23893,1.17239,-31.80856,-6.330999,-38.13956
60330,-6.33639,-5.11764,-5.01442,-6.30917,1.9124,1.53219,1.44537,1.20324,5.35116,1.12896,-30.02118,-4.034908,-34.05609
60360,-6.74332,-5.03118,-5.29165,-6.30917,6.52034,1.75692,1.23487,1.27349,3.27503,1.7088,-31.20387,-7.88186,-39.08573
60390,-5.41699,-3.26305,-5.75666,-7.79561,1.61286,1.75594,1.40328,1.77053,1.22069,1.2142,-28.97703,-6.786317,-35.76334
60420,-5.58699,-3.52431,-6.02182,-7.98305,2.66019,3.97599,1.1716,1.28698,1.27021,1.76691,-30.20079,-6.641701,-36.8425
60450,-5.19553,-3.29041,-5.16008,-8.03835,1.70148,1.32493,1.17538,1.12737,8.93741,2.09313,-30.66594,-4.263249,-34.92919
60480,-4.63283,-2.43061,-5.06123,-7.91485,1.39457,1.25012,1.13391,1.15882,3.73296,1.22924,-29.03027,-2.351074,-31.38134
60510,-4.20518,-2.2899,-4.86072,-6.71781,2.10382,5.46932,1.13451,1.13332,1.3131,2.21903,-30.4536,-5.509022,-35.96263
60540,-4.3443,-2.94325,-5.75923,-9.82006,2.84148,7.04284,1.14798,1.1711,1.45504,8.78071,-32.52687,-9.125302,-41.65217
60570,-5.04086,-3.02062,-5.19515,-7.87675,1.65756,1.17139,1.16424,1.18803,1.58927,1.6693,-28.61428,-2.051816,-30.66609
60600,-5.16545,-5.46292,-4.90281,-5.12213,3.08348,3.13292,1.20214,2.12409,6.73442,2.54462,-32.65914,-11.55238,-44.21152
60630,-8.02247,-5.46586,-4.98891,-7.04772,4.80104,4.61604,1.13281,1.10089,2.34903,1.72745,-31.31227,-6.017293,-37.32957
60660,-6.8494,-5.04368,-6.30493,-7.53321,7.40385,2.36225,1.1738,1.39863,4.47049,4.61025,-32.96505,-11.00773,-43.97277
60690,-6.93973,-4.93101,-4.88917,-6.1813,1.46165,2.17094,1.30742,1.34525,1.47186,3.91448,-30.06863,-9.691397,-39.76003
60720,-6.33036,-4.69253,-5.30111,-7.82352,1.1432,2.11823,1.14378,1.23465,1.46113,1.93001,-28.86489,-9.026079,-37.89097
60750,-6.01108,-2.29485,-6.18764,-7.78508,4.00254,3.97875,1.16229,2.14465,5.22967,6.44247,-33.85263,-13.97934,-47.83197
60780,-5.76927,-4.66059,-4.9706,-6.23649,2.3835,1.1594,1.27891,1.10584,3.39193,1.36281,-29.49977,-2.348947,-31.84872
60810,-6.32703,-5.03477,-3.57399,-5.17879,4.14211,3.91145,3.49205,1.13097,2.85933,1.46328,-32.2236,-10.9484,-43.17199
60840,-6.50899,-6.50553,-3.30549,-4.86938,4.20814,6.72536,1.13781,1.15893,7.22319,2.68733,-33.21714,-9.382638,-42.59978
60870,-5.79516,-5.7369,-3.85432,-3.99921,4.08183,6.01709,1.11527,1.68396,6.13459,1.57871,-32.74482,-9.85442,-42.59924
60900,-6.68871,-5.41096,-2.669,-3.97341,2.65188,7.54192,1.21512,1.18083,6.03534,2.19972,-32.6176,-8.066577,-40.68418
60930,-8.80524,-6.46964,-0.369261,-2.51091,5.00787,5.0011,1.19049,1.40544,8.00731,4.00681,-34.01818,-12.87196,-46.89014
60960,-6.61552,-5.5343,-3.64038,-3.94087,2.02032,2.04787,1.12629,1.1147,4.15296,1.7157,-30.25807,-6.958969,-37.21704
60990,-5.91542,-5.02283,-3.40872,-3.87079,2.05069,3.93541,1.11625,1.16484,2.51759,1.87833,-30.56847,-7.941767,-38.51024
61020,-6.50638,-5.57713,-3.36241,-4.32713,5.98898,1.79688,1.11566,1.13159,8.08325,1.12309,-31.46069,-4.606582,-36.06727
61050,-4.42297,-4.28181,-5.20185,-4.92638,1.44803,6.99466,1.1913,1.14141,5.10769,6.09208,-32.70143,-8.328671,-41.0301
61080,-5.45957,-4.44295,-4.9664,-6.91089,1.64781,5.92013,2.61188,1.54553,1.62174,2.11616,-31.51733,-11.96821,-43.48555
61110,-6.92457,-4.98407,-4.4915,-6.99095,2.84545,6.55693,1.23686,1.36354,1.17202,1.35513,-30.51348,-5.448717,-35.9622
61140,-7.77108,-4.93812,-4.34381,-7.08419,2.51006,5.88944,1.16706,1.14523,1.45422,1.3779,-30.2869,-5.641487,-35.92838
