"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.01165755,0.003475528,0.02803878,1,"Blood","AtoB"
0.02352645,0.0072657805,0.05582679,2,"Blood","AtoB"
0.03531025,0.011030885,0.083078685,3,"Blood","AtoB"
0.04697585,0.014785735,0.1098789,4,"Blood","AtoB"
0.05853895,0.01851448,0.13601415,5,"Blood","AtoB"
0.0699788,0.02223433,0.16179955,6,"Blood","AtoB"
0.08133825,0.02592742,0.18699765,7,"Blood","AtoB"
0.09257625,0.02962516,0.2115992,8,"Blood","AtoB"
0.1036935,0.033299945,0.23573885,9,"Blood","AtoB"
0.1147035,0.036928515,0.25941035,10,"Blood","AtoB"
0.125618,0.040544885,0.2826345,11,"Blood","AtoB"
0.1364055,0.04414323,0.30535855,12,"Blood","AtoB"
0.147124,0.04776979,0.3276019,13,"Blood","AtoB"
0.1577095,0.051359035,0.34940395,14,"Blood","AtoB"
0.168218,0.05493038,0.3706947,15,"Blood","AtoB"
0.1786255,0.058477215,0.3917411,16,"Blood","AtoB"
0.1888805,0.06203269,0.41226155,17,"Blood","AtoB"
0.1990795,0.06556721,0.43239015,18,"Blood","AtoB"
0.20916,0.069085255,0.45206035,19,"Blood","AtoB"
0.219162,0.07257604,0.4711837,20,"Blood","AtoB"
0.2289995,0.076046975,0.49019555,21,"Blood","AtoB"
0.238759,0.079437395,0.50847445,22,"Blood","AtoB"
0.248401,0.08283331,0.52690115,23,"Blood","AtoB"
0.258002,0.08626696,0.544874,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
2.92385,0.06787567,75.85119,1,"Cell","AtoB"
3.052815,0.1247131,76.577145,2,"Cell","AtoB"
3.200735,0.1749372,76.43069,3,"Cell","AtoB"
3.339625,0.2240835,75.989695,4,"Cell","AtoB"
3.473285,0.2696101,75.485845,5,"Cell","AtoB"
3.60486,0.31221885,74.966455,6,"Cell","AtoB"
3.73538,0.35496195,74.63438,7,"Cell","AtoB"
3.85462,0.39755155,74.189955,8,"Cell","AtoB"
3.98618,0.43891975,73.4057849999998,9,"Cell","AtoB"
4.112835,0.4799379,72.8982349999999,10,"Cell","AtoB"
4.232025,0.5192018,72.285585,11,"Cell","AtoB"
4.36373,0.55779705,71.9136049999999,12,"Cell","AtoB"
4.4797,0.59529845,71.460135,13,"Cell","AtoB"
4.58335,0.63147045,70.86418,14,"Cell","AtoB"
4.69546,0.6683194,70.4852649999999,15,"Cell","AtoB"
4.798155,0.70267835,70.125755,16,"Cell","AtoB"
4.90113,0.7375251,69.998965,17,"Cell","AtoB"
5.000125,0.7666489,69.459075,18,"Cell","AtoB"
5.10404,0.7992415,69.3599549999999,19,"Cell","AtoB"
5.19947,0.83288485,69.02088,20,"Cell","AtoB"
5.296245,0.864535,68.65047,21,"Cell","AtoB"
5.386225,0.8948076,68.30456,22,"Cell","AtoB"
5.47951,0.924062,67.761765,23,"Cell","AtoB"
5.55943,0.9540587,67.32263,24,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.9597,4.899499,4.9864,1,"Lumen","AtoB"
4.92178,4.814679,4.9738805,2,"Lumen","AtoB"
4.884515,4.7320285,4.9615405,3,"Lumen","AtoB"
4.84766,4.648584,4.94937,4,"Lumen","AtoB"
4.811225,4.5669985,4.9375105,5,"Lumen","AtoB"
4.77529,4.4867775,4.9256705,6,"Lumen","AtoB"
4.739885,4.4088985,4.913891,7,"Lumen","AtoB"
4.70462,4.33173,4.9023205,8,"Lumen","AtoB"
4.669785,4.2556745,4.890594,9,"Lumen","AtoB"
4.635105,4.181272,4.8791,10,"Lumen","AtoB"
4.60081,4.1091,4.8674005,11,"Lumen","AtoB"
4.567025,4.037812,4.8557605,12,"Lumen","AtoB"
4.53351,3.9677245,4.844341,13,"Lumen","AtoB"
4.50031,3.8987975,4.8331495,14,"Lumen","AtoB"
4.467425,3.8321545,4.821983,15,"Lumen","AtoB"
4.434805,3.766589,4.81086,16,"Lumen","AtoB"
4.402625,3.702487,4.7997315,17,"Lumen","AtoB"
4.371035,3.6389795,4.7886445,18,"Lumen","AtoB"
4.339495,3.5774095,4.7777915,19,"Lumen","AtoB"
4.308305,3.517889,4.7668675,20,"Lumen","AtoB"
4.27725,3.4589825,4.7558835,21,"Lumen","AtoB"
4.246605,3.400682,4.7447925,22,"Lumen","AtoB"
4.21605,3.344127,4.73417,23,"Lumen","AtoB"
4.186025,3.28756,4.7233,24,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.98708,4.961789,4.99432,1,"Blood","BtoA"
4.97734,4.93839,4.9904005,2,"Blood","BtoA"
4.96781,4.914808,4.9868105,3,"Blood","BtoA"
4.95845,4.891189,4.98344,4,"Blood","BtoA"
4.94921,4.867438,4.98009,5,"Blood","BtoA"
4.94015,4.8441295,4.97678,6,"Blood","BtoA"
4.93112,4.8212095,4.9736505,7,"Blood","BtoA"
4.92222,4.7983975,4.970491,8,"Blood","BtoA"
4.91344,4.776044,4.9675005,9,"Blood","BtoA"
4.90473,4.7536545,4.9643505,10,"Blood","BtoA"
4.89613,4.7319835,4.9612405,11,"Blood","BtoA"
4.88764,4.7106615,4.95832,12,"Blood","BtoA"
4.879225,4.6896185,4.9554,13,"Blood","BtoA"
4.87085,4.6693735,4.9524405,14,"Blood","BtoA"
4.86249,4.6489265,4.94951,15,"Blood","BtoA"
4.85428,4.6282625,4.9465315,16,"Blood","BtoA"
4.846155,4.6083935,4.94372,17,"Blood","BtoA"
4.83814,4.588353,4.9408805,18,"Blood","BtoA"
4.830255,4.5690825,4.938002,19,"Blood","BtoA"
4.822355,4.549677,4.9352905,20,"Blood","BtoA"
4.81457,4.529849,4.9325105,21,"Blood","BtoA"
4.80685,4.5112205,4.9297005,22,"Blood","BtoA"
4.799205,4.492718,4.9269805,23,"Blood","BtoA"
4.791605,4.474659,4.924321,24,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
26.4862,0.4099864,174.46615,1,"Cell","BtoA"
26.5953,0.63986015,174.86195,2,"Cell","BtoA"
26.5987,0.8081002,174.92265,3,"Cell","BtoA"
26.58315,0.9537025,174.84085,4,"Cell","BtoA"
26.6081,1.0842795,174.3961,5,"Cell","BtoA"
26.601,1.2010585,173.8456,6,"Cell","BtoA"
26.6002,1.308327,173.3778,7,"Cell","BtoA"
26.6181,1.4152835,173.0542,8,"Cell","BtoA"
26.62105,1.497024,172.70925,9,"Cell","BtoA"
26.62255,1.601033,172.38255,10,"Cell","BtoA"
26.63245,1.6813325,171.95155,11,"Cell","BtoA"
26.65055,1.772481,171.6293,12,"Cell","BtoA"
26.6749,1.8463405,171.38935,13,"Cell","BtoA"
26.7081,1.9267425,171.05555,14,"Cell","BtoA"
26.75185,1.995707,171.03415,15,"Cell","BtoA"
26.7902,2.065158,170.7619,16,"Cell","BtoA"
26.82345,2.133673,170.2499,17,"Cell","BtoA"
26.84035,2.201327,169.82685,18,"Cell","BtoA"
26.88385,2.2666765,169.52575,19,"Cell","BtoA"
26.9158,2.3319085,169.23425,20,"Cell","BtoA"
26.95915,2.3987685,169.09725,21,"Cell","BtoA"
26.97125,2.458065,168.7846,22,"Cell","BtoA"
27.0218,2.511831,168.5315,23,"Cell","BtoA"
27.0955,2.5495685,168.5466,24,"Cell","BtoA"
1e-15,1e-15,1e-15,0,"Lumen","BtoA"
0.0286746,0.0095555905,0.07797579,1,"Lumen","BtoA"
0.0579757,0.019743855,0.15633845,2,"Lumen","BtoA"
0.08702805,0.029870505,0.23333975,3,"Lumen","BtoA"
0.1158435,0.03987523,0.30980445,4,"Lumen","BtoA"
0.144381,0.04975856,0.3854054,5,"Lumen","BtoA"
0.172599,0.05960389,0.45944005,6,"Lumen","BtoA"
0.200504,0.069249315,0.53225415,7,"Lumen","BtoA"
0.2282085,0.078854425,0.6038518,8,"Lumen","BtoA"
0.255575,0.08844641,0.67434695,9,"Lumen","BtoA"
0.2827275,0.097900505,0.74428265,10,"Lumen","BtoA"
0.309618,0.1072997,0.8136646,11,"Lumen","BtoA"
0.3362315,0.11651615,0.8809306,12,"Lumen","BtoA"
0.362625,0.12565355,0.94870055,13,"Lumen","BtoA"
0.388743,0.13487065,1.014812,14,"Lumen","BtoA"
0.4145865,0.14388015,1.0798995,15,"Lumen","BtoA"
0.440306,0.15251665,1.143122,16,"Lumen","BtoA"
0.4656105,0.1615227,1.207981,17,"Lumen","BtoA"
0.4906825,0.1703903,1.2709825,18,"Lumen","BtoA"
0.51545,0.17917105,1.3313605,19,"Lumen","BtoA"
0.5398945,0.18788715,1.3943545,20,"Lumen","BtoA"
0.5642265,0.196166,1.4546475,21,"Lumen","BtoA"
0.5883315,0.2042592,1.513653,22,"Lumen","BtoA"
0.6123815,0.21217885,1.5689975,23,"Lumen","BtoA"
0.636129,0.22033865,1.6271905,24,"Lumen","BtoA"
