"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-6.78512256878184,0.123971913514656,5.35247903582646,-14.4095925,-10.953075,-7.63623,-3.5572,5.68798975,1866,1.00120776588302,1,-13.808625,-7.63623,3.4239485,0.0281500000000001,0.0825499999999995,0.12526,0.201545,0.340435,0.0876751005093772,2092,2970
"p_2.1.",5.03217610429384,0.119821898558298,5.12426849763072,-1.19746675,0.72840175,3.966995,8.087035,17.2657175,1831,1.00124663091791,1,-0.90590765,3.966995,15.04088,0.019575,0.069518,0.13103,0.177365,0.299150000000001,0.0854065767075222,2099,3006
"p_3.1.",1.57329593112805,0.128670527497624,4.81985842899818,-2.1873875,-1.631105,-1.034515,3.7251925,14.56643,1403,1.00270660011616,1,-2.042559,-1.034515,11.8247,0.00869000000000009,0.00777499999999998,0.0391755,0.258795,0.43025,0.091002721362788,1800,2298
"p_4.1.",-10.9759893348235,0.14252443354331,5.3311562200137,-16.1880925,-14.834925,-13.42435,-8.1034775,2.78693299999999,1411,1.00275962830768,1,-15.80871,-13.42435,-0.0175494600000011,0.0221,0.0194000000000001,0.0991999999999997,0.28074,0.43614,0.100801009498659,1766,2189
"GSD_error_C1_blood.1.",6.32770818272716,0.0118701671576648,2.01091428847813,2.85528825,4.6718075,6.265755,8.006115,9.78498725,28652,1.00008640848965,1,3.1774855,6.265755,9.5598855,0.0143,0.018675,0.020235,0.0192549999999998,0.00684500000000021,0.00839356132255502,28745,31409
"GSD_error_C1_cell.1.",2.58477332302212,0.0123575702180888,1.97345229436797,1.1127915,1.27577,1.703305,3.0527225,8.5151655,25491,0.999942449788836,1,1.12594,1.703305,7.3852615,0.00053000000000003,0.00289499999999998,0.00746499999999994,0.0270599999999999,0.0424699999999998,0.00873822184321947,26499,28788
"GSD_error_C1_lumen.1.",4.60136892794651,0.0366879117634755,2.60109766503845,1.16626225,2.17139,4.27734,6.67603,9.60016075,5024,1.00102193128776,1,1.234505,4.27734,9.217099,0.00339,0.0407550000000001,0.0570350000000004,0.0439750000000001,0.015555,0.0259437766730627,5088,15243
"GSD_error_C2_blood.1.",7.01482451662292,0.0115180479859075,1.83693702070948,3.3730215,5.6382425,7.132395,8.5623025,9.84561325,25290,1.00001272763138,1,3.8299605,7.132395,9.6980755,0.0204800000000001,0.0166900000000001,0.0167350000000002,0.0153150000000002,0.00564000000000053,0.0081445830958433,24945,24574
"GSD_error_C2_cell.1.",2.63693083458318,0.0127058174637205,2.00295069715179,1.11414225,1.2917375,1.749545,3.1502325,8.622417,24856,1.00009162733001,1,1.12931,1.749545,7.469947,0.000455000000000094,0.00283999999999995,0.00956000000000001,0.0264949999999999,0.05694,0.00898447519402281,26085,28686
"GSD_error_C2_lumen.1.",6.96142718691414,0.0101839673575163,1.81495258998194,3.534889,5.5419575,7.04772,8.48965,9.84686925,31728,0.999956980515723,1,3.90544,7.04772,9.6925935,0.0193700000000001,0.0169350000000001,0.0182349999999998,0.0140199999999995,0.00478999999999985,0.00720121860661381,31592,30389
"LnPrior",-36.2757054477565,0.0255166528997501,1.52528085533268,-39.658524,-37.1770675,-36.14452,-35.2136975,-33.6955405,3572,1.00138506206873,1,-38.981661,-36.14452,-34.029933,0.0768549999999983,0.0316499999999991,0.0211850000000027,0.0198999999999998,0.0203449999999989,0.018204214998801,3923,5113
"LnData",-26.5132483311461,0.02969260111278,2.44756327343004,-31.2511155,-28.1102675,-26.58833,-24.9769275,-21.435136,6810,1.00105011020829,1,-30.4041855,-26.58833,-22.3028465,0.050279999999999,0.0282350000000005,0.0314750000000004,0.0354849999999995,0.0439499999999988,0.0209967409218828,6796,17038
"LnPosterior",-62.7889537329709,0.0493553239992204,3.41321756783664,-69.2834855,-65.085945,-62.859285,-60.56049,-55.8839255,4790,1.00146586693077,1,-68.3035955,-62.859285,-56.9485255,0.0876599999999996,0.0504800000000003,0.0488649999999993,0.0527550000000012,0.0653999999999968,0.0350313085595703,4785,10030
