"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,10.361,21.5735,4.61708,-7.81835,8.73868,1.34458,3.80029,5.74869,2.18608,7.79161,-39.63803,-27.49719,-67.13523
60060,9.60668,22.0933,2.79969,-9.51038,6.79814,1.28725,6.87569,6.22327,1.23099,5.65154,-39.01364,-25.33151,-64.34515
60090,11.2881,22.7652,2.56996,-7.91996,5.96587,1.26417,4.42845,6.07221,1.97198,8.44085,-39.60337,-27.33893,-66.94229
60120,12.1366,23.2848,2.46537,-10.0881,4.32374,4.05333,5.80722,8.76704,1.10993,8.4039,-40.76914,-26.54537,-67.31451
60150,9.22218,20.8998,0.522172,-12.0731,2.77274,1.77794,8.0253,6.4768,9.54604,7.4668,-40.5859,-29.19608,-69.78199
60180,-0.411582,11.6888,-1.13997,-13.5878,4.03766,8.08345,9.72837,6.42205,1.13801,4.23812,-37.51718,-27.00297,-64.52015
60210,-2.10001,9.83763,-1.68003,-16.6055,5.45992,4.18679,6.16075,7.26292,1.13968,5.68616,-36.96789,-27.48679,-64.45468
60240,-2.35509,9.88025,-1.77831,-16.5315,5.21445,2.31876,7.63417,5.38289,1.32441,7.4608,-36.65486,-27.65426,-64.30913
60270,-4.99146,7.93986,-1.72938,-14.8874,5.2983,1.14085,3.31043,5.56331,1.2218,7.58879,-34.69216,-23.87191,-58.56408
60300,-4.81605,6.33398,-1.86244,-15.4492,6.47932,1.13552,1.41252,7.28547,1.48481,7.25717,-34.31936,-21.3007,-55.62006
60330,-5.15735,6.79636,0.899221,-12.028,4.42477,1.1144,4.77818,7.13633,1.45032,3.61731,-34.39706,-26.82694,-61.224
60360,-0.246018,11.1046,4.16579,-8.13992,9.01563,1.67497,3.85441,7.21917,2.80661,6.70059,-37.40041,-27.71323,-65.11364
60390,0.693723,12.4843,3.29378,-7.38125,3.73679,4.99731,3.9837,8.83927,1.99741,9.10763,-37.98539,-28.7231,-66.70849
60420,4.78507,17.0908,2.70915,-10.3661,6.58528,1.2467,6.29877,5.59299,1.39748,7.62979,-37.68216,-26.18669,-63.86885
60450,5.24978,16.8666,1.65997,-11.3463,8.78298,1.21583,9.13807,5.04749,1.43147,4.90383,-37.75517,-26.45381,-64.20898
60480,10.3659,22.1266,-0.771152,-13.0882,4.95412,3.48434,2.94941,8.34034,2.73531,6.10406,-40.02402,-27.14372,-67.16774
60510,11.1667,24.104,-1.75735,-14.5619,5.25686,1.85789,4.18087,5.95469,1.21733,8.73104,-39.60441,-25.56161,-65.16602
60540,11.1082,22.7878,-1.69594,-15.4778,6.52195,1.34279,1.9098,8.06742,2.11492,8.87098,-39.33285,-23.09399,-62.42684
60570,10.0516,22.7878,-1.69405,-15.3867,6.44615,1.49483,1.13341,9.74369,1.30174,7.99115,-38.3605,-19.86411,-58.2246
60600,11.0584,23.6858,-1.69405,-15.2305,4.96333,2.05363,1.10107,8.21262,1.77651,3.41715,-38.00517,-23.13101,-61.13619
60630,10.7281,22.4363,-1.70258,-15.0073,4.09636,1.34078,1.14629,4.67907,5.05049,7.01408,-38.28743,-22.91377,-61.2012
60660,9.6093,20.3224,-1.70258,-15.0286,3.85734,4.87018,1.134,4.8702,1.41328,5.47937,-37.43196,-23.24063,-60.6726
60690,9.51213,20.4817,-1.61096,-14.6742,5.7255,1.33303,1.67819,4.58961,3.08096,5.7783,-37.69947,-24.71586,-62.41533
60720,9.90252,21.1465,-0.49994,-12.3956,5.93927,1.64498,3.2042,7.73253,1.26558,6.32935,-38.43926,-25.7516,-64.19086
60750,9.71608,21.7326,-1.8651,-15.3701,5.89527,1.83734,1.76013,7.13217,1.45069,7.89742,-38.41975,-23.24967,-61.66942
60780,7.22022,19.0705,-1.0157,-14.3377,2.81886,1.4584,2.58975,5.05472,2.55284,5.06654,-36.74926,-27.41263,-64.16189
60810,8.06217,19.7026,-1.42828,-14.1272,5.44655,1.27225,3.88713,9.61027,1.2132,7.22082,-38.11883,-22.68078,-60.79961
60840,5.62447,16.3379,-1.76207,-14.5297,7.1093,1.35813,3.62403,6.48706,2.10878,6.25238,-37.51976,-25.21278,-62.73254
60870,9.58334,21.7872,-1.18039,-15.2571,5.76981,1.17758,2.5111,7.80354,3.95832,8.99641,-39.54864,-24.64238,-64.19102
60900,8.76358,20.3169,-1.17699,-14.4611,3.2241,2.15008,2.84383,5.77776,1.39815,8.14057,-37.79472,-25.22715,-63.02187
60930,9.63136,21.1202,-1.52631,-14.0818,5.67431,3.02538,1.84129,6.16916,1.2888,7.08632,-38.34944,-24.14375,-62.49319
60960,6.76382,18.1718,-1.61534,-14.2513,3.97049,2.6373,1.95705,6.18443,2.15682,6.08219,-37.36889,-25.40741,-62.7763
60990,2.60429,13.4658,-1.4099,-14.6058,4.32618,1.52528,1.50869,9.95065,1.33521,4.66463,-35.23544,-22.76691,-58.00234
61020,1.66336,13.1786,-1.40042,-14.6096,2.65563,1.26498,1.58094,3.97111,4.22312,9.85188,-35.48024,-26.27143,-61.75167
61050,1.42685,13.1959,-1.54218,-14.5786,7.91827,1.15055,3.03074,7.59624,1.13242,8.79183,-36.32717,-21.48384,-57.81102
61080,4.61478,15.7527,-2.41344,-15.6106,4.89547,1.66047,3.78178,6.77091,2.26861,6.53183,-37.3998,-27.09103,-64.49083
61110,-1.42018,10.2687,-1.11585,-14.0187,7.05152,9.21857,6.67413,4.36364,1.29837,3.11402,-37.05279,-29.31811,-66.3709
61140,-3.15883,10.2346,-0.343613,-11.9499,5.7939,1.26159,5.85648,6.82331,1.65429,8.71943,-36.3319,-27.0717,-63.4036
61170,-2.40807,7.14685,-0.927972,-14.5084,9.10682,2.49111,4.73742,9.44839,1.2833,7.09193,-36.87175,-28.47717,-65.34891
