"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.04087475,0.00286882,0.24409055,1,"Blood","AtoB"
0.0633665,0.0067976815,0.28655665,2,"Blood","AtoB"
0.07642795,0.009914599,0.31702215,3,"Blood","AtoB"
0.08468425,0.012096,0.34028305,4,"Blood","AtoB"
0.0903472,0.013798135,0.35618265,5,"Blood","AtoB"
0.0942346,0.01492129,0.36788805,6,"Blood","AtoB"
0.09693325,0.01563719,0.37519405,7,"Blood","AtoB"
0.0989016,0.016257545,0.3807133,8,"Blood","AtoB"
0.1004225,0.01671417,0.3855741,9,"Blood","AtoB"
0.10134,0.017039735,0.38864965,10,"Blood","AtoB"
0.1020825,0.01727926,0.3914638,11,"Blood","AtoB"
0.102623,0.01743422,0.39337485,12,"Blood","AtoB"
0.1030295,0.01754405,0.39536985,13,"Blood","AtoB"
0.103336,0.017651415,0.396877,14,"Blood","AtoB"
0.103565,0.017734075,0.3978975,15,"Blood","AtoB"
0.1038995,0.017778035,0.39886965,16,"Blood","AtoB"
0.10408,0.01780714,0.3998872,17,"Blood","AtoB"
0.104147,0.01782915,0.4004356,18,"Blood","AtoB"
0.104308,0.01785521,0.40127375,19,"Blood","AtoB"
0.104441,0.01786541,0.4015691,20,"Blood","AtoB"
0.1044865,0.017878345,0.40185125,21,"Blood","AtoB"
0.1045405,0.01788529,0.4019339,22,"Blood","AtoB"
0.1045705,0.017905475,0.40254195,23,"Blood","AtoB"
0.10462,0.017914415,0.40277785,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
6726.905,2870.484,14394.91,1,"Cell","AtoB"
9928.39,5071.1835,14353.31,2,"Cell","AtoB"
11370.5,6724.863,14333.12,3,"Cell","AtoB"
12095.95,7919.8445,14332.615,4,"Cell","AtoB"
12534.85,8785.5135,14336.905,5,"Cell","AtoB"
12831.05,9393.4535,14344.305,6,"Cell","AtoB"
13037.45,9821.211,14358.305,7,"Cell","AtoB"
13188.2,10093.04,14372.31,8,"Cell","AtoB"
13291.05,10302.175,14389.61,9,"Cell","AtoB"
13367.2,10438.63,14405.105,10,"Cell","AtoB"
13424.3,10515.86,14421.505,11,"Cell","AtoB"
13467,10598.46,14435.405,12,"Cell","AtoB"
13496.5,10650.36,14448.2,13,"Cell","AtoB"
13521.8,10676.415,14459.405,14,"Cell","AtoB"
13540.95,10692.84,14468.91,15,"Cell","AtoB"
13552.25,10709.28,14477.3,16,"Cell","AtoB"
13562.3,10723.99,14482.5,17,"Cell","AtoB"
13569.6,10730.055,14487.005,18,"Cell","AtoB"
13574.65,10737.545,14491.31,19,"Cell","AtoB"
13580.05,10743.36,14494.51,20,"Cell","AtoB"
13583.35,10755.05,14496.9,21,"Cell","AtoB"
13586.25,10757.59,14498.205,22,"Cell","AtoB"
13587.9,10757.595,14499.81,23,"Cell","AtoB"
13588.95,10758.36,14501.705,24,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
2.54864,0.03548678,3.9092425,1,"Lumen","AtoB"
1.31591,0.033734315,3.055113,2,"Lumen","AtoB"
0.7144195,0.032847455,2.3891485,3,"Lumen","AtoB"
0.43643,0.031995355,1.871791,4,"Lumen","AtoB"
0.3037825,0.030873875,1.46955,5,"Lumen","AtoB"
0.2332735,0.02960946,1.1612665,6,"Lumen","AtoB"
0.1893465,0.02779634,0.923583,7,"Lumen","AtoB"
