"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-6.4294866506208,0.229700576243234,4.23136407209993,-10.6970925,-8.959645,-8.089275,-5.4348325,5.58098875,329,1.00916694167613,1,-10.2427,-8.089275,3.147942,0.0255999999999998,0.0396700000000001,0.0664100000000003,0.51799,0.738115,0.162562643748229,480,577
"p_2.1.",-1.46319154036833,0.231066366799409,4.2130736194233,-4.9992655,-4.03534,-3.352655,-0.50481925,10.5422925,323,1.00999103352953,1,-4.728059,-3.352655,8.1924245,0.019355,0.024775,0.06376,0.5276499,0.693765,0.163532155010284,462,564
"p_3.1.",-0.938521634801412,0.340959301282501,5.00361970288194,-5.405819,-4.514985,-3.3095,1.295505,12.5933175,219,1.01041678869829,1,-5.1453695,-3.3095,9.7056925,0.0197250000000002,0.033585,0.260905,0.6531345,0.952000000000001,0.241421910507475,283,356
"p_4.1.",-5.22343093891467,0.347512981245443,5.13955508594254,-10.8459475,-8.825005,-7.268995,-2.81752,8.3822695,222,1.01006808563546,1,-10.35069,-7.268995,5.53330099999998,0.0385999999999997,0.0673950000000003,0.234825,0.66734,0.981065,0.246057200056943,287,339
"GSD_error_C1_blood.1.",2.81942059492563,0.0124708796212946,1.9181421373492,1.20112675,1.5216975,2.02874,3.3450875,8.498596,23609,1.00009234905347,1,1.247356,2.02874,7.335273,0.00187999999999999,0.00466,0.00885500000000006,0.0290650000000001,0.04312,0.00881835225526363,23024,27945
"GSD_error_C1_cell.1.",3.74120265904262,0.015121653131223,2.36229470194637,1.15880375,1.802935,2.960035,5.1789625,9.350377,24368,0.999998500384025,1,1.214424,2.960035,8.6956325,0.002085,0.00967999999999991,0.017155,0.0295899999999998,0.0225349999999995,0.0106927515378024,23626,29562
"GSD_error_C1_lumen.1.",1.68132396606674,0.00964702841867708,1.13986582981049,1.10446,1.158255,1.27359,1.62364,5.432321,13958,1.00021303550769,1,1.10925,1.27359,3.8723245,0.000144999999999951,0.000850000000000017,0.00222,0.00766,0.114515,0.00699864916600741,19763,16629
"GSD_error_C2_blood.1.",1.64998458130234,0.00924670427938185,1.11533643113942,1.10438,1.1544275,1.25859,1.5726375,5.36367925,14556,1.00009573585905,1,1.1091915,1.25859,3.748575,0.000140000000000029,0.000735000000000041,0.00187000000000004,0.00790999999999997,0.128205,0.00658562864377274,20942,16427
"GSD_error_C2_cell.1.",3.72976318991376,0.0151913820596205,2.35251366702829,1.155526,1.811985,2.959875,5.1503075,9.3110535,23960,0.999921846810946,1,1.21204,2.959875,8.686637,0.00204499999999996,0.00980999999999999,0.018815,0.0312999999999999,0.0180449999999999,0.0107420596873212,22699,28731
"GSD_error_C2_lumen.1.",3.52088567991501,0.0127770916304036,2.0974425488563,1.38501525,1.9344375,2.762065,4.4905225,9.07515,26952,0.999959724374197,1,1.4582375,2.762065,8.214112,0.00306499999999998,0.00538000000000005,0.01349,0.0294950000000003,0.0253750000000004,0.0090348662324554,26953,30475
"LnPrior",-32.1679977940257,0.0404571019924876,1.50981633084331,-35.40684175,-33.1224075,-32.06449,-31.0988025,-29.53081375,1391,1.00224684284169,1,-34.8187905,-32.06449,-29.868442,0.107455000000002,0.0481699999999989,0.0370650000000019,0.0280299999999993,0.0204649999999997,0.0289544844495649,1512,2298
"LnData",-26.4075097784652,0.020259491443405,2.90336224607773,-32.56030225,-28.30711,-26.19704,-24.3150825,-21.3335265,20520,1.00004668640304,1,-31.4979845,-26.19704,-22.0099685,0.048964999999999,0.0285099999999989,0.0243950000000002,0.0232150000000004,0.0300449999999994,0.0143423547686265,20611,25160
"LnPosterior",-58.5755076140482,0.0433646002790259,4.05806422688134,-67.16375125,-61.212345,-58.310625,-55.7118025,-51.32052,8796,1.0003638525817,1,-65.697829,-58.310625,-52.332576,0.083555000000004,0.0552899999999994,0.0440450000000006,0.0385999999999989,0.0590949999999992,0.0306644242803065,8648,20246
