"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-6.65734,-1.72285,-4.05802,-8.33882,2.09471,5.47266,2.1876,1.11662,5.8267,2.80264,-32.83126,-26.53649,-59.36774
60060,-5.65596,-2.4821,-4.62769,-6.692,1.87938,8.06258,1.1851,1.29855,8.25726,1.49548,-32.32832,-26.36033,-58.68865
60090,-6.89144,-2.15845,-4.73652,-9.00171,1.3109,3.24213,1.25845,1.26901,5.50014,4.48462,-31.80584,-25.30936,-57.1152
60120,-4.89938,-1.16108,-4.79627,-8.19194,2.42143,3.67378,1.19058,1.32915,2.91424,4.00523,-31.83054,-26.17483,-58.00538
60150,-5.48976,-1.51284,-4.60759,-8.53141,1.43439,2.55194,1.58385,2.93687,1.18357,1.73126,-30.2654,-28.0414,-58.3068
60180,-7.42077,-1.82638,-4.61294,-9.72781,3.82681,2.71243,1.52769,1.12925,9.89462,5.94991,-33.67475,-27.04272,-60.71747
60210,-4.98862,1.44763,-4.52392,-9.37123,1.2864,3.65029,1.61369,6.7729,6.40835,3.78609,-34.01456,-30.53847,-64.55302
60240,-2.10355,2.56833,-4.46742,-9.10393,1.70318,2.75877,1.61846,3.90628,1.33929,2.86206,-31.76743,-28.36478,-60.13221
60270,-2.76657,0.809542,-5.23562,-8.02322,2.46701,8.05631,1.30902,1.10127,3.13101,3.00114,-32.4661,-25.82239,-58.28848
60300,-3.2739,1.0049,-4.59706,-8.56285,1.34978,2.07075,1.26599,1.112,5.94332,1.45273,-30.40799,-22.93392,-53.3419
60330,-4.6403,0.34852,-4.78132,-10.2138,5.19056,3.62389,1.44659,1.58166,5.15552,5.57257,-33.96225,-29.84514,-63.80739
60360,-7.19129,-2.83402,-5.00118,-8.99569,1.82066,7.17104,1.18277,1.62093,2.45938,3.51097,-32.03492,-26.3158,-58.35072
60390,-5.92372,-1.51922,-3.92669,-8.53735,2.4209,7.40911,1.93923,1.34733,7.38767,2.37508,-33.43478,-28.5709,-62.00569
60420,-6.4723,-1.43504,-4.68697,-9.2689,1.98778,5.88574,1.53822,1.10199,1.59688,2.5977,-31.12924,-24.52684,-55.65608
60450,-6.19595,-3.05996,-3.19108,-6.34009,6.24335,9.14876,2.4424,1.27961,4.10167,4.84905,-34.85188,-31.28659,-66.13847
60480,-8.84391,-4.14033,-3.46493,-7.53099,1.47,2.93409,3.45937,1.66387,3.81423,1.745,-31.76254,-28.62749,-60.39003
60510,-8.56275,-4.51907,-1.95777,-6.07791,1.88366,6.18508,1.17817,1.45421,4.08743,2.1517,-31.86078,-25.39034,-57.25112
60540,-8.69897,-3.56757,-2.42068,-6.59936,1.50698,1.76949,1.20332,1.19917,3.94351,3.07145,-30.53818,-22.46361,-53.00179
60570,-8.08412,-3.1562,-3.19295,-7.64914,1.90806,1.50618,1.48036,1.44801,1.3403,2.70529,-29.78462,-24.64296,-54.42758
60600,-8.00261,-2.99863,-3.69106,-7.38616,8.0944,1.69045,2.58093,1.25048,1.10969,2.47404,-31.46579,-26.47939,-57.94518
60630,-8.09266,-2.88451,-3.86497,-8.53689,1.37768,1.34406,1.30433,1.28637,3.01244,2.61395,-29.87446,-23.24173,-53.1162
60660,-7.72065,-3.81396,-2.7274,-6.22741,1.43333,4.48386,1.26908,1.44099,5.85571,2.83406,-31.94545,-25.41014,-57.35559
60690,-8.34788,-3.03796,-2.89307,-6.87714,1.60374,3.51974,1.12599,1.7066,7.10577,4.62788,-32.56796,-25.49583,-58.06378
60720,-8.21444,-3.50768,-2.47892,-6.65257,4.4095,1.63365,1.28268,1.21415,1.95429,2.95625,-30.86175,-24.74184,-55.60359
60750,-7.87242,-2.30421,-1.97516,-5.7318,1.42588,2.72054,1.12176,1.98691,1.97196,4.31439,-31.04447,-25.03781,-56.08228
60780,-8.76112,-4.83402,-1.75351,-5.77927,2.00372,2.05839,1.1153,1.15849,7.83558,3.1323,-31.57376,-23.41888,-54.99264
60810,-7.69155,-2.12064,-1.21763,-5.09112,1.37764,1.46956,1.16387,1.38452,1.87124,6.66521,-30.49523,-25.77155,-56.26678
60840,-8.06895,-2.96203,-0.52345,-4.36318,1.74898,1.1189,1.59666,1.14812,1.12459,4.52001,-29.71129,-22.7156,-52.42689
60870,-7.99376,-4.24499,-0.401203,-3.58167,1.35745,4.87821,1.13495,1.46119,3.68027,1.6687,-31.00983,-23.81357,-54.8234
60900,-7.48432,-3.98114,-1.07168,-3.69569,1.54474,2.98637,1.11125,3.60114,3.55215,1.40845,-31.2926,-27.37276,-58.66536
60930,-8.01644,-3.7165,-1.66912,-5.48215,3.68276,1.32082,4.39955,1.34921,1.86653,1.48997,-31.10595,-28.6718,-59.77776
60960,-8.34263,-3.33388,-1.43563,-5.34533,3.8161,7.23789,3.55074,1.47789,5.5208,3.57091,-34.70173,-31.38652,-66.08825
60990,-9.57514,-4.0799,-0.442508,-5.38256,1.31348,2.11927,1.17934,1.17625,3.58859,3.57666,-30.69263,-23.31219,-54.00482
61020,-8.73693,-3.78331,-1.406,-5.6603,1.27139,2.06817,2.1291,1.40581,1.42011,1.93093,-29.80727,-24.57118,-54.37845
61050,-8.6311,-3.98628,-2.094,-6.52375,2.19741,2.6106,1.15401,1.31269,1.23957,3.26867,-30.25864,-24.65431,-54.91295
61080,-10.1524,-4.00859,-1.72671,-6.55661,2.37672,1.78629,1.53811,1.72029,1.21917,2.57371,-30.30151,-28.88772,-59.18923
61110,-9.05269,-3.30713,-1.68327,-6.02991,1.42853,1.34772,1.13581,1.14736,1.93037,5.31703,-29.98658,-23.45075,-53.43732
61140,-8.98262,-4.04709,-1.60676,-6.1978,1.39042,3.73964,1.45467,1.14294,7.11741,3.95993,-32.2167,-24.60044,-56.81715
61170,-8.58103,-4.54909,-2.71052,-5.94125,3.42256,9.98304,1.57733,2.18597,2.68028,3.31075,-33.61964,-31.42947,-65.04911
61200,-8.47894,-4.06984,-3.61384,-7.30259,2.03489,1.65797,1.21115,1.25673,2.6953,6.44229,-31.13768,-24.52076,-55.65844
61230,-8.56783,-3.38966,-3.81274,-7.99573,1.26762,1.63199,1.10326,1.26566,1.24329,4.27465,-29.39489,-21.58896,-50.98385
61260,-8.37378,-4.20337,-3.83198,-7.54544,3.94761,9.27031,1.15017,1.39594,2.28585,7.84102,-33.59837,-27.24173,-60.8401
61290,-8.8047,-4.99514,-1.21181,-4.89088,1.56717,9.87926,1.24343,1.16678,5.83238,2.39989,-32.48173,-26.24399,-58.72572
61320,-9.26369,-4.47448,0.179998,-4.90798,1.82579,2.95864,1.39549,1.91485,1.64164,2.44373,-30.87265,-26.97192,-57.84457
61350,-9.35074,-5.58938,-3.15314,-8.04822,1.67724,2.83908,1.15647,1.2615,5.41665,2.44523,-31.17501,-27.35933,-58.53434
61380,-8.92365,-3.93277,-4.49195,-8.6159,2.34156,8.09718,1.38564,2.0498,2.36193,1.37756,-31.81372,-27.59005,-59.40377
61410,-8.21198,-3.3407,-3.80352,-8.07809,1.50187,2.63678,1.32497,1.10215,1.44218,4.29018,-30.23928,-21.5162,-51.75548
61440,-9.28751,-3.98528,-3.09013,-7.83378,2.24937,4.41813,1.3139,1.21247,1.22644,5.23525,-31.29929,-24.42209,-55.72138
61470,-8.14637,-3.49225,-3.28028,-7.21974,1.36163,1.75984,1.37544,1.37631,1.59684,6.31422,-30.48866,-23.90788,-54.39654
