"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0492613,0.013929255,0.103074,1,"Blood","AtoB"
0.1008835,0.032110085,0.204262,2,"Blood","AtoB"
0.15126,0.05023204,0.30024665,3,"Blood","AtoB"
0.2005295,0.06783983,0.39184205,4,"Blood","AtoB"
0.2484865,0.08538325,0.47908865,5,"Blood","AtoB"
0.294993,0.102356,0.56136875,6,"Blood","AtoB"
0.340155,0.1192004,0.6383045,7,"Blood","AtoB"
0.3840225,0.1359848,0.71244675,8,"Blood","AtoB"
0.42652,0.152189,0.7831727,9,"Blood","AtoB"
0.467827,0.1684968,0.84971315,10,"Blood","AtoB"
0.508082,0.18444085,0.9150151,11,"Blood","AtoB"
0.5465925,0.2001252,0.9773641,12,"Blood","AtoB"
0.5842685,0.215367,1.03792,13,"Blood","AtoB"
0.620455,0.2303468,1.093714,14,"Blood","AtoB"
0.655627,0.2452042,1.146281,15,"Blood","AtoB"
0.6896225,0.25978545,1.197046,16,"Blood","AtoB"
0.723018,0.2739849,1.2457115,17,"Blood","AtoB"
0.755054,0.2880881,1.292471,18,"Blood","AtoB"
0.785448,0.3019454,1.3377725,19,"Blood","AtoB"
0.815336,0.3158153,1.3806585,20,"Blood","AtoB"
0.8447285,0.3296706,1.421624,21,"Blood","AtoB"
0.873227,0.342601,1.4611175,22,"Blood","AtoB"
0.900473,0.3557445,1.4992345,23,"Blood","AtoB"
0.927443,0.3680115,1.5349965,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
283.4535,4.7352955,1657.057,1,"Cell","AtoB"
292.3435,8.761239,1658.6655,2,"Cell","AtoB"
292.053,12.4339,1641.9105,3,"Cell","AtoB"
290.8725,15.85537,1623.485,4,"Cell","AtoB"
289.213,19.05378,1598.3015,5,"Cell","AtoB"
288.816,22.11891,1578.529,6,"Cell","AtoB"
288.295,24.96333,1552.2835,7,"Cell","AtoB"
287.742,27.823,1528.768,8,"Cell","AtoB"
287.287,30.41059,1511.824,9,"Cell","AtoB"
286.7715,32.752815,1489.799,10,"Cell","AtoB"
286.54,35.26577,1469.8735,11,"Cell","AtoB"
286.2325,37.36221,1450.994,12,"Cell","AtoB"
286.001,39.489045,1432.0425,13,"Cell","AtoB"
286.1775,41.269855,1415.5035,14,"Cell","AtoB"
286.064,43.154185,1398.622,15,"Cell","AtoB"
285.843,45.11396,1384.152,16,"Cell","AtoB"
286.144,46.69471,1367.323,17,"Cell","AtoB"
285.8565,48.245115,1352.6455,18,"Cell","AtoB"
285.7245,49.693305,1335.6655,19,"Cell","AtoB"
286.0535,51.172575,1323.373,20,"Cell","AtoB"
285.5635,52.67962,1309.848,21,"Cell","AtoB"
285.2745,54.006395,1295.1815,22,"Cell","AtoB"
285.652,55.23632,1282.821,23,"Cell","AtoB"
285.834,56.591285,1271.7045,24,"Cell","AtoB"
10,10,10,0,"Lumen","AtoB"
9.74315,9.228909,9.899871,1,"Lumen","AtoB"
9.562475,8.982225,9.8181705,2,"Lumen","AtoB"
9.39485,8.736908,9.7467315,3,"Lumen","AtoB"
9.23629,8.4851685,9.679603,4,"Lumen","AtoB"
9.084045,8.2377175,9.616243,5,"Lumen","AtoB"
8.93716,7.9999385,9.555381,6,"Lumen","AtoB"
8.79545,7.7687085,9.4972695,7,"Lumen","AtoB"
8.657825,7.550069,9.439899,8,"Lumen","AtoB"
8.52306,7.337776,9.3843085,9,"Lumen","AtoB"
8.39327,7.1285145,9.329416,10,"Lumen","AtoB"
8.268595,6.93052,9.2771805,11,"Lumen","AtoB"
8.14802,6.7468385,9.2251115,12,"Lumen","AtoB"
8.03208,6.565742,9.174764,13,"Lumen","AtoB"
7.91758,6.3914535,9.1247315,14,"Lumen","AtoB"
7.80759,6.228647,9.075574,15,"Lumen","AtoB"
7.70146,6.074924,9.0268935,16,"Lumen","AtoB"
7.597865,5.925385,8.981483,17,"Lumen","AtoB"
7.4977,5.783189,8.9363585,18,"Lumen","AtoB"
7.400905,5.644803,8.890488,19,"Lumen","AtoB"
7.30755,5.516748,8.8447465,20,"Lumen","AtoB"
7.216925,5.3906285,8.8032115,21,"Lumen","AtoB"
7.12836,5.271112,8.76244,22,"Lumen","AtoB"
7.041015,5.159041,8.7200125,23,"Lumen","AtoB"
6.95807,5.0527585,8.6785565,24,"Lumen","AtoB"
10,10,10,0,"Blood","BtoA"
9.852085,9.437395,9.9501005,1,"Blood","BtoA"
9.74028,9.1971285,9.905801,2,"Blood","BtoA"
9.63807,8.94906,9.8664015,3,"Blood","BtoA"
9.5413,8.7134495,9.8291005,4,"Blood","BtoA"
9.44835,8.491537,9.793257,5,"Blood","BtoA"
9.35979,8.2696365,9.759691,6,"Blood","BtoA"
9.273575,8.0573055,9.726431,7,"Blood","BtoA"
9.189755,7.848392,9.6950665,8,"Blood","BtoA"
9.10881,7.6594345,9.664695,9,"Blood","BtoA"
9.03055,7.4721775,9.635221,10,"Blood","BtoA"
8.95478,7.3030185,9.606504,11,"Blood","BtoA"
8.8807,7.1412385,9.5784845,12,"Blood","BtoA"
8.809045,6.9805175,9.5498225,13,"Blood","BtoA"
8.73875,6.8271575,9.5234725,14,"Blood","BtoA"
8.67094,6.6890345,9.496767,15,"Blood","BtoA"
8.60423,6.554164,9.4717465,16,"Blood","BtoA"
8.53947,6.4232485,9.4468625,17,"Blood","BtoA"
8.477235,6.3014355,9.4229805,18,"Blood","BtoA"
8.416015,6.18875,9.399883,19,"Blood","BtoA"
8.3571,6.080839,9.376972,20,"Blood","BtoA"
8.29953,5.977558,9.3546245,21,"Blood","BtoA"
8.243365,5.8791025,9.331874,22,"Blood","BtoA"
8.18902,5.7819885,9.310693,23,"Blood","BtoA"
8.136655,5.6908825,9.2901955,24,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
269.2695,9.687429,3364.8805,1,"Cell","BtoA"
306.185,17.93659,3393.8025,2,"Cell","BtoA"
332.1305,25.620615,3390.259,3,"Cell","BtoA"
355.6185,32.72514,3364.5405,4,"Cell","BtoA"
378.9495,39.550035,3334.06,5,"Cell","BtoA"
399.195,46.06346,3312.6195,6,"Cell","BtoA"
418.425,52.25405,3290.6715,7,"Cell","BtoA"
435.976,58.26796,3262.4355,8,"Cell","BtoA"
453.6005,63.836985,3248.5365,9,"Cell","BtoA"
470.8845,69.22596,3229.023,10,"Cell","BtoA"
485.7065,74.245095,3213.266,11,"Cell","BtoA"
500.7235,79.461985,3199.821,12,"Cell","BtoA"
514.335,84.038845,3177.7985,13,"Cell","BtoA"
527.657,88.92149,3163.769,14,"Cell","BtoA"
539.3035,93.51472,3146.2035,15,"Cell","BtoA"
551.0815,97.632435,3127.221,16,"Cell","BtoA"
562.207,102.17975,3116.316,17,"Cell","BtoA"
572.685,106.12895,3103.952,18,"Cell","BtoA"
580.616,110.0533,3091.685,19,"Cell","BtoA"
590.004,113.8139,3085.3475,20,"Cell","BtoA"
599.009,117.5556,3080.6485,21,"Cell","BtoA"
606.9535,121.05845,3073.783,22,"Cell","BtoA"
614.7345,124.3245,3066.58,23,"Cell","BtoA"
622.252,127.71805,3059.2795,24,"Cell","BtoA"
1e-15,1e-15,1e-15,0,"Lumen","BtoA"
0.2832465,0.07765997,0.93079725,1,"Lumen","BtoA"
0.580961,0.1766008,1.835859,2,"Lumen","BtoA"
0.872783,0.2737193,2.692653,3,"Lumen","BtoA"
1.15812,0.36872095,3.501481,4,"Lumen","BtoA"
1.43472,0.46151125,4.2631945,5,"Lumen","BtoA"
1.70384,0.55338975,4.9782715,6,"Lumen","BtoA"
1.965985,0.6434192,5.6707865,7,"Lumen","BtoA"
2.220955,0.7314461,6.3092935,8,"Lumen","BtoA"
2.469805,0.81703995,6.9285145,9,"Lumen","BtoA"
2.711605,0.9014131,7.5098345,10,"Lumen","BtoA"
2.945745,0.9840602,8.063179,11,"Lumen","BtoA"
3.173845,1.0642045,8.579548,12,"Lumen","BtoA"
3.39799,1.14209,9.074181,13,"Lumen","BtoA"
3.61209,1.220647,9.5550915,14,"Lumen","BtoA"
3.82692,1.294682,10.01771,15,"Lumen","BtoA"
4.03264,1.3691915,10.457585,16,"Lumen","BtoA"
4.230635,1.4399485,10.869065,17,"Lumen","BtoA"
4.425245,1.5108345,11.25554,18,"Lumen","BtoA"
4.613845,1.5824415,11.606945,19,"Lumen","BtoA"
4.798015,1.6490815,11.9464,20,"Lumen","BtoA"
4.97902,1.7149405,12.267315,21,"Lumen","BtoA"
5.15324,1.77949,12.59776,22,"Lumen","BtoA"
5.32082,1.842076,12.892755,23,"Lumen","BtoA"
5.48861,1.902063,13.17196,24,"Lumen","BtoA"
