"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-4.7929868578405,0.134565323079905,2.75458537697407,-7.9715655,-6.17592,-5.32459,-4.457385,3.68330375,417,1.00275381580663,1,-7.4874235,-5.32459,0.757133649999985,0.0345949999999995,0.0243350000000002,0.0315699999999999,0.06995,1.01243,0.095218361749734,857,512
"p_2.1.",-4.89359943040942,0.141336726011252,2.79569958811868,-6.93820275,-6.16743,-5.830425,-5.0178425,4.40240575,390,1.00341226473496,1,-6.643259,-5.830425,1.3271015,0.0134449999999999,0.00756500000000004,0.0224449999999998,0.0805449999999999,1.118055,0.100014752107288,794,515
"p_3.1.",-1.37761555750184,0.202110654806527,4.46520670506084,-5.942546,-4.7659975,-3.18612,1.14231,9.72970275,486,1.00463670865891,1,-5.6709475,-3.18612,7.8030645,0.0202249999999999,0.0424850000000001,0.19415,0.402549,0.407945000000001,0.142999301323365,578,1084
"p_4.1.",-1.9877655108079,0.21015347204955,4.629785795691,-8.16846925,-5.2028025,-3.51135,0.62423275,9.2462185,483,1.00541442092613,1,-7.4555975,-3.51135,7.2769925,0.10247,0.077245,0.173025,0.382949,0.43601,0.148690338435684,540,1111
"GSD_error_C1_blood.1.",3.55220133639545,0.0122605845973238,2.08492342822278,1.42388325,1.98126,2.79187,4.512105,9.06416025,28906,1.00008824212063,1,1.5014235,2.79187,8.2869015,0.00270999999999999,0.00560000000000005,0.011415,0.026195,0.0261100000000001,0.0086696300983961,29224,31561
"GSD_error_C1_cell.1.",3.98987246031746,0.0213651653528928,2.43896618083485,1.16385825,1.9128475,3.292285,5.65458,9.44390925,12831,1.00023071107632,1,1.2301745,3.292285,8.879679,0.00250500000000009,0.0107299999999999,0.0254949999999998,0.0460700000000003,0.019825,0.0151077913651741,14862,29305
"GSD_error_C1_lumen.1.",1.66879992594676,0.00959363478102878,1.12126199693234,1.10481,1.1622475,1.277605,1.6085025,5.341154,13651,1.00002667280855,1,1.1101015,1.277605,3.7254205,0.000155000000000016,0.00089500000000009,0.00189499999999998,0.00686999999999993,0.12942,0.00694264105720025,20273,15474
"GSD_error_C2_blood.1.",1.50353787526559,0.00940789555065978,0.944387092455682,1.10245075,1.1341775,1.20294,1.41051,4.398361,10083,1.00013862652436,1,1.10508,1.20294,2.962415,7.00000000000145e-05,0.000464999999999938,0.00133500000000009,0.00481500000000001,0.134425,0.00682976848249042,18055,12997
"GSD_error_C2_cell.1.",3.96859994875641,0.0214020766925791,2.42683255183592,1.16217225,1.9226375,3.251305,5.5914775,9.421205,12783,1.00006280601566,1,1.226382,3.251305,8.8461505,0.00218499999999999,0.01207,0.02705,0.0386100000000003,0.02128,0.0151338967739511,13747,25873
"GSD_error_C2_lumen.1.",2.39416617454068,0.0127185616567253,1.83701746459065,1.10981075,1.238265,1.58737,2.709805,8.196896,20841,1.00000855501369,1,1.1202,1.58737,6.8482265,0.000314999999999954,0.00282500000000008,0.00831000000000004,0.0227149999999998,0.0434049999999999,0.00899350714369829,19017,24163
"LnPrior",-31.9162263817023,0.0298397258213836,1.46031051240861,-35.000738,-32.837485,-31.82904,-30.8871625,-29.32383175,2374,1.00198518694388,1,-34.4491565,-31.82904,-29.6778855,0.0745949999999986,0.036480000000001,0.0279800000000012,0.0245350000000002,0.0232499999999991,0.0213244708912826,2557,3898
"LnData",-57.4253127115361,0.0271598799289437,3.22543703948868,-64.087811,-59.5517075,-57.26641,-55.1405475,-51.5953425,13773,1.00029385464274,1,-62.9471625,-57.26641,-52.400227,0.066794999999999,0.0368700000000004,0.0265800000000027,0.0299200000000006,0.0406000000000013,0.0192986061057858,14356,23527
"LnPosterior",-89.3415390944882,0.0508356013305304,4.33719988600014,-98.3232075,-92.1934275,-89.11588,-86.28089,-81.4838835,7209,1.00066843000572,1,-96.802035,-89.11588,-82.6358675,0.0704199999999986,0.0555949999999967,0.0614550000000023,0.0430949999999939,0.0686650000000029,0.0359619652487373,7337,18243
