"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-4.75174,-5.89562,-3.53437,-3.64021,3.2535,1.51354,1.13725,1.23445,5.42011,1.10057,-30.38991,-50.75517,-81.14508
60060,-5.53621,-5.8717,-2.68646,-2.60921,1.71337,1.58258,1.45397,1.15147,6.21847,1.26966,-30.29314,-54.32705,-84.62019
60090,-4.78759,-6.11758,-1.34366,-1.63872,6.16033,4.3522,1.7006,1.45535,7.8379,1.29421,-33.31868,-58.97318,-92.29186
60120,-6.54365,-6.11758,1.4159,-0.740624,4.57867,2.06441,1.25645,1.25964,5.32343,1.15966,-31.49923,-58.62664,-90.12587
60150,-5.51523,-5.62861,0.202261,-0.413594,4.38107,6.59242,1.11782,1.26069,1.195,2.17414,-31.59024,-55.02486,-86.6151
60180,-8.41648,-5.78478,-0.380842,-3.39651,2.45257,9.26773,1.13938,1.13946,5.81338,3.42641,-33.16289,-58.07962,-91.2425
60210,-4.9687,-6.66199,-2.34911,-2.96575,3.5668,1.42317,1.27526,1.44516,3.06452,2.33362,-30.9206,-59.3569,-90.2775
60240,-5.68094,-7.08051,-4.166,-3.98496,7.18609,1.16506,1.92883,1.18616,3.947,2.35396,-31.81392,-59.5169,-91.33082
60270,-6.99153,-6.21234,-3.30049,-4.41865,1.70168,2.10112,1.1728,1.28733,1.75329,1.12904,-29.00916,-53.74712,-82.75628
60300,-6.34867,-6.22259,-4.06953,-3.99878,2.77461,1.35571,1.89713,1.20511,1.52005,1.16999,-29.35869,-54.82568,-84.18437
60330,-6.26135,-5.75398,-4.34792,-4.58453,3.01894,2.15436,1.11453,1.12202,1.12303,1.37516,-29.14818,-54.85073,-83.99891
60360,-5.40004,-5.75398,-4.62524,-5.07197,1.46654,1.14364,1.1943,1.2607,1.33198,1.16219,-27.97524,-49.96655,-77.94179
60390,-5.55868,-5.91941,-4.68616,-5.16127,1.91716,2.21288,1.21228,1.21215,1.15453,1.23418,-28.79075,-52.09475,-80.8855
60420,-6.60553,-5.64241,-5.99982,-6.37674,7.8999,3.59555,2.20584,1.344,2.54017,1.34846,-32.241,-60.048,-92.289
60450,-4.56657,-6.0251,-3.55134,-3.26471,3.11176,2.93676,1.12241,1.154,1.66073,1.19834,-29.84152,-53.4008,-83.24233
60480,-7.16617,-6.03622,-2.3822,-3.16452,5.81845,4.46395,4.05591,1.15704,9.42134,1.10104,-33.84152,-60.37466,-94.21618
60510,-5.15474,-5.74376,-4.01648,-4.2023,6.09427,1.16438,1.23204,1.1279,1.54033,1.53179,-29.78879,-51.89275,-81.68155
60540,-6.39223,-7.04062,-3.18055,-4.77391,2.50801,3.7286,2.08984,1.13938,1.32276,3.76739,-31.34578,-59.49015,-90.83594
60570,-6.07551,-5.52673,-6.19767,-7.01331,3.84236,1.3722,1.1493,1.60288,2.05364,4.60333,-31.09755,-61.11153,-92.20908
60600,-8.76898,-7.20502,-3.45989,-4.33516,4.30651,2.13042,3.43223,1.23043,2.4943,3.399,-32.44366,-65.19013,-97.63378
60630,-6.69538,-6.34821,-3.99232,-5.08411,1.92287,4.96062,1.38919,4.38494,1.59191,1.50921,-31.55068,-59.62291,-91.17359
60660,-4.19189,-5.17946,-4.3392,-3.97697,2.01992,2.81835,1.13029,7.86503,2.19071,3.83473,-32.71476,-60.30877,-93.02353
60690,-5.33376,-5.90715,-4.74921,-5.06862,3.29316,2.53373,1.28889,6.63285,3.55291,1.53143,-32.57073,-60.17017,-92.7409
60720,-6.08428,-6.16336,-4.10636,-4.98526,1.17294,8.50329,1.14177,5.75551,1.91426,1.2818,-31.69443,-64.03029,-95.72473
60750,-6.69054,-6.05121,-2.99975,-4.32466,1.54194,5.12547,1.14177,1.34791,2.24473,1.17398,-30.11905,-52.94,-83.05906
60780,-6.49321,-5.83508,-4.18904,-5.81074,4.93866,5.56976,1.30279,1.10159,7.4805,1.1942,-32.46883,-54.27306,-86.74189
60810,-5.76795,-5.385,-3.44639,-3.63965,3.18406,9.28159,1.82782,1.22832,6.46765,1.676,-33.24326,-60.33711,-93.58037
60840,-8.06032,-6.00223,-1.65207,-2.02078,3.19998,2.79915,1.25525,1.10126,2.28103,5.46737,-31.80801,-60.49508,-92.3031
60870,-6.745,-5.8565,1.80516,0.976161,1.91209,1.40062,1.22372,1.32366,1.98265,1.623,-29.72717,-59.886,-89.61318
60900,-7.15545,-5.94878,0.622472,-1.10702,1.33646,4.37376,1.75346,1.13292,1.44439,1.69795,-30.25962,-58.36581,-88.62544
60930,-6.61678,-6.05091,1.78335,0.599304,1.74431,3.80906,1.15783,1.14521,1.13535,1.21424,-29.56349,-50.35766,-79.92115
60960,-5.26807,-6.15637,1.62088,1.46841,1.876,3.11954,1.10892,1.15865,1.86036,1.16355,-29.90697,-51.34089,-81.24786
60990,-6.48848,-7.23729,3.97708,2.8596,2.08911,6.58313,1.12694,3.1296,8.4885,2.44193,-34.28699,-61.27362,-95.5606
61020,-9.21154,-8.38129,2.43943,-0.355709,3.1607,6.62446,1.23177,1.64908,2.4006,7.49716,-33.72615,-63.83227,-97.55842
61050,-7.2866,-6.23415,4.01799,2.22989,1.4696,2.08848,1.53102,1.25228,1.7603,4.82508,-31.24511,-61.25018,-92.49528
61080,-6.69769,-6.23893,5.99836,4.37781,3.66084,8.55945,1.20179,1.14107,2.7033,1.5123,-32.84519,-54.80663,-87.65182
61110,-8.53704,-7.44778,5.89969,3.0818,2.98066,5.67625,2.00063,1.15309,6.47439,2.44983,-34.00048,-62.32103,-96.32151
61140,-7.96595,-6.8599,5.92681,4.04866,2.03809,3.48174,1.16256,1.1307,1.41961,2.32755,-31.0726,-56.39356,-87.46616
61170,-7.39739,-5.48615,2.1792,2.88958,3.22751,2.49861,1.19828,1.10141,5.32474,3.96974,-32.66403,-62.37254,-95.03657
61200,-6.62529,-5.96555,2.12724,1.6771,8.41613,4.23373,1.75862,2.71917,5.54704,1.43937,-34.3711,-62.18802,-96.55911
61230,-8.14108,-6.30589,1.08553,-0.103963,1.96339,2.78886,1.28208,1.30363,1.83281,1.29725,-30.06873,-59.35718,-89.42591
61260,-5.58429,-5.90803,0.754029,0.459477,2.88731,4.40517,3.17176,1.24638,3.21892,1.29294,-32.3461,-58.80996,-91.15606
61290,-7.21333,-5.92864,-0.47142,-0.375976,3.32133,2.34192,1.40425,1.16609,2.77254,3.28971,-31.64219,-59.95367,-91.59586
61320,-4.40934,-5.69962,-4.31627,-4.13595,1.58946,7.86339,2.06441,1.12728,4.13283,1.15128,-31.57941,-55.07237,-86.65178
61350,-5.29892,-5.63989,-4.32941,-5.17411,1.90088,6.47931,1.14208,1.18485,1.79504,1.13125,-30.13994,-51.5463,-81.68623
61380,-5.31782,-5.63989,-4.4434,-4.95707,3.59448,7.09782,1.11246,1.46391,1.36718,1.28577,-30.90979,-53.84595,-84.75574
61410,-6.14511,-5.91976,-5.00763,-4.69857,2.21484,1.43562,1.11926,1.14477,2.30088,1.2588,-29.07195,-54.46642,-83.53837
61440,-5.53906,-5.91976,-4.61023,-4.43558,1.66946,8.58452,2.45058,1.19355,3.01949,1.12525,-31.57847,-55.53677,-87.11524
61470,-5.80738,-6.97965,-5.49345,-6.99027,9.00989,8.55973,1.17625,1.26773,4.09096,9.58104,-34.99162,-61.47917,-96.47079
61500,-6.30183,-8.31853,-3.99215,-5.08236,4.24474,6.30124,1.21834,1.36782,3.97303,3.83127,-33.13934,-63.21871,-96.35805
61530,-8.71266,-6.04012,-2.99565,-4.79097,8.8964,4.3729,1.3585,1.1438,4.24878,1.25796,-32.43365,-57.81845,-90.2521
61560,-7.40429,-6.21914,-3.65397,-4.41022,2.12946,5.38263,1.22282,1.36556,8.25817,1.75696,-32.25869,-59.85398,-92.11266
61590,-8.91217,-5.64249,-1.27856,-2.95215,6.48891,4.57673,1.28813,1.11629,8.41468,2.62611,-33.61546,-60.19549,-93.81095
61620,-6.06594,-6.69213,-3.99266,-4.57793,1.63491,9.0559,1.14902,1.25683,2.88574,4.54887,-32.25849,-57.59001,-89.8485
61650,-4.98685,-5.76186,-4.04111,-4.82492,1.71227,1.54337,1.38475,1.10397,1.94949,1.60207,-29.16726,-53.94309,-83.11035
61680,-4.81838,-5.03311,-4.04111,-4.50186,6.11074,1.40218,1.96351,1.37993,1.88185,1.5803,-30.88321,-59.00522,-89.88843
61710,-4.4891,-5.37089,-3.47119,-3.79203,2.38987,2.59679,1.22926,1.19891,1.61008,3.8262,-30.70959,-56.78579,-87.49539
61740,-4.14529,-5.25499,-4.18964,-4.59732,3.46392,1.57948,1.18963,1.1347,2.68576,1.21521,-29.83543,-52.28814,-82.12357
61770,-4.56797,-5.12758,-4.5324,-4.28169,3.29013,1.71885,1.25439,1.13397,1.44338,4.09455,-30.50745,-55.35307,-85.86053
61800,-4.41092,-5.55443,-5.07705,-7.43931,2.28616,1.3397,1.67542,1.21676,1.20974,8.02376,-30.71447,-59.25353,-89.968
61830,-4.11993,-5.06804,-5.12135,-4.57781,8.0447,3.18963,1.78277,1.12486,1.35978,1.3562,-31.1933,-55.81039,-87.00368
61860,-6.36048,-5.9878,-6.06676,-4.5425,9.20592,2.2179,7.49794,1.4071,2.28292,1.21956,-32.99055,-62.25792,-95.24847
61890,-6.05424,-5.9878,-4.10231,-4.66144,1.84802,5.44224,1.43145,1.21272,1.21842,1.20677,-29.86596,-52.38591,-82.25187
61920,-7.02151,-5.76391,-3.2153,-4.83663,4.42806,3.18711,2.26083,2.3354,3.32105,1.38263,-32.47381,-62.78545,-95.25925
61950,-4.86663,-6.50505,-3.52891,-2.86538,6.96693,1.7278,1.53396,1.11329,6.77014,1.5534,-32.06313,-57.65323,-89.71636
61980,-4.7172,-5.056,-2.39324,-4.64926,7.04112,2.11525,3.78164,1.83008,2.44077,1.69105,-32.74622,-63.86666,-96.61288
62010,-5.01511,-5.37956,-4.9312,-5.57271,1.88179,1.6725,1.11027,1.16901,3.30574,1.60909,-29.68836,-52.45645,-82.14482
62040,-4.91187,-5.98114,-4.72928,-5.73492,1.63529,1.3507,1.29878,2.29395,6.48496,3.17367,-31.51582,-59.71923,-91.23506
62070,-4.65615,-3.99978,-5.41491,-5.74467,2.81547,4.83463,1.59674,4.05176,7.86413,7.94804,-35.24376,-64.75445,-99.99821
62100,-3.99103,-4.17455,-5.01351,-4.57869,5.35851,4.17524,1.25377,2.36337,5.64478,7.11716,-34.54756,-62.93374,-97.48129
62130,-2.61818,-1.35363,-5.85936,-6.76683,2.49376,3.28939,1.50609,1.241,6.58703,3.67821,-32.6734,-60.70828,-93.38168
62160,-3.50534,-1.95694,-4.95194,-7.93834,2.9287,2.28017,6.51423,4.02489,5.93467,1.68493,-34.18834,-65.07525,-99.2636
62190,-3.10155,-1.56025,-4.17578,-7.49618,5.90315,3.1679,9.66838,8.22578,4.1391,1.6324,-35.97315,-67.8953,-103.8684
62220,-2.11867,-2.05608,-4.69323,-6.21005,3.92766,7.16366,1.14847,7.09675,6.63239,1.14827,-34.22695,-58.67528,-92.90223
62250,-2.07191,-1.74236,-4.8903,-6.79886,6.88746,2.65272,1.47293,6.74612,2.301,2.3973,-33.6794,-65.28962,-98.96902
62280,-0.39307,-2.01239,-5.3579,-4.62307,1.98364,6.7216,1.38588,4.75805,2.17892,1.59964,-32.57024,-61.44054,-94.01078
62310,-2.13597,-3.41321,-3.26656,-2.12466,9.65247,3.74046,1.57133,2.8863,4.9267,4.25535,-34.97538,-67.31482,-102.2902
62340,-5.36908,-6.09057,-2.90584,-3.20478,7.35367,2.12303,2.39998,1.15205,7.20009,2.65893,-33.4066,-59.85626,-93.26286
62370,-7.22965,-5.96122,-3.8921,-4.72823,4.97966,9.45353,1.18587,1.14034,4.47747,1.44059,-32.6396,-56.52695,-89.16656
62400,-6.04152,-6.26022,-2.64494,-2.0514,5.91422,5.41972,1.27251,1.12182,6.59661,1.36512,-32.74901,-56.32129,-89.0703
62430,-7.16181,-6.09822,1.98715,0.555804,4.24047,6.32572,1.38164,1.17667,1.62011,1.69017,-31.85983,-56.41828,-88.27811
62460,-6.14867,-6.10333,2.09525,0.946378,5.91486,3.21934,1.10638,1.14957,2.73053,1.13786,-31.42978,-51.69043,-83.12022
62490,-5.88487,-6.11534,3.54528,2.43363,2.57513,3.49271,1.18759,4.61322,7.04037,1.12708,-33.28233,-57.27557,-90.5579
62520,-6.27841,-6.31612,3.80238,3.48786,2.75898,1.95997,4.62194,1.62244,8.34583,1.52561,-33.65581,-61.10609,-94.7619
62550,-5.52924,-6.15861,4.83007,4.90872,2.51734,6.01197,6.90816,1.17317,6.48045,1.13452,-34.42604,-57.28135,-91.70739
62580,-3.93691,-6.17354,3.54306,5.43331,1.76978,2.21482,3.2036,1.42491,9.32463,1.25354,-32.93083,-60.83772,-93.76855
62610,-7.32111,-7.2093,7.07381,5.53776,5.70161,3.43641,1.19814,1.34761,2.94545,3.66942,-33.7232,-60.57015,-94.29335
62640,-5.59485,-5.24651,5.24472,5.29303,2.70939,2.27939,1.85091,1.22045,3.95247,2.40609,-32.58935,-59.23832,-91.82767
62670,-7.29268,-6.06281,4.27162,3.22387,3.21749,6.37402,1.35098,1.11539,1.24642,1.10245,-31.17654,-53.81686,-84.9934
62700,-5.30094,-5.83134,7.06401,6.08747,5.39795,1.8063,1.53583,1.15983,2.59268,1.40553,-32.10122,-57.00756,-89.10877
62730,-4.38291,-4.56182,6.8488,7.2648,3.37849,1.30269,1.72751,1.2369,1.39435,6.47238,-32.52344,-59.26979,-91.79323
62760,-4.31791,-5.59716,7.02661,7.73728,4.13827,2.02604,1.13184,1.23926,4.5809,3.39943,-33.34945,-57.25543,-90.60488
62790,-4.94302,-6.83489,7.41543,8.10788,3.32873,1.23927,1.24305,1.18914,8.20885,4.60252,-33.64467,-59.46195,-93.10661
62820,-6.99232,-6.84285,9.04595,7.42229,7.46461,4.30063,1.14621,1.30315,1.17115,8.28771,-34.44366,-59.58615,-94.02981
62850,-7.54345,-6.68194,6.08144,3.66598,4.37827,4.02165,1.35283,1.27916,1.80234,2.04088,-32.34507,-59.74432,-92.08939
62880,-5.77136,-4.97854,4.2446,2.67216,8.12377,5.73832,1.19539,1.1043,3.1859,3.69239,-33.98488,-60.56546,-94.55034
62910,-5.13441,-6.07748,3.48148,4.38162,1.86916,2.12822,1.19693,1.59916,5.87473,1.20938,-31.45912,-56.56852,-88.02764
62940,-5.65593,-6.16658,2.56458,1.96539,1.63409,1.54836,1.33955,1.85538,5.25902,1.13007,-30.83032,-55.91371,-86.74403
62970,-4.79932,-6.29804,2.80668,3.07024,5.45579,1.54909,1.38696,1.10407,6.35213,1.1628,-31.87575,-53.66331,-85.53905
