"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
2.785855,0.77124035,6.6547705,1,"Blood","AtoB"
5.562705,1.5516735,13.18424,2,"Blood","AtoB"
8.314,2.329855,19.568405,3,"Blood","AtoB"
11.0333,3.1042935,25.80914,4,"Blood","AtoB"
13.727,3.874119,31.91511,5,"Blood","AtoB"
16.39355,4.639799,37.879415,6,"Blood","AtoB"
19.0308,5.4020855,43.697745,7,"Blood","AtoB"
21.6449,6.162301,49.40268,8,"Blood","AtoB"
24.2317,6.917634,54.954465,9,"Blood","AtoB"
26.7896,7.6713605,60.38313,10,"Blood","AtoB"
29.3193,8.4225555,65.681475,11,"Blood","AtoB"
31.82475,9.171636,70.892505,12,"Blood","AtoB"
34.3052,9.9184455,75.98632,13,"Blood","AtoB"
36.75975,10.660905,80.941565,14,"Blood","AtoB"
39.1812,11.39457,85.804745,15,"Blood","AtoB"
41.588,12.128395,90.5012,16,"Blood","AtoB"
43.96575,12.851535,95.13956,17,"Blood","AtoB"
46.32185,13.577065,99.662895,18,"Blood","AtoB"
48.64905,14.302725,104.09105,19,"Blood","AtoB"
50.9545,15.027785,108.3384,20,"Blood","AtoB"
53.23575,15.74626,112.5981,21,"Blood","AtoB"
55.48265,16.464495,116.75345,22,"Blood","AtoB"
57.7265,17.18523,120.78415,23,"Blood","AtoB"
59.94745,17.897345,124.71545,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
908.18,13.884305,5492.8115,1,"Cell","AtoB"
899.896,20.26841,5436.2565,2,"Cell","AtoB"
891.86,25.306655,5375.9535,3,"Cell","AtoB"
884.012,29.15815,5329.267,4,"Cell","AtoB"
876.367,32.531785,5283.2435,5,"Cell","AtoB"
868.6155,35.91547,5221.607,6,"Cell","AtoB"
861.116,39.30576,5169.422,7,"Cell","AtoB"
854.0725,42.30238,5116.449,8,"Cell","AtoB"
846.3895,44.66888,5050.0845,9,"Cell","AtoB"
838.865,46.88619,5004.809,10,"Cell","AtoB"
832.0405,49.430305,4961.0175,11,"Cell","AtoB"
824.639,51.315225,4917.223,12,"Cell","AtoB"
817.6485,53.207885,4876.2055,13,"Cell","AtoB"
811.105,54.931035,4834.735,14,"Cell","AtoB"
804.394,56.311115,4801.494,15,"Cell","AtoB"
797.543,58.16137,4749.1185,16,"Cell","AtoB"
791.757,59.661435,4703.4975,17,"Cell","AtoB"
785.7175,61.115485,4661.89349999999,18,"Cell","AtoB"
779.0485,62.325325,4623.8355,19,"Cell","AtoB"
773.9475,63.757085,4589.3555,20,"Cell","AtoB"
768.343,64.976735,4550.8705,21,"Cell","AtoB"
763.353,66.17771,4513.0435,22,"Cell","AtoB"
757.8255,67.290475,4471.4345,23,"Cell","AtoB"
753.0875,68.493555,4432.4555,24,"Cell","AtoB"
1000,1000,1000,0,"Lumen","AtoB"
990.7245,978.339,997.13105,1,"Lumen","AtoB"
982.011,958.0018,994.64315,2,"Lumen","AtoB"
973.3925,938.07485,992.189,3,"Lumen","AtoB"
964.8715,918.56345,989.75015,4,"Lumen","AtoB"
956.4315,899.41895,987.334,5,"Lumen","AtoB"
948.0515,880.79285,984.9113,6,"Lumen","AtoB"
939.799,862.52495,982.5313,7,"Lumen","AtoB"
931.6105,844.67715,980.1355,8,"Lumen","AtoB"
923.5295,827.2684,977.74945,9,"Lumen","AtoB"
915.502,810.1626,975.4193,10,"Lumen","AtoB"
907.5865,793.5131,973.05495,11,"Lumen","AtoB"
899.7265,777.2474,970.70055,12,"Lumen","AtoB"
891.958,761.3381,968.35725,13,"Lumen","AtoB"
884.258,745.7596,966.02505,14,"Lumen","AtoB"
876.6605,730.6929,963.7054,15,"Lumen","AtoB"
869.165,715.78915,961.37945,16,"Lumen","AtoB"
861.7155,701.3019,959.08315,17,"Lumen","AtoB"
854.3475,687.2067,956.8092,18,"Lumen","AtoB"
847.0145,673.3496,954.51775,19,"Lumen","AtoB"
839.8045,659.83395,952.24475,20,"Lumen","AtoB"
832.6435,646.65875,949.9971,21,"Lumen","AtoB"
825.5495,633.76155,947.731,22,"Lumen","AtoB"
