"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-5.50747050361492,0.338037375279774,4.99280594819277,-11.3271,-8.9705375,-7.366465,-2.939675,7.37875825,213,1.01865191301406,1,-10.853085,-7.366465,4.85645299999999,0.0678500000000009,0.114525,0.287375,0.6299,0.891905,0.239348828252153,223,522
"p_2.1.",-0.519824308979346,0.353333977285948,5.1595720633699,-5.6509335,-4.569965,-2.417805,2.326415,12.67694,208,1.01984531824797,1,-5.455137,-2.417805,10.00138,0.0298150000000001,0.14749,0.366485,0.637055,0.81305,0.250187393967106,206,527
"p_3.1.",-3.41504983703003,0.285705975397977,3.68233449140404,-5.84027875,-5.2521725,-4.95628,-3.8123875,8.07684975,160,1.01755587968851,1,-5.6307285,-4.95628,5.49494,0.0151350000000003,0.0118049999999998,0.034875,0.395335,1.115135,0.202380415861113,263,272
"p_4.1.",-8.50212330405856,0.308991830867454,4.00014506648796,-12.3863025,-10.748425,-9.8672,-8.165855,3.4918695,162,1.01710931796155,1,-11.960755,-9.8672,0.854962199999988,0.0263,0.0510999999999999,0.0800599999999996,0.413415,1.08474,0.218871593718562,256,264
"GSD_error_C1_blood.1.",2.20231674165729,0.0107456368949392,1.63822200558566,1.11086075,1.2353575,1.52347,2.3778125,7.59300075,23232,1.00018905987863,1,1.12176,1.52347,6.0640485,0.000390000000000001,0.00194499999999997,0.00561,0.0184,0.06216,0.00759840798123651,21830,26474
"GSD_error_C1_cell.1.",3.95717578646419,0.0172359540684774,2.41635551194919,1.166843,1.9313175,3.24703,5.57442,9.4223425,19632,1.00023672654258,1,1.236209,3.24703,8.8769475,0.00252999999999992,0.0124500000000001,0.02068,0.040035,0.0237149999999993,0.0121878407937915,18126,28684
"GSD_error_C1_lumen.1.",1.57444595144357,0.0096527436786647,1.01879770163009,1.10343075,1.14296,1.229695,1.4977,4.81098325,11100,1.00028531877528,1,1.1068715,1.229695,3.3304465,0.000115000000000087,0.000634999999999941,0.00171499999999991,0.00628499999999999,0.16433,0.00688432117886922,17356,13909
"GSD_error_C2_blood.1.",1.53054246937883,0.0102612708949423,0.988898310311915,1.10286075,1.13696,1.21234,1.4353425,4.66484075,9279,1.00003629035521,1,1.1058315,1.21234,3.114513,9.49999999999562e-05,0.000534999999999952,0.00141999999999998,0.004525,0.161215,0.00757676290279361,18196,11551
"GSD_error_C2_cell.1.",4.01494909355081,0.0247866481683214,2.42385484057401,1.16540375,1.969945,3.330255,5.6754375,9.43714675,9223,1.0006449868601,1,1.241913,3.330255,8.86627,0.0021500000000001,0.01467,0.0331950000000001,0.0463,0.0208650000000006,0.0175273416571148,9421,26255
"GSD_error_C2_lumen.1.",2.66764393263342,0.0126516590643252,1.94008461919877,1.1294915,1.36742,1.84037,3.1696175,8.5181085,23514,1.00008064379366,1,1.1556815,1.84037,7.335679,0.000890000000000057,0.00377499999999997,0.00937999999999994,0.0236700000000001,0.0447850000000001,0.00894618513440745,23220,26772
"LnPrior",-31.5720081592926,0.0404773520601109,1.46605009217368,-34.75279125,-32.4817325,-31.464105,-30.53365,-29.00070175,1305,1.00317722699002,1,-34.1494125,-31.464105,-29.3700365,0.0986800000000017,0.049315,0.0354849999999995,0.0277500000000011,0.0239600000000006,0.0288806880026258,1412,2251
"LnData",-21.1898222597175,0.0363164125645191,3.47159402804582,-28.3058095,-23.5088675,-21.039535,-18.7284375,-14.9142005,8926,1.00093173495918,1,-27.1296185,-21.039535,-15.750566,0.0660249999999998,0.0420999999999996,0.0353150000000007,0.0335400000000003,0.0415550000000007,0.0256804013918355,9204,22989
"LnPosterior",-52.7618304174478,0.0678803954273218,4.59000994482549,-62.226531,-55.8035025,-52.563865,-49.5024625,-44.4940635,4541,1.00147914883476,1,-60.661898,-52.563865,-45.6293865,0.101299999999998,0.0803350000000016,0.0660349999999994,0.0695099999999975,0.0666149999999988,0.0480017500457608,4609,18549
