"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-2.92198,1.88841,-5.48826,-12.2356,1.23987,3.3268,1.10609,1.18123,2.93242,9.45307,-32.03899,-20.58346,-52.62245
60060,-2.50438,2.30135,-5.32702,-10.8783,1.15794,8.64294,1.13781,1.21474,8.88088,1.70437,-32.37201,-18.75786,-51.12987
60090,-2.99432,2.72436,-5.1043,-13.6987,1.8849,1.61289,1.58354,1.11315,8.74549,6.6235,-32.89785,-24.14337,-57.04123
60120,-2.44353,2.3377,-4.87065,-8.7009,1.26866,7.55118,1.1686,1.15639,2.55342,5.51643,-32.19729,-22.6228,-54.82008
60150,-2.78334,2.47308,-5.16802,-10.3372,1.40899,1.96111,1.303,1.84814,2.26695,1.14437,-29.86638,-22.50755,-52.37393
60180,-3.41606,1.22695,-5.62621,-10.4182,6.76131,3.78616,1.21048,1.15623,1.53475,1.8474,-31.53513,-21.4957,-53.03083
60210,-5.7039,0.3345,-5.13037,-11.12,1.80346,1.218,1.14204,1.74217,2.42296,1.59931,-29.67754,-19.50445,-49.18199
60240,-4.70086,1.04817,-5.31989,-10.8927,1.12334,2.23219,1.78688,2.24121,3.24272,1.82354,-30.97647,-21.93877,-52.91524
60270,-5.22358,0.416923,-5.26167,-11.9138,1.12273,3.79346,1.38932,1.15745,5.44957,3.58914,-31.7813,-19.48372,-51.26503
60300,-7.18991,-1.2601,-5.31142,-10.9438,1.1383,1.14216,1.13975,3.33869,5.12566,1.67671,-30.50757,-18.58551,-49.09308
60330,-7.5885,-1.7167,-4.96133,-10.8903,4.47325,2.69103,1.31392,1.17112,1.9319,1.88559,-30.95522,-22.47836,-53.43358
60360,-7.93817,-3.25873,-4.93532,-9.58089,1.48243,1.36934,1.12752,1.173,1.3827,1.52139,-28.39308,-14.91918,-43.31225
60390,-9.95806,-4.62163,-4.9796,-9.55692,5.46326,2.49424,1.46383,1.11506,2.28295,1.38646,-30.91547,-21.1418,-52.05727
60420,-9.51738,-5.01487,-3.93839,-8.39968,1.88584,1.99568,1.14593,1.19587,2.19694,3.97752,-30.45498,-20.68303,-51.13801
60450,-6.3731,-0.517568,-5.04108,-9.79688,1.17549,1.11283,1.22836,1.19235,1.64867,3.3668,-29.12982,-19.65746,-48.78728
60480,-6.5975,-1.18993,-5.01627,-10.642,1.6927,1.82913,1.17479,1.23091,5.029,1.13248,-29.99438,-16.81906,-46.81344
60510,-6.90788,-1.45842,-4.84667,-9.29443,1.28869,1.42356,1.11099,1.14767,6.75855,3.14495,-30.62185,-19.94967,-50.57152
60540,-7.66042,-1.64347,-5.15981,-11.268,1.27174,3.29975,1.25276,1.59911,4.10527,1.57348,-30.75046,-19.67878,-50.42924
60570,-7.68685,-2.22747,-5.43707,-10.7221,1.32612,4.45867,1.11035,1.14843,1.67166,1.25304,-29.47347,-15.89116,-45.36464
60600,-7.57876,-3.46077,-5.17835,-9.7216,1.87213,2.23311,1.22953,1.86036,6.31642,1.96856,-31.43194,-23.12103,-54.55297
60630,-8.6674,-2.80179,-4.45468,-11.2653,6.4131,1.56252,1.1927,1.21381,6.5653,2.48847,-32.20364,-25.46256,-57.6662
60660,-7.19456,-2.74287,-5.00937,-9.6559,1.16966,2.53265,1.18698,1.16741,1.42597,1.18784,-28.61294,-14.2694,-42.88234
60690,-4.03109,0.0389946,-5.10362,-8.94345,4.26519,8.18135,1.27864,1.91815,2.98447,1.91792,-33.00128,-25.62659,-58.62786
60720,-3.09411,0.881103,-5.39479,-9.15709,1.2262,8.64131,1.16861,1.11324,3.06057,3.57496,-31.89348,-18.68485,-50.57834
60750,-2.98425,2.11795,-5.17499,-9.45239,1.12764,6.31839,1.13851,1.53072,5.23504,8.69203,-33.30389,-21.57401,-54.8779
60780,-1.72329,4.70935,-5.67975,-11.6385,1.65304,3.95238,1.21274,4.22405,9.88535,5.6753,-34.80433,-26.97026,-61.77458
60810,-2.66724,3.14023,-5.15645,-10.8067,1.37352,1.63364,1.16697,5.27537,7.7473,1.25762,-31.98576,-22.2295,-54.21525
60840,-1.56292,3.91741,-5.41738,-11.0283,3.05026,3.9745,2.02579,1.1104,2.75116,1.16217,-31.65629,-21.6638,-53.32009
60870,-3.18019,2.015,-5.55344,-10.7038,1.70333,3.04951,1.78388,1.17235,1.35275,1.88666,-30.30228,-21.90264,-52.20491
60900,-3.54924,1.39461,-5.32043,-10.5584,1.63935,9.55669,1.27693,1.28764,1.93925,2.65394,-31.81544,-21.20603,-53.02147
60930,-4.43588,1.82718,-5.42213,-13.1379,1.2084,1.51288,1.46133,1.25524,4.97658,3.35548,-31.05688,-22.1463,-53.20318
60960,-4.44596,1.78327,-5.04265,-11.7843,1.22742,1.39551,1.47666,1.21108,2.87007,1.42165,-29.50219,-19.14965,-48.65183
60990,-4.44596,1.25189,-5.19058,-10.4523,1.66834,1.67839,1.11236,1.12415,7.8728,1.90965,-30.86198,-17.97885,-48.84083
61020,-5.30516,-0.550398,-5.38672,-12.6165,1.1769,3.06456,1.61383,1.65089,1.81497,4.51632,-31.22624,-25.20752,-56.43375
61050,-3.72393,1.19236,-4.74763,-9.74012,5.15337,1.89784,3.42625,1.20582,1.3528,8.98166,-33.0959,-26.55001,-59.64591
61080,-2.27731,3.61702,-5.17429,-11.5322,1.15608,1.19574,1.21342,1.33554,3.25201,1.63049,-29.63141,-16.62078,-46.25218
61110,-2.78293,3.11934,-5.51888,-11.1164,1.55873,1.7638,3.22975,1.10989,4.09787,1.20637,-30.96959,-20.23102,-51.20061
61140,-2.53498,3.11934,-5.03481,-11.0029,1.25088,1.55214,1.91409,1.10989,9.08795,1.12392,-30.83459,-16.99234,-47.82693
61170,-3.41256,3.42477,-5.11851,-11.9275,1.1991,7.12721,1.70601,1.10989,8.56133,1.36425,-32.36365,-19.59151,-51.95516
61200,-3.12998,3.11922,-5.28774,-11.621,2.16139,2.47436,1.10083,1.33214,2.03698,1.6769,-30.38074,-20.5477,-50.92844
61230,-2.35072,3.17151,-5.51698,-10.483,1.3371,8.26141,1.49585,1.31642,2.13317,1.50173,-31.32697,-21.76535,-53.09231
61260,-1.74033,4.07042,-5.39651,-11.6211,1.2441,2.32207,1.40941,1.11012,3.48504,1.53329,-30.39812,-18.27653,-48.67465
61290,-1.8972,3.38892,-6.38538,-11.0296,2.74126,4.29355,1.12107,1.50609,1.855,2.09495,-31.47245,-24.53716,-56.00961
61320,-1.18604,4.79233,-5.5722,-11.178,1.41672,7.22056,1.10476,1.1164,6.74786,4.4857,-33.22647,-20.0718,-53.29827
61350,0.278481,5.8478,-5.0222,-11.1693,1.20282,1.97753,1.30224,1.10647,5.22071,1.21805,-30.53809,-17.90311,-48.4412
61380,0.17477,5.8478,-5.38716,-11.1501,1.20036,1.54379,1.12008,2.16839,4.09871,1.15151,-30.50153,-17.78061,-48.28215
61410,0.624951,6.36497,-5.22501,-10.8599,1.13646,2.69052,1.44797,1.13509,3.01724,2.074,-30.96248,-17.92188,-48.88436
61440,0.979185,6.1084,-5.24501,-10.2545,1.11255,6.86494,1.11779,1.143,3.93718,3.82913,-32.48356,-17.0965,-49.58007
61470,0.920055,6.07116,-5.28827,-11.5346,1.10025,5.81968,1.10154,1.10281,1.5031,5.45682,-31.67893,-16.08438,-47.76331
61500,2.28941,6.69256,-5.63216,-9.36412,1.33712,5.22244,1.50861,1.13994,1.40917,1.67785,-30.95784,-20.51331,-51.47115
61530,0.979111,6.88549,-5.16546,-11.2486,1.22054,1.68168,1.85978,1.25416,2.63199,1.45257,-30.50789,-18.97618,-49.48407
61560,0.0194864,5.60056,-5.33402,-10.9697,1.1122,1.65569,1.74193,1.13065,1.96001,1.24556,-29.58961,-16.15475,-45.74436
61590,-0.506776,6.11337,-5.40563,-11.8835,1.75256,1.82187,1.97537,1.17307,4.58296,1.16876,-31.1416,-20.08013,-51.22173
61620,0.0173097,6.06367,-4.96114,-11.1925,4.82794,3.08769,1.39228,1.11998,9.39082,1.34196,-33.14507,-21.14781,-54.29287
61650,1.17917,5.68503,-4.27789,-9.97025,9.06982,1.9205,3.72976,1.4004,1.31689,1.26947,-32.49681,-24.5909,-57.08771
61680,1.46395,5.7702,-5.95235,-9.66195,3.06693,6.86681,1.26419,1.15609,3.55799,1.17763,-32.32825,-20.32081,-52.64906
61710,1.18885,5.72828,-5.30473,-9.79513,1.73811,6.71427,1.12394,1.10361,2.55514,1.24418,-31.28573,-15.89767,-47.1834
