"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0273908,0.009346385,0.0556921,1,"Blood","AtoB"
0.05730245,0.025634335,0.1131133,2,"Blood","AtoB"
0.08772565,0.04225214,0.17037805,3,"Blood","AtoB"
0.1180305,0.05824646,0.22630585,4,"Blood","AtoB"
0.1482065,0.074208435,0.28154475,5,"Blood","AtoB"
0.1781365,0.089912275,0.33616195,6,"Blood","AtoB"
0.2077185,0.10517325,0.38940855,7,"Blood","AtoB"
0.2368605,0.12045335,0.44146195,8,"Blood","AtoB"
0.2655685,0.13587825,0.4921545,9,"Blood","AtoB"
0.294002,0.1506764,0.5415836,10,"Blood","AtoB"
0.322018,0.1658835,0.58964575,11,"Blood","AtoB"
0.349654,0.18084455,0.63638165,12,"Blood","AtoB"
0.376949,0.1954526,0.68225585,13,"Blood","AtoB"
0.403719,0.2099122,0.7275646,14,"Blood","AtoB"
0.4302005,0.22443805,0.77148665,15,"Blood","AtoB"
0.456388,0.2386275,0.8148109,16,"Blood","AtoB"
0.482272,0.25297405,0.85777145,17,"Blood","AtoB"
0.50783,0.2671175,0.89941395,18,"Blood","AtoB"
0.532808,0.28111415,0.9395194,19,"Blood","AtoB"
0.5575435,0.29480065,0.97869525,20,"Blood","AtoB"
0.5820775,0.3085819,1.0176245,21,"Blood","AtoB"
0.6061955,0.3224015,1.0548945,22,"Blood","AtoB"
0.629913,0.33609735,1.091501,23,"Blood","AtoB"
0.6534655,0.3494665,1.127473,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
86.7642,2.925608,2223.5715,1,"Cell","AtoB"
98.34125,5.493784,2299.1105,2,"Cell","AtoB"
106.8355,7.9193275,2304.648,3,"Cell","AtoB"
115.7605,10.22939,2306.0095,4,"Cell","AtoB"
124.421,12.44807,2285.8045,5,"Cell","AtoB"
132.692,14.633085,2265.166,6,"Cell","AtoB"
140.7825,16.69517,2246.8445,7,"Cell","AtoB"
148.661,18.76518,2224.6845,8,"Cell","AtoB"
156.221,20.75391,2200.7895,9,"Cell","AtoB"
163.49,22.74518,2180.826,10,"Cell","AtoB"
170.7975,24.654015,2161.22,11,"Cell","AtoB"
177.411,26.46553,2137.7675,12,"Cell","AtoB"
184.1125,28.217745,2116.1635,13,"Cell","AtoB"
190.8195,29.95534,2095.743,14,"Cell","AtoB"
