"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-4.19267118913711,0.251925350490749,4.5864203385727,-8.66739825,-7.32492,-6.155465,-2.2090275,8.25405925,328,1.01110791653605,1,-8.294201,-6.155465,5.300741,0.0355299999999996,0.0442649999999998,0.162205,0.47441,1.133245,0.178295120793935,424,529
"p_2.1.",-0.0582665465565211,0.254840885036374,4.61616701561773,-4.51188025,-3.1613475,-2.170775,1.9796575,12.4051875,324,1.01151597814529,1,-4.155057,-2.170775,9.530518,0.0256050000000001,0.040395,0.1709,0.473675,1.15215,0.180360143895963,413,523
"p_3.1.",1.20593880070913,0.355586240583523,4.87046490919211,-3.3045425,-2.64032,-0.980644,4.1129925,13.126605,186,1.00595239426113,1,-3.1520725,-0.980644,11.147685,0.0142500000000001,0.0340149999999999,0.4221385,0.743895,0.6309,0.251829381048718,238,373
"p_4.1.",-3.46166704663886,0.361637759308439,4.98783522960652,-9.1592325,-7.2289,-5.46763,-0.458643,8.556342,188,1.00566776827442,1,-8.632007,-5.46763,6.5177605,0.0460399999999996,0.0725850000000001,0.380045,0.7503535,0.572275,0.256109614357201,241,384
"GSD_error_C1_blood.1.",1.98587424603175,0.0122513872627955,1.43477049008422,1.10774,1.2048775,1.421665,2.0448325,6.77114625,13764,1.00045773391367,1,1.1159915,1.421665,5.185707,0.000329999999999941,0.00160000000000005,0.00558999999999998,0.0189700000000002,0.0875900000000001,0.00866322322936139,10857,24894
"GSD_error_C1_cell.1.",3.47520309961255,0.0149107992970006,2.26723718795252,1.14954525,1.680095,2.6635,4.6743175,9.15901625,23096,1.00017428864295,1,1.2009015,2.6635,8.408872,0.00195000000000001,0.00795000000000001,0.0167649999999999,0.0327699999999997,0.0266399999999996,0.0105436602307521,22646,29405
"GSD_error_C1_lumen.1.",2.22662820022497,0.0201459229367106,1.6930078631967,1.10961075,1.2288975,1.50557,2.386125,7.78633775,7071,1.00069530672904,1,1.12024,1.50557,6.2487,0.000455000000000094,0.00220000000000009,0.00844999999999996,0.03345,0.0673400000000002,0.01424590706826,8383,17915
"GSD_error_C2_blood.1.",1.6737478327709,0.00919241558382528,1.11941315811862,1.10619,1.1687,1.287055,1.6131375,5.39373,14806,1.00004474888164,1,1.1122515,1.287055,3.780572,0.000234999999999985,0.00083500000000003,0.0019300000000001,0.00684000000000007,0.13052,0.00654146147827791,21415,16457
"GSD_error_C2_cell.1.",3.52047345394326,0.0149868184605244,2.29742890682644,1.1498675,1.6959125,2.69767,4.7483575,9.20503925,23498,0.999973763508523,1,1.202032,2.69767,8.540144,0.00149999999999995,0.00783999999999996,0.0171350000000001,0.0353850000000002,0.0256799999999995,0.0105974125769074,23694,29435
"GSD_error_C2_lumen.1.",4.10283708286464,0.0127634210316015,2.11259961062548,1.62124525,2.4234475,3.462695,5.317745,9.2466855,27371,1.00029665568568,1,1.739375,3.462695,8.574424,0.00505999999999995,0.00887499999999997,0.0164200000000001,0.0267249999999999,0.0246849999999998,0.0090251979438629,26571,25423
"LnPrior",-32.370473587989,0.0524717400479294,1.63696817144208,-36.0323165,-33.35324,-32.22348,-31.1896325,-29.63624025,984,1.00305321758976,1,-35.313835,-32.22348,-29.9660995,0.141035000000002,0.0649349999999984,0.0462250000000033,0.0340100000000003,0.0223750000000003,0.0374522173934502,1066,1643
"LnData",-73.4944002568429,0.0437835423203136,3.30022666496299,-80.22818875,-75.75687,-73.33854,-71.0832925,-67.549597,5672,1.00082920975578,1,-79.1699525,-73.33854,-68.314057,0.070565000000002,0.061160000000001,0.0459800000000001,0.033450000000002,0.0308050000000009,0.0312963728416399,5974,11865
"LnPosterior",-105.864873828271,0.0857621171939401,4.56596428686363,-115.4694275,-108.8822,-105.56,-102.55705,-97.755989,2874,1.00075174843569,1,-113.86744,-105.56,-98.8789985,0.160050000000005,0.107250000000001,0.0771500000000032,0.0570500000000038,0.0501500000000021,0.0612884269087487,3024,4677
