"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-5.53053,-1.80547,-1.57225,-5.23627,1.54375,2.78491,1.18246,1.17562,1.32873,6.33005,-30.70659,-70.67183,-101.3784
60060,-5.20617,-1.91052,-1.08621,-4.29382,1.23069,5.88934,1.19884,1.14008,3.15151,6.1767,-32.08652,-71.99891,-104.0854
60090,-5.86761,-2.78008,-1.19779,-4.53963,1.20543,5.53244,1.15385,1.14008,3.14071,1.93621,-30.75529,-68.62259,-99.37788
60120,-6.4081,-3.30948,-1.00711,-4.46837,1.17451,6.18112,3.13954,1.46371,5.93513,1.61334,-32.53611,-76.56359,-109.0997
60150,-6.90005,-3.92161,-0.350671,-4.29557,1.21558,1.69839,1.19525,1.52319,3.96404,2.94796,-30.56996,-72.63214,-103.2021
60180,-7.34963,-3.50845,0.295601,-4.09255,1.26774,1.4156,1.12243,1.22233,2.0634,5.10155,-30.09085,-67.89662,-97.98747
60210,-7.64448,-3.50845,0.463376,-4.25229,1.43699,1.48173,1.12243,1.11431,8.54818,4.05061,-31.36721,-68.64875,-100.016
60240,-8.17569,-4.63035,0.442557,-4.58572,1.14035,1.51345,2.24807,1.162,3.06116,5.79535,-31.19751,-73.68855,-104.8861
60270,-7.31794,-2.83141,-0.499989,-4.92842,5.36317,2.98834,5.65465,1.61076,1.54742,4.00825,-33.60733,-78.74021,-112.3475
60300,-7.30786,-2.41629,-2.8281,-8.29263,6.64087,2.91329,1.86423,1.62572,2.12883,3.66423,-32.83818,-77.8203,-110.6585
60330,-7.6301,-3.41887,-3.00813,-7.79863,4.84437,4.65468,1.43119,1.32687,2.51119,5.76743,-33.10419,-76.36679,-109.471
60360,-7.11217,-2.59633,-2.22376,-7.22876,3.97874,1.74679,1.27521,1.10248,2.52076,1.84797,-30.53744,-71.91127,-102.4487
60390,-4.91275,-1.44511,-2.58976,-6.61206,1.1051,4.48837,1.39226,1.6962,1.47706,3.08063,-30.74012,-70.37244,-101.1126
60420,-5.28631,-1.82554,-3.11162,-8.45666,1.36056,2.46115,1.20518,1.38022,4.79135,6.16513,-31.83982,-74.20411,-106.0439
60450,-5.81006,-0.716128,-2.45137,-8.21245,1.3722,1.46532,1.35442,1.15433,3.06428,2.86362,-30.11372,-71.73376,-101.8475
60480,-4.77878,0.0811713,-3.84075,-9.71209,4.16745,1.12585,1.49157,1.34015,5.28424,7.10982,-32.6971,-75.61193,-108.309
60510,-6.45789,-2.43715,-3.03853,-8.24872,1.23459,1.71937,1.60303,1.20716,1.17381,3.64553,-29.57197,-70.88164,-100.4536
60540,-5.52097,-0.932259,-2.27296,-7.18383,1.14507,3.97718,1.1778,1.11544,2.56996,2.07883,-30.25385,-69.38261,-99.63646
60570,-4.90147,-0.95619,-2.81804,-7.44044,1.16818,1.61562,1.17085,5.2421,2.12498,2.76875,-31.00068,-72.34375,-103.3444
60600,-4.06545,0.14772,-2.75158,-7.27485,1.29894,6.53625,3.92623,1.15113,4.04451,2.77117,-32.91384,-73.33873,-106.2526
60630,-5.42642,-0.604533,-2.63275,-8.10992,7.83843,1.83427,1.28688,1.17185,1.56273,3.11895,-31.45891,-75.28855,-106.7475
60660,-7.80597,-3.88444,-2.83028,-8.11696,1.69343,5.19179,1.15605,1.41487,1.38784,3.41645,-30.89393,-72.49894,-103.3929
60690,-7.87106,-3.90781,-2.57088,-8.89592,1.32955,1.10473,2.33432,1.1181,1.24594,3.95312,-29.62744,-71.44612,-101.0736
60720,-7.88822,-4.26497,-1.6711,-6.54541,2.49612,1.11232,1.13792,1.22714,4.1119,6.70765,-31.37207,-70.54066,-101.9127
60750,-7.87268,-3.75898,-1.73024,-7.03271,1.56825,1.15491,2.37967,1.21182,6.05846,4.38553,-31.64087,-72.59422,-104.2351
60780,-7.47385,-2.53626,-2.22547,-7.82014,1.34612,5.23883,1.82318,1.18625,2.87987,3.2232,-31.67791,-72.40287,-104.0808
60810,-7.30265,-3.22881,-2.55676,-9.71306,1.20259,1.16143,3.1091,1.18888,1.71203,6.56754,-30.77998,-73.32197,-104.102
60840,-5.87068,-2.2695,-3.22899,-9.20136,1.28788,1.59824,1.34268,1.11731,1.36557,8.79814,-30.33566,-71.65222,-101.9879
60870,-5.31973,-1.45034,-2.84967,-7.35616,1.1555,1.40902,6.42048,1.21845,1.44191,4.97436,-31.26545,-72.62413,-103.8896
60900,-3.56263,-2.62722,-2.93164,-5.91037,4.40441,4.74733,1.64119,1.10157,8.00063,3.99112,-33.83661,-80.04225,-113.8789
60930,-8.73626,-1.84663,-2.2764,-9.42868,1.48404,9.1044,1.3231,1.23789,5.69001,3.46896,-32.85955,-74.56975,-107.4293
60960,-6.36428,-2.22671,-3.09505,-7.89168,1.532,8.84138,1.1744,1.22338,1.65426,1.93375,-30.83941,-71.80977,-102.6492
60990,-8.81946,-4.45351,-3.25213,-10.1,1.83255,1.68213,1.17882,1.31187,1.8117,6.66919,-30.7448,-76.60539,-107.3502
61020,-8.05697,-3.54266,-2.62151,-8.62993,2.48048,5.54389,1.29998,1.60748,4.64133,3.63132,-32.87689,-76.55801,-109.4349
61050,-7.46875,-3.47204,-2.33693,-7.83192,1.52649,2.98008,1.39819,1.11091,1.48695,4.53169,-30.55679,-72.00665,-102.5634
61080,-7.60363,-3.89635,-3.07294,-9.23704,6.51348,2.03676,1.24879,1.28961,7.79206,8.05709,-33.87933,-76.55004,-110.4294
61110,-4.95657,-2.41042,-2.17267,-6.25135,2.33315,4.1723,1.84634,1.40949,5.66135,2.16121,-32.47925,-78.61179,-111.091
61140,-5.46262,-1.11331,-2.33067,-6.67582,1.35072,1.19446,1.13112,1.27039,1.92186,2.46976,-29.17799,-68.00519,-97.18318
61170,-5.49933,-1.58198,-2.63023,-6.541,2.27348,2.65069,1.22991,2.35498,1.20557,2.44021,-30.68859,-72.98096,-103.6695
61200,-4.77418,-1.49148,-3.1479,-7.87308,3.54488,3.19402,1.16571,1.26146,2.24111,3.72186,-31.6842,-74.39436,-106.0786
61230,-5.13833,-1.04068,-2.84175,-8.09349,1.16491,1.4706,2.33621,1.2799,1.70704,2.62163,-29.90746,-70.82151,-100.729
61260,-3.44989,-0.954123,-2.85949,-6.27529,1.1158,5.68684,1.99596,1.7795,2.53437,2.7153,-31.85213,-74.53877,-106.3909
61290,-4.23805,-0.110738,-2.57123,-6.8494,1.10634,2.53879,1.21017,1.1521,1.86869,7.56389,-30.85177,-67.48186,-98.33363
61320,-4.89217,-0.686252,-2.54187,-6.96364,4.72867,1.96411,1.1302,1.11182,2.24803,3.47645,-31.31234,-71.12453,-102.4369
61350,-5.028,-0.499837,-2.39988,-7.13352,1.98559,2.41751,1.13556,1.1494,1.96235,5.42079,-31.01042,-70.78746,-101.7979
61380,-5.27468,-1.22478,-1.08204,-5.58396,3.94469,7.33658,2.38831,2.76092,1.52417,2.16312,-33.27687,-78.14316,-111.42
61410,-6.15618,-3.02247,-0.693448,-4.06047,1.17784,3.97816,1.24139,1.17521,4.20938,2.78905,-31.18647,-69.47175,-100.6582
61440,-5.93002,-2.38246,-0.947126,-4.43423,1.17784,1.85127,1.24139,1.86464,1.41887,3.17894,-29.92917,-71.22473,-101.1539
61470,-5.38441,-1.74017,-0.911921,-4.2954,1.246,3.38711,1.97799,1.46704,1.36329,3.1968,-30.81409,-73.68433,-104.4984
61500,-6.23219,-2.80723,-0.485835,-4.67234,2.20179,2.86657,4.09993,1.46608,2.3629,1.84631,-31.91455,-76.19052,-108.1051
61530,-3.57984,-2.68933,-1.59167,-3.10065,1.15301,9.52112,1.30322,1.1018,8.8165,3.57824,-33.0453,-73.09759,-106.1429
61560,-3.26186,1.7828,-1.13436,-6.92272,1.64969,3.51932,3.23752,1.35433,1.81539,2.24194,-31.66733,-77.42959,-109.0969
