"median","LCL","UCL","Time","Compartment","Addition.Type"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
34.6083,18.87758,215.25875,1,"Blood","AtoB"
65.0446,37.46864,240.70045,2,"Blood","AtoB"
91.3032,54.61201,250.8265,3,"Blood","AtoB"
114.006,70.520975,257.48955,4,"Blood","AtoB"
133.4805,85.245235,262.2549,5,"Blood","AtoB"
150.232,98.82462,265.95135,6,"Blood","AtoB"
164.6615,111.34405,268.99925,7,"Blood","AtoB"
176.978,122.96555,270.89405,8,"Blood","AtoB"
187.6945,133.3707,272.67445,9,"Blood","AtoB"
196.8295,143.0145,274.26925,10,"Blood","AtoB"
204.7545,152.0529,275.4448,11,"Blood","AtoB"
211.5435,160.1651,276.617,12,"Blood","AtoB"
217.4155,167.7305,277.60025,13,"Blood","AtoB"
222.522,174.3443,278.48365,14,"Blood","AtoB"
226.9665,180.13795,279.30345,15,"Blood","AtoB"
230.842,185.5473,280.1412,16,"Blood","AtoB"
234.2075,190.12765,280.96415,17,"Blood","AtoB"
237.1555,194.4005,281.7536,18,"Blood","AtoB"
239.866,197.81485,282.5802,19,"Blood","AtoB"
242.265,201.0554,283.2442,20,"Blood","AtoB"
244.359,203.81505,283.928,21,"Blood","AtoB"
246.212,206.11735,284.58305,22,"Blood","AtoB"
247.924,208.08475,285.27525,23,"Blood","AtoB"
249.3955,209.6576,285.88135,24,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
32725.3,1366.124,195243,1,"Cell","AtoB"
30156.3,2429.0345,174829.8,2,"Cell","AtoB"
28232.3,3276.097,156513.4,3,"Cell","AtoB"
26876.3,3941.4125,142013.35,4,"Cell","AtoB"
25919.95,4473.455,129782.1,5,"Cell","AtoB"
24954.95,4914.734,119289.45,6,"Cell","AtoB"
24240.7,5247.7445,110197.25,7,"Cell","AtoB"
23548.5,5510.0505,102605.25,8,"Cell","AtoB"
22960.15,5643.0985,95891.82,9,"Cell","AtoB"
22489.3,5750.3595,90294.71,10,"Cell","AtoB"
22106.8,5847.6555,85685.215,11,"Cell","AtoB"
21712.45,5963.83,81476.25,12,"Cell","AtoB"
21328.2,5978.785,77944.7249999999,13,"Cell","AtoB"
21044.3,5993.2885,75036.78,14,"Cell","AtoB"
20715.8,5994.083,72233.715,15,"Cell","AtoB"
20447,5962.054,69824.065,16,"Cell","AtoB"
20210.85,5950.2175,67911.61,17,"Cell","AtoB"
19954.2,5911.0245,66154.345,18,"Cell","AtoB"
19718.95,5908.2135,64592.205,19,"Cell","AtoB"
19492.55,5848.9795,63160.79,20,"Cell","AtoB"
19283.95,5792.1815,62061.08,21,"Cell","AtoB"
19097.55,5741.2825,60959.665,22,"Cell","AtoB"
18909.2,5701.94,60080.475,23,"Cell","AtoB"
18718.55,5670.7575,59064.91,24,"Cell","AtoB"
1000,1000,1000,0,"Lumen","AtoB"
872.337,315.5869,928.60795,1,"Lumen","AtoB"
778.431,236.48195,867.63645,2,"Lumen","AtoB"
697.425,203.91805,812.72605,3,"Lumen","AtoB"
627.752,183.5514,762.9131,4,"Lumen","AtoB"
567.706,168.9485,716.9268,5,"Lumen","AtoB"
515.8365,157.9354,674.2368,6,"Lumen","AtoB"
471.5945,149.3192,635.2806,7,"Lumen","AtoB"
433.539,142.01185,599.422,8,"Lumen","AtoB"
400.828,137.01995,566.45805,9,"Lumen","AtoB"
372.739,132.54435,536.2812,10,"Lumen","AtoB"
348.3685,128.49,508.38615,11,"Lumen","AtoB"
327.4465,125.4267,483.92015,12,"Lumen","AtoB"
309.6105,121.86125,461.063,13,"Lumen","AtoB"
293.9105,118.899,441.5472,14,"Lumen","AtoB"
280.243,116.63595,424.08515,15,"Lumen","AtoB"
268.236,114.36825,407.38445,16,"Lumen","AtoB"
257.9245,111.5296,392.8148,17,"Lumen","AtoB"
248.732,109.07795,380.0009,18,"Lumen","AtoB"
240.462,106.84265,369.03825,19,"Lumen","AtoB"
233.0885,104.41475,359.6713,20,"Lumen","AtoB"
226.6445,102.4487,351.17105,21,"Lumen","AtoB"
220.7235,100.2188,344.6938,22,"Lumen","AtoB"
215.353,98.19352,338.9578,23,"Lumen","AtoB"
210.549,96.2202,333.58985,24,"Lumen","AtoB"
1000,1000,1000,0,"Blood","BtoA"
971.871,878.2442,992.25605,1,"Blood","BtoA"
950.901,848.01315,986.42575,2,"Blood","BtoA"
933.2645,824.0558,981.4504,3,"Blood","BtoA"
918.233,803.9799,977.00225,4,"Blood","BtoA"
905.536,786.59885,972.8678,5,"Blood","BtoA"
895.1145,773.18485,969.2493,6,"Blood","BtoA"
886.2595,761.5881,965.97435,7,"Blood","BtoA"
878.5575,752.5401,963.06165,8,"Blood","BtoA"
871.8925,744.7953,960.50455,9,"Blood","BtoA"
866.2335,738.20315,958.01625,10,"Blood","BtoA"
861.2635,732.9394,955.8078,11,"Blood","BtoA"
856.949,728.26655,953.89455,12,"Blood","BtoA"
853.2845,724.19795,952.08005,13,"Blood","BtoA"
849.894,721.2957,950.5771,14,"Blood","BtoA"
846.928,718.52625,949.2632,15,"Blood","BtoA"
844.456,716.0072,947.9571,16,"Blood","BtoA"
842.3145,713.48035,946.7731,17,"Blood","BtoA"
840.334,711.7154,945.7661,18,"Blood","BtoA"
838.5665,710.2239,944.8148,19,"Blood","BtoA"
837.045,709.08555,944.02625,20,"Blood","BtoA"
835.72,707.63675,943.3231,21,"Blood","BtoA"
