"","Compound","Che.type","Cell.type","Addition.Type","Time","Compartment_new","Compartment","X..Recovery","Volume..uL.","Used.Volume..uL.","Input.Amount..pmol.","Input.Amount.umol","Estimated.amount..pmol.","Estimated.Concentration.uM","seach","Pred_conc","ratio","abs.dev"
"1","4_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",85.18590998,75,75,375,0.000375,319.4471624,4.259295499,"AtoB_24_Lumen",4.496295,0.0235170260152654,0.0235170260152654
"2","4_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",85.09808175,75,75,375,0.000375,319.1178066,4.254904087,"AtoB_24_Lumen",4.496295,0.0239650226000805,0.0239650226000805
"3","4_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",103.418697,75,75,375,0.000375,387.8201136,5.170934848,"AtoB_24_Lumen",4.496295,-0.0607142684737161,0.0607142684737161
"4","4_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",85.14190334,75,75,375,0.000375,319.2821375,4.257095167,"AtoB_24_Lumen",4.496295,0.023741438469953,0.023741438469953
"5","4_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",11.00578156,235,235,375,0.000375,41.27168084,0.175624174,"AtoB_24_Blood",0.160349,-0.0395180388291464,0.0395180388291464
"6","4_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",10.71834907,235,235,375,0.000375,40.193809,0.171037485,"AtoB_24_Blood",0.160349,-0.0280250460408392,0.0280250460408392
"7","4_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",10.94968605,235,235,375,0.000375,41.06132269,0.174729033,"AtoB_24_Blood",0.160349,-0.0372988175691525,0.0372988175691525
"8","4_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",8.443152939,235,235,375,0.000375,31.66182352,0.134731164,"AtoB_24_Blood",0.160349,0.0755981939862842,0.0755981939862842
"9","4_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",0.009790946,30,0.025307623,375,0.000375,0.036716048,1.450790056,"AtoB_24_Cell",1.37123,-0.0244942639283153,0.0244942639283153
"10","4_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",0.009948479,30,0.025307623,375,0.000375,0.037306796,1.474132746,"AtoB_24_Cell",1.37123,-0.0314262873534889,0.0314262873534889
"11","4_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",0.008207014,30,0.025307623,375,0.000375,0.030776303,1.216088248,"AtoB_24_Cell",1.37123,0.0521452146783469,0.0521452146783469
"12","4_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",0.01049192,30,0.025307623,375,0.000375,0.039344701,1.554658099,"AtoB_24_Cell",1.37123,-0.0545245874055156,0.0545245874055156
"13","4_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",100.0791715,235,235,1175,0.001175,1175.930265,5.003958573,"BtoA_24_Blood",4.74114,-0.023430925892157,0.023430925892157
"14","4_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",106.7215104,235,235,1175,0.001175,1253.977747,5.33607552,"BtoA_24_Blood",4.74114,-0.0513391877144088,0.0513391877144088
"15","4_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",74.82883222,235,235,1175,0.001175,879.2387786,3.741441611,"BtoA_24_Blood",4.74114,0.102843807682152,0.102843807682152
"16","4_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",74.57295632,235,235,1175,0.001175,876.2322367,3.728647816,"BtoA_24_Blood",4.74114,0.104331415041617,0.104331415041617
"17","4_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",10.91763434,75,75,1175,0.001175,128.2822035,1.71042938,"BtoA_24_Lumen",0.7994925,-0.330290753787455,0.330290753787455
"18","4_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",10.88349086,75,75,1175,0.001175,127.8810176,1.705080234,"BtoA_24_Lumen",0.7994925,-0.328930425899325,0.328930425899325
"19","4_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",12.37941705,75,75,1175,0.001175,145.4581503,1.939442004,"BtoA_24_Lumen",0.7994925,-0.384862403222399,0.384862403222399
"20","4_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",9.434155647,75,75,1175,0.001175,110.8513288,1.478017718,"BtoA_24_Lumen",0.7994925,-0.266865246266186,0.266865246266186
"21","4_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",0.025261017,30,0.025307623,1175,0.001175,0.296816955,11.72836156,"BtoA_24_Cell",22.71265,0.287030462652296,0.287030462652296
"22","4_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",0.033997467,30,0.025307623,1175,0.001175,0.399470238,15.78458135,"BtoA_24_Cell",22.71265,0.158034740803624,0.158034740803624
"23","4_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",0.079370391,30,0.025307623,1175,0.001175,0.932602093,36.85063923,"BtoA_24_Cell",22.71265,-0.210177217239662,0.210177217239662
"24","4_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",0.044202843,30,0.025307623,1175,0.001175,0.519383407,20.52280465,"BtoA_24_Cell",22.71265,0.0440310972606324,0.0440310972606324
"493","4_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",98.11022841,75,75,375,0.000375,367.9133566,4.905511421,"AtoB_4_Lumen",4.90922,0.000328203677302771,0.000328203677302771
"494","4_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",106.737475,75,75,375,0.000375,400.2655313,5.336873751,"AtoB_4_Lumen",4.90922,-0.0362744344108265,0.0362744344108265
"495","4_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",89.85235048,75,75,375,0.000375,336.9463143,4.492617524,"AtoB_4_Lumen",4.90922,0.0385130480555753,0.0385130480555753
"496","4_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",98.29392806,75,75,375,0.000375,368.6022302,4.914696403,"AtoB_4_Lumen",4.90922,-0.000484200343809424,0.000484200343809424
"497","4_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",1.814309105,235,235,375,0.000375,6.803659143,0.028951741,"AtoB_4_Blood",0.0286902,-0.00394110922050646,0.00394110922050646
"498","4_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",1.601654377,235,235,375,0.000375,6.006203913,0.025558315,"AtoB_4_Blood",0.0286902,0.0502013573231802,0.0502013573231802
"499","4_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",2.00120392,235,235,375,0.000375,7.504514699,0.031934105,"AtoB_4_Blood",0.0286902,-0.0465211731937983,0.0465211731937983
"500","4_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",1.588850629,235,235,375,0.000375,5.958189857,0.025353999,"AtoB_4_Blood",0.0286902,0.053687106869639,0.053687106869639
"501","4_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",80.85990302,235,235,1175,0.001175,950.1038605,4.042995151,"BtoA_4_Blood",4.950725,0.087965582604285,0.087965582604285
"502","4_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",74.94455689,235,235,1175,0.001175,880.5985435,3.747227845,"BtoA_4_Blood",4.950725,0.12095870249235,0.12095870249235
"503","4_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",139.924036,235,235,1175,0.001175,1644.107422,6.996201798,"BtoA_4_Blood",4.950725,-0.150193524686179,0.150193524686179
